EVTOPTA_CM_4013;Spare me your lamentations!;Épargnez-moi vos lamentations !;Verschont mich mit Eurem Gejammer!;;¡Ahórrate tus lamentos!;;;;;;;;;x
EVTDESC_SOA_1153;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to defend Christianity against the Infidel. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], l'Ordre a besoin de nouveaux châteaux afin d'entrainer des troupes pour défendre la chrétienté contre les infidèles. Or, Il nous a été signalé que vous possédiez un domaine qui conviendrait parfaitement, à [target_province.GetName] pour être précis. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nPax Christi,\nGrand Maître [target_grandmaster.GetFirstName];Mein lieber [Root.GetTitledFirstName], der Orden benötigt weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich bin bereit, Euch Eure Schulden zu erlassen, wenn Ihr uns gestattet, in [target_province.GetName] eine Burg zu errichten. Der Friede des Herrn sei mit Euch!\n\nGroßmeister [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], la Orden necesita más castillos para defender a la Cristiandad de los infieles. Ha llegado a mi conocimiento que hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\nPax Christi,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1154;The Knights Hospitaller have constructed a castle in [Root.GetName]!;L'Ordre de l'Hospital a bâti un château en [Root.GetName] !;Die Johanniter haben in [Root.GetName] eine Burg errichtet!;;¡Los Caballeros Hospitalarios han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1203;Peace be upon you, most magnificent [Root.GetTitledFirstName]. As you may know, our order is in need of leaders, and, considering your debt to us, I would like to request that your able and noble son [demanded_child.GetFirstName] serve in our ranks. Naturally, this would disinherit him. Allah be with you,\n\nGrand Master [demanding_grandmaster.GetFirstName];As-salâm 'aláykum, grand [Root.GetTitledFirstName]. Comme vous le savez peut-être, notre ordre a besoin de chefs pour combattre les infidèles et, considérant votre dette envers nous, j'aimerais présenter l'opportunité à votre noble fils [demanded_child.GetFirstName] de servir dans nos rangs, ce qui annulerait également votre dette. Naturellement, cette décision le déshériterait.\n\nQu'Allah vous garde.\nGrand Maître [demanding_grandmaster.GetFirstName];Der Friede Allahs sei mit Euch, großartiger [Root.GetTitledFirstName]. Wie Ihr vielleicht wisst, benötigt unser Orden Führer und angesichts der Schulden, die Ihr bei uns habt, möchte ich darum bitten, dass Euer tapferer und edler Sohn [demanded_child.GetFirstName] in unseren Reihen diene. Natürlich würde das ihn von der Erbfolge ausschließen. Allah sei mit Euch!\n\nGroßmeister [demanding_grandmaster.GetFirstName];;Que la paz sea con usted, mi magnífico [Root.GetTitledFirstName]. Como posiblemente sepa, nuestra orden necesita dirigentes urgentemente y, teniendo en cuenta la deuda que tiene con nosotros, me gustaría pedirle que su fuerte y noble hijo [demanded_child.GetFirstName] se aliste en nuestras filas. Como bien sabe, esta acción le desheredará. Que Alá sea con usted,\n\nGran Maestre [demanding_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1209;A Sufi sect of dervishes has arisen under the leadership of a certain Hadji Baktash Wali, a mystic from Khorasan. Striving for 'Unity of Being', Bektashis train the soul through meditation and contemplation of the inner meaning of the Koran. The Bektashi Order is warlike and especially popular among [Root.Religion.GetName] Muslim soldiers. The Order has sworn to protect Islam and to combat infidels and polytheists of all kinds.;Une secte soufie de derviches a été fondée par un certain Haci Bektas Veli, un mystique natif du Khorassan. Oeuvrant pour ce qu'ils nomment « l'Unité de l'Être », les Bektachis forment leurs âmes par la méditation et l'étude du sens profond du Coran.\nLa confrérie bektachie est un ordre guerrier particulièrement apprécié des soldats [Root.GetReligionMascPl]. L'Ordre a juré de protéger l'islam et de combattre les infidèles et les polythéistes de toutes sortes.;Unter der Führerschaft eines gewissen Hadschi Baktasch Wali, eines Mystikers aus Khorosan, ist eine Sufi-Sekte aus Derwischen entstanden. In ihrem Streben nach der "Einheit des Seins" ertüchtigen die Bektaschi ihre Seele durch Meditation und Kontemplation der wahren Bedeutung des Korans. Der kriegerische Bektaschi-Orden ist besonders bei jungen [Root.Religion.GetName]en Soldaten beliebt. Die Mitglieder leisten einen Eid, den Islam zu schützen und Ungläubige und Polytheisten jeder Art zu bekämpfen.;;"Ha surgido una secta sufí de derviches bajo el liderazgo de un tal Hadji Bektash Wali, un místico de Jorasán. Los Bektashis aspiran a la ""Unidad del Ser" y educan el alma a través de la meditación y la contemplación del significado interno del Corán. La Orden Bektashi es favorable a la guerra y especialmente popular entre los soldados musulmanes [Root.Religion.GetName]. La Orden ha jurado proteger el Islam y combatir a los infieles y politeístas de todo tipo.";;;;;;;;;x
EVTDESC_SOA_1211;Most righteous [Root.GetTitledFirstName], of course we, the Bektashi Order, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\nGrand Master [target_grandmaster.GetFirstName];As-salâm 'aláykum [Root.GetTitledFirstName], la Confrérie bektachie peut bien évidemment vous prêter 300 d'or. En contrepartie nous pourrions vous demander votre aide future si certains besoins se font sentir.\n\nQu'Allah vous protège,\nGrand Maître [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], natürlich können wir, der Bektaschi-Orden, Euch 300 Gold leihen. Als Gegenleistung erbitten wir lediglich Eure Unterstützung in gewissen Angelegenheiten, die sich ergeben könnten. Salaam alaykum\n\nGroßmeister [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], por supuesto que nosotros, la Orden Bektashi, podemos prestarle 300 oros. Todo lo que pedimos a cambio es su futura asistencia en determinados asuntos que puedan surgir. Salaam alaykum,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1223;Great [Root.GetTitledFirstName], the Order needs more castles in order to train recruits and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [target_province.GetName]. Peace be with you,\n\nGrand Master [target_grandmaster.GetFirstName];Noble [Root.GetTitledFirstName], l'Ordre a besoin de davantage de châteaux afin d'entraîner des troupes et de générer les revenus nécessaires à son fonctionnement.\nNous sommes prêts à annuler votre dette si vous nous permettez de bâtir une forteresse en [target_province.GetName].\n\nQu'Allah soit avec vous,\nGrand Maître [target_grandmaster.GetFirstName];Großer [Root.GetTitledFirstName], der Orden braucht weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich bin bereit, Euch Eure Schulden zu erlassen, wenn Ihr uns gestattet, in [target_province.GetName] eine Burg zu errichten. Der Friede sei mit Euch!\n\nGroßmeister [target_grandmaster.GetFirstName];;Gran [Root.GetTitledFirstName], la Orden necesita más castillos para entrenar tropas y obtener ingresos para sostenerse. Estoy dispuesto a cancelar la deuda que tiene con nosotros si nos permite construir un castillo en [target_province.GetName]. Que la paz sea con usted,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1224;The Bektashi Order have constructed a castle in [Root.GetName]!;Les Bektachis ont bâti un fort à [Root.GetName] !;Der Bektaschi-Orden hat in [Root.GetName] eine Burg errichtet!;;¡La Orden Bektashi ha construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1231;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Bektashi Order to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre la Confrérie bektachie dans sa lutte contre les infidèles !\nCela le déshériterait à jamais mais nous apporterait l'assurance qu'il ne déshonorera jamais la dynastie par sa décadence.;Mein [GetFromRelation], [From.GetTitledFirstName] will dem Bektaschi-Orden beitreten, um gegen die Ungläubigen zu kämpfen! Das wird ihn auf ewig von der Erbfolge ausschließen und er wird niemals durch seine Dekadenz der Dynastie Schande bereiten.;;¡Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a la Orden Bektashi para combatir a los infieles! Esta acción le desheredará para siempre y su decadencia no traerá nunca la desgracia a esta dinastía.;;;;;;;;;x
EVTDESC_SOA_1253;Most wise [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\nGrand Master [target_grandmaster.GetFirstName];Sage [Root.GetTitledFirstName], l'Ordre a besoin de nouvelles terres afin d'entraîner des troupes et assurer leur financement de manière autonome. Or, il nous est apparu que vous possédiez un emplacement approprié sur vos domaines, à [target_province.GetName] pour être précis. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nQu'Allah vous garde,\nGrand Maître [target_grandmaster.GetFirstName];Weiser [Root.GetTitledFirstName], der Orden braucht weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Festung zu errichten.\nDer Friede sei mit Euch!\n\nGroßmeister [target_grandmaster.GetFirstName];;Mi sabio [Root.GetTitledFirstName], la Orden necesita más castillos para entrenar tropas y obtener ingresos para sostenerse. Ha llegado a mi conocimiento que hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\nQue la paz sea con usted,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1331;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Teutonic Order in their struggle against the heathens, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre l'Ordre teutonique dans sa lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation] [From.GetTitledFirstName] möchte sich dem deutschen Orden in seinem Kampf gegen die Heiden anschließen, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a la Orden Teutónica en la lucha contra los paganos, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_1353;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to defend Christianity against the vicious heathens. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [From.GetFirstName];Très juste [Root.GetTitledFirstName], l'Ordre a besoin de nouveaux châteaux afin de défendre la chrétienté contre les fourbes infidèles. Or, il nous a été signalé que vous possédiez un emplacement approprié sur votre domaine de [target_province.GetName]. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire un forteresse.\n\nPax Christi,\nGrand Maître [From.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], der Orden braucht weitere Burgen zur Verteidigung der Christenheit gegen die bösartigen Heiden. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Festung zu errichten.\nDer Friede des Herrn sei mit Euch!\n\nGroßmeister [From.GetFirstName];;Mi justo [Root.GetTitledFirstName], la Orden necesita más castillos para defender a la Cristiandad de los paganos viciosos. Ha llegado a mi conocimiento que hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\nPax Christi,\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1354;The Teutonic Order have constructed a castle in [Root.GetName]!;L'Ordre teutonique a bâti un château en [Root.GetName] !;Der Deutsche Orden hat in [Root.GetName]eine Burg errichtet!;;¡La Orden Teutónica ha construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1411;Most righteous [Root.GetTitledFirstName], of course we, the Nizari Ismailis, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\nGrand Master [target_grandmaster.GetFirstName];Très vertueux [Root.GetTitledFirstName], les ismaéliens nizârites peuvent bien évidemment vous prêter 300 d'or. En contrepartie, il est possible que nous vous demandions votre aide future si le besoin s'en faisait sentir.\n\nAs-salâm 'aláykum,\nGrand Maître [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], natürlich können wir, die Nizari-Ismailis Haschaschin, Euch 300 Gold leihen. Als Gegenleistung erbitten wir lediglich Eure Unterstützung in gewissen Angelegenheiten, die sich ergeben könnten. Salaam alaykum\n\nGroßmeister [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], por supuesto que nosotros, los Ismaelitas Nizaríes, podemos prestarle 300 oros. Todo lo que pedimos a cambio es su futura asistencia en determinados asuntos que puedan surgir. Salaam alaykum,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1424;The Nizari Ismaili Hashshashins have constructed a castle in [Root.GetName]!;Les Hashshâshîns ont bâti un château en [Root.GetName] !;Die Nizari-Ismaili Haschaschin haben in [Root.GetName] eine Burg errichtet!;;¡Los ismaelitas nizaríes Hashshashins han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1431;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the dreaded Hashshashins in their shady struggles. This will forever disinherit him and he will never disgrace the dynasty with his decadence.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre l'Ordre des redoutés Hashshâshîns dans leur combat.\nCela le déshériterait à jamais, mais nous apporterait l'assurance qu'il ne déshonorera jamais la dynastie par sa décadence.;Mein [GetFromRelation] [From.GetTitledFirstName] will sich den gefürchteten Haschaschin in ihrem zwielichtigen Kampf anschließen. Er wird auf ewig enterbt und wird niemals der Dynastie mit seiner Dekadenz Schande bereiten.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los temibles Hashshashins en su tenebrosa lucha. Esta acción le desheredará para siempre y su decadencia no traerá nunca la desgracia a esta dinastía.;;;;;;;;;x
EVTDESC_SOA_1454;The Hashshashins have constructed a castle in [Root.GetName]!;Les Hashshâshîns ont bâti un château en [Root.GetName] !;Die Haschaschim haben in [Root.GetName] eine Burg errichtet!;;¡Los Hashshashins han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1461;Great [Root.PrimaryTitle.GetRulerTitle], your antagonism is misguided! The Order serves Allah, but, one has to wonder, do you?\n\nWith furious anger,\n\nGrand Master [From.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], cet acte est complètement injustifié ! L'Ordre sert Allah, mais certains se posent la question : vous, le servez-vous ?\n\nMa colère est bien réelle,\nGrand maître [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure Ablehnung ist fehlgeleitet. Der Orden dient Allah, doch man muss sich fragen, ob auch Ihr das tut.\n\nIn heiligem Zorn,\n\nGroßmeister [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡este antagonismo es un error! La Orden sirve a Alá, pero cabe preguntarse, ¿y usted?\n\nFuriosamente encolerizado,\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1531;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the fearsome Jomsvikings in their adventures, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les terrifiants Jomsvikings dans leurs aventures, même si cela implique qu'il n'héritera jamais.;Mein [GetFromRelation] [From.GetTitledFirstName] will sich den gefürchteten Jomswikingern bei ihren Abenteuern anschließen, obwohl er dadurch auf ewig enterbt wird.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los temibles Jomsvikings en sus aventuras, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_1541;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our fight for the glory of the Old Gods! You have my friendship, as well as that of both gods and priesthood. May the gods smile on you.\nFor the Allfather!\n\nWarchief [target_grandmaster.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous sera d'une grande aide dans notre combat à la gloire des anciens dieux !\nAcceptez notre reconnaissance, ainsi que celle des dieux et du clergé. Puissent les dieux vous protéger.\n\nGloire à Odin, le Père de tout !\nChef de guerre [target_grandmaster.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende ist uns eine große Hilfe in unserem Kampf für den Ruhm der Alten Götter! Euch gehört meine Freundschaft und auch die der Götter und Priester. Mögen die Götter Euch wohlgesonnen sein.\nFür den Allvater!\n\nKriegshäuptling [target_grandmaster.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra lucha por la gloria de los antiguos dioses! Tiene mi amistad, así como la de los dioses y del sacerdocio. Que los dioses le sonrían.\n¡Por el Creador!\n\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1553;Mighty [Root.GetTitledFirstName], the Jomsviking brotherhood has need of another base from which to strike at the weak followers of the lesser gods. I understand that there is a suitable location in your demesne, in [target_province.GetName]. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nGlory to Odin!\n\nWarchief [target_grandmaster.GetFirstName];Grandiose [Root.GetTitledFirstName], la fraternité Jomsviking a besoin d'une nouvelle base d'où frapper les faibles disciples des dieux inférieurs. Nous croyons savoir qu'il existe un emplacement approprié pour cela sur votre territoire de [target_province.GetName].\nNous sommes prêts à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nGloire à Odin !\nChef de guerre [target_grandmaster.GetFirstName];Mächtiger [Root.GetTitledFirstName], die Bruderschaft der Jomswikinger braucht eine weitere Basis für ihren Kampf gegen die schwachen Anhänger der geringeren Götter. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Festung zu errichten.\nRuhm sei Odin!\n\nKriegshäuptling [target_grandmaster.GetFirstName];;Poderoso [Root.GetTitledFirstName], la hermandad Jomsviking precisa otra base desde la que atacar a los débiles seguidores de los dioses menores. Tengo conocimiento de que hay un lugar apropiado en su heredad, en [target_province.GetName]. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir una fortaleza allí.\n¡Gloria a Odín!\n\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1554;The Jomsvikings have constructed a castle in [Root.GetName]!;Les Jomsvikings ont édifié un château en [Root.GetName] !;Die Jomswikinger haben in [Root.GetName] eine Burg errichtet!;;¡Los Jomsvikings han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1561;Great [Root.PrimaryTitle.GetRulerTitle], your wrath is misdirected! The Order serves the gods faithfully, but, one has to wonder, do you?\n\n[From.Religion.GetRandomGodNameCap] curse you!,\n\nWarchief [From.GetFirstName];Konungar [Root.PrimaryTitle.GetRulerTitle], cet acte est complètement injustifié ! La fraternité sert les dieux avec ferveur, mais votre acte pose une question : êtes-vous un vrai nordique, ou un simple pillard ?\n\nQue [From.Religion.GetRandomGodName] nous venge !\nChef de guerre [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Euer Zorn ist fehlgeleitet! Der Orden dient treu den Göttern, doch man muss sich fragen, ob Ihr das auch tut!\n\n[From.Religion.GetRandomGodNameCap] soll Euch verfluchen!\n\nKriegshäuptling [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡su ira está mal encaminada! La Orden sirve fielmente a los dioses, pero cabe preguntarse, ¿y usted?\n\n¡Que [From.Religion.GetRandomGodNameCap] le maldiga!\n\nJefe Guerrero [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1609;The Brotherhood has worked tirelessly to protect Christian holy sites and relics in the Holy Land ever since it was first founded in 313, when the Edict of Milan legalized Christendom throughout the Roman Empire. Until recently, the Brotherhood consisted of ordained clergy who maintained and safeguarded these religious sites through largely peaceful means.\n\nAs the winds of change sweep across the world, this holy order has now become increasingly militarized and their ranks have grown dramatically to include professional soldiers as well. They have reaffirmed their dedication to protect the Holy Land from heathen invaders, but this pledge has now extended to include the defense of all of Orthodox Christendom.;La Confrérie du Saint-Sépulcre a travaillé sans relâche pour protéger les lieux et les reliques sacrés chrétiens en Terre sainte depuis sa fondation en 313, date à laquelle l'Édit de Milan légalisa le christianisme dans tout l'Empire romain.\nJusqu'à une date récente, l'Ordre était constitué de membres ordonnés du clergé qui entretenaient et protégeaient ces sites religieux principalement par des moyens pacifiques.\n\nCependant, le monde a changé, et cet ordre est devenu de plus en plus militarisé, comportant désormais des soldats professionnels dans ses rangs. Il a réaffirmé son dévouement à la protection de la Terre sainte contre les envahisseurs païens, mais ce serment s'étend désormais également à la défense de toute la chrétienté orthodoxe.;Seit ihrer Gründung im Jahr 313, als durch das Mailänder Edikt das Christentum im Römischen Reich legalisiert wurde, arbeitet die Bruderschaft unermüdlich für die Bewahrung und den Schutz der heiligen Stätten der Christenheit und ihrer Reliquien im Heiligen Land. Bis vor Kurzem waren ausschließlich ordinierte Kleriker Mitglieder der Bruderschaft und sie schützten die heiligen Stätten überwiegend mit friedlichen Mitteln.\n\nIn jüngster Zeit aber ist sie zunehmend militarisiert worden und nahm viele Berufssoldaten in ihre Reihen auf. Sie haben ihre Verpflichtung zum Schutz der Heiligen Stätten vor heidnischen Eroberern erneuert, doch das Gelübde erstreckt sich nun auf die Verteidigung des gesamten Orthodoxen Christentums. ;;La Hermandad ha trabajado incansablemente para proteger los santos lugares cristianos y sus reliquias en la Tierra Santa desde su fundación en el año 313, cuando el Edicto de Milán legalizó la cristiandad en todo el Imperio Romano. Hasta hace poco, la Hermandad consistía en un clero ordenado que mantenía y salvaguardaba estos lugares religiosos principalmente a través de medios pacíficos.\n\nCon los nuevos aires que soplan por el mundo, esta orden santa se ha ido militarizando y sus filas han crecido de forma espectacular, incluyendo también soldados profesionales. Han reafirmado su dedicación a proteger la Tierra Santa de los invasores paganos, pero este compromiso se ha ampliado y ahora comprende la defensa de toda la cristiandad ortodoxa.;;;;;;;;;x
EVTDESC_SOA_1631;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Brotherhood of the Holy Sepulchre in their struggle against the infidel, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre la Confrérie du Saint-Sépulcre dans sa lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation] [From.GetTitledFirstName] will sich der Bruderschaft des Heiligen Grabes in ihrem Kampf gegen die Ungläubigen anschließen, obwohl er dadurch auf ewig enterbt wird.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a la Hermandad del Santo Sepulcro en la lucha contra los infieles, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_1653;Most righteous [Root.GetTitledFirstName], the Brotherhood needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], l'Ordre a besoin de nouveaux châteaux afin de lever des troupes et de générer les revenus nécessaires à son fonctionnement. Il nous a été signalé que vous possédiez un emplacement approprié sur votre domaine, à [target_province.GetName] pour être exact.\nNous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nPax Christi,\nGrand Maître [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Bruderschaft braucht weitere Burgen zur Ausbildung ihrer Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Festung zu errichten.\nDer Friede des Herrn sei mit Euch,\n\nGroßmeister [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], la Hermandad necesita más castillos para entrenar tropas y obtener ingresos para sostenerse. Ha llegado a mi conocimiento que hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\nPax Christi,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1654;The Brotherhood of the Holy Sepulchre has constructed a castle in [Root.GetName]!;Les chevaliers du Saint-Sépulcre ont construit un château en [Root.GetName] !;Die Bruderschaft des Heiligen Grabes hat eine Burg in [Root.GetName] errichtet!;;¡La Hermandad del Santo Sepulcro ha construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1661;Your majesty, this antagonism is completely unwarranted! The Brotherhood serves Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! La Confrérie sert le Christ, mais certains se posent la question : vous, le servez-vous ?\n\nVeuillez agréer l'expression de notre colère et de notre tristesse,\nGrand maître [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig ungerechtfertigt! Unser Orden dient dem Herrn, doch man muss sich fragen, tut Ihr das auch?\n\nIn Zorn und Trauer,\n\nGroßmeister [From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! La Hermandad sirve a Cristo, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1709;The Knights of Saint Anthony come from one of the oldest chivalric orders in the world. In 370, disciples of Anthony the Hermit founded the Order of Saint Anthony under the patronage of the Emperor of Ethiopia.\n\nAlthough they have kept a low profile for many centuries, this holy order has now resurfaced as a powerful force. Their stated purpose is to protect [Root.Religion.GetName] Christians from all those who would seek them harm, and to purge the land of infidels and heretics wherever they may be found.;Les chevaliers de l'Ordre de Saint Antoine sont issus de l'un des plus anciens ordres de chevalerie au monde. En 370, des disciples d'Antoine l'Ermite fondèrent l'Ordre de Saint Antoine sous le patronage de l'empereur d'Éthiopie.\n\nMême si cet ordre a su se montrer discret durant de nombreux siècles, il apparaît désormais comme une force puissante dont le but annoncé est de protéger les chrétiens [Root.GetReligionMascPl] de ceux qui leur voudraient du mal et d'expulser tous les infidèles et hérétiques qu'ils trouveront.;Die Ritter des Heiligen Antonius sind einer der ältesten Ritterorden, gegründet im Jahr 370 von Schülern des Heiligen Antonius, dem Einsiedler unter dem Patronat des Kaisers von Äthiopien.\n\nObwohl sie viele Jahrhunderte lang kaum aktiv waren, haben sie sich jetzt als starke Macht neu formiert, mit dem erklärten Ziel, [Root.Religion.GetName]e Christen vor allen zu schützen, die ihnen übelwollen, und das Land von Ketzern und Ungläubigen zu säubern, wo immer die sich auch zeigen sollten.;;Los Caballeros de San Antonio provienen de una de las órdenes de caballería más antiguas del mundo. En el 370, los discípulos de Antonio el Ermitaño fundaron la Orden de San Antonio bajo el patrocinio del emperador de Etiopía.\n\nA pesar de que se han mantenido fuera de la escena pública durante muchos siglos, esta orden santa ha salido ahora a la luz como fuerza poderosa. Su propósito declarado es proteger a los cristianos [Root.Religion.GetName] de todos aquellos que pretendan causarles mal y purgar la tierra de infieles y herejes, dondequiera que se encuentren.;;;;;;;;;x
