religion_adventuring;Daring;Hardiesse;Kühnheit;;Atrevido;;;;;;;;;x
religion_stable_desc;It is blasphemous to doubt the legitimacy of a ruler who has come to power under the favor of the gods. He should be shown immediate loyalty by his subjects.;C'est blasphématoire de douter de la légitimité d'un seigneur qui est venu au pouvoir par la faveur des dieux. Il devrait recevoir une loyauté sans faille de la part de ses sujets.;Es ist blasphemisch an der Legitimität eines Herrschers zu zweifeln, der durch die Gunst der Götter an die Macht gekommen ist. Seine Untertanen sollten ihm unverzüglich die nötige Loyalität erweisen.;;Es blasfemo dudar de la legitimidad de un gobernante que ha llegado al poder por el favor de los dioses. Sus súbditos deben mostrarle lealtad inmediata.;;;;;;;;;x
religion_stable_feature;Rulers do not receive Short Reign penalty;Les seigneurs ne reçoivent pas de pénalité de règne court;Herrscher erhalten keine Strafen auf kurze Herrschaftszeit;;Los gobernantes no reciben penalización por reinado corto;;;;;;;;;x
religion_syncretic;Syncretism;Syncrétisme;Synkretismus;;Sincretismo;;;;;;;;;x
religion_syncretic_desc;The wisest amongst us should be allowed to study other faiths and learn more about the people around us.;Les plus sages d'entre nous devraient être autorisés à étudier d'autres croyances et en apprendre davantage sur les gens autour de nous.;Dem weisesten unter uns sollte erlaubt sein, andere Glaubensrichtungen zu studieren und mehr über die Menschen um uns herum zu erfahren.;;A los más sabios entre nosotros se les debe permitir estudiar otras religiones y aprender más sobre la gente que nos rodea.;;;;;;;;;x
religion_syncretic_feature;Rulers can gain Sympathy towards another religious group;Les seigneurs peuvent avoir de la sympathie envers un autre groupe religieux;Herrscher können Sympathie gegenüber einer anderen Religionsgruppe gewinnen;;Los gobernantes pueden ganar simpatía hacia otro grupo religioso;;;;;;;;;x
religion_temporal_head;Temporal;Temporelle;Weltlich;;Temporal;;;;;;;;;x
religion_temporal_head_desc;Secular and spiritual powers are inextricably bound. It is pointless to divide them between two offices.;Les pouvoirs séculier et spirituel sont inextricablement liés. Il n'y a pas de raison de les séparer en deux fonctions.;Weltliche und geistige Kräfte sind untrennbar miteinander verbunden. Es ist sinnlos, sie unter zwei Ämtern aufzuteilen.;;Los poderes seglares y espirituales están inextricablemente ligados y no tiene sentido dividirlos entre dos cargos.;;;;;;;;;x
religion_theocratic_head;Hierocratic;Hiérocratique;Hierokratisch;;Jerárquica;;;;;;;;;x
religion_theocratic_head_desc;A High Priest should be given complete control over all spiritual matters, so that the gods may be pleased with the proper rituals.;Un grand prêtre devrait avoir un contrôle complet sur toutes les questions spirituelles, afin que les dieux puissent être satisfaits avec des rituels appropriés.;Ein Hohepriester sollte die vollständige Kontrolle über alle spirituellen Angelegenheiten erhalten, damit die Götter durch die richtigen Rituale zufrieden gestellt werden.;;Un Sumo Sacerdote debe tener control completo sobre todos los asuntos espirituales, para satisfacer a los dioses con los rituales apropiados.;;;;;;;;;x
religion_warlike;Warmongering;Belliciste;Kriegslustig;;Belicista;;;;;;;;;x
religion_warlike_desc;Our only way forward is paved with the skulls of our enemies! Only by showing their bravery in battle the faithful can hope to be rewarded in the afterlife!;Le seul chemin possible est celui pavé avec les crânes de nos ennemis ! C'est seulement en montrant leur bravoure dans la bataille que les fidèles peuvent espérer être récompensés dans la vie après la mort !;Es gibt nur einen Weg nach vorne und der ist mit den Schädeln unserer Feinde gepflastert! Nur wenn wir unseren Mut im Kampf zeigen, können die Gläubigen daran hoffen im Jenseits belohnt zu werden!;;¡Solo hay un camino hacia adelante, y está empedrado con los cráneos de nuestros enemigos! ¡Solo conseguiremos una recompensa en la otra vida mostrando valentía en el combate!;;;;;;;;;x

feature_disorganized;Disorganized;Désorganisée;Unorganisiert;;Desorganizado;;;;;;;;;x
feature_primitive;Primitive;Primitive;Primitiv;;Primitivo;;;;;;;;;x
feature_shamanic;Shamanic;Chamanique;Schamanisch;;Chamánico;;;;;;;;;x
feature_uncertain;Uncertain;Incertaine;Unsicher;;Incierto;;;;;;;;;x
