#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC69000;The lifestyle of a childless courtier has made me suspect that he fancies other men!;Compte tenu de la vie qu'il mène, je soupçonne un courtisan sans enfant de préférer les autres hommes !;Die Lebensweise eines kinderlosen Höflings lässt mich vermuten, dass er Männern zugeneigt ist!;;¡Sospecho que un cortesano que no tiene hijos se siente atraído por otros hombres!;;;;;;;;;x
EVTDESC69052;I have to trust Marshal [Root.job_marshal.GetTitledFirstName] to train my troops and to be able to suppress revolts but [Root.job_marshal.GetSheHe] has not proved to be adept in those manners. [Root.job_marshal.GetTitledFirstName] have to shape up or I need to find another Marshal.;Je dois faire confiance au maréchal, [Root.job_marshal.Get_le_TitledFirstName], pour entraîner mes troupes et mater les révoltes, mais [Root.job_marshal.GetIlElle] ne semble pas être à la hauteur. [Root.job_marshal.Get_Le_TitledFirstName] doit se ressaisir, à défaut de quoi, il me faudra trouver un autre maréchal.;Ich muss darauf vertrauen können, dass Marschall [Root.job_marshal.GetTitledFirstName] meine Truppen ausbilden und Revolten niederschlagen kann, aber [Root.job_marshal.GetSheHe] hat sich in diesen Belangen als unerfahren herausgestellt. [Root.job_marshal.GetTitledFirstName] muss sich bessern, sonst ist es an der Zeit, einen anderen Marschall finden.;;Debo confiar en el Alguacil [Root.job_marshal.GetTitledFirstName] para entrenar a mis tropas y sofocar revueltas pero [Root.job_marshal.GetSheHe] no ha demostrado su experiencia en estas materias. [Root.job_marshal.GetTitledFirstName] debe mejorar o buscaré a otro Alguacil.;;;;;;;;;x
EVTDESC69053;I know I have failed [From.GetTitledFirstName]'s expectations for what a Marshal should be able to do, but if only [From.GetSheHe] could give me a chance I would show [From.GetHerHim] that I do not lack in martial skill!;En tant que maréchal, je sais que je n'ai pas répondu aux attentes [From.Get_du_TitledFirstName], mais si seulement [From.GetIlElle] pouvait me donner ma chance, je lui montrerais que j'ai de réelles compétences martiales !;Ich weiß, dass ich [From.GetTitledFirstName]s Erwartungen dessen, was ein Marschall zu können hat, nicht entspreche. Wenn [From.GetSheHe] mir aber eine Chance gäbe, würde ich [From.Getihmihr] zeigen, dass es mir nicht an Kriegskunstfähigkeit mangelt!;;¡Sé que no he cumplido las expectativas de [From.GetTitledFirstName] respecto a lo que debería hacer un Alguacil, pero si [From.GetSheHe] me diese una oportunidad le demostraría que no me falta habilidad militar!;;;;;;;;;x
EVTDESC69054;I sent Steward [Root.job_treasurer.GetTitledFirstName] to oversee construction in a county - and the building fell apart almost instantly. Then I sent him to collect taxes in one of the richest provinces and [Root.job_treasurer.GetSheHe] returned with much less than I had anticipated. [Root.job_treasurer.GetTitledFirstName] clearly lacks the stewardship skill needed to perform even the simplest of tasks!;J'ai demandé à l'intendant, [Root.job_treasurer.Get_le_TitledFirstName], de superviser une construction - et le bâtiment s'est effondré presque instantanément. Puis, je lui ai demandé de percevoir un impôt dans une des plus riches provinces et [Root.job_treasurer.GetIlElle] est de retour avec beaucoup moins que prévu. [Root.job_treasurer.GetIlElleCap] ne dispose pas de suffisamment de compétences d'intendance pour mener à bien les missions les plus simples !;Ich schickte Kämmerer [Root.job_treasurer.GetTitledFirstName] zur Bauaufsicht in eine Provinz - und das Gebäude fiel fast augenblicklich zusammen. Dann schickte ich ihn zum Steuern eintreiben in eine der reichsten Provinzen, und [Root.job_treasurer.GetSheHe] kehrte mit viel weniger zurück, als ich erwartet hatte. [Root.job_treasurer.GetTitledFirstName] mangelt es selbst zur Ausführung der einfachsten Aufgaben an Verwaltungsfähigkeit!;;Envié al Mayordomo [Root.job_treasurer.GetTitledFirstName] a supervisar la construcción en una provincia y el edificio se vino abajo casi de inmediato. Luego le mandé a recaudar impuestos en una de las provincias más ricas y [Root.job_treasurer.GetSheHe] volvió con mucho menos de lo esperado. ¡[Root.job_treasurer.GetTitledFirstName] carece de la responsabilidad necesaria para realizar incluso la tarea más sencilla!;;;;;;;;;x
EVTDESC69055;It was not my fault the builders had used inferior materials for the building, nor that the locals managed to swindle us on most of the taxes. Still, my liege [From.GetTitledFirstName] aren't too happy with me as a Steward and I do not blame him.;Les ouvriers ont utilisé de piètres matériaux et les locaux n'ont pas versé les impôts escomptés, mais je n'en suis pas responsable. Cela étant, m[From.GetOnA] [From.GetLordLady] lige, [From.Get_le_TitledFirstName], remet en cause mes compétences d'intendant et je peux le comprendre.;Dass die Baumeister schlechte Materialien für das Gebäude nahmen, war nicht mein Fehler, und auch nicht, dass uns die Einheimischen uns um den Großteil der Steuern betrogen. Trotzdem ist mein Lehnsherr [From.GetTitledFirstName] mit mir als Kämmerer nicht besonders zufrieden, und ich kann es ihm nicht verübeln.;;No es culpa mía que los constructores usaran materiales de baja calidad, ni que los lugareños lograsen engañarnos en la mayoría de los tributos. Aun así, mi señor [From.GetTitledFirstName] no está satisfecho de mi trabajo y no le culpo.;;;;;;;;;x
EVTDESC69056;An efficient Spymaster must be able to uncover plots. Spymaster [Root.job_spymaster.GetTitledFirstName] did not even manage to uncover a plot which was being planned right under [Root.job_spymaster.GetHerHis] nose!;Un maître-espion digne de ce nom doit être capable de déjouer les complots. Le maître-espion, [Root.job_spymaster.Get_le_TitledFirstName], n'a même pas remarqué le complot qui se tramait sous son nez !;Ein effizienter Hofspitzel muss in der Lage sein, Verschwörungen aufzudecken. Hofspitzel [Root.job_spymaster.GetTitledFirstName] schaffte dies nicht einmal mit einer Verschwörung, die direkt vor [Root.job_spymaster.GetHerHis]er Nase stattfand!;;Un buen Jefe de espías debe ser capaz de descubrir complots. ¡El Jefe de espías [Root.job_spymaster.GetTitledFirstName] ni siquiera logró descubrir un complot que se planeó ante sus narices!;;;;;;;;;x
EVTDESC69057;I was so ashamed when the plot unfurled in front of my nose when I hadn't even noticed that something was going on. It was right of [From.GetTitledFirstName] to chastise me, but still, it hurt...;J'ai éprouvé une telle honte en apprenant que le complot s'était joué sous mon nez sans que je m'en aperçoive. Bien que justifiées, les critiques [From.Get_du_TitledFirstName] sont difficiles à encaisser...;Als sich die Verschwörung direkt vor meiner Nase entfaltete, war meine Scham grenzenlos: Ich hatte nichts davon bemerkt. [From.GetTitledFirstName]s Schelte war gerechtfertigt, schmerzte aber trotzdem ...;;Me sentí avergonzado cuando el complot se descubrió ante mis narices sin haberme dado cuenta de nada. [From.GetTitledFirstName] tuvo razón al reprenderme, pero aun así duele...;;;;;;;;;x
EVTDESC69058;It seems to me [Root.job_spiritual.GetTitledFirstName] isn't as pious as [Root.job_spiritual.GetSheHe] claims to be. Instead of improving relations with the [Root.Religion.GetName] Church, [Root.job_spiritual.GetTitledFirstName] managed to make an utter fool out of [Root.job_spiritual.GetHerselfHimself] and, indirectly, me!;[Root.job_spiritual.Get_Le_TitledFirstName] ne me semble pas aussi pieu[Root.job_spiritual.GetXSe] qu'[Root.job_spiritual.GetIlElle] le prétend. Au lieu d'améliorer nos relations avec l'église [Root.Religion.GetName], [Root.job_spiritual.Get_le_TitledFirstName] a réussi à se tourner en ridicule, et moi-même, par la même occasion !;[Root.job_spiritual.GetTitledFirstName] scheint mir doch nicht so fromm zu sein, wie [Root.job_spiritual.GetSheHe] zu sein behauptet. Anstatt die Beziehungen zur [Root.Religion.GetName]en Kirche zu verbessern, machte [Root.job_spiritual.GetTitledFirstName] [Root.job_spiritual.GetHerselfHimself] völlig zum Narren, und damit indirekt auch mich!;;Creo que [Root.job_spiritual.GetTitledFirstName] no tiene tanta devoción como dice. ¡En lugar de mejorar las relaciones con la iglesia [Root.Religion.GetName], [Root.job_spiritual.GetTitledFirstName] se comportó como si fuera idiota e, indirectamente, me hizo quedar mal!;;;;;;;;;x
EVTDESC69059;[Root.GetTitledFirstName] was a bit too harsh when [Root.GetSheHe] chastised me for ruining the relations with the local clergy! Although, I admit, I should probably have chosen less unconventional ways of assuring their support...;[Root.Get_Le_TitledFirstName] a fait preuve de dureté en me reprochant d'avoir réduit à néant les relations avec le clergé local ! Certes, je le reconnais, j'aurais dû mieux m'y prendre pour m'assurer de son soutien...;[Root.GetTitledFirstName] war ein bisschen zu grob, als [Root.GetSheHe] mich für die Ruinierung der Beziehungen zum hiesigen Klerus schalt! Ich gebe aber zu, dass ich zur Sicherung seiner Unterstützung auf weniger unkonventionelle Mittel hätte zurückgreifen sollen ...;;¡[Root.GetTitledFirstName] me reprendió con dureza por arruinar las relaciones con el clero local! Aunque debo admitir que debería haber elegido modos menos singulares para lograr su apoyo...;;;;;;;;;x
EVTDESC69060;The lack of piety I have observed in one of the courtiers makes me worried. I wouldn't want to accuse anyone of not being a good Christian, but if my suspicions are correct then something needs to be done!;Le manque de piété d'une personne de ma cour m'inquiète. Je n'aime guère devoir accuser quelqu'un de ne pas être un bon chrétien, mais si mes soupçons s'avèrent exacts, il me faut agir !;Mich sorgt der Mangel an Pietät, den ich bei einem der Höflinge beobachten konnte. Ich möchte niemand beschuldigen, kein guter Christ zu sein, aber wenn meine Vermutungen zutreffen, dann muss etwas unternommen werden!;;Me preocupa la falta de devoción de un cortesano. ¡No me gustaría acusar a nadie de no ser un buen cristiano, pero si mis sospechas se confirman habrá que hacer algo!;;;;;;;;;x
EVTDESC69061;Religion has never been one of my great strengths, I do believe in a God but I have trouble accepting all the rituals and demands the priests of the [Root.Religion.GetName] faith feel necessary. [From.GetTitledFirstName] confronted me about this, I hadn't even realized my lack of piety was so noticeable.;La religion n'a jamais été un de mes points forts. Je crois en un Dieu, mais j'ai du mal à me conformer aux exigences des représentants [Root.GetReligionMascPl]. [From.Get_Le_TitledFirstName] a souhaité que je m'en explique. Je n'avais pas réalisé que mon manque de piété était si visible.;Religion war noch nie eine meiner Stärken. Ich glaube zwar an einen Gott, aber ich kann mich nicht mit den Ritualen und Forderungen abfinden, welche die [Root.Religion.GetName]en Priester für notwendig erachten. [From.GetTitledFirstName] hat mich deswegen konfrontiert. Mir war nicht gewahr, dass mein Mangel an Pietät derart offensichtlich ist.;;La religión nunca ha sido uno de mis puntos fuertes, creo en Dios pero me cuesta aceptar los rituales y exigencias que los curas de la fe [Root.Religion.GetName] creen necesarios. [From.GetTitledFirstName] me interrogó a este respecto, no me había percatado de que mi falta de devoción era tan evidente.;;;;;;;;;x
EVTDESC69062;All those rituals and demands the priests of the [Root.Religion.GetName] Church feel necessary to prove one's piety is pure nonsense. Despite my feelings about those unnecessary, empty gestures I have always been careful to not show my lack of piety, but perhaps not careful enough. If I don't pay [From.GetTitledFirstName] fifty gold [From.GetSheHe] will expose my lack of faith to everyone!;Toutes les exigences des représentants de l'église [Root.Religion.GetName] pour prouver sa piété n'ont pas de sens. En dépit du fait que je juge tout cela inutile, j'ai toujours eu l'impression de faire attention à ne pas afficher mon manque de piété, mais peut-être pas assez. À défaut de verser cinquante pièces d'or [From.Get_au_TitledFirstName], [From.GetIlElle] révélera à tout le monde mon manque de foi !;All diese Rituale und Forderungen, welche die Priester der [Root.Religion.GetName]en Kirche zum Beweis für die Pietät der Gläubigen für notwendig erachten, sind purer Blödsinn. Trotz meiner Gefühle über diese unnötigen, leeren Gesten habe ich mich stets bemüht, meinen Mangel an Pietät nicht zu zeigen. Vielleicht war ich dabei nicht vorsichtig genug. Wenn ich [From.GetTitledFirstName] nicht fünfzig Goldstücke zahle, wird [From.GetSheHe] meinen mangelnden Glauben publik machen!;;Todos esos rituales y exigencias que creen preceptivos los curas de la iglesia [Root.Religion.GetName] son absurdos. A pesar de lo que pienso de esas ceremonias sin sentido siempre he procurado no demostrar mi falta de devoción, pero parece que no lo he logrado. ¡Si no entrego a [From.GetTitledFirstName] cincuenta monedas, denunciará públicamente mi falta de devoción!;;;;;;;;;x
EVTDESC69064;Why will you burn in hell?', my child asked me. The rumors of my lack of piety had obviously spread throughout the castle and now even my children have heard about it.;Pourquoi brûleras-tu en enfer ?, m'a demandé mon enfant. Les rumeurs sur mon manque de piété ont gagné tout le château et maintenant, même mes enfants sont au courant.;"Warum wirst du im Höllenfeuer brennen?", fragte mich mein Kind. Die Gerüchte über meine mangelnde Pietät hatten sich offensichtlich in der gesamten Burg verbreitet. Jetzt hatten selbst meine Kinder davon gehört.;;'¿Por qué arderás en el infierno?' me preguntó mi hijo. Los rumores sobre mi falta de devoción se han extendido a todo el castillo e incluso mi hijo los ha oído.;;;;;;;;;x
EVTDESC69065;Now even the Pope has heard about my lack of piety! Officially, the Pope sent the legate to make sure the bonds between the Pope and the [Root.Religion.GetName] Church in [Root.Location.GetName] is still strong despite my lack of piety but unofficially, the legate was there to give me a stern speech about my lack of faith.;Le Pape a eu vent de mon manque de piété ! Officiellement, ce légat a été envoyé pour pérenniser les liens entre le Pape et l'église [Root.Religion.GetName] de [Root.Location.GetName] et ce, malgré mon manque de piété, mais officieusement, sa venue avait pour objectif de me faire des remontrances sur mon manque de foi.;Jetzt hat selbst der Papst von meiner mangelnden Pietät erfahren! Offiziell schickte er seinen Legaten zur Prüfung, ob die Bande zwischen ihm und der [Root.Religion.GetName]en Kirche in [Root.Location.GetName] trotz meiner mangelnden Pietät immer noch stark ist, aber inoffiziell sollte mir der Legat wegen meines mangelndes Glaubens ernsthaft ins Gewissen reden.;;¡Ahora hasta el Papa conoce mi falta de devoción! Oficialmente, el Papa envió al legado para garantizar la solidez de los vínculos entre aquel y la iglesia [Root.Religion.GetName] de [Root.Location.GetName] a pesar de mi falta de devoción, pero extraoficialmente el legado vino a reñirme por mi falta de fe.;;;;;;;;;x
EVTDESC69066;Now even the Caliph has heard about my lack of piety! The Caliph's messenger was there to give me a stern speech about my lack of faith and to make sure the bonds between the Caliph and the [Root.Religion.GetName] Church in [Root.Location.GetName] is still strong despite my lack of piety.;Même le Calife a entendu parler de mon manque de piété ! Il a envoyé un messager me délivrer un discours sévère quant à ma foi défaillante et pour s'assurer que les liens qui existent entre lui et les religieux [Root.GetReligionMascPl] en [Root.Location.GetName] sont toujours aussi forts malgré mon laisser-aller.;Nun hat sogar der Kalif von meinem Mangel an Frömmigkeit erfahren! Der Gesandte des Kalifen kam, um mir eine Standpauke über meinen fehlenden Glauben zu halten, und um sicherzustellen, dass das Band zwischen dem Kalifen und der [Root.Religion.GetName]en Kirche in [Root.Location.GetName] weiterhin stark ist, trotz meiner mangelnden Frömmigkeit.;; Incluso hasta el califa ha oído acerca de mi falta de piedad. El mensajero del califa vino a darme reprenderme por mi falta de fe y para asegurarse de que los lazos entre el califa y la Iglesia de [Root.Religion.GetRandomGodName] en [Root.Location.GetName] se mantienen fuertes a pesar de mi falta de piedad.;;;;;;;;;x
EVTDESC69070;The man is a coward, that's for certain! He can't fight, shadows and loud noises frighten him and blood makes him faint.;De toute évidence, cet homme est un lâche ! Il est incapable de se battre... Les ombres, les bruits le terrifient et la vue du sang le fait vaciller.;Der Mann ist ein Feigling - das ist sicher! Er kann nicht kämpfen, vor Schatten und lauten Geräuschen hat er Angst, und beim Anblick von Blut kippt er aus den Schuhen ...;;¡El hombre es un cobarde, eso seguro! No lucha, las sombras y los ruidos le asustan y se desmaya al ver sangre.;;;;;;;;;x
EVTDESC69071;I gave a small shriek when [From.GetTitledFirstName] touched my arm, which didn't really help when I tried to defend myself from [From.GetHerHis] accusations about my cowardice...;J'émis un petit cri lorsque [From.Get_le_TitledFirstName] toucha mon bras, ce qui ne m'aida pas vraiment lorsque je dus me défendre contre ses accusations de couardise...;Ich gab einen kleinen Schrei von mir, als [From.GetTitledFirstName] meinen Arm berührte. Das war nicht sehr hilfreich für die Verteidigung gegen [From.GetHerHis]en Vorwurf, ich sei ein Feigling...;;Emití un pequeño grito cuando [From.GetTitledFirstName] tocó mi brazo, lo que en realidad no me ayudó a defenderme de sus acusaciones de cobardía...;;;;;;;;;x
EVTDESC69072;'Fifty gold', [From.GetTitledFirstName] told me.\n'Fifty gold or I tell everyone what a coward you are...';Cinquante pièces d'or, m'a dit [From.Get_le_TitledFirstName].\n'Cinquante pièces d'or ou je dis à tout le monde combien vous êtes lâche...';"Fünfzig Goldstücke", sagte mir [From.GetTitledFirstName].\n"Fünfzig Goldstücke, oder ich werde jedermann sagen, was für ein Feigling Ihr seid ...";;'Cincuenta monedas', [From.GetTitledFirstName] me dijo. \n'Cincuenta monedas o le contaré a todos lo cobarde que eres...';;;;;;;;;x
EVTDESC69074;The soldiers watched me while I practised with my sword and one of them asked when I had finished why I was taking unnecessary risks when practising with the sword.;Les soldats m'ont observé[Root.Get_E] alors que je maniais l'épée et au terme de mon entraînement, l'un d'eux m'a demandé pourquoi je prenais tous ces risques inutiles.;Die Soldaten sahen mir bei meinen Schwertkampfübungen zu. Nachdem ich fertig war, fragte mich einer von ihnen, warum ich beim Üben mit dem Schwert unnötige Risiken einginge.;;Los soldados me observaban mientras practicaba con la espada y al acabar uno de ellos me preguntó por qué me arriesgaba innecesariamente al practicar.;;;;;;;;;x
EVTDESC69075;Women laugh behind your back', someone told me.\n'Women laugh behind your back because of your reputation of being a coward'.;Les femmes se moquent de vous, m'a lancé quelqu'un.\n 'Les femmes se moquent de vous, car vous avez la réputation d'être lâche.';"Hinter Eurem Rücken gackern die Frauenzimmer", sagte mir jemand.\n"Das Weibervolk lacht hinter Eurem Rücken, weil Ihr den Ruf eines Feiglings habt".;;'Las mujeres se ríen de ti', me dijo alguien.\n'Las mujeres se ríen de ti por tu reputación de cobarde'.;;;;;;;;;x
EVTDESC69076;I have finally proven my bravery!;J'ai réussi à prouver ma bravoure !;Endlich habe ich meine Tapferkeit bewiesen!;;¡Por fin he demostrado mi valor!;;;;;;;;;x
EVTDESC69080;Everyone at court believes I am a sodomite!;Tous les courtisans pensent que je m'adonne à la sodomie !;Alle am Hof glauben, dass ich ein Sodomit bin!;;¡Toda la corte cree que soy un sodomita!;;;;;;;;;x
EVTDESC69081;Everyone at court believes that my sister and I has an incestuous affair!;Tous les courtisans pensent que ma soeur et moi entretenons une relation incestueuse !;Alle am Hof glauben, dass ich mit meiner Schwester eine blutschänderische Beziehung führe!;;¡Toda la corte cree que mi hermana y yo tenemos una relación incestuosa!;;;;;;;;;x
EVTDESC69082;My wife and I have been unable to conceive a child, and now everyone believes I am impotent!;Mon épouse et moi ne parvenons pas à concevoir un enfant et maintenant, tout le monde pense que je suis impuissant !;Mein Frau und ich konnten noch kein Kind zeugen, und jetzt glauben alle, ich sei impotent!;;¡Mi esposa y yo no podemos tener hijos y ahora todos creen que soy impotente!;;;;;;;;;x
EVTDESC69083;Rumours at the court suggests that I have been unfaithful and committed adultery with one of the ladies.;Selon certaines rumeurs, j'aurais été infidèle et eu une aventure avec une des courtisanes.;Gerüchten am Hof zufolge war ich untreu und habe mit einer der Hofdamen Ehebruch begangen.;;Se rumorea en la corte que he cometido adulterio con una de las damas.;;;;;;;;;x
EVTDESC69084;My harmless experiments and interest in science has led to rumors erupting in court about me being an occultist!;Mes petites expériences et mon intérêt pour la science sont à l'origine de rumeurs m'accusant d'occultisme !;Meine harmlosen Experimente und mein Interesse an der Wissenschaft haben am Hof zu Gerüchten geführt, ich sei ein Okkultist.;;¡Mis inofensivos experimentos y mi interés por la ciencia han provocado rumores en la corte de que soy un ocultista!;;;;;;;;;x
EVTDESC69085;[From.GetTitledFirstName]'s distrust in me as [From.GetHerHis] [Root.GetChancellorName] has made everyone in court dislike me!;Le fait que [From.Get_le_TitledFirstName] ne me fasse pas confiance en tant que [Root.GetChancellorName] a poussé tous les courtisans à ne plus m'apprécier !;[From.GetTitledFirstName]s Misstrauen in mich als [Root.GetChancellorName] hat dazu geführt, dass mich niemand am Hof mehr mag!;;¡La desconfianza de [From.GetTitledFirstName] en mi labor como [Root.GetChancellorName] ha causado que toda la corte me deteste!;;;;;;;;;x
EVTDESC69086;[From.GetTitledFirstName]'s distrust in me as [From.GetHerHis] Marshal has made everyone in court dislike me!;Le fait que [From.Get_le_TitledFirstName] ne me fasse pas confiance en tant que maréchal a poussé tous les courtisans à ne plus m'apprécier !;[From.GetTitledFirstName]s Misstrauen in mich als Marschall hat dazu geführt, dass mich niemand am Hof mehr mag!;;¡La desconfianza de [From.GetTitledFirstName] en mi labor como Alguacil ha causado que toda la corte me deteste!;;;;;;;;;x
EVTDESC69087;[From.GetTitledFirstName]'s distrust in me as [From.GetHerHis] Steward has made everyone in court dislike me!;Le fait que [From.Get_le_TitledFirstName] ne me fasse pas confiance en tant qu'intendant a poussé tous les courtisans à ne plus m'apprécier !;[From.GetTitledFirstName]s Misstrauen in mich als Kämmerer hat dazu geführt, dass mich niemand am Hof mehr mag!;;¡La desconfianza de [From.GetTitledFirstName] en mi labor como Mayordomo ha causado que toda la corte me deteste!;;;;;;;;;x
EVTDESC69088;[From.GetTitledFirstName]'s distrust in me as [From.GetHerHis] Spymaster has made everyone in court dislike me!;Le fait que [From.Get_le_TitledFirstName] ne me fasse pas confiance en tant que maître-espion a poussé tous les courtisans à ne plus m'apprécier !;[From.GetTitledFirstName]s Misstrauen in mich als Hofspitzel hat dazu geführt, dass mich niemand am Hof mehr mag!;;¡La desconfianza de [From.GetTitledFirstName] en mi labor como Jefe de espías ha causado que toda la corte me deteste!;;;;;;;;;x
EVTDESC69089;[From.GetTitledFirstName]'s distrust in me as [From.GetHerHis] [From.GetLordSpiritualName] has made everyone in court dislike me!;Le fait que [From.Get_le_TitledFirstName] ne me fasse pas confiance en tant que [From.GetLordSpiritualName] me vaut l'antipathie de tous les membres de la cour !;[From.GetTitledFirstName]s Misstrauen mir gegenüber als [From.GetHerHis] [From.GetLordSpiritualName] hat dazu geführt, dass mich niemand am Hof mehr mag!;;¡La desconfianza de [From.GetTitledFirstName] en mi labor como [From.GetLordSpiritualName] ha causado que toda la corte me deteste!;;;;;;;;;x
EVTDESC69090;Somehow the rumors at court is all about me lacking piety!;À la Cour, les rumeurs vont bon train sur mon manque de piété !;Irgendwie drehen sich die Gerüchte am Hof nur darum, dass es mir an Pietät mangelt!;;¡Todos los rumores de la corte hablan de mi falta de devoción!;;;;;;;;;x
EVTDESC69091;Everybody 'knows' I am a big, fat coward!;Tout le monde 'pense' je suis lâche !;Alle "wissen", dass ich ein riesiger Hasenfuß bin!;;¡Todos 'saben' que soy un gran cobarde!;;;;;;;;;x
EVTDESC69095;It seems to me [Root.job_spiritual.GetTitledFirstName] isn't as pious as [Root.job_spiritual.GetSheHe] claims to be. Instead of improving relations with the imams, [Root.job_spiritual.GetTitledFirstName] managed to make an utter fool out of [Root.job_spiritual.GetHerselfHimself] and, indirectly, me!;J'ai l'impression que [Root.job_spiritual.Get_le_TitledFirstName] n'adopte pas un comportement aussi pieux qu'[Root.job_spiritual.GetIlElle] le prétend. Au lieu d'améliorer les rapports avec les imams, [Root.job_spiritual.Get_le_TitledFirstName] a réussi à se faire passer pour un imbécile fini et, indirectement, moi aussi !;Es scheint mir, als wäre [Root.job_spiritual.GetTitledFirstName] nicht so fromm, wie [Root.job_spiritual.GetSheHe] es immer behauptet. Statt die Beziehungen zu den Imamen zu verbessern, hat es [Root.job_spiritual.GetTitledFirstName] geschafft, [Root.job_spiritual.GetHerselfHimself] vor ihnen zum Narren zu machen - und indirekt auch vor mir!;;Pareciera que la devoción de [Root.job_spiritual.GetTitledFirstName] no es tan grande como dice. En lugar de mejorar las relaciones con los imanes, [Root.job_spiritual.GetTitledFirstName] hizo el ridículo, e indirectamente, me dejó en ridículo a mí.;;;;;;;;;x
EVTDESC69096;[Root.GetTitledFirstName] was a bit too harsh when [Root.GetSheHe] chastised me for ruining the relations with the imams! Although, I admit, I should probably have chosen less unconventional ways of assuring their support...;[Root.Get_Le_TitledFirstName] a fait preuve d'une trop grande intolérance lorsqu'[Root.GetIlElle] m'a puni pour avoir détérioré nos rapports avec les imams ! Cependant, j'admets que j'aurais dû choisir des moyens plus conformistes pour m'assurer leur soutien...;[Root.GetTitledFirstName] war etwas zu barsch, als [Root.GetSheHe] mich für die Zerstörung der Beziehungen zu den Imamen schalt! Auch wenn ich zugegebenermaßen vermutlich weniger kontroverse Wege hätte wählen sollen, um ihre Unterstützung zu sichern...;;[Root.Liege.GetTitledName] tuvo una actitud un tanto severa cuando me recriminó por haber arruinado las relaciones con los imanes. Aunque, debo admitirlo, creo que debí haber elegido maneras menos convencionales para asegurarme su apoyo...;;;;;;;;;x
EVTDESC69100;The lack of piety I have observed in one of the courtiers makes me worried. I wouldn't want to accuse anyone of not being a good Muslim, but if my suspicions are correct then something needs to be done!;Le manque de piété que j'ai pu observer chez l'un des membres de la cour m'inquiète. Loin de moi l'envie d'accuser quiconque d'être un mauvais musulman, mais si mes soupçons sont confirmés, alors il faudra réagir !;Der Mangel an Frömmigkeit, den ich bei einem der Höflinge beobachten konnte, beunruhigt mich. Ich möchte niemanden bezichtigen, kein guter Moslem zu sein, aber sollte mein Verdacht richtig sein, muss etwas getan werden!;;Me preocupa la falta de piedad que he observado en uno de mis cortesanos. No quisiera acusar a alguien de ser un mal musulmán, pero si mis sospechas son correctas, entonces se debe hacer algo al respecto.;;;;;;;;;x
EVTDESC69101;Faith has never been one of my great strengths, I do believe in Allah but I have trouble accepting all the rituals and demands the imams feel necessary. [From.GetTitledFirstName] confronted me about this, I hadn't even realized my lack of piety was so noticeable.;La foi n'a jamais été l'un de mes points forts. Je crois en Dieu mais je trouve superflus tous les rituels et toutes les exigences des imams. [From.Get_Le_TitledFirstName] m'a reproché ce comportement, et je n'avais pas conscience que mon manque de piété était aussi évident.;Der Glaube war nicht immer meine größte Stärke, ich glaube an Allah, aber ich habe Probleme damit, all die Rituale und Forderungen zu akzeptieren, die die Imame als nötig erachten. [From.GetTitledFirstName] konfrontierte mich damit - mir war nicht bewusst, dass meine mangelnde Frömmigkeit so offensichtlich ist.;;La fe nunca ha sido una de mis grandes fortalezas. Creo en Alá, pero encuentro dificultad en aceptar los rituales y exigencias que los imanes consideran necesarios. [From.GetTitledFirstName] peleó conmigo al respecto, y no me había dado cuenta de que mi falta de piedad era tan evidente.;;;;;;;;;x
EVTDESC69102;All those rituals and demands the imams feel necessary to prove one's piety is pure nonsense. Despite my feelings about those unnecessary, empty gestures I have always been careful to not show my lack of piety, but perhaps not careful enough. If I don't pay [From.GetTitledFirstName] fifty gold [From.GetSheHe] will expose my lack of faith to everyone!;Tous ces rituels et exigences des imams pour prouver notre foi sont insensés. Même si je considère tous ces artifices comme inutiles, j'ai toujours pris soin de dissimuler mon manque de piété. Peut-être pas suffisamment, cependant. Si je ne donne pas 50 pièces d'or [From.Get_au_TitledFirstName], [From.GetIlElle] dénoncera mon manque de dévotion aux yeux de tous !;All diese Rituale und Forderungen, die die Imame als nötig erachten, um Frömmigkeit zu beweisen, sind absoluter Unsinn. Trotz meiner Meinung darüber war ich immer vorsichtig, was meine Frömmigkeit betraf, aber vielleicht nicht vorsichtig genug. Wenn ich [From.GetTitledFirstName] nicht 50 Gold zahle, wird [From.GetSheHe] meinen fehlenden Glauben öffentlich machen!;;Todos esos rituales y exigencias que los imanes consideran necesarios para probar la piedad de uno no tienen sentido. A pesar de esos gestos innecesarios y vacíos, siempre he sido prudente para no mostrar mi falta de piedad, pero tal vez no lo suficiente. Si no le pago a cincuenta de oro, [From.GetTitledFirstName] expondrá ante todos mi falta de fe.;;;;;;;;;;x

EVTOPTA69000;Ask him if he really desires men rather than women;Je lui demande s'il préfère les hommes aux femmes.;Er soll sich erklären, ob er wirklich Männer Frauen vorzieht;;Pregúntale si prefiere los hombres a las mujeres;;;;;;;;;x
EVTOPTA69001;What nerve! I love women, not men!;Quel culot ! J'aime les femmes, pas les hommes !;Unverschämtheit! Ich liebe Frauen, nicht Männer!;;¡Qué descaro! ¡Me gustan las mujeres, no los hombres!;;;;;;;;;x
EVTOPTA69002;I cannot let anyone believe that!;Je ne peux pas laisser croire une chose pareille !;Niemand darf auf diesen Gedanken kommen!;;¡No puedo dejar que nadie crea eso!;;;;;;;;;x
