# Slots
ceremonial_torso;Ceremonial Gown;Robe de cérémonie;Zeremonielles Kleid;;Vestimenta ceremonial;;;;;;;;;x
crown_wrapped_helmet;Shrouded Helmet;Casque enveloppé;Umnebelter Helm;;Casco entelado;;;;;;;;;x
crown_wrapped_helmet_desc;A knightly helmet bearing the sign of a renown holy order.;Un casque de chevalier portant le signe d'un saint ordre renommé.;Ein ritterlicher Helm mit dem prestigeträchtigen Wappen des Heiligen Ordens.;;Un casco de caballero que lleva el emblema de una famosa orden sagrada.;;;;;;;;;x
crown_zun_fylkir;Solar Crown;Couronne solaire;Sonnenkrone;;Corona solar;;;;;;;;x
crown_zun_fylkir_desc;The sacred crown worn by the Sun-King.;La couronne sacrée portée par le Roi-Soleil.;Die heilige Krone des Sonnenkönigs.;;La corona sagrada que lleva el Rey Sol.;;;;;;;;x
crusade_saintly_bone_description_placeholder;Bone of [Root.GetRandomSaintName], given to [Root.GetTitledName] by [k_papacy.Holder.GetTitledName] for [Root.GetHerHis] participation in the Crusade for [crusade_title.GetName].;Os de [Root.GetRandomSaintName], donné [Root.Get_au_TitledName] par [k_papacy.Holder.Get_le_TitledName] pour sa participation à la croisade pour [crusade_title.Get_le_Realm].;Knochen von [Root.GetRandomSaintName], der [Root.GetTitledName] von [k_papacy.Holder.GetTitledName] für [Root.GetHerHis] Teilnahme am Kreuzzug um [crusade_title.GetName] überreicht wurde.;;Hueso de [Root.GetRandomSaintName] entregado por [k_papacy.Holder.GetTitledName] a [Root.GetTitledName] por participar en la cruzada por [crusade_title.GetName].;;;;;x
crusade_saintly_bone_name_placeholder;Bone of [Root.GetRandomSaintName];Os de [Root.GetRandomSaintName];Knochen von [Root.GetRandomSaintName];;Hueso de [Root.GetRandomSaintName];;;;;x
crusade_saintly_finger_description_placeholder;Finger-bone of [Root.GetRandomSaintName], given to [Root.GetTitledName] by [k_papacy.Holder.GetTitledName] for [Root.GetHerHis] participation in the Crusade for [crusade_title.GetName].;Phalange de [Root.GetRandomSaintName], donné [Root.Get_au_TitledName] par [k_papacy.Holder.Get_le_TitledName] pour sa participation à la croisade pour [crusade_title.Get_le_Realm].;Fingerknochen von [Root.GetRandomSaintName], der [Root.GetTitledName] von [k_papacy.Holder.GetTitledName] für [Root.GetHerHis] Teilnahme am Kreuzzug um [crusade_title.GetName] überreicht wurde.;;Dedo de [Root.GetRandomSaintName] entregado por [k_papacy.Holder.GetTitledName] a [Root.GetTitledName] por participar en la cruzada por [crusade_title.GetName].;;;;;x
crusade_saintly_finger_name_placeholder;Finger of [Root.GetRandomSaintName];Doigt de [Root.GetRandomSaintName];Finger von [Root.GetRandomSaintName];;Dedo de [Root.GetRandomSaintName];;;;;x
crusade_saintly_skull_description_placeholder;Skull of [Root.GetRandomSaintName], given to [Root.GetTitledName] by [k_papacy.Holder.GetTitledName] for [Root.GetHerHis] participation in the Crusade for [crusade_title.GetName].;Crâne de [Root.GetRandomSaintName], donné [Root.Get_au_TitledName] par [k_papacy.Holder.Get_le_TitledName] pour sa participation à la croisade pour [crusade_title.Get_le_Realm].;Schädel von [Root.GetRandomSaintName], der [Root.GetTitledName] von [k_papacy.Holder.GetTitledName] für [Root.GetHerHis] Teilnahme am Kreuzzug um [crusade_title.GetName] überreicht wurde.;;Cráneo de [Root.GetRandomSaintName] entregado por [k_papacy.Holder.GetTitledName] a [Root.GetTitledName] por participar en la cruzada por [crusade_title.GetName].;;;;;x
crusade_saintly_skull_name_placeholder;Skull of [Root.GetRandomSaintName];Crâne de [Root.GetRandomSaintName];Schädel von [Root.GetRandomSaintName];;Cráneo de [Root.GetRandomSaintName];;;;;x
crusade_saintly_tongue_description_placeholder;Tongue of [Root.GetRandomSaintName], given to [Root.GetTitledName] by [k_papacy.Holder.GetTitledName] for [Root.GetHerHis] participation in the Crusade for [crusade_title.GetName].;Langue de [Root.GetRandomSaintName], donnée [Root.Get_au_TitledName] par [k_papacy.Holder.Get_le_TitledName] pour sa participation à la croisade pour [crusade_title.Get_le_Realm].;Zunge von [Root.GetRandomSaintName], der [Root.GetTitledName] von [k_papacy.Holder.GetTitledName] für [Root.GetHerHis] Teilnahme am Kreuzzug um [crusade_title.GetName] überreicht wurde.;;Lengua de [Root.GetRandomSaintName] entregada por [k_papacy.Holder.GetTitledName] a [Root.GetTitledName] por participar en la cruzada por [crusade_title.GetName].;;;;;x
crusade_saintly_tongue_name_placeholder;Tongue of [Root.GetRandomSaintName];Langue de [Root.GetRandomSaintName];Zunge von [Root.GetRandomSaintName];;Lengua de [Root.GetRandomSaintName];;;;;x
culinary_diary;A Culinary Diary, by [From.OriginalOwner.GetFirstName];Un journal culinaire, par [From.OriginalOwner.GetFirstName];Kulinarisches Tagebuch;;Un diario culinario, de [From.OriginalOwner.GetFirstName];;;;;;;;;x
culinary_diary_desc;This weathered book is crammed full of daily notes from the life of [From.OriginalOwner.GetTitledFirstName]. It appears every meal was meticulously documented. Some ask why. Others, why not?;Ce livre regorge de notes quotidiennes de la vie [From.OriginalOwner.Get_du_TitledFirstName]. Chaque repas a été méticuleusement documenté. Certains se demandent pourquoi, tandis que d'autres se disent « Pourquoi pas ? ».;Dieses verwitterte Buch ist voller alltäglicher Notizen aus dem Leben von [From.OriginalOwner.GetTitledFirstName]. Es scheint, dass jede Mahlzeit sorgfältig dokumentiert wurde. Manche frage "warum?", andere "warum nicht?".;;Este libro desgastado está abarrotado de notas diarias de la vida de [From.OriginalOwner.GetTitledFirstName]. Parece que todas las comidas se documentaron meticulosamente. Algunos se preguntan por qué y otros que por qué no.;;;;;;;;;x
cup_of_jamshid;Cup of Jamshid;Coupe de Jamshid;Becher von Jamschid;;Copa de Jamshid;;;;;;;;;x
cup_of_jamshid_desc;This golden cup, supported by a winged lion, is said to contain an elixir of immortality. It can also be used to divine deep truths both in this world and the Seven Heavens.;Cette coupe d'or, soutenue par un lion ailé, est réputée contenir un élixir d'immortalité. Elle peut aussi être utilisée pour deviner des vérités profondes à la fois dans ce monde et dans les Sept Cieux.;In diesem goldenen Pokal, dessen Fuß aus einem geflügelten Löwen besteht, soll sich das Elixier der Unsterblichkeit befinden. Es kann ebenfalls verwendet werden, um Einblick in die tieferliegende Wahrheit dieser Welt und der Sieben Himmel zu erhalten.;;Se dice que esta copa de oro, con una base con forma de león alado, contiene un elixir de inmortalidad. También puede usarse para adivinar verdades ocultas tanto en este mundo como en los siete cielos.;;;;;;;;;x
cursed_diamond;Cursed Diamond;Diamant maudit;Verfluchter Diamant;;Diamante maldito;;;;;;;;;x
cursed_diamond_crown;Cursed Diamond Crown;Couronne de diamant maudit;Verfluchte Diamantkrone;;Corona con diamante maldito;;;;;;;;;x
cursed_diamond_crown_desc;A beautiful crown encrusted with a huge and glorious diamond. Its owner seems to be continuously plagued by a ceaseless series of unfortunate events.;Une belle couronne incrustée d'un énorme et glorieux diamant. Son propriétaire semble être constamment en proie à une série incessante d'événements malheureux.;Eine hübsche Krone mit einem riesigen, berühmten Diamanten. Sein Besitzer wird offenbar von einer nicht enden wollenden Serie unglücklicher Zufälle heimgesucht.;;Una hermosa corona con un diamante enorme y magnífico incrustado. Su dueño parece hundirse en una serie constante de desgracias.;;;;;;;;;x
cursed_diamond_desc;A beautiful and glorious diamond of legendary proportions, its owner seems to be continuously plagued by a ceaseless series of unfortunate events.;Un beau et glorieux diamant aux proportions légendaires. Son propriétaire semble être constamment en proie à une série incessante d'événements malheureux.;Ein schöner, berühmter Diamant legendärer Größenordnung. Sein Besitzer wird offenbar von einer nicht enden wollenden Serie unglücklicher Zufälle heimgesucht.;;Un hermoso y glorioso diamante de proporciones legendarias, cuyo dueño parece hundirse en una serie constante de desgracias.;;;;;;;;;x
cyrus_cylinder;Cyrus Cylinder;Le cylindre de Cyrus;Cyrus' Zylinder;;Cilindro de Ciro;;;;;;;;;x
cyrus_cylinder_desc;A clay cylinder praising the Persian King Cyrus as the rightful conqueror and benefactor of Babylon, and describing how he rebuilt its walls, temples and sanctuaries. An inspiration for all Persian rulers!;Un cylindre d'argile louant le roi persan Cyrus en tant que vainqueur légitime et bienfaiteur de Babylone, et décrivant comment il a reconstruit ses murs, temples et sanctuaires. Une inspiration pour tous les seigneurs persans !;Ein Tonzylinder, auf dem der persische König Cyrus als rechtmäßiger Eroberer und Wohltäter Babylons gepriesen wird. Er beschreibt, wie er die Mauern der Stadt, die Tempel und Heiligtümer wieder aufbaute. Eine Quelle der Inspiration für jeden persischen Herrscher!;;Un cilindro de barro que elogia al rey persa Ciro como el legítimo conquistador y benefactor de Babilonia, y que describe cómo reconstruyó sus muros, templos y santuarios. ¡Una inspiración para cualquier gobernante persa!;;;;;;;;;x
dagger_of_glory;Dagger of Glory;Dague de gloire;Dolch des Ruhmes;;Daga de la gloria;;;;;;;;;x
dagger_of_glory_2;Dagger of Glory;Dague de gloire;Dolch des Ruhms;;Daga de Gloria;;;;;;;;;x
dagger_of_glory_2_desc;This dagger, with its gilded blade and heavily adorned hilt, radiates power. Gleaming rubies, garnets and diamonds are placed in swirling patterns along the hilt.;Cette dague, avec sa lame dorée et sa poignée lourdement ornée, rayonne de puissance. Des rubis brillants, des grenats et des diamants sont placés dans des motifs tourbillonnants le long de la poignée.;Dieser Dolch mit vergoldeter Klinge und prunkvoll geschmücktem Knauf strahlt Macht aus. Entlang des Hefts sind in Wirbelmustern gleißende Rubine, Granate und Diamanten angebracht.;;Esta daga, con su cuchilla dorada y una empuñadura ricamente adornada, irradia poder. Rubíes brillantes, granates y diamantes están dispuestos en remolinos a lo largo de la empuñadura.;;;;;;;;;x
dagger_of_glory_desc;This dagger, with its gilded blade and heavily adorned hilt, radiates power. Gleaming rubies, garnets and diamonds are placed in swirling patterns along the hilt.;Cette dague, avec sa lame dorée et sa poignée lourdement ornée, rayonne de puissance. Des rubis brillants, des grenats et des diamants sont placés dans des motifs tourbillonnants le long de la poignée.;Dieser Dolch mit vergoldeter Klinge und prunkvoll geschmücktem Knauf strahlt Macht aus. Entlang des Hefts sind in Wirbelmustern gleißende Rubine, Granate und Diamanten angebracht.;;Esta daga, con su cuchilla dorada y una empuñadura ricamente adornada, irradia poder. Rubíes brillantes, granates y diamantes están dispuestos en remolinos a lo largo de la empuñadura.;;;;;;;;;x
davids_harp;King David's Harp;Harpe du Roi David;König Davids Harfe;;Arpa de David;;;;;;;;;x
davids_harp_desc;King David of Israel, before becoming a king, was an accomplished harpist at the court of King Saul. This is the harp he played, and even after all these centuries it is still a remarkable instrument.;Le roi David d'Israël, avant de devenir roi, était un harpiste accompli à la cour du roi Saül. C'est la harpe qu'il a jouée, et même après tous ces siècles, c'est un instrument remarquable.;Bevor König David von Israel König wurde, spielte er als Harfenspieler am Hofe von König Saul diese Harfe. Auch nach all den Jahrhunderten, die seither vergangen sind, ist sie noch immer ein bemerkenswertes Instrument.;;El rey David de Israel, antes de convertirse en rey, era un consumado arpista en la corte del rey Saúl. Esta es el arpa que tocó, e incluso después de todos estos siglos, sigue siendo un instrumento extraordinario.;;;;;;;;;x
davids_sling;King David's Sling;La Fronde du roi David;König Davids Schleuder;;Honda de David;;;;;;;;;x
davids_sling_desc;The sling that King David used to fell the giant Goliath in personal combat.;La fronde que le roi David a utilisée pour faire tomber le géant Goliath dans un duel.;Die Schleuder, mit der König David im Zweikampf den Riesen Goliath fällte.;;La honda que el rey David usó para derrotar al gigante Goliat en un enfrentamiento cuerpo a cuerpo.;;;;;;;;;x
derafsh_kaviani;Derafsh Kaviani;Derafsh Kaviani;Derafsch Kaviani;;Derafsh Kaviani;;;;;;;;;x
derafsh_kaviani_desc;The gem-encrusted and richly-decorated leather banner of Persia. Legend has that it was made from the spear and apron of the heroic blacksmith Kaveh.;La bannière de la Perse, faite en cuir richement décoré et incrustée de pierres précieuses. La légende veut qu'elle ait été faite à partir de la lance et du tablier de l'héroïque forgeron Kaveh.;Das edelsteinbesetzte, reich verzierte Banner von Persien. Der Legende nach wurde es aus dem Speer und der Schürze des legendären Schmiedes Kaveh hergestellt.;;El estandarte de Persia, de piel, con gemas incrustadas y profusamente decorado. Según la leyenda, se construyó con la lanza y el mandil del valeroso herrero Kaveh.;;;;;;;;;x
decent_cookbook;Decent Cookbook;Petit livre de cuisine;Angemessenes Kochbuch;;Libro de cocina decente;;;;;;;;;x
decent_cookbook_desc;While critiqued as a little brief, the content of this book might allow an administrator to keep better track of edible resources, as well as their kitchen staff.;Bien que considéré comme un peu court, le contenu de ce livre pourrait permettre à un administrateur d'assurer un meilleur suivi des ressources comestibles, aussi bien que de leur personnel de cuisine.;Wenn auch als ein wenig schroff kritisiert, erlaubt der Inhalt dieses Buches einem Verwalter eine bessere Buchführung über essbare Ressourcen und Küchenutensilien.;;Aunque criticado por ser un poco breve, el contenido de este libro puede permitir a un administrador controlar mejor los recursos comestibles, además del personal de cocina.;;;;;;;;;x
elaborate_danda;Jeweled Danda;Danda orné de pierreries;Juwelenbesetztes Danda;;Danda enjoyado;;;;;;;;;x
elaborate_danda_desc;The Danda is the scepter by which Krishna steers his herd of cows – it is the handle of the Chatri, or royal umbrella, and it is the foremost symbol of kingship. This particular Danda is unusually ancient and elaborate.;Le Danda est le sceptre avec lequel Krishna dirige son troupeau de vaches, c'est le manche du Chatri, l'ombrelle royale, et il est le premier symbole de la royauté. Ce Danda est inhabituellement vieux et élaboré.;Das Danda ist das Zepter, mit dem Krishna seine Kühe leitet. Es ist das Zeichen von Chatri, des königlichen Schirms, und das primäre Symbol der Könige. Dieses Danda ist ungewöhnlich alt und fein gearbeitet.;;El Danda es el cetro con el que Krishna guía a sus vacas. Es el mango del Chatri, el paraguas real, y el mayor símbolo de realeza. Es extraordinariamente antiguo y elaborado.;;;;;;;;;x
emerald_scepter;Emerald Scepter;Sceptre d'émeraude;Smaragdzepter;;Cetro de esmeraldas;;;;;;;;;x
emerald_scepter_2;Emerald Scepter;Sceptre d'émeraude;Smaragdszepter;;Cetro esmeralda;;;;;;;;;x
emerald_scepter_2_desc;This scepter is famed for the unusual amount and quality of emeralds adorning it. The origins of the stones are shrouded in mysteries, the tales are as numerous as the stars.;Ce sceptre est célèbre pour la quantité et la qualité inhabituelles des émeraudes qui l'ornent. Les origines des pierres sont enveloppées de mystères, les récits sont aussi nombreux que les étoiles.;Dieses Zepter ist für die ungewöhnliche Menge und Qualität der Smaragde berühmt, mit denen es geschmückt ist. Die Herkunft dieser Edelsteine ist in Geheimnisse gehüllt und die Geschichten darüber sind so zahlreich wie die Sterne.;;"Este cetro es famoso por la inusual cantidad y calidad de las esmeraldas que lo adornan. La procedencia de las piedras está rodeada de misterio hay tantas historias al respecto como estrellas.";;;;;;;;;x
emerald_scepter_desc;This scepter is famed for the unusual amount and quality of emeralds adorning it. The origins of the stones are shrouded in mysteries, the tales are as numerous as the stars.;Ce sceptre est célèbre pour la quantité et la qualité inhabituelles des émeraudes qui l'ornent. Les origines des pierres sont enveloppées de mystères, les récits sont aussi nombreux que les étoiles.;Dieses Zepter ist für die ungewöhnliche Menge und Qualität der Smaragde berühmt, mit denen es geschmückt ist. Die Herkunft dieser Edelsteine ist in Geheimnisse gehüllt und die Geschichten darüber sind so zahlreich wie die Sterne.;;"Este cetro es famoso por la inusual cantidad y calidad de las esmeraldas que lo adornan. La procedencia de las piedras está rodeada de misterio hay tantas historias al respecto como estrellas.";;;;;;;;;x
emerald_tablet;Emerald Tablet;Table d'Émeraude;Smaragdtafel;;La Tabla de Esmeralda;;;;;;;;;x
emerald_tablet_desc;Said to have been written by Hermes Trismegistus himself, the Emerald Tablet supposedly holds the secret to the prima materia and its transmutation. Succeeding in deciphering its divine glyphs brings one a step closer to enlightenment and life eternal.;Écrite par Hermès Trismégiste lui-même, la Table d'Émeraude est censée contenir le secret du prima materia et sa transmutation. Quelqu'un qui réussit à déchiffrer ses glyphes divins ferait un pas de plus vers l'illumination et la vie éternelle.;Die Smaragdtafel, die angeblich von Hermes Trismegistos selbst verfasst wurde, soll das Geheimnis der Urmaterie und ihrer Transmutation enthalten. Wer ihre Glyphen zu entziffern vermag, kommt der Erleuchtung und dem ewigen Leben einen Schritt näher.;;La Tabla de Esmeralda, que algunos atribuyen a Hermes Trimegisto, tiene el propósito de revelar el secreto de la sustancia primordial y sus transmutaciones. Quien logre descifrar sus glifos divinos estará un paso más cerca de la iluminación y de la vida eterna.;;;;;;;;;x
enemy_skull;Skull of an Enemy;Crâne d'un ennemi;Schädel eines Feindes;;Cráneo de un enemigo;;;;;;;;;x
enemy_skull_barbarian;Barbarian's Skull;Crâne barbare;Schädel eines Barbaren;;Cráneo de bárbaro;;;;;;;;;x
enemy_skull_desc;There are some discolored stains to this skull, reminding anyone of the brutality its once owner suffered. They say [enemy_commander.GetBestName] had [enemy_commander.GetHerHis] head cut off completely, before [Root.GetTitledFirstName] decided to bring it home from the battle of [battlefield_location.GetName].;Il y a quelques taches décolorées sur ce crâne qui rappellent à quiconque la brutalité subie par son propriétaire. On dit que [enemy_commander.Get_only_le_Title][enemy_commander.GetBestName] a eu la tête tranchée lors de la bataille de [battlefield_location.GetName], avant que [Root.Get_le_TitledFirstName] décide de l'emmener avec [Root.GetLuiElle].;An diesem Schädel gibt es einige verfärbte Flecken, die an die Brutalität erinnern, unter denen der Besitzer einst gelitten hat. Man sagt, dass [enemy_commander.GetBestName] [enemy_commander.GetHerHis]en Kopf vollständig abgeschnitten bekommen hatte, bevor [Root.GetTitledFirstName] sich dazu entschied, ihn aus der Schlacht in [battlefield_location.GetName] zurückzubringen.;;Este cráneo tiene algunas manchas descoloridas que recuerdan a todo el mundo la brutalidad que sufrió su anterior poseedor. Dicen que [Root.GetTitledFirstName] le decapitó antes de decidirse a traerlo a casa de la batalla de [battlefield_location.GetName].;;;;;;;;;x
enemy_skull_named;[enemy_commander.GetFirstName]'s Skull;Le crâne de [enemy_commander.GetFirstName];Schädel von [enemy_commander.GetFirstName];;Cráneo de [enemy_commander.GetFirstName];;;;;;;;;x
enemy_skull_named_culture;[enemy_commander.Culture.GetName] Skull;Crâne [enemy_commander.GetCultureMasc];[enemy_commander.Culture.GetName]er Schädel;;Cráneo [enemy_commander.Culture.GetName];;;;;;;;;x
engraved_crown;Engraved crown;Couronne gravée;Gravierte Krone;;Corona grabada;;;;;;;;;x
engraved_crown_desc;This iron crown, while of a common material, is truly an impressive piece of craftsmanship with its detailed engravings.;Cette couronne, bien que créée avec des matériaux ordinaires, est vraiment une pièce d'artisanat impressionnante avec ses gravures détaillées.;Diese eiserne Krone besteht zwar aus einem sehr gewöhnlichen Material, beeindruckt aber mit ihren detaillierten Gravuren durch das handwerkliche Können, mit dem sie angefertigt wurde.;;A pesar de estar hecha de un material común como el hierro, esta corona es una obra de artesanía impresionante por sus detallados grabados.;;;;;;;;;x
engraved_dagger;Engraved Dagger;Dague gravée;Gravierter Dolch;;Daga grabada;;;;;;;;;x
engraved_dagger_desc;Intricate patterns and famous poems are engraved into the blade of this dagger. Its hilt is embroidered with silver thread and adorned with opals and pearls.;Des motifs complexes et des poèmes célèbres sont gravés dans la lame de ce poignard. Sa poignée est brodée de fil d'argent et ornée d'opales et de perles.;In die Klinge dieses Dolchs sind kunstvolle Muster und berühmte Gedichte eingraviert. Sein Heft ist mit Silberfäden verziert und mit Opalen und Perlen geschmückt.;;La hoja de esta daga está grabada con elaborados patrones y poemas famosos. Su empuñadura está bordada con hilo plateado y adornada con ópalos y perlas.;;;;;;;;;x
engraved_sword;Engraved Sword;Épée gravée;Graviertes Schwert;;Espada grabada;;;;;;;;;x
engraved_sword_desc;This sword will not bring its bearer much luck on the battlefield, but the adorned blade and gilded hilt is a beautiful sight indeed.;Cette épée n'apportera pas beaucoup de chance au porteur sur le champ de bataille, mais la lame ornée et la poignée dorée sont assurément agréables à regarder.;Dieses Schwert bringt zwar seinem Besitzer auf dem Schlachtfeld nicht viel Glück, aber die verzierte Klinge und das vergoldete Heft bieten einen herrlichen Anblick.;;Esta espada no traerá demasiada suerte a su propietario en el campo de batalla, pero su hoja adornada y empuñadura dorada son hermosas.;;;;;;;;;x
equine_maxims;Equine Maxims;Maxime équine;Redewendungen;;Equine Maxims;;;;;;;;;x
equine_maxims_desc;A manuscript full of wisdom and idioms, from 'Hold your horses!', tracing back to Roman antiquity, to the more recent and commonly used 'You can lead a horse to water, but you can't make it Pope'.;Un manuscrit plein de sagesse et d'idiomes, de « Monter sur ses grands chevaux », datant de l'antiquité romaine, aux plus récents et couramment utilisés comme « Vous pouvez mener un cheval à l'eau, mais vous ne pouvez pas en faire un pape ».;Ein Manuskript voller Weisheit und Redewendungen.;;Un manuscrito lleno de sabiduría y refranes, desde 'La suerte está echada' que se remonta a la antigua Roma, hasta el más reciente y común 'Se puede llevar un caballo al agua, pero no se le puede hacer Papa'.;;;;;;;;;x
equine_maxims_rename;Equine Maxims, in honor of [dedication_target.GetFirstName];Maxime chevaline, en l'honneur de [dedication_target.GetFirstName];Redewendungen zu Ehren von [dedication_target.GetFirstName];;Equine Maxims, en honor a [dedication_target.GetFirstName];;;;;;;;;x
equine_sequins;Equine Sequins;Paillette équine;Kleider machen Leute;;Equine Sequins;;;;;;;;;x
equine_sequins_desc;Dressing the tallest members of your aristocracy can be a challenge. This instruction manual for tailors and seamstresses will make your life easier.;Habiller les plus grands membres de votre aristocratie peut être un véritable défi. Ce manuel d'instructions pour les tailleurs et les couturières vous facilitera la vie.;Das Ankleiden des größten Aristokraten kann eine Herausforderung sein. Diese Bedienungsanleitung für Schneider und Näherinnen macht ihr Leben leichter.;;Vestir a los miembros más altos de la aristocracia puede ser un desafío. Este manual de instrucciones para sastres y costureras nos harán la vida más fácil.;;;;;;;;;x
faith_eternal;Faith Eternal;La foi éternelle;Glaube hält ewig;;Fe eterna;;;;;;;;;x
faith_eternal_desc;[From.OriginalOwner.GetTitledName] paints a glorious picture of [From.OriginalOwner.GetHerselfHimself], in this supposedly autobiographical tale of religious introspection.;[From.OriginalOwner.Get_Le_TitledName] fait un portrait élogieux d[From.OriginalOwner.GetEluiElle]-même dans ce récit dit autobiographique d'une introspection religieuse.;[From.OriginalOwner.GetTitledName] zeigt in dieser Autobiographie der religiösen Introspektion ein glorreiches Bild [From.OriginalOwner.GetHerHis]er selbst.;;[From.OriginalOwner.GetTitledName] traza un retrato glorioso de sí en esta historia supuestamente autobiográfica de reflexión religiosa.;;;;;;;;;x
famous_ancient_weapon;Ancient Rusty Weapon;Ancienne arme rouillée;Rostige antike Waffe;;Arma antigua oxidada;;;;;;;;;x
famous_ancient_weapon_desc;An ancient, but rusty weapon. It once belonged to a great hero, but is now only fit for display in a collection.;Une arme ancienne, mais rouillée. Elle appartenait jadis à un grand héros, mais est maintenant seulement apte à être exposée dans une collection.;Eine antike, aber rostige Waffe. Einst gehörte sie einem großen Helden, aber heutzutage taugt sie nur noch als Ausstellungsobjekt.;;Un arma antigua y oxidada. Perteneció a un gran héroe, pero ahora solo sirve como pieza de museo.;;;;;;;;;x
famous_arm;Arm of a [This.GetArtifactSourceCap];Le bras d'un [This.GetArtifactSource];Arm des [This.GetArtifactSourceCap];;Brazo de [This.GetArtifactSource];;;;;;;;;x
famous_arm_desc;The venerated arm of a [This.GetArtifactSource]. It once held a scepter in just rule.;Le bras vénéré d'un [This.GetArtifactSource]. Il tenait autrefois le sceptre d'un règne juste.;Der ehrwürdige Arm eines [This.GetArtifactSource]. Einst wurde von diesem das Zepter eines rechtschaffenen Herrschers gehalten.;;El brazo sagrado de un [This.GetArtifactSource]. En su día sostuvo un cetro con el que impuso su ley.;;;;;;;;;x
famous_foot;Foot of a [This.GetArtifactSourceCap];Le pied d'un [This.GetArtifactSource];Fuß des [This.GetArtifactSourceCap];;Pie de [This.GetArtifactSource];;;;;;;;;x
famous_foot_desc;The venerated foot of a [This.GetArtifactSource]. It once bore him on many long travels.;Le pied vénéré d'un [This.GetArtifactSource]. Il lui permettait autrefois de faire de longs voyages.;Der ehrwürdige Fuß eines [This.GetArtifactSource]. Einst trug er denselben auf so manch langer Reise voran.;;El pie sagrado de un [This.GetArtifactSource]. En su día realizó largos viajes.;;;;;;;;;x
famous_hand;Hand of a [This.GetArtifactSourceCap];La main d'un [This.GetArtifactSource];Hand des [This.GetArtifactSourceCap];;Mano de [This.GetArtifactSource];;;;;;;;;x
famous_hand_desc;The venerated hand of a [This.GetArtifactSource]. It once held mighty weapons, winning him great victories.;La main vénérée d'un [This.GetArtifactSource]. Elle tenait autrefois de puissantes armes, et apportait de grandes victoires.;Die ehrwürdige Hand eines [This.GetArtifactSource]. Einst führte sie mächtige Waffen, mit denen man große Siege errang.;;Mano venerada de un [This.GetArtifactSource]. En su día blandió armas poderosas que le brindaron grandes victorias.;;;;;;;;;x
famous_head;Head of a [This.GetArtifactSourceCap];La tête d'un [This.GetArtifactSource];Kopf des [This.GetArtifactSourceCap];;Cabeza de [This.GetArtifactSource];;;;;;;;;x
famous_head_desc;The venerated head of a [This.GetArtifactSource]. It once contained great wisdom.;La tête vénérée d'un [This.GetArtifactSource]. Elle contenait autrefois une grande sagesse.;Der ehrwürdige Kopf eines [This.GetArtifactSource]. Einst war er der Sitz großer Weisheit.;;La cabeza sagrada de un [This.GetArtifactSource]. En su día encerró una gran sabiduría.;;;;;;;;;x
famous_tongue;Tongue of a [This.GetArtifactSourceCap];La langue d'un [This.GetArtifactSource];Zunge des [This.GetArtifactSourceCap];;Lengua de [This.GetArtifactSource];;;;;;;;;x
famous_tongue_desc;The venerated tongue of a [This.GetArtifactSource]. It once spoke many eloquent truths.;La langue vénérée d'un [This.GetArtifactSource]. Elle aidait autrefois à prononcer des vérités avec éloquence.;Die ehrwürdige Zunge eines [This.GetArtifactSource]. Einst war sie der Ausgangspunkt vieler eloquenter Wahrheiten.;;La lengua sagrada de un [This.GetArtifactSource]. En su día proclamó muchas y elocuentes verdades.;;;;;;;;;x
fetish_of_souls;The Fetish of Souls;Le Fétiche des Âmes;Der Seelenfetisch;;El fetiche de almas;;;;;;;;;x
fetish_of_souls_desc;A piece of bark that has grown into the shape of a trio of visages. The trio's unsettling gazes pierce one's soul, almost as if some form of spirit still remains behind their eyes...;Un morceau d'écorce qui a pris la forme de plusieurs visages. Les trois regards troublants transpercent l'âme, presque comme si une certaine forme d'esprit restait derrière leurs yeux...;Ein Stück Rinde, das so gewachsen ist, dass seine Form ein Trio aus Gesichtern bildet. Der unheimliche Blick der Drei dringt dem Betrachter bis tief in die Seele, ganz so als ob hinter den Augen noch immer ein Fünkchen Leben wohnte.;;Un pedazo de corteza con la forma de tres rostros. Las inquietantes miradas del trío penetran en tu alma, casi como si existiera alguna clase de espíritu tras sus ojos...;;;;;;;;;x
fifty_shades_of_root;Fifty Nuances of [From.OriginalOwner.GetOnlyDynastyName];Cinquante nuances de [From.OriginalOwner.GetOnlyDynastyName];Nuancen von [From.OriginalOwner.GetOnlyDynastyName];;50 bobadas de [From.OriginalOwner.GetOnlyDynastyName];;;;;;;;;x
fifty_shades_of_root_desc;A book of nonsense.;Un livre absurde.;Ein Buch voller Unsinn.;;Un libro de bobadas.;;;;;;;;;x
fifty_shades_of_root_desc_rename;A book, supposedly written by [Root.GetBestName]. Critiqued by many as somewhat [Root.GetPublicOpinionOfWork].;Un livre, supposément écrit par [Root.Get_only_le_Title][Root.GetBestName]. Critiqué par beaucoup comme étant un peu [Root.GetPublicOpinionOfWork].;Ein Buch, das angeblich von [Root.GetBestName] geschrieben wurde. Von vielen als [Root.GetPublicOpinionOfWork] angesehen.;;Un libro supuestamente escrito por [Root.GetBestName]. Muchos lo critican como algo [Root.GetPublicOpinionOfWork].;;;;;;;;;x
finger_of_st_john;Finger of St. John;Le doigt de saint Jean;Finger des hl. Johannes;;Dedo de san Juan;;;;;;;;;x
