#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLEHF25200;The Arm-wrestling Challenge;Le défi du bras de fer;Die Armdrücken-Herausforderung;;El desafío del pulso;;;;;;;;x
EVTDESCHF25241;[From.GetBestName] and I spent last evening playing dice games with some of the other warriors in the main hall. Fortune did not smile to [From.GetFirstName], and by the end of the night, [From.GetSheHe] begged me to ask [From.GetHerHim] anything else rather than paying all of the debt [From.GetSheHe] had accumulated.;[From.Get_only_Le_Title][From.GetBestName] et moi avons passé hier soir à jouer aux dés avec d'autres guerriers dans la grande salle. La chance ne lui a pas souri, et à la fin de la nuit, [From.GetIlElle] m'a supplié de lui demander autre chose plutôt que de payer la totalité de la dette qu'il avait accumulée.;[From.GetBestName] und ich verbrachten die letzte Nacht mit Würfelspielen mit einigen der anderen Krieger in der Haupthalle. Das Glück war [From.GetFirstName] nicht hold und so bat [From.GetSheHe] mich am Ende der Nacht um irgendetwas anderes, nur um zu vermeiden, dass [From.GetSheHe] die angehäuften Schulden begleichen muss.;;[From.GetBestName] y yo pasamos la noche jugando a los dados con otros guerreros en el salón principal. La fortuna no sonríe a [From.GetFirstName] y al acabar la noche me suplica que le pida cualquier otra cosa en vez de pagar la deuda que ha acumulado.;;;;;;;;x
EVTDESCHF25250;Many warriors have gathered in the great hall tonight. The dinner has just started, and I already feel eager to test my mettle against one of them. It has been some time since we had a good Flyting, and there are plenty of candidates known for their crude manners and their sharp-tongue for me to choose from.;Beaucoup de guerriers se sont rassemblés dans la grande salle ce soir. Le dîner vient de commencer et je suis déjà impatient[Root.Get_E] de mettre à l'épreuve ma fougue contre l'un d'entre eux. Cela fait un certain temps que nous n'avons pas eu une bonne joute verbale et il y a beaucoup de candidats réputés pour leurs manières grossières et leur langue de vipère.;Am heutigen Abend haben sich viele Krieger in der großen Halle versammelt. Das Abendmahl hat gerade begonnen und ich warte schon sehnlichst darauf meinen Mut gegen einen von ihnen testen zu können. Es ist schon eine Weile her, dass wir einen guten Dichterwettstreit hatten und es gibt viele Kandidaten, die für ihre groben Manieren und ihre scharfe Zunge bekannt sind.;;Esta noche hay muchos guerreros reunidos en el salón principal. La cena acaba de empezar y la tengo ganas de probarme contra uno de ellos. Hace mucho desde que tuvimos un buen duelo de ingenios y hay muchos candidatos famosos por sus modales ordinarios y su lengua afilada entre los que elegir.;;;;;;;;x
EVTDESCHF25251;Right in the middle of a dinner, [From.GetTitledFirstName] calls my name from the other side of the dining hall, standing on one of the long tables. [From.GetSheHeCap] challenges me to a Flyting, encouraging me to stand up and prepare myself to be thoroughly humiliated.;Juste au milieu d'un dîner, [From.Get_le_TitledFirstName] m'appelle depuis l'autre côté de la salle à manger, debout sur l'une des longues tables. [From.GetIlElleCap] me défie à une joute verbale, m'encourageant à me lever et à me préparer à être humilié[Root.Get_E].;Mitten während des Abendessens ruft [From.GetTitledFirstName] meinen Namen von der anderen Seite des Speisesaals und steht dabei auf einem der langen Tische. [From.GetSheHeCap] fordert mich zu einem Dichterwettstreit heraus, ermutigt mich dazu aufzustehen und mich darauf vorzubereiten, gründlich gedemütigt zu werden.;;Justo en plena cena, [From.GetTitledFirstName] grita mi nombre desde el otro lado del comedor, poniéndose de pie sobre una de las mesas, desafiándome a un duelo de ingenios, animándome a prepararme para ser totalmente humillad[Root.GetOA].;;;;;;;;x
EVTDESCHF25252;[From.GetTitledFirstName] has decided to refuse my challenge. Muttering some poor excuse about not being in the mood for insulting anyone, the [From.GetManWoman] shrinks back in the crowd, amongst the derision of all the other warriors in the room.;[From.Get_Le_TitledFirstName] n'a pas relevé le défi. Murmurant la mauvaise excuse de ne pas être d'humeur pour insulter quiconque, [From.GetLLa][From.GetManWoman] recule dans la foule, sous les moqueries de tous les autres guerriers dans la salle.;[From.GetTitledFirstName] hat beschlossen meine Herausforderung abzulehnen. [From.GetSheHeCap] murmelte eine schlechte Ausrede darüber, dass er nicht in der Stimmung sei jemanden zu beleidigen und verkroch sich anschließend zum Spott aller anderen Krieger im Raum wieder in der Menge.;;[From.GetTitledFirstName] ha decidido rechazar mi desafío. Murmurando malas excusas sobre no estar de humor para insultar a nadie, vuelve con la multitud, entre la mofa de todos los demás guerreros de la sala.;;;;;;;;x
EVTDESCHF25253;[From.GetTitledFirstName] takes a last drink and throws away [From.GetHerHis] tankard. [From.GetSheHeCap] stands up in front of me, claiming that [From.GetSheHe] is ready to turn me in the laughing stock of [Root.Society.GetName].;[From.Get_Le_TitledFirstName] prend un dernier verre et jette sa chope. [From.GetIlElleCap] se lève devant moi, affirmant qu'[From.GetIlElle] est prêt[From.Get_E] à faire de moi la risée [Root.Get_du_Society].;[From.GetTitledFirstName] leert einen letzten Becher und wirft dann [From.GetHerHis]en Humpen weg. [From.GetSheHeCap] stellt sich vor mich und behauptet, dass [From.GetSheHe] dazu bereit sei mich zur Lachnummer von ganz [Root.Society.GetName] zu machen.;;[From.GetTitledFirstName] da un último trago y tira la jarra. Se levanta ante mí, afirmando que está preparad[From.GetOA] para convertirme en el hazmerreír de [Root.Society.GetName].;;;;;;;;x
EVTDESCHF25254;I stand up and shout [From.GetFirstName]'s name in the dining hall, catching many warriors' attention, and challenge [From.GetHerHim] to a Flyting. Now I only need to decide what subject will cut deeper under [From.GetFirstName]'s skin.;Je me lève et crie le nom de [From.GetFirstName] dans la salle à manger, attirant l'attention de beaucoup de guerriers, et [From.GetLeLa] défie à une joute verbale. Je n'ai plus qu'à déterminer quel sujet va [From.GetLeLa] toucher le plus vivement.;Ich stehe auf und rufe den Namen von [From.GetFirstName] durch die ganze Halle, erwecke dabei die Aufmerksamkeit vieler Krieger und fordere [From.Getihnsie] zu einem Dichterwettstreit heraus. Jetzt muss ich nur noch entscheiden, welcher Thema tiefer unter die Haut von [From.GetFirstName] gehen wird.;;Me levanto y grito el nombre de [From.GetFirstName] en el comedor, llamando la atención de muchos guerreros, desafiándo[From.GetLoLa] a un duelo de ingenios. Ahora solo necesito decidir qué asunto le irritaría más.;;;;;;;;x
EVTDESCHF25268;I lost my temper. Seeing that I was unable to rebuke [From.GetFirstName]'s insults, the crowd quickly sided with [From.GetHerHim] ensuring [From.GetHerHis] victory. As if it weren't enough, [From.GetFirstName] continued mocking me, even after I admitted defeat, reveling in shaming me for my loss!;J'ai perdu mon sang-froid. Voyant que j'étais incapable de réprimander les insultes de [From.GetFirstName], la foule s'est rapidement rangée de son côté, lui assurant la victoire. Comme si cela ne suffisait pas, [From.GetFirstName] continue à se moquer de moi, même après que j'ai admis ma défaite, se réjouissant de me couvrir de honte !;Ich habe meine Beherrschung verloren. Als die Menge sah, dass ich die Beleidigungen von [From.GetFirstName] nicht kontern konnte, stellte sich die Menge schnell auf [From.GetHerHis]e Seite und sicherte [From.GetHerHim] so den Sieg. Als ob das nicht schon genug wäre, verspottete mich [From.GetFirstName] weiter, sogar nachdem ich meine Niederlage eingestanden hatte und aufgrund meiner Niederlage beschämt war.;;Pierdo los estribos. Cuando la concurrencia ve que soy incapaz de responder a los insultos de [From.GetFirstName], se pone rápidamente de su parte, garantizándole la victoria. Como si eso no fuera poco, [From.GetFirstName] siguió burlándose de mí incluso tras admitir la derrota, disfrutando en humillarme por mi derrota.;;;;;;;;x
EVTDESCHF25269;I lost my temper. Seeing that I was unable to rebuke [From.GetFirstName]'s insults, the crowd quickly sided with [From.GetHerHim] ensuring [From.GetHerHis] victory. At the very least, after I admit defeat, [From.GetFirstName] calms me down and orders a drink for both of us, ensuring that it was all done in good fun and it was not [From.GetHerHis] intention to seriously offend me.;J'ai perdu mon sang-froid. Voyant que j'étais incapable de réprimander les insultes de [From.GetFirstName], la foule s'est rapidement rangée de son côté, ce qui lui a fait remporter la joute. Cependant, dès que j'ai admis ma défaite, [From.GetFirstName] m'a calmé et a commandé un verre pour chacun, m'assurant que c'était pour rire et que ce n'était pas son intention de m'offenser.;Ich habe meine Beherrschung verloren. Als die Menge sah, dass ich die Beleidigungen von [From.GetFirstName] nicht kontern konnte, stellte sich die Menge schnell auf [From.GetHerHis]e Seite und sicherte [From.GetHerHim] so den Sieg. Immerhin hat mich [From.GetFirstName] nach meiner Niederlage beruhigt, um sicherzustellen, dass alles nur Spaß war und es nicht die Absicht war, mich ernsthaft zu beleidigen.;;Pierdo los estribos. Cuando la concurrencia ve que soy incapaz de responder a los insultos de [From.GetFirstName], se pone rápidamente de su parte, garantizándole la victoria. Al final, tras admitir la derrota, [From.GetFirstName] me tranquiliza y encarga bebidas para los dos, asegurándome que todo fue por diversión y que no tuvo intención de ofenderme de verdad.;;;;;;;;x
EVTDESCHF25270;Perhaps I shouldn't have treated [From.GetFirstName] so poorly. Right after the game, [From.GetSheHe] swore revenge for [From.GetHerHis] humiliation and stormed off the main hall, amongst the laughter of all the other warriors.;Peut-être que je n'aurais pas dû traiter [From.GetFirstName] si mal. Juste après la joute verbale, il a juré de se venger de son humiliation et a quitté la grande salle, sous les rires de tous les autres guerriers.;Vielleicht hätte ich [From.GetFirstName] nicht so schlecht behandeln sollen. Direkt nach dem Spiel schwor [From.GetSheHe] Rache für [From.GetHerHis]e Demütigung zu üben und stürmte unter dem Lachen aller Krieger aus der Haupthalle.;;Tal vez no debí tratar tan mal a [From.GetFirstName]. Tras el juego juró vengarse por la humillación y salió corriendo del salón principal entre las risas de los demás guerreros.;;;;;;;;x
EVTDESCHF25271;Despite my show of kindness, [From.GetFirstName] refused to drink with me after the game. Instead, [From.GetSheHe] swore revenge for [From.GetHerHis] humiliation and stormed off the main hall, amongst the laughter of all the other warriors.;Malgré ma démonstration de gentillesse, [From.GetFirstName] a refusé de boire avec moi après la joute verbale. Au lieu de cela, [From.GetIlElle] a juré de se venger de son humiliation avant de partir furieu[Root.GetXSe], sous les rires des autres guerriers.;Trotzt meiner Güte weigerte sich [From.GetFirstName] nach dem Spiel etwas mit mir zu trinken. Stattdessen schwor [From.GetSheHe] Rache für [From.GetHerHis]e Demütigung zu üben und stürmte unter dem Lachen aller Krieger aus der Haupthalle.;;A pesar de mi muestra de amabilidad, [From.GetFirstName] se niega a beber conmigo tras el juego. Al contrario, juró vengarse por la humillación y salió corriendo del salón principal entre las risas de los demás guerreros;;;;;;;;x
EVTDESCHF25280;Our cellar has had a growing excess of mead for a few weeks now, to the point that I am starting to think about challenging the other warriors of the Lodge to see whom amongst them has the toughest stomach, while at the same time freeing some space and improving the fighters' morale.;Notre cave contient de plus en plus d'hydromel depuis quelques semaines, au point que je commence à penser à défier les autres guerriers de la Loge pour voir qui parmi eux a l'estomac le plus résistant, tout en libérant un peu de place et en améliorant le moral des combattants.;In unserem Keller hat sich seit einigen Wochen immer mehr Met angesammelt und mittlerweile ist der Punkt erreicht, wo es an der Zeit ist die anderen Krieger der Loge herauszufordern, um einerseits zu sehen, wer von ihnen den widerstandsfähigsten Magen hat und andererseits etwas Platz zu schaffen in die Moral der Krieger zu verbessern.;;Nuestra bodega lleva meses con un exceso de hidromiel, hasta el punto que empiezo a pensar en desafiar a los demás guerreros de la logia a ver quién tiene el estómago más fuerte, al tiempo que liberamos algo de espacio y mejoramos la moral de los luchadores.;;;;;;;;x
EVTDESCHF25281;[From.GetBestName] has decided to share a few barrels of mead to the entire congregation tonight, challenging [From.GetHerHis] fellow warriors to see which one among us will be able to drink the most without faltering.;[From.GetBestName] a décidé de partager quelques tonneaux d'hydromel avec la congrégation ce soir, défiant ses compagnons guerriers de voir lequel d'entre nous pourra boire le plus sans faiblir.;[From.GetBestName] hat beschlossen einige Fässer Met für die heutige Versammlung bereitzustellen und forderte alle [From.GetHerHis]e Kriegerbrüder zu einem Wettstreit heraus, um zu sehen, welcher von uns am meisten trinken kann und als letztes steht.;;[From.GetBestName] ha decidido compartir esta noche unos cuantos barriles de hidromiel, desafiando a sus colegas para ver quién de nosotros será capaz de beber más sin flaquear.;;;;;;;;x
EVTDESCHF25283;Several recruits accepted my challenge at the mere mention of free mead and soon the main hall is filled with cheering and clashing of tankards. The servants bring in the first barrel while everybody finds a place in the long table, eager to start.;Plusieurs recrues ont accepté mon défi à la simple mention de l'hydromel gratuit et bientôt la salle principale est remplie d'acclamations et d'entrechoquements de chopes. Les domestiques apportent le premier tonneau tandis que chaque invité trouve une place à la longue table, impatient de commencer.;Mehrere Rekruten akzeptierten meine Herausforderung bei der bloßen Erwähnung von kostenlosem Met und bald schon ist die Haupthalle mit Jubel und dem Zusammenstoßen von Humpen gefüllt. Als die Diener das erste Fass bringen, warten schon alle begierig darauf anzufangen.;;Varios reclutas han aceptado el desafío con solo mencionar el hidromiel gratis y muy pronto el salón principal está lleno de ánimos y choques de jarras. Los sirvientes traen el primer barril mientras todos ocupan un sitio en la mesa larga, ansiosos de empezar.;;;;;;;;x
EVTDESCHF25284;Several recruits accepted my challenge at the mere mention of free mead and soon the main hall is filled with cheering and clashing of tankards. The servants bring in the first barrel while we all find a place in the long table, eager to start.;Plusieurs recrues ont accepté mon défi à la simple mention de l'hydromel gratuit et bientôt la salle principale est remplie d'acclamations et d'entrechoquements de chopes. Les domestiques apportent le premier tonneau tandis que nous trouvons tous une place à la longue table, impatients de commencer.;Mehrere Rekruten akzeptierten meine Herausforderung bei der bloßen Erwähnung von kostenlosem Met und bald schon ist die Haupthalle mit Jubel und dem Zusammenstoßen von Humpen gefüllt. Als die Diener das erste Fass bringen, sind wir schon alle begierig darauf anzufangen.;;Varios reclutas han aceptado el desafío con solo mencionar el hidromiel gratis y muy pronto el salón principal está lleno de ánimos y choques de jarras. Los sirvientes traen el primer barril mientras todos ocupan un sitio en la mesa larga, ansiosos de empezar.;;;;;;;;x
EVTDESCHF25286;The first warriors have just started tapping out when a scuffle between two of the contenders quickly devolves into a large brawl. When the dust settles, there's barely anyone left standing, and most of the mead has been spilled on the floor, making it very hard for me to determine if there is any winner at all.;Les premiers guerriers ont juste commencé à abandonner quand une bagarre entre deux des concurrents se transforme rapidement en une grande rixe. Lorsque le calme revient, il n'y a presque personne qui reste debout et la majeure partie de l'hydromel a été renversée sur le sol, ce qui rend très difficile pour moi de déterminer s'il y a un quelconque gagnant.;Die ersten Krieger haben grade angefangen auszuscheiden, als ein Streit zwischen zwei Teilnehmern schnell in eine große Schlägerei eskaliert. Als sich der Staub gelegt hat ist kaum jemand übrig geblieben und der Großteil des Mets auf dem Boden verteilt, so dass es mir schwer fällt festzustellen, ob es überhaupt einen Gewinner gibt.;;Los primeros guerreros ya habían empezado a darse por vencidos cuando una disputa entre dos contendientes desemboca en una gran pelea. Cuando la situación se calma, no queda casi nadie en pie y casi todo el hidromiel se ha derramado por el suelo, poniendo muy difícil decidir si ha ganado alguien.;;;;;;;;x
EVTDESCHF25287;The first warriors have just started tapping out when a scuffle between two of the contenders quickly devolves into a large brawl. When the dust settles, there's barely anyone left standing, and most of the mead has been spilled on the floor, making it very hard for [From.GetTitledFirstName] to determine if there is any winner at all.;Les premiers guerriers ont juste commencé à abandonner quand une bagarre entre deux des concurrents se transforme rapidement en une grande rixe. Lorsque le calme revient, il n'y a presque personne qui reste debout et la majeure partie de l'hydromel a été renversée sur le sol, ce qui rend très difficile pour [From.Get_le_TitledFirstName] de déterminer s'il y a un quelconque gagnant.;Die ersten Krieger haben grade angefangen auszuscheiden, als ein Streit zwischen zwei Teilnehmern schnell in eine große Schlägerei eskaliert. Als sich der Staub gelegt hat ist kaum jemand übrig geblieben und der Großteil des Mets auf dem Boden verteilt, so dass es [From.GetTitledFirstName] schwer fällt festzustellen, ob es überhaupt einen Gewinner gibt.;;Los primeros guerreros ya habían empezado a darse por vencidos cuando una disputa entre dos contendientes desemboca en una gran pelea. Cuando la situación se calma, no queda casi nadie en pie y casi todo el hidromiel se ha derramado por el suelo, poniendo muy difícil que [From.GetTitledFirstName] pueda decidir si ha ganado alguien.;;;;;;;;x
EVTDESCHF25289;With most of the other warriors having tapped out, it looks like it is down to [warrior_lodge_drinking_finalist_1.GetFirstName] and [warrior_lodge_drinking_finalist_2.GetFirstName]. The two contenders are drinking face to face for some time, when I start noticing that [From.GetFirstName] has started to spill a suspicious amount of mead at each new round.;La plupart des autres guerriers ont abandonné et apparemment cela se jouera entre [warrior_lodge_drinking_finalist_1.GetFirstName] et [warrior_lodge_drinking_finalist_2.GetFirstName]. Les deux concurrents boivent face à face pendant un certain temps, quand je commence à remarquer que [From.GetFirstName] a commencé à déverser une quantité suspecte d'hydromel à chaque nouveau remplissage.;Da die meisten anderen Krieger bereits aufgegeben haben sieht es so aus, als wäre der Sieger [warrior_lodge_drinking_finalist_1.GetFirstName] oder [warrior_lodge_drinking_finalist_2.GetFirstName]. Die beiden Kontrahenten trinken seit einiger Zeit von Angesicht zu Angesicht, als ich bemerkte, dass [From.GetFirstName] bei jeder neuen Runde eine verdächtige Menge Met verschüttet.;;Ahora que la mayoría de los guerreros se han dado por vencidos, parece queda entre [warrior_lodge_drinking_finalist_1.GetFirstName] y [warrior_lodge_drinking_finalist_2.GetFirstName]. Los dos contendientes beben cara a cara un tiempo hasta que empiezo a darme cuenta que [From.GetFirstName] ha empezado a derramar una cantidad sospechosa de hidromiel en cada ronda.;;;;;;;;x
EVTDESCHF25290;When [From.GetFirstName] shouts my name, for a moment I think I have won the game. Unfortunately, this is not the case at all. [From.GetSheHeCap] has discovered my trick and called me out on it. Before I can try to explain myself, two warriors grab me by the arms and throw me out of the main hall.;Quand [From.GetFirstName] crie mon nom, je pense avoir gagné la partie pendant un moment. Malheureusement, ce n'est pas du tout le cas. [From.GetIlElleCap] a découvert ma ruse et m'a appelé pour ça. Avant que je puisse essayer de m'expliquer, deux guerriers m'attrapent par les bras et me jettent hors de la grande salle.;Als [From.GetFirstName] meinen Namen ruft, denke ich für einen Moment, dass ich das Spiel gewonnen habe. Leider ist das nicht der Fall. [From.GetSheHeCap] hat meinen kleinen Trick bemerkt und mich darauf angesprochen. Bevor ich auch nur versuchen kann mich zu erklären greifen mich bereits zwei Krieger an den Armen und werfen mich aus der Halle.;;Cuando [From.GetFirstName] grita mi nombre, por un momento creo haber ganado. Por desgracia, no es así, sino que ha descubierto mi truco y me desafía. Antes de poder explicarme, dos guerreros me toman por los brazos y me lanzan fuera del salón principal.;;;;;;;;x
EVTDESCHF25291;One by one, the other contenders either tap out or fall unconscious. I cannot see straight anymore and everything is blurry, but I am still standing. All of a sudden [FromFrom.GetFirstName] calls for the name of my opponent, there is a bit of a scuffle, and I am proclaimed winner. I am not exactly sure what happened, but I can hardly complain about it.;Un par un, les autres concurrents abandonnent ou tombent inconscients. Je ne vois plus clair, tout est flou, mais je suis toujours debout. Soudain, [FromFrom.GetFirstName] crie le nom de mon adversaire, s'en suit une échauffourée, et je suis proclamé[Root.Get_E] vainqueur. Je ne sais pas exactement ce qui s'est passé, mais je peux difficilement me plaindre.;Ein Teilnehmer nach dem anderen scheidet aus oder wird bewusstlos. Ich kann zwar nicht mehr gerade sehen und alles ist verschwommen, aber ich stehe noch. Plötzlich ruft [FromFrom.GetFirstName] den Namen meines Gegners, es gibt eine kleine Rauferei und ich werde zum Gewinner erklärt. Ich bin mir nicht ganz sicher, was passiert ist, aber ich kann mich kaum beschweren.;;Uno a uno, los demás contendientes, se van rindiendo o cayendo inconscientes. Ya apenas veo y todo está borroso, pero sigo en pie. De repente, [FromFrom.GetFirstName] dice el nombre de mi oponente, hay un poco de discusión y me proclaman vencedor[Root.GetXA]. No sé muy bien qué ha pasado, pero no me voy a quejar.;;;;;;;;x
EVTDESCHF25292;One by one, the other contenders either tap out or fall unconscious. I cannot see straight anymore and everything is blurry, but I am still standing. I gulp down another tankard and watch mindlessly as my last opponent falls head first on the table. While I am still processing what happened, I am proclaimed the winner of the contest amongst the cheers of the other warriors.;Un par un, les autres concurrents abandonnent ou tombent inconscients. Je ne vois plus clair, tout est flou, mais je suis toujours debout. J'engloutis une autre chope et regarde sans réfléchir mon dernier adversaire tomber la tête la première sur la table. Alors que je suis encore en train de comprendre ce qui s'est passé, je suis proclamé[Root.Get_E] vainqueur du concours sous les acclamations des autres guerriers.;Ein Teilnehmer nach dem anderen scheidet aus oder wird bewusstlos. Ich kann zwar nicht gerade sehen, aber ich stehe noch. Ich leere einen weiteren Becher und beobachte meinen Gegner, der kopfüber auf den Tisch schlägt. Während ich noch verarbeite, was passiert ist, werde ich auch schon unter dem Beifall der anderen Krieger zum Gewinner erklärt.;;Uno a uno, los demás contendientes, se van rindiendo o cayendo inconscientes. Ya apenas veo y todo está borroso, pero sigo en pie. Trago otra jarra y miro mecánicamente cómo mi último oponente cae de cabeza sobre la mesa. Mientras sigo procesando qué ha pasado, me proclaman vencedor[Root.GetXA] del concurso entre los vítores de los demás guerreros.;;;;;;;;x
EVTDESCHF25293;One by one, the contenders tap out, throw up, or pass out, leaving lesser and lesser warriors still drinking. At the end of the evening, there is only one left: [From.GetFirstName]. The crowd cheers a few times for the winner and carries [From.GetHerHim] around the hall for a while, giving [From.GetHerHim] some much needed praise.;Un à un, les concurrents abandonnent, vomissent ou s'évanouissent, laissant les guerriers restants boire encore. À la fin de la soirée, il ne reste que [From.GetFirstName]. L'assemblée applaudit plusieurs fois le vainqueur et le porte dans le couloir pendant un moment, lui donnant des éloges dont il a grand besoin.;Einer nach dem anderen scheidet aus, übergibt sich oder wird ohnmächtig. Am Ende des Abends ist nur noch einer übrig, [From.GetFirstName]. Die Menge jubelt ein paar Mal für den Gewinner, trägt [From.Getihnsie] durch die Halle und gibt [From.GetHerHim] die wohlverdiente Anerkennung.;;Uno a uno, los demás contendientes, se van rindiendo o cayendo inconscientes. Al final de la velada solo queda una persona: [From.GetFirstName]. El gentío le vitorea unas cuantas veces por ganar y le lleva un rato por el salón, dándole las alabanzas que se ha ganado.;;;;;;;;x
EVTDESCHF25294;One by one, the other contenders either tap out or fall unconscious. I am just about to raise my hand and drink another mouthful of mead when everything goes black. When I finally come back to my senses, one of the other warriors informs me that [WL_drinking_contest_winner.GetBestName] was the one to win the contest in the end.;Un par un, les autres concurrents abandonnent ou tombent inconscients. Je suis sur le point de lever la main et de boire une autre gorgée d'hydromel quand tout devient noir. Quand je reprends conscience, un guerrier m'informe que [WL_drinking_contest_winner.Get_only_le_Title][WL_drinking_contest_winner.GetBestName] a gagné le concours.;Ein Teilnehmer nach dem anderen scheidet aus oder wird bewusstlos. Ich bin gerade dabei meine Hand zu heben, um einen weiteren Schluck Met zu trinken, als alles schwarz wird. Als ich schließlich wieder zu mir komme informiert mich einer der anderen Krieger, das [WL_drinking_contest_winner.GetBestName] den Wettbewerb gewonnen hat.;;Uno a uno, los demás contendientes, se van rindiendo o cayendo inconscientes. Estoy a punto de levantar la mano y beber otro trago de hidromiel cuando todo queda a oscuras. Cuando al final vuelvo en mí, los otros guerreros me informan que al final ganó el concurso [WL_drinking_contest_winner.GetBestName].;;;;;;;;x
EVTDESCHF25295;Despite my best efforts, [WL_drinking_contest_winner.GetFirstName] is relentless, drinking tankard after tankard, leaving me well behind in the match. In the end, I am unable to even raise my arm to drink anymore, and lean on the table, conceding [WL_drinking_contest_winner.GetHerHim] victory.;Malgré mes efforts, [WL_drinking_contest_winner.GetFirstName] est implacable. [WL_drinking_contest_winner.GetIlElleCap] boit chope après chope et me laisse loin derrière dans le concours. À la fin, je suis même incapable de lever le bras pour boire et de m'appuyer sur la table, lui concédant ainsi la victoire.;Trotzt meiner Bemühungen ist lässt mich [WL_drinking_contest_winner.GetFirstName] Krug für Krug hinterher hängen. Am Ende bin ich nicht einmal mehr in der Lage meinen Arm zu heben, um einen weiteren Schluck zu trinken, lehne mich auf den Tisch und überlasse damit [WL_drinking_contest_winner.GetHerHim] den Sieg.;;A pesar de mis mejores esfuerzos [WL_drinking_contest_winner.GetBestName] es incansable, bebe una jarra tras otra, dejándome muy atrás en el concurso. Al final soy incapaz de levantar el brazo para seguir bebiendo y me recuesto sobre la mesa, otorgándole la victoria, ;;;;;;;;x
EVTDESCHF25296;Once the other warriors have finally put me down and left me to cope with the more unpleasant consequences of my victory, [From.GetBestName] [From.GetHerselfHimself] approaches me to offer [From.GetHerHis] congratulations. [From.GetSheHeCap] claims that [From.GetSheHe] was truly impressed by my resilience and would love to count a [Root.GetManWoman] like me amongst [From.GetHerHis] allies.;Alors que les autres guerriers m'ont enfin redéposé au sol et laissé faire face aux conséquences plus déplaisantes de ma vicoire, [From.Get_only_le_Title][From.GetBestName] s'approche de moi pour me féliciter. [From.GetIlElleCap] déclare avoir été vraiment impressionné[From.Get_E] par mon endurance et aimerait compter un[Root.Get_E] [Root.GetManWoman] comme moi parmi ses alliés.;Als die anderen Krieger mich schließlich runterließen und mich mit den unangenehmeren Folgen meines Sieges zurückließen, kam [From.GetBestName] zu mir, um mir [From.GetHerHis]e Glückwünsche mitzuteilen. [From.GetSheHeCap] behauptet wirklich von meiner Widerstandsfähigkeit beeindruckt gewesen zu sein und würde daher gerne jemanden wie mich als Verbündeten ansehen.;;Una vez que los guerreros me bajan y puedo hacer frente a las consecuencias más desagradables de la victoria, [From.GetBestName] en persona se me aproxima para felicitarme. Afirma que le ha impresionado mi resistencia y que le encantaría tener a alguien como yo entre sus aliados.;;;;;;;;x
EVTDESCHF25297;Unfortunately, [From.GetFirstName] was not interested in my offer. I am not sure if [From.GetSheHe] even understood what I was asking of [From.GetHerHim] in [From.GetHerHis] current state. But then again, perhaps it was a silly idea in the first place...;Malheureusement, [From.GetFirstName] n'était pas intéressé[From.Get_E] par mon offre. Je ne suis même pas sûr[From.Get_E] qu'[From.GetIlElle] ait compris ce que je lui proposais dans son état actuel. Mais encore une fois, peut-être était-ce une mauvaise idée...;Bedauerlicherweise war [From.GetFirstName] nicht an meinem Angebot interessiert. Ich bin mir nicht sicher, ob [From.GetSheHe] in [From.GetHerHis]em aktuellen Zustand überhaupt verstanden hat, was ich von [From.GetHerHim] möchte. Andererseits war es vielleicht wirklich eine albernde Idee...;;Por desgracia, a [From.GetFirstName] no le interesaba la oferta. No sé si en su estado le quedó claro qué le estaba pidiendo. Pero después de todo, puede que fuera una tontería…;;;;;;;;x
EVTDESCHF25298;Once the other warriors have finally put me down and left me to cope with the more unpleasant consequences of my victory, [From.GetBestName] [From.GetHerselfHimself] approaches me to offer [From.GetHerHis] congratulations. [From.GetSheHeCap] claims that [From.GetSheHe] was truly impressed by my resilience and would love to count a [From.GetManWoman] like me amongst [From.GetHerHis] friends.;Alors que les autres guerriers m'ont enfin redéposé au sol et laissé faire face aux conséquences plus déplaisantes de ma vicoire, [From.Get_only_le_Title][From.GetBestName] s'approche de moi pour me féliciter. [From.GetIlElleCap] déclare avoir été vraiment impressionné[From.Get_E] par mon endurance et aimerait compter un[From.Get_E] [From.GetManWoman] comme moi parmi ses amis.;Als die anderen Krieger mich schließlich runterließen und mich mit den unangenehmeren Folgen meines Sieges zurückließen, kam [From.GetBestName] zu mir, um mir [From.GetHerHis]e Glückwünsche mitzuteilen. [From.GetSheHeCap] behauptet wirklich von meiner Widerstandsfähigkeit beeindruckt gewesen zu sein und würde daher gerne jemanden wie mich als Freund ansehen.;;Una vez que los guerreros me bajan y puedo hacer frente a las consecuencias más desagradables de la victoria, [From.GetBestName] en persona se me aproxima para felicitarme. Afirma que le ha impresionado mi resistencia y que le encantaría tener a alguien como yo entre sus amigos.;;;;;;;;x
