#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC73000;A famous writer proposes to compose your family chronicles.;Un écrivain célèbre se propose de rédiger les chroniques de votre famille.;Ein berühmter Schreiber bietet an, Eure Familienchronik zu verfassen.;;Un escritor famoso propone compilar las crónicas de tu familia.;;;;;;;;;x
EVTDESC73244;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become [Root.GetChancellorName] of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petitioning me again about it.;Nous avons dit [From.Get_only_au_Title][From.GetBestName] qu'[From.GetIlElle] avait une chance d'accéder au poste de [Root.GetChancellorName] [Root.PrimaryTitle.Get_du_RealmFull]. Et [From.GetIlElle] nous rappelle aujourd'hui notre promesse.;Ich hatte [From.GetBestName] versprochen, dass [From.GetSheHe] eine Chance hätte, [Root.GetChancellorName] von [Root.PrimaryTitle.GetFullName] zu werden. Jetzt bittet [From.GetSheHe] mich schon wieder darum.;;Prometí a [From.GetBestName] que tendría la oportunidad de ser [Root.GetChancellorName] del [Root.PrimaryTitle.GetFullName]. Ahora me lo pide de nuevo.;;;;;;;;;x
EVTDESC73245;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title as [Root.GetChancellorName] of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];M[This.GetOnA] ch[This.GetErEre] [This.GetBestName], vous êtes digne de confiance.\nJe vous accorde le titre de [Root.GetChancellorName] [Root.PrimaryTitle.Get_du_RealmFull].\n\n[From.GetBestName];M[This.Geteineine] liebe[This.GetrMale] und vertrauenswürdige[This.GetrMale] [This.GetBestName].\nIch gewähre Euch hiermit den Titel eines [Root.GetChancellorName]s von [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;Mi querido y leal [This.GetBestName].\nPor la presente os concedo el título de [Root.GetChancellorName] de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x

EVTOPTA73000;Give him patronage;Vous lui accordez votre protection.;In Lohn und Brot nehmen;;Patrocínale;;;;;;;;;x
EVTOPTA73001;Get her more to read;Lui apporter de nouveaux recueils de poésie;Gebt ihr mehr zu lesen;;Traedle más de leer;;;;;;;;;x
EVTOPTA73002;It is for the glory of God!;C'est pour la gloire de Dieu !;Es ist zum Ruhme Gottes!;;¡Es por la gloria de Dios!;;;;;;;;;x
EVTOPTA73003;We can afford it...;Nous en avons les moyens.;Das können wir uns leisten!;;Podemos permitírnoslo...;;;;;;;;;x
EVTOPTA73004;This will be grand in the main hall.;Il sera magnifique dans le grand hall.;Das wird sich im Hauptsaal bestimmt gut machen.;;Quedará estupendo en el salón principal.;;;;;;;;;x
EVTOPTA73005;Introduce a new fashion at the court;Vous introduisez une nouvelle mode à la Cour.;Neue Mode am Hof einführen;;Introduce una nueva moda en la corte;;;;;;;;;x
EVTOPTA73006;That's my boy!;C'est bien le digne fils de son père !;Gut gemacht, mein Sohn!;;¡Ese es mi chico!;;;;;;;;;x
EVTOPTA73007;My money is your money, darling;Mon argent est votre argent, ma chérie.;Mein Geld ist Euer Geld, Liebling;;Mi dinero es tu dinero, cariño;;;;;;;;;x
EVTOPTA73008;I can always use more men.;J'ai toujours besoin d'hommes.;Ich kann immer neue Leute gebrauchen.;;Siempre podemos contratar más hombres.;;;;;;;;;x
EVTOPTA73009;Welcome him to your court.;Qu'on l'accueille à la Cour !;Er ist an unserem Hof willkommen.;;Dale la bienvenida a tu corte.;;;;;;;;;x
EVTOPTA73011;I have avoided temptations!;J'ai évité les tentations !;Ich habe Versuchungen widerstanden!;;¡He evitado las tentaciones!;;;;;;;;;x
EVTOPTA73200;I will petition my liege!;Je déposerai une requête auprès de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich werde meinen Lehnsherren darum ersuchen!;;¡Lo solicitaré a mi señor!;;;;;;;;;x
EVTOPTA73201;[From.GetSheHeCap] is now my new Marshal;[From.GetIlElleCap] est désormais mon nouveau maréchal.;[From.GetSheHeCap] ist von nun an mein neuer Marschall!;;Ahora [From.GetSheHe] es mi nuevo Mariscal;;;;;;;;;x
EVTOPTA73202;I must prove myself!;Je dois faire mes preuves !;Ich muss mich beweisen!;;¡Debo probar mi valía!;;;;;;;;;x
EVTOPTA73203;I await [Root.Liege.GetHerHis] reply eagerly.;J'attends sa réponse avec impatience.;Ich warte sehnlichst auf [Root.Liege.GetHerHis]e Antwort. ;;Espero su respuesta con impaciencia.;;;;;;;;;x
EVTOPTA73204;[From.GetSheHeCap] is now my new Marshal;[From.GetIlElleCap] est désormais mon nouveau maréchal.;[From.GetSheHeCap] ist von nun an mein neuer Marschall!;;[From.GetSheHeCap] es ahora mi nuevo Mariscal;;;;;;;;;x
EVTOPTA73205;Its what I deserve..;Je le mérite...;Ich habe es verdient ...;;Es lo que merezco…;;;;;;;;;x
EVTOPTA73210;I will petition my liege!;Je déposerai une requête auprès de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich werde meinen Lehnsherren darum ersuchen!;;¡Lo solicitaré a mi señor!;;;;;;;;;x
EVTOPTA73211;[From.GetSheHeCap] is now my new Spymaster;[From.GetIlElleCap] est désormais mon nouveau maître-espion.;[From.GetSheHeCap] ist von nun an mein neuer Hofspitzel!;;[From.GetSheHeCap] es ahora mi nuevo Maestro de Espías;;;;;;;;;x
EVTOPTA73212;I must prove myself!;Je dois faire mes preuves !;Ich muss mich beweisen!;;¡Debo probar mi valía!;;;;;;;;;x
EVTOPTA73213;I await [Root.Liege.GetHerHis] reply eagerly.;J'attends sa réponse avec impatience.;Ich warte sehnlichst auf [Root.Liege.GetHerHis]e Antwort.;;Espero [Root.Liege.GetHerHis] respuesta con impaciencia.;;;;;;;;;x
EVTOPTA73214;[From.GetSheHeCap] is now my new Spymaster;[From.GetIlElleCap] est désormais mon nouveau maître-espion.;[From.GetSheHeCap] ist von nun an mein neuer Hofspitzel!;;[From.GetSheHeCap] es ahora mi nuevo Maestro de Espías;;;;;;;;;x
EVTOPTA73215;Its what I deserve..;Je le mérite...;Ich habe es verdient ...;;Es lo que me merezco…;;;;;;;;;x
EVTOPTA73220;I will petition my liege!;Je déposerai une requête auprès de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich werde meinen Lehnsherren darum ersuchen!;;¡Lo solicitaré a mi señor!;;;;;;;;;x
EVTOPTA73221;[From.GetSheHeCap] is now my new Steward;[From.GetIlElleCap] est désormais mon nouvel intendant.;[From.GetSheHeCap] ist von nun an mein neuer Kämmerer!;;[From.GetSheHeCap] es ahora mi nuevo [Root.GetTreasurerName];;;;;;;;;x
EVTOPTA73222;I must prove myself!;Je dois faire mes preuves !;Ich muss mich beweisen!;;¡Debo probar mi valía!;;;;;;;;;x
EVTOPTA73223;I await [Root.Liege.GetHerHis] reply eagerly.;J'attends sa réponse avec impatience.;Ich warte sehnlichst auf [Root.Liege.GetHerHis]e Antwort.;;Espero su respuesta con impaciencia.;;;;;;;;;x
EVTOPTA73224;[From.GetSheHeCap] is now my new Steward;[From.GetIlElleCap] est désormais mon nouvel intendant.;[From.GetSheHeCap] ist von nun an mein neuer Kämmerer!;;Ahora [From.GetSheHe] es mi nuevo [Root.GetTreasurerName];;;;;;;;;x
EVTOPTA73225;It's what I deserve..;C'est ce que je mérite.;Ich habe es verdient ...;;Es lo que merezco...;;;;;;;;;x
EVTOPTA73230;I will petition my liege!;Je déposerai une requête auprès de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich werde meinen Lehnsherren darum ersuchen!;;¡Lo solicitaré a mi señor!;;;;;;;;;x
EVTOPTA73231;[From.GetSheHeCap] is now my new [Root.GetLordSpiritualName];[From.GetIlElleCap] est dorénavant mon [Root.GetLordSpiritualName].;[From.GetSheHeCap] ist nun mein neuer [Root.GetLordSpiritualName];;Ahora [From.GetSheHeCap] es mi nuevo [Root.GetLordSpiritualName];;;;;;;;;x
EVTOPTA73232;I must prove myself!;Je dois faire mes preuves !;Ich muss mich beweisen!;;¡Debo probar mi valía!;;;;;;;;;x
EVTOPTA73233;I await [Root.Liege.GetHerHis] reply eagerly.;J'attends sa réponse avec impatience.;Ich warte sehnlichst auf [Root.Liege.GetHerHis]e Antwort.;;Espero su respuesta con impaciencia.;;;;;;;;;x
EVTOPTA73234;[From.GetSheHeCap] is now my new [Root.GetLordSpiritualName];[From.GetIlElleCap] est dorénavant mon [Root.GetLordSpiritualName].;[From.GetSheHeCap] ist jetzt mein neuer [Root.GetLordSpiritualName];;Ahora [From.GetSheHeCap] es mi nuevo [Root.GetLordSpiritualName];;;;;;;;;x
EVTOPTA73235;Its what I deserve..;Je le mérite...;Ich habe es verdient ...;;Es lo que me merezco…;;;;;;;;;x
EVTOPTA73240;I will petition my liege!;Je déposerai une requête auprès de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich werde meinen Lehnsherren darum ersuchen!;;¡Lo solicitaré a mi señor!;;;;;;;;;x
EVTOPTA73241;[From.GetSheHeCap] is now my new [Root.GetChancellorName];[From.GetIlElleCap] est désormais mon nouveau [Root.GetChancellorName].;[From.GetSheHeCap] ist von nun an mein neuer [Root.GetChancellorName]!;;[From.GetSheHeCap] es ahora mi nuevo [Root.GetChancellorName];;;;;;;;;x
EVTOPTA73242;I must prove myself!;Je dois faire mes preuves !;Ich muss mich beweisen!;;¡Debo probar mi valía!;;;;;;;;;x
EVTOPTA73243;I await [Root.Liege.GetHerHis] reply eagerly.;J'attends sa réponse avec impatience.;Ich warte sehnlichst auf [Root.Liege.GetHerHis]e Antwort.;;Espero su respuesta con impaciencia.;;;;;;;;;x
EVTOPTA73244;[From.GetSheHeCap] is now my new [Root.GetChancellorName];[From.GetIlElleCap] est désormais mon nouveau [Root.GetChancellorName].;[From.GetSheHeCap] ist von nun an mein neuer [Root.GetChancellorName]!;;[From.GetSheHeCap] es ahora mi nuevo [Root.GetChancellorName];;;;;;;;;x
EVTOPTA73245;Its what I deserve..;Je le mérite...;Ich habe es verdient ...;;Es lo que me merezco…;;;;;;;;;x

EVTOPTB73000;Ignore him;Vous l'ignorez.;Ignorieren;;Ignóralo;;;;;;;;;x
EVTOPTB73001;That is her interest, not mine.;C'est sa passion, pas la mienne.;Das sind ihre Interessen, nicht meine.;;Le gustan a ella, no a mí.;;;;;;;;;x
EVTOPTB73002;If the Church wants it, the Church pays for it..;Si l'Église veut monter cette pièce, qu'elle la paie elle-même.;Wenn die Kirche das Spiel möchte, dann soll sie auch dafür bezahlen!;;Si la iglesia lo quiere, la iglesia lo paga...;;;;;;;;;x
EVTOPTB73003;They are just peasants...;Ce ne sont que des paysans...;Sie sind doch nur Bauern ...;;Solo son campesinos...;;;;;;;;;x
EVTOPTB73004;This is a waste of money.;C'est une perte d'argent.;Das ist reine Geldverschwendung.;;Es derrochar el dinero.;;;;;;;;;x
EVTOPTB73005;There are better ways of spending the taxes;Il y a de meilleurs moyens de dépenser les impôts.;Mir fallen bessere Verwendungszwecke für Steuergelder ein ...;;Hay mejores modos de gastar los impuestos;;;;;;;;;x
EVTOPTB73006;Force him to adopt the child to prevent scandal;Je l'oblige à adopter l'enfant pour éviter un scandale.;Zur Vermeidung eines Skandals muss er das Kind adoptieren;;Oblígale a adoptar al niño para evitar un escándalo;;;;;;;;;x
EVTOPTB73007;Vanity is a sin, let's go to the church instead;La vanité est un péché, allons plutôt à l'église.;Eitelkeit ist eine Sünde! Lasst uns stattdessen in die Kirche gehen;;La vanidad es un pecado, mejor vayamos a la iglesia;;;;;;;;;x
EVTOPTB73008;Another mouth to feed is not what I need.;Une bouche de plus à nourrir, je n'ai pas besoin de ça.;Ich will nicht noch einen Esser durchfüttern müssen!;;No necesito otra boca que alimentar.;;;;;;;;;x
EVTOPTB73009;Tell him he can only stay for the night.;Qu'on l'autorise à rester pour une nuit.;Er darf bleiben, aber bloß für eine Nacht.;;Dile que solo puede pasar la noche.;;;;;;;;;x
EVTOPTB73011;Forgive me father, for I have sinned.;Pardonnez-moi mon père parce que j'ai péché.;Vergib mir Vater, denn ich habe gesündigt.;;Perdóname padre, porque he pecado.;;;;;;;;;x
EVTOPTB73201;Give [Root.job_marshal.GetFirstName] a chance!;Donner à [Root.job_marshal.GetFirstName] une chance de faire ses preuves.;Gebt [Root.job_marshal.GetFirstName] eine Chance, sich zu beweisen.;;Dar a [Root.job_marshal.GetFirstName] la posibilidad de probarse [From.GetHerselfHimself];;;;;;;;;x
EVTOPTB73202;What can I do?;Que puis-je faire ?;Was kann ich tun?;;¿Qué puedo hacer?;;;;;;;;;x
EVTOPTB73211;Give [Root.job_spymaster.GetTitledFirstName] a chance!;Donner [Root.job_spymaster.Get_au_TitledFirstName] une chance de faire ses preuves.;Gebt [Root.job_spymaster.GetTitledFirstName] eine Chance.;;Dar a [Root.job_spymaster.GetTitledFirstName] la posibilidad de probarse [Root.job_spymaster.GetHerselfHimself];;;;;;;;;x
EVTOPTB73212;What can I do?;Que puis-je faire ?;Was kann ich tun?;;¿Qué puedo hacer?;;;;;;;;;x
EVTOPTB73221;Give [Root.job_treasurer.GetFirstName] a chance!;Donner à [Root.job_treasurer.GetFirstName] une chance de faire ses preuves.;Gebt [Root.job_treasurer.GetFirstName] eine Chance, sich zu beweisen.;;Dar a [Root.job_treasurer.GetFirstName] la posibilidad de probarse [From.GetHerselfHimself];;;;;;;;;x
EVTOPTB73222;What can I do?;Que puis-je faire ?;Was kann ich tun?;;¿Qué puedo hacer?;;;;;;;;;x
EVTOPTB73231;Give [Root.job_spiritual.GetTitledFirstName] a chance!;Donner [Root.job_spiritual.Get_au_TitledFirstName] une chance de faire ses preuves.;Gebt [Root.job_spiritual.GetTitledFirstName] eine Chance.;;Dar a [Root.job_spiritual.GetTitledFirstName] la posibilidad de probarse [From.GetHerselfHimself];;;;;;;;;x
EVTOPTB73232;What can I do?;Que puis-je faire ?;Was kann ich tun?;;¿Qué puedo hacer?;;;;;;;;;x
EVTOPTB73241;Give [Root.job_chancellor.GetTitledFirstName] a chance!;Donner [Root.job_chancellor.Get_au_TitledFirstName] une chance de faire ses preuves.;Gebt [Root.job_chancellor.GetTitledFirstName] eine Chance, sich zu beweisen.;;Dar a [Root.job_chancellor.GetTitledFirstName] la posibilidad de probarse [From.GetHerselfHimself];;;;;;;;;x
EVTOPTB73242;What can I do?;Que puis-je faire ?;Was kann ich tun?;;¿Qué puedo hacer?;;;;;;;;;x

EVTOPTC73001;These are books created by Satan!;Ce sont des livres créés par Satan !;Diese Bücher hat der Teufel geschrieben!;;¡Son libros escritos por Satán!;;;;;;;;;x
EVTOPTC73006;Give him a beating for messing with inferiors;Je le bats pour le dissuader de fricoter avec des domestiques.;Verprügeln, weil er sich mit Untergebenen eingelassen hat!;;Pégale por mezclarse con inferiores;;;;;;;;;x
EVTOPTC73007;This is my money you're talking about;C'est mon argent dont vous parlez.;Ihr redet hier von MEINEM Geld!;;Estás hablando de mi dinero;;;;;;;;;x
EVTOPTC73011;I do not fear death...;Je n'ai pas peur de la mort...;Ich fürchte den Tod nicht ...;;No temo a la muerte...;;;;;;;;;x
EVTOPTC73201;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.PrimaryTitle.Get_le_RealmFull] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTC73204;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.PrimaryTitle.Get_le_RealmFull] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTC73211;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.PrimaryTitle.Get_le_RealmFull] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTC73214;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.PrimaryTitle.Get_le_RealmFull] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTC73221;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.PrimaryTitle.Get_le_RealmFull] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTC73224;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.PrimaryTitle.Get_le_RealmFull] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTC73231;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.PrimaryTitle.Get_le_RealmFull] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTC73234;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.PrimaryTitle.Get_le_RealmFull] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTC73241;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.PrimaryTitle.Get_le_RealmFull] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTC73244;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.PrimaryTitle.Get_le_RealmFull] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x

EVTOPTD73001;These are books created by Shaytan!;Ces livres sont la création de Satan !;Dies sind Bücher, die von Shaytan erstellt wurden! ;;¡Estos libros son creación de Shaitán!;;;;;;;;;x
EVTOPTD73006;Send him to confess his sins!;Je l'oblige à aller se confesser !;Zum Beichten seiner Sünden fortschicken!;;¡Envíale a confesar sus pecados! ;;;;;;;;;x
EVTOPTD73011;I am just a poor sinner...;Je ne suis qu'un[Root.Get_E] pauvre péch[Root.GetEurEresse].;Ich bin nur ein armer Sünder.;;Solo soy un pobre pecador...;;;;;;;;;x

EVTTOOLTIP73005;I will consider introducing new fashion at the court.;Je vais réfléchir à l'introduction de la nouvelle mode à la Cour.;Ich werde die Einführung neuer Mode am Hof in Betracht ziehen.;;Estudiaré la introducción de una nueva moda en la corte.;;;;;;;;;x
EVTTOOLTIP73201;[This.GetTitledFirstName] will listen to our petition and hopefully make a wise choice;[This.Get_Le_TitledFirstName] écoutera notre requête. Espérons une sage décision.;[This.GetTitledFirstName] wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;[This.GetTitledFirstName] escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTTOOLTIP73202;[This.GetTitledFirstName] will hear of our patience.;[This.Get_Le_TitledFirstName] entendra parler de notre patience.;[This.GetTitledFirstName] wird von unserer Geduld hören.;;[This.GetTitledFirstName] sabrá de nuestra paciencia.;;;;;;;;;x
EVTTOOLTIP73204;[This.GetTitledFirstName] will listen to our petition and hopefully make a wise choice;[This.Get_Le_TitledFirstName] écoutera notre requête. Espérons une sage décision.;[This.GetTitledFirstName] wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;[This.GetTitledFirstName] escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTTOOLTIP73211;[This.GetTitledFirstName] will listen to our petition and hopefully make a wise choice;[This.Get_Le_TitledFirstName] écoutera notre requête. Espérons une sage décision.;[This.GetTitledFirstName] wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;[This.GetTitledFirstName] escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTTOOLTIP73212;[This.GetTitledFirstName] will hear of our patience.;[This.Get_Le_TitledFirstName] entendra parler de notre patience.;[This.GetTitledFirstName] wird von unserer Geduld hören.;;[This.GetTitledFirstName] sabrá de nuestra paciencia.;;;;;;;;;x
EVTTOOLTIP73214;[This.GetTitledFirstName] will listen to our petition and hopefully make a wise choice;[This.Get_Le_TitledFirstName] écoutera notre requête. Espérons une sage décision.;[This.GetTitledFirstName] wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;[This.GetTitledFirstName] escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTTOOLTIP73221;[This.GetTitledFirstName] will listen to our petition and hopefully make a wise choice;[This.Get_Le_TitledFirstName] écoutera notre requête. Espérons une sage décision.;[This.GetTitledFirstName] wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;[This.GetTitledFirstName] escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTTOOLTIP73222;[This.GetTitledFirstName] will hear of our patience.;[This.Get_Le_TitledFirstName] entendra parler de notre patience.;[This.GetTitledFirstName] wird von unserer Geduld hören.;;[This.GetTitledFirstName] sabrá de nuestra paciencia.;;;;;;;;;x
EVTTOOLTIP73224;[This.GetTitledFirstName] will listen to our petition and hopefully make a wise choice;[This.Get_Le_TitledFirstName] écoutera notre requête. Espérons une sage décision.;[This.GetTitledFirstName] wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;[This.GetTitledFirstName] escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTTOOLTIP73231;[This.GetTitledFirstName] will listen to our petition and hopefully make a wise choice;[This.Get_Le_TitledFirstName] écoutera notre requête. Espérons une sage décision.;[This.GetTitledFirstName] wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;[This.GetTitledFirstName] escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTTOOLTIP73232;[This.GetTitledFirstName] will hear of our patience.;[This.Get_Le_TitledFirstName] entendra parler de notre patience.;[This.GetTitledFirstName] wird von unserer Geduld hören.;;[This.GetTitledFirstName] sabrá de nuestra paciencia.;;;;;;;;;x
EVTTOOLTIP73234;[This.GetTitledFirstName] will listen to our petition and hopefully make a wise choice;[This.Get_Le_TitledFirstName] écoutera notre requête. Espérons une sage décision.;[This.GetTitledFirstName] wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;[This.GetTitledFirstName] escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTTOOLTIP73241;[This.GetTitledFirstName] will listen to our petition and hopefully make a wise choice;[This.Get_Le_TitledFirstName] écoutera notre requête. Espérons une sage décision.;[This.GetTitledFirstName] wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;[This.GetTitledFirstName] escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTTOOLTIP73242;[This.GetTitledFirstName] will hear of our patience.;[This.Get_Le_TitledFirstName] entendra parler de notre patience.;[This.GetTitledFirstName] wird von unserer Geduld hören.;;[This.GetTitledFirstName] sabrá de nuestra paciencia.;;;;;;;;;x
EVTTOOLTIP73244;[This.GetTitledFirstName] will listen to our petition and hopefully make a wise choice;[This.Get_Le_TitledFirstName] écoutera notre requête. Espérons une sage décision.;[This.GetTitledFirstName] wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;[This.GetTitledFirstName] escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
