infection_desc;This character has an infection - it looks and smells bad, but it feels even worse.;Ce personnage a une infection. Ce n'est pas beau à voir et cela sent mauvais, mais il se sent encore plus mal que ça en a l'air.;Diese Person leidet an einer Infektion. Es sieht übel aus und riecht auch so, aber die Schmerzen sind noch schlimmer.;;Este personaje tiene una infección, parece y huele mal, pero se siente aún peor.;;;;;;;;;x
infirm;Infirm;Infirmité;Gebrechlich;;Enfermizo;;;;;;;;;x
infirm_death;bedridden and infirm;de son infirmité;bettlägerig und gebrechlich;;postrado en la cama y enfermo;;;;;;;;;x
infirm_desc;This character is infirm and suffers from a sickly disposition.;Ce personnage est infirme et maladif.;Dieser Charakter ist gebrechlich und leidet an einer kränklichen Disposition.;;Este personaje es un achacoso que siempre se halla indispuesto.;;;;;;;;;x
intricate_webweaver;Intricate Webweaver;Habile intrigant;Undurchschaubarer Intrigenspinner;;Habilidad intrigante;;;;;;;;;x
intricate_webweaver_desc;The Intricate Webweaver is a master manipulator, well suited to a life of intrigue.;Ce personnage est un manipulateur intelligent et doué, prêt à mener une vie d'intrigant.;Der undurchschaubare Intrigenspinner manipuliert meisterhaft und ist für ein Leben voller Intrigen wie geschaffen.;;Este personaje es un maestro de la manipulación y encaja perfectamente en una vida de intrigas.;;;;;;;;;x
inspiring_leader;Inspiring Leader;Commandant motivant;Inspirierender Anführer;;Líder inspirador;;;;;;;;;x
inspiring_leader_desc;This character has a way of reaching directly into the hearts and minds of the soldiers on the battlefield, and not just with a sword.;Ce personnage sait trouver les mots pour motiver le coeur et l'esprit de ses hommes sur le champ de bataille. Il n'a même pas besoin de les menacer pour les faire avancer !;Dieser Charakter hat eine besondere Art, das Herz und die Seele der Soldaten auf dem Schlachtfeld zu berühren, und das nicht nur mit einem Schwert.;;Este personaje es capaz de llegar a los corazones y las mentes de los soldados en el campo de batalla, no sólo con la espada.;;;;;;;;;x
just;Just;Sens de la justice;Gerecht;;Justo;Giustizia;;;;;;;;x
just_desc;The character has a well developed sense of justice - a trait much respected by vassals and courtiers.;Ce personnage se caractérise par un sens aigu de la justice, ce qui lui vaut le respect de ses vassaux et courtisans.;Der Gerechtigkeitssinn dieses Charakters ist gut ausgebildet - eine von Vasallen und Höflingen sehr geschätzte Eigenschaft.;;El personaje tiene un gran sentido de la justicia, un rasgo muy respetado entre vasallos y cortesanos.;;;;;;;;;x
kailash_guardian;Kailash Guardian;Gardien Kailash;Kailashischer Wächter;;Guardián de Kailash;;;;;;;;x
kailash_guardian_desc;A Guardian of Kailash is steadfast in their defense of the holy mountain of Kailash. They fight for the Bön faith.;Un Gardien Kailash défend résolument la montagne sacrée de Kailash. Il se bat pour la foi bön.;Ein Kailashischer Wächter ist standhaft bei der Verteidigung des heiligen Berges Kailash. Sie kämpfen dabei für den bönischen Glauben.;;Un guardián de Kailash es firme en la defensa de la montaña sagrada de Kailash. Luchan por la religión bön.;;;;;;;;x
kind;Kind;Gentillesse;Gütig;;Amable;;;;;;;;;x
kind_desc;This character is kind and full of empathy. The sixth virtue, 'Humanitas', is popular with vassals, but makes for a rather poor Spymaster.;Ce personnage est gentil et doué d'empathie. La sixième vertu, 'humanitas' en latin, est très appréciée des vassaux mais fait d'un personnage un piètre maître-espion.;Dieser Charakter ist gütig und voller Einfühlungsvermögen. Die sechste Tugend, "Humanitas", ist bei Vasallen sehr beliebt. Für Hofspitzel ist sie dagegen eher abträglich.;;Este personaje es amable y derrocha empatía. La sexta virtud, 'humanitas', es popular entre los vasallos, pero es poco útil para jefes de espías.;;;;;;;;;x
kinslayer;Kinslayer;Parricide;Sippenmörder;;Parricida;;;;;;;;;x
kinslayer_desc;This character is known to have slain a close relative - an unforgivable crime in the eyes of gods and men alike.;Ce personnage est connu pour avoir assassiné un de ses proches parents, un crime impardonnable aux yeux de Dieu comme à ceux des hommes.;Von diesem Charakter ist bekannt, dass er einen nahen Verwandten umgebracht hat - ein in den Augen Gottes und der Menschen unverzeihliches Verbrechen.;;Este personaje es conocido por haber asesinado a parientes cercanos, un crimen imperdonable a los ojos de Dios y los de cualquier hombre.;;;;;;;;;x
legit_bastard;Legitimized Bastard;Bâtard légitimé;Legitimierter Bastard;;Bastardo legitimado;;;;;;;;;x
legit_bastard_desc;This character was born a bastard but has been legitimized. Legitimized bastards can inherit, though the stain of bastardy can never be entirely cleansed.;Ce personnage est né hors mariage, mais a été légitimé. À ce titre, il peut hériter, mais ses origines le suivront toute sa vie.;Dieser Charakter wurde als Bastard geboren, dann aber legitimiert. Legitimierte Bastarde können zwar erben, doch die Schande ihrer unehelichen Herkunft werden sie niemals ganz los.;;Este personaje es bastardo de nacimiento, pero se le ha legitimado. Los bastardos legitimados pueden ser herederos, aunque siempre quedará la mancha de su origen.;;;;;;;;;x
leper;Leper;Lèpre;Lepra;;Leproso;Lebbra;;;;;;;;x
leper_death;of terminal stage Leprosy;de la lèpre en phase finale;an Lepra im Endstadium;;en fase terminal de la Lepra;;;;;;;;;x
leper_desc;Afflicted with the horror that is leprosy, this character is experiencing Purgatory on Earth. Hideous and sterile, procreation is most unlikely.;Ce personnage souffre de la lèpre et vit un véritable enfer. Hideux et stérile, ses chances de se reproduire sont infimes.;Dieser Charakter ist von der fürchterlichen Lepra betroffen und durchlebt die Hölle auf Erden. Aufgrund seines Äußeren und seiner Unfruchtbarkeit sind Nachkommen höchst unwahrscheinlich.;;Víctima de la horrible lepra, este personaje está condenado a vivir el purgatorio en la tierra. Dado su aspecto abominable y su esterilidad, la procreación es más que improbable.;;;;;;;;;x
lisp;Lisp;Zézaiement;Lispelt;;Ceceante;Blesità;;;;;;;;x
lisp_desc;The lisp of this character sometimes causes them to mispronounce words.;Ce personnage zézaie, ce qui le fait prononcer de travers les mots.;Das Lispeln dieses Charakters führt manchmal dazu, dass er Wörter falsch ausspricht.;;El ceceo de este personaje le hace pronunciar mal algunas palabras.;;;;;;x
lunatic;Lunatic;Lunatique;Wahnsinnig;;Lunático;;;;;;;;;x
lunatic_desc;This character is stark raving mad.;Ce personnage a sombré dans la folie.;Dieser Charakter ist total wahnsinnig.;;Este personaje está loco de remate.;;;;;;;;;x
lustful;Lustful;Luxure;Lüstern;;Lujurioso;Lussuria;;;;;;;;x
lustful_desc;Lust, or 'Luxuria', the first deadly sin, enflames this character. These carnal desires are not appreciated by the Church, and might also cause problems out of the marital bed...;La luxure, 'luxuria' en latin, enflamme ce personnage. De tels plaisirs charnels ne sont pas du goût de l'Église et peuvent être la source de nombreux problème en dehors du lit conjugal...;Dieser Charakter wird von der Begierde, oder "Luxuria" getrieben - der ersten Todsünde. Diese Fleischeslüste werden von der Kirche nicht geschätzt und könnten auch außerhalb des Ehebetts zu Problemen führen ...;;El deseo sexual o 'luxuria', el primer pecado capital, invade a este personaje. Estos deseos carnales no están bien vistos por la Iglesia y pueden causar problemas fuera del matrimonio...;;;;;;;;;x
mahayana_buddhist;Mahayana [buddhist.GetName];[buddhist.GetName] mahayana;Mahayana-[buddhist.GetName];;Mahayana [buddhist.GetName];;;;;;;;;x
mahayana_buddhist_desc;This character follows the Mahayana branch of the [buddhist.GetName] faith.;Ce personnage suit la branche mahayana de la foi [buddhist.GetName].;Dieser Charakter folgt dem Mahayanazweig  des [buddhist.GetName]en Glaubens.;;Este personaje sigue la rama mahayana del credo [buddhist.GetName].;;;;;;;;;x
maimed;Maimed;Mutilation;Verstümmelt;;Lisiado;Mutilazione;;;;;;;;x
maimed_death;a maimed cripple;d'une horrible mutilation;als verstümmelter Krüppel;;un lisiado mutilado;;;;;;;;;x
maimed_desc;This character has been maimed. It would take a true miracle to heal such an injury.;Ce personnage a été victime d'une horrible blessure dont il gardera probablement des séquelles à vie.;Dieser Charakter wurde verstümmelt. Die Heilung einer solchen Verletzung käme einem Wunder gleich.;;Este personaje está lisiado. Sería un auténtico milagro que se curara de su lesión.;;;;;;;;;x
martial_cleric;Dutiful Cleric;Religieux soumis;Pflichtbewusster Geistlicher;;Clérigo obediente;;;;;;;;;x
martial_cleric_desc;The Dutiful Cleric is learned and possessed of beautiful penmanship, but lacks particular interest in theology.;Ce personnage est éduqué et doué pour la calligraphie, il ne s'intéresse pas particulièrement à la théologie.;Der pflichtbewusste Geistliche ist gebildet und von schöner Federführung wie besessen. Dafür mangelt es ihm aber an theologischem Interesse.;;El clérigo obediente es culto y posee una bella caligrafía, pero no le interesa particularmente la teología.;;;;;;;;;x
mastermind_theologian;Mastermind Theologian;Grand théologien;Meistertheologe;;Cerebro teológico;;;;;;;;;x
mastermind_theologian_desc;The Mastermind Theologian is recognized as one of the top scholars of the Faith.;Le grand théologien compte parmi les meilleurs érudits de la foi.;Der oberste Theologe wird als einer der besten Glaubensgelehrten angesehen.;;El Cerebro Teólogo es reconocido como uno de los principales estudiosos de la Fe.;;;;;;;;;x
midas_touched;Midas Touched;Faiseur d'or;Kaufmännisches Genie;;Tocado por Midas;;;;;;;;;x
midas_touched_desc;This character is truly Midas Touched, never seeming to run out of funds - an excellent choice for Steward and mentor to children destined to become administrators.;Ce personnage est un maître de l'administration, très doué pour gérer les biens. Il fait un excellent intendant et peut enseigner l'administration.;Diesem Charakter scheint niemals das Geld auszugehen, was ihn zu einem hervorragenden Kämmerer macht. Auch als Vormund für Kinder, die Kämmerer werden sollen, gibt er eine gute Figur ab.;;Es como si Midas hubiera tocado realmente a este personaje, parece que nunca le faltara el dinero.;;;;;;;;;x
misguided_warrior;Misguided Warrior;Guerrier malavisé;Törichter Krieger;;Guerrero descarriado;;;;;;;;;x
misguided_warrior_desc;The Misguided Warrior was trained in warfare and the martial arts, but sadly lacks all talent for it.;Ce personnage a reçu une éducation axée sur la compétence martiale, mais ne semble pas en avoir tiré d'enseignements.;Der törichte Krieger wurde in der Kriegsführung und den Kampfkünsten unterwiesen, aber leider fehlt ihm dafür jegliches Talent.;;El guerrero descarriado ha recibido formación para el combate y la guerra, pero carece del talento necesario.;;;;;;;;;x
mystic;Mystic;Mystique;Mystiker;;Místico;;;;;;;;;x
mystic_desc;This character has delved into the mysteries of the occult, treading a fine line between heresy and orthodox approval.;Ce personnage se passionne pour les sciences occultes et oscille généralement entre approbation orthodoxe et hérésie totale.;Dieser Charakter erforscht die Geheimnisse des Okkulten, wobei er auf dem schmalen Grad zwischen Ketzerei und Billigung der Orthodoxen wandelt.;;Este personaje ha profundizado en los misterios de lo oculto trazando una fina barrera entre la herejía y el beneplácito ortodoxo.;;;;;;;;;x
naive_appeaser;Naive Appeaser;Conciliateur naïf;Naiver Beschwichtiger;;Pacificador ingenuo;;;;;;;;;x
naive_appeaser_desc;Naive Appeasers want to be well liked and fancy themselves diplomats. Unfortunately, everyone else just tends to bully them.;Ce personnage aime être aimé et se veut être un bon diplomate. Malheureusement, il n'en est rien.;Naive Beschwichtiger möchten von allen gemocht werden und halten sich selbst für Diplomaten. Unglücklicherweise werden sie von allen anderen drangsaliert.;;Los pacificadores ingenuos desean agradar a la gente y se consideran diplomáticos. Desafortunadamente, solo consiguen que los demás se burlen.;;;;;;;;;x
paranoid;Paranoid;Paranoïa;Paranoid ;;Paranoico;;;;;;;;;x
paranoid_desc;This character sees enemies in every shadow, unable to trust anyone.;Ce personnage voit des ennemis partout et n'a confiance en personne.;Dieser Charakter sieht in jedem Schatten einen Feind und kann niemandem vertrauen.;;Este personaje ve enemigos en cada rincón, es incapaz de confiar en alguien.;;;;;;;;;x
patient;Patient;Patience;Geduldig;;Paciente;;;;;;;;;x
patient_desc;Patience, or 'Patientia', is the fifth of the seven virtues and the opposite of Wrath. Patient characters are just a little bit better at almost everything.;La patience, 'patientia' en latin, la cinquième vertu. Ce personnage affiche une grande patience et s'avère souvent un peu meilleur que les autres.;"Patientia", die Geduld, ist die fünfte der sieben Tugenden und das Gegenteil des Zorns. Geduldige Charaktere sind fast in allen Belangen ein bisschen besser.;;La paciencia o 'patientia' es la quinta de las siete virtudes y la opuesta a la Ira. Los personajes pacientes son un poco mejor en casi todo.;;;;;;;;;x
pneumonic;Pneumonic;Pneumonie;Lungenpest;;Neumónico;;;;;;;;;x
pneumonic_death;of Pneumonia;de la pneumonie;an Pneumonie;;de neumonía;;;;;;;;;x
pneumonic_desc;This character suffers from pneumonia - a life threatening condition in medieval times.;Ce personnage souffre de pneumonie, une maladie souvent mortelle au Moyen Âge.;Dieser Charakter leidet an der Lungenpest - im Mittelalter eine lebensbedrohliche Erkrankung.;;Este personaje sufre neumonía, una enfermedad mortal en la Edad Media.;;;;;;;;;x
poet;Poet;Poète;Poet ;;Poeta;;;;;;;;;x
poet_desc;This character likes to write and declaim poetry.;Ce personnage aime écrire et déclamer de la poésie.;Dieser Charakter schreibt gerne Gedichte und trägt sie vor.;;A este personaje le gusta escribir y recitar poesía.;;;;;;;;;x
possessed;Possessed;Possession;Besessen;;Poseído;;;;;;;;;x
possessed_desc;This character experiences frequent violent episodes, speaking in tongues, spitting and assaulting those nearby, as if possessed by evil spirits.;Ce personnage souffre de fréquentes crises de démence au cours desquelles il hurle, crache et se montre très agressif envers les autres, comme s'il était possédé par les esprits maléfiques.;Dieser Charakter erleidet häufig heftige Anfälle, bei denen er in Zungen spricht, ausspuckt und Beistehende attackiert. Es ist, als sei er von bösen Geistern besessen.;;Este personaje tiene frecuentes episodios de violencia, glosolalia, escupitajos y ataques, como si estuviera poseído por espíritus malignos.;;;;;;;;;x
pregnant;Pregnant;Enceinte;Schwanger;;Embarazada;;;;;;;;;x
pregnant_desc;This woman is with child.;Cette femme attend un enfant.;Diese Frau trägt ein Kind unter dem Herzen.;;Esta mujer está encinta.;;;;;;;;;x
proud;Proud;Orgueil;Stolz;;Orgulloso;Orgoglio;;;;;;;;x
proud_desc;Pride, 'Superbia' is the seventh deadly sin according to the Church. However, proud characters tend to be ambitious and work hard to increase their Prestige.;L'orgueil, 'superbia' en latin, est le septième péché capital. Le bon côté, c'est qu'un personnage orgueilleux travaillera très dur pour améliorer son prestige.;Stolz, oder "Superbia", ist nach Ansicht der Kirche die siebte Todsünde. Stolze Charaktere tendieren aber dazu, ehrgeizig zu sein und hart für mehr Prestige zu arbeiten.;;El orgullo o 'superbia' es el séptimo pecado capital según la Iglesia. Sin embargo, los personajes orgullosos suelen ser ambiciosos y trabajan duro para subir su Prestigio.;;;;;;;;;x
quick;Quick;Vivacité;Schlau;;Vivo;;;;;;;;;x
quick_desc;This character is brighter than most.;Ce personnage est plus intelligent que la moyenne.;Dieser Charakter ist intelligenter als die meisten anderen.;;Este personaje es más listo que la mayoría.;;;;;;;;;x
scholar;Scholar;Érudit;Gelehrter;;Erudito;;;;;;;;;x
scholar_desc;This character leads the life of a scholar, poring over books and corresponding with the finest minds in the known world.;Ce personnage vit en érudit. Il se plonge dans les livres et correspond avec les esprits les plus brillants du monde connu.;Diese Person führt das Leben eines Gelehrten. Sie wälzt Bücher und tauscht sich brieflich mit den größten Denkern der bekannten Welt aus.;;Este personaje lleva la vida de un erudito, estudiando libros y carteándose con las mejores mentes del mundo conocido.;;;;;;;;;x
scholarly_theologian;Scholarly Theologian;Théologien érudit;Gelehrter Theologe;;Teólogo erudito;;;;;;;;;x
scholarly_theologian_desc;The Scholarly Theologian is wise and well read, with a deep understanding of philosophy and theology.;Ce personnage est d'une grande sagesse, lettré et excelle dans les domaines de la philosophie et de la théologie.;Der gelehrte Theologe ist weise und sehr belesen. Er hat großes Wissen in philosophischen und theologischen Dingen.;;El teólogo erudito es sabio y culto, y posee un conocimiento profundo de la filosofía y la teología.;;;;;;;;;x
severely_injured;Severely Injured;Blessure grave;Schwer verletzt;;Gravemente herido;;;;;;;;;x
severely_injured_death;succumbing to severe injuries;d'une blessure grave§!;an den schweren Verletzungen;;sucumbiendo a sus graves heridas;;;;;;;;;x
severely_injured_desc;This character was recently maimed resulting in serious injury, a life threatening condition. Once the wound heals their health will recover, but the damage dealt will never fully heal.;Ce personnage a été récemment mutilé, entraînant ainsi une blessure grave - une condition qui met sa vie en danger. Une fois la blessure cicatrisée, il retrouvera sa santé, mais gardera des séquelles à vie.;Diese Person wurde vor Kurzem derart schwer verletzt, dass ihr Leben nun in Gefahr schwebt. Wenn die Wunde verheilt ist, kehrt ein Teil ihrer Gesundheit zurück, doch der erlittene Schaden wird niemals vollständig heilen.;;Este personaje fue lisiado hace poco, provocando una herida muy grave, una dolencia que puso en peligro su vida. Cuando la herida se cure, recuperará la salud, pero el daño sufrido no se curará jamás.;;;;;;;;;x
shaktist_hindu;Shaktist;Shaktiste;Shaktistisch;;Shaktismo;;;;;;;;;x
shaktist_hindu_desc;This character follows the Shaktist branch of [hindu.GetName]ism.;Ce personnage suit la branche shaktiste de la foi [hindu.GetName].;Dieser Charakter folgt dem Shaktazweig des [hindu.GetName]en Glaubens.;;Este personaje sigue la rama shaktista del [hindu.GetName]ismo.;;;;;;;;;x
shy;Shy;Timidité;Schüchtern;;Tímido;;;;;;;;;x
shy_desc;This character is shy and reclusive, suffering a penalty to diplomacy.;Ce personnage est un introverti farouche et reclus, peu enclin à la diplomatie.;Dieser Charakter ist schüchtern und zurückgezogen, weshalb er einen Diplomatieabzug erleidet.;;Este personaje es tímido e introvertido, por lo que sufre una penalización en diplomacia.;;;;;;;;;x
skilled_tactician;Skilled Tactician;Fin tacticien;Fähiger Taktiker;;Hábil estratega;;;;;;;;;x
skilled_tactician_desc;The Skilled Tactician is an adept in the art of war - a valiant warrior and reliable commander.;Ce personnage, adepte de l'art de la guerre, un courageux combattant doublé d'un commandant fiable.;Der fähige Taktiker versteht sich gut auf die Kunst des Krieges. Er ist ein kühner Krieger und zuverlässiger Befehlshaber.;;El hábil estratega es un adepto del arte de la guerra, valeroso guerrero y buen comandante.;;;;;;;;;x
slothful;Slothful;Paresse;Faul;;Perezoso;;;;;;;;;x
slothful_desc;This character is shockingly lazy. 'Acedia', the fourth deadly sin, is an altogether negative trait.;La paresse, 'acedia' en latin, est le quatrième péché capital et aucune vertu ne la rachète. Elle est particulièrement mal vue.;Dieser Charakter ist erschreckend faul. "Acedia", die vierte Todsünde, ist eine durch und durch negative Eigenschaft.;;Este personaje es sorprendentemente vago. 'Acedia', es el cuarto pecado capital y, sin excepción, se considera algo negativo.;;;;;;;;;x
slow;Slow;Lenteur;Zurückgeblieben;;Lerdo;;;;;;;;;x
slow_desc;This character is not exactly blessed with a towering intellect.;Ce personnage n'est pas particulièrement intelligent.;Dieser Charakter ist nicht gerade mit überlegenem Intellekt gesegnet.;;Este personaje no es que brille precisamente por su intelecto.;;;;;;;;;x
smartist_hindu;Smartist;Smartiste;Smarthistisch;;Advaita;;;;;;;;;x
smartist_hindu_desc;This character follows the Smartist branch of [hindu.GetName]ism.;Ce personnage suit la branche smartiste de la foi [hindu.GetName].;Dieser Charakter folgt dem Smarthazweig  des [hindu.GetName]en Glaubens.;;Este personaje sigue la rama smartista del [hindu.GetName]ismo.;;;;;;;;;x
stressed;Stressed;Anxiété;Gestresst;;Estresado;Tensione;;;;;;;;x
stressed_death;of severe stress;d'anxiété morbide;an großem Stress;;de estrés severo;;;;;;;;;x
stressed_desc;This character finds the burdens of work and life almost too much to handle.;Ce personnage est dépassé par son travail et sa vie.;Dieser Charakter kommt mit der Last von Arbeit und Leben nicht mehr zurecht.;;A este personaje los asuntos del trabajo y la vida se le hacen muy cuesta arriba.;;;;;;;;;x
strong;Strong;Force;Stark;;Fuerte;;;;;;;;;x
strong_desc;This character is blessed with a powerful physique.;Ce personnage bénéficie d'un physique puissant.;Dieser Charakter ist mit einem kräftigen Körperbau gesegnet.;;Este personaje está dotado de un poderoso físico.;;;;;;;;;x
stutter;Stutter;Bègue;Stotterer;;Tartamudo;Balbuzie;;;;;;;;x
stutter_desc;This character is a stutterer. It hampers their ability to communicate effectively with others.;Ce personnage souffre de bégaiement, ce qui handicape sa capacité à communiquer avec autrui.;Dieser Charakter stottert und kommuniziert dadurch weniger effektiv mit anderen.;;Este personaje sufre tartamudez. Obstaculiza su capacidad para comunicarse efectivamente con los demás.;;;;;;;;;x
svetambara_jain;Svetambara [jain.GetName];[jain.GetName] svetambara;Svetambara-[jain.GetName];;Svetambara [jain.GetName];;;;;;;;;x
svetambara_jain_desc;This character follows the Svetambara branch of [jain.GetName]ism.;Ce personnage suit la branche svetambara de la foi [jain.GetName].;Dieser Charakter folgt dem Svetambarazweig  des [jain.GetName]en Glaubens.;;Este personaje sigue la rama svetambara del credo [jain.GetName].;;;;;;;;;x
syphilitic;Has Great Pox;A la grande vérole;Lues;;Padece de lues;;;;;;;;;x
syphilitic_death;of Great Pox;de la grande vérole;an Lues;;de lues;;;;;;;;;x
syphilitic_desc;This character suffers from 'Great Pox,' the venereal plague, later known as Syphilis.;Ce personnage a contracté la « grande vérole », une maladie vénérienne particulièrement grave, connue plus tard sous le nom de « syphilis ».;Dieser Charakter leidet an der Geschlechtskrankheit "Lues", später als Syphilis bekannt.;;Este personaje padece de lues, la infección venérea más tarde conocida como sífilis.;;;;;;;;;x
temperate;Temperate;Tempéré;Gemäßigt;;Moderado;;;;;;;;;x
temperate_desc;This character believes in the virtue of 'Temperantia', moderation - a valuable trait in rulers and Stewards.;Ce personnage croit en la vertu de la modération, 'temperantia' en latin, un trait de caractère précieux pour les intendants et les souverains.;Dieser Charakter glaubt an die Tugend der "Temperantia", der Mäßigung. Dies ist für Herrscher und Kämmerer eine wertvolle Eigenschaft.;;Este personaje cree en la virtud de la moderación o 'temperantia', valiosa característica en soberanos y administradores.;;;;;;;;;x
theravada_buddhist;Theravada [buddhist.GetName];[buddhist.GetName] theravada;Theravada-[buddhist.GetName];;Theravada [buddhist.GetName];;;;;;;;;x
theravada_buddhist_desc;This character follows the Theravada branch of the [buddhist.GetName] faith.;Ce personnage suit la branche theravada de la foi [buddhist.GetName].;Dieser Charakter folgt dem Theravadazweig  des [buddhist.GetName]en Glaubens.;;Este personaje sigue la rama theravada del credo [buddhist.GetName].;;;;;;;;;x
thrifty_clerk;Thrifty Clerk;Employé économe;Geiziger Kaufmann;;Auxiliar ahorrativo;;;;;;;;;x
thrifty_clerk_desc;The Thrifty Clerk is a dutiful, if not particularly skilled, administrator.;Ce personnage est un administrateur consciencieux, mais pas particulièrement brillant.;Der geizige Kaufmann ist ein pflichtbewusster, aber nicht besonders fähiger Kämmerer.;;El auxiliar ahorrativo, no solo es un administrador responsable, sino que es particularmente hábil en su trabajo.;;;;;;;;;x
tough_soldier;Tough Soldier;Soldat endurci;Zäher Soldat;;Soldado aguerrido;;;;;;;;;x
tough_soldier_desc;The Tough Soldier is fearsome on the battlefield, but only a mediocre commander.;Ce personnage est redoutable sur le champ de bataille, mais médiocre en tant que commandant.;Der zähe Soldat ist auf dem Schlachtfeld ein gefürchteter Gegner, dafür aber nur ein mittelmäßiger Befehlshaber.;;El soldado aguerrido es temible en el campo de batalla, aunque mediocre como comandante.;;;;;;;;;x
trusting;Trusting;Confiance;Treuherzig;;Confiado;Fiducia;;;;;;;;x
trusting_desc;Trusting characters make poor spymasters, but good friends.;Ce personnage est un excellent ami mais un piètre maître-espion.;Treuherzige Charaktere sind schlechte Hofspitzel, aber gute Freunde.;;Los personajes confiados no sirven para jefe de espías, pero son amigos excepcionales.;;;;;;;;;x
ugly;Ugly;Laideur;Hässlich;;Feo;Bruttezza;;;;;;;;x
ugly_desc;This character has a face that brings a tear to the eye...;Ce personnage se caractérise par un physique repoussant.;Das Gesicht dieses Charakters kann nicht mal eine Mutter lieben ...;;La cara de este personaje hace que a cualquiera se le salten las lágrimas...;;;;;;;;;x
underhanded_rogue;Underhanded Rogue;Escroc sournois;Hinterlistiger Schurke;;Truhán artero;;;;;;;;;x
underhanded_rogue_desc;The Underhanded Rogue is a rough but decently effective diplomat.;Ce personnage manque de finesse, mais est généralement utile en tant que diplomate.;Der hinterlistige Schurke ist ein grober, aber gar nicht ineffizienter Diplomat.;;El truhán artero es un diplomático decente, aunque sin pulir.;;;;;;;;;x
vajrayana_buddhist;Vajrayana [buddhist.GetName];[buddhist.GetName] vajrayana;Vajrayana-[buddhist.GetName];;Vajrayana [buddhist.GetName];;;;;;;;;x
vajrayana_buddhist_desc;This character follows the Vajrayana branch of the [buddhist.GetName] faith.;Ce personnage suit la branche vajrayana de la foi [buddhist.GetName].;Dieser Charakter folgt dem Vajrayanazweig  des [buddhist.GetName]en Glaubens.;;Este personaje sigue la rama vajrayana del credo [buddhist.GetName].;;;;;;;;;x
voice_of_jesus;Voice Of Jesus;Voix de Jésus;Jesu Stimme;;Voz de Jesús;;;;;;;;;x
voice_of_jesus_desc;The Lord Jesus Christ Speaks to me;Le Seigneur Jésus me parle ;Der Herr Jesus Christus spricht zu mir;;El Señor Jesucristo me habla;;;;;;;;;x
weak;Weak;Faiblesse;Schwächlich;;Débil;;;;;;;;;x
weak_death;of poor physique;de sa faible constitution;an schlechter körperlicher Verfassung;;físico pobre;;;;;;;;;x
weak_desc;This character has been cursed with a weak physique.;Ce personnage a une constitution fragile.;Dieser Charakter ist mit einem schwachen Körperbau gezeichnet.;;Este personaje ha sido maldito con una constitución débil.;;;;;;;;;x
wounded;Wounded;Blessure;Verwundet;;Herido;Ferita;;;;;;;;x
wounded_death;of an infected wound;d'une blessure infectée;an einer entzündeten Wunde;;de una herida infectada;;;;;;;;;x
wounded_desc;This character has been seriously injured, but the damage should heal, given time.;Ce personnage est blessé, mais avec le temps, il ne devrait pas garder de séquelles.;Dieser Charakter wurde schwer verwundet, was sich bei entsprechender Heilungszeit aber geben sollte.;;Este personaje sufre heridas graves, aunque debería sanar con el tiempo.;;;;;;;;;x
wroth;Wroth;Colère;Zornig;;Iracundo;;;;;;;;;x
wroth_desc;The fifth deadly sin is Wrath, 'Ira', and this character certainly has a hot temper.;La colère, 'ira' en latin, est le cinquième péché capital. Ce personnage a indéniablement un tempérament fougueux.;Der Zorn, "Ira", ist die fünfte Todsünde ... und dieser Charakter hat ganz bestimmt ein hitziges Temperament.;;El quinto pecado capital es la ira y, por supuesto, este personaje tiene un carácter bastante fuerte.;;;;;;;;;x
zealous;Zealous;Zèle;Religiöser Eiferer;;Fanático;Fanatismo;;;;;;;;x
zealous_desc;This character burns with religious fervor and cannot tolerate heretics, infidels, or heathens.;Ce personnage est très pieux et ne supporte ni les hérétiques ni les infidèles.;Dieser Charakter brennt vor religiöser Leidenschaft und kann Ketzer, Ungläubige oder Heiden nicht tolerieren.;;Este personaje arde en fervor religioso y no tolera a los herejes, a los infieles y a los paganos.;;;;;;;;;x

# No longer used
secretly_aztec;Secretly Aztec;Secrètement de foi aztèque;Heimlicher Azteke;;Azteca en secreto;;;;;;;;;x
secretly_aztec_desc;This character practices Aztec Paganism in secret.;Ce personnage pratique le paganisme aztèque en secret.;Diese Person übt den aztekischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo azteca en secreto.;;;;;;;;;x
secretly_aztec_reformed;Secretly Reformed Aztec Pagan;Secrètement de foi aztèque réformée;Heimlicher reformierter aztekischer Heide;;Pagano azteca reformado en secreto;;;;;;;;;x
secretly_aztec_reformed_desc;This character practices Aztec Paganism in secret.;Ce personnage pratique le paganisme aztèque réformé en secret.;Diese Person übt den aztekischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo azteca en secreto.;;;;;;;;;x
secretly_baltic_pagan;Secretly Romuva;Secrètement de foi romuvienne;Heimlicher Romuva;;Romuvano en secreto;;;;;;;;;x
secretly_baltic_pagan_desc;This character practices Romuvan Paganism in secret.;Ce personnage pratique le paganisme romuvien en secret.;Diese Person übt den romuvanischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo romuvano en secreto.;;;;;;;;;x
secretly_baltic_pagan_reformed;Secretly Reformed Romuva;Secrètement de foi romuvienne réformée;Heimlicher reformierter Romuva;;Romuvano reformado en secreto;;;;;;;;;x
