obj_amass_wealth_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;[This.Get_Le_TitledFirstName] souhaite amasser de nombreuses richesses;[This.GetTitledFirstName] will großen Reichtum anhäufen;;[This.GetTitledFirstName] quiere acumular riqueza en abundancia.;;;;;;;;;x
obj_improve_martial_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Martial ability, since it is poor (lower than §Y8§!).;[This.Get_Le_TitledFirstName] souhaite améliorer ses aptitudes martiales trop médiocres (valeur inférieure à §R8§!).;[This.GetTitledFirstName] möchte [This.GetHerHis]e Kampffähigkeit verbessern, denn ihr Wert ist niedriger als 8.;;[This.GetTitledFirstName] quiere mejorar su habilidad marcial, dado que su valor es inferior a 8.;;;;;;;;;x
obj_improve_martial_title;Improve Martial Ability;Améliorer la compétence martiale;Kampffähigkeit verbessern;;Mejorar habilidad marcial;;;;;;;;;x
obj_improve_stewardship_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Stewardship, since it is poor (lower than §Y8§!).;[This.Get_Le_TitledFirstName] souhaite améliorer ses aptitudes trop médiocres en intendance (valeur inférieure à §R8§!).;[This.GetTitledFirstName] möchte [This.GetHerHis]e Verwaltung verbessern, weil ihr Wert niedriger als 8 ist.;;[This.GetTitledFirstName] desea mejorar [This.GetHerHis]  administración, dado que su valor es inferior a 8.;;;;;;;;;x
obj_improve_stewardship_title;Improve Stewardship;Améliorer la compétence en intendance;Verwaltung verbessern;;Mejorar la administración;;;;;;;;;x
obj_land_for_daughter;Gain Land for an Unlanded Daughter;Obtenir une terre pour une fille qui n'en a pas;Erobert Land für eine Tochter ohne Besitz;;Gana tierras para una hija sin título;;;;;;;;x
obj_land_for_daughter_desc;You wish to secure some land for a daughter that is currently not set to inherit any.;Vous souhaitez obtenir une terre pour une fille qui n'est actuellement pas prête à en hériter.;Ihr möchtet Land für eine Tochter sicher, die momentan nicht in Stellung gebracht wurde, um etwas zu erben.;;Deseas conseguir tierras para una hija que no heredaría ninguna.;;;;;;;;x
obj_land_for_daughter_success_tooltip;Acquire a county for your daughter.;Acquérir un comté pour votre fille.;Erwerbt für Eure Tochter eine Grafschaft.;;Consigue un condado para tu hija.;;;;;;;;x
obj_land_for_daughter_title;Gain Land for an Unlanded Daughter;Obtenir une terre pour une fille qui n'en a pas;Erobert Land für eine Tochter ohne Besitz;;Gana tierras para una hija sin título;;;;;;;;x
obj_land_for_son_desc;You wish to secure some land for a son that is currently not set to inherit any.;Vous désirez obtenir des terres pour un fils qui ne devrait normalement pas en hériter.;Ihr wünscht, für einen Sohn Land zu beschaffen, der momentan keine Aussichten darauf hat, Land zu erben.;;Deseas garantizar algunas tierras para un hijo que ahora mismo no heredaría ninguna. ;;;;;;;;;x
obj_land_for_son_success_tooltip;Acquire a county for your son.;Obtenir un comté pour votre fils.;Verschafft Eurem Sohn eine Grafschaft.;;Conseguir un condado para tu hijo.;;;;;;;;;x
obj_land_for_son_title;Gain Land for an Unlanded Son;Obtenir des terres pour un fils sans terres;Land für einen Sohn ohne Land beschaffen;;Conseguir tierras para un hijo sin ellas;;;;;;;;;x
obj_lower_decadence_desc;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty, as its value is above 60.;[This.Get_Le_TitledFirstName] souhaite réduire le niveau de décadence de sa dynastie, dont la valeur est supérieure à 60.;[This.GetTitledFirstName] möchte die Dekadenz [This.GetHerHis]er Dynastie senken, denn diese liegt über 60.;;[This.GetTitledFirstName] quiere reducir la decadencia de [This.GetHerHis] dinastía, ya que tiene un valor superior a 60.;;;;;;;;;x
obj_lower_decadence_title;Lower Decadence;Réduire la décadence;Gegen die Dekadenz;;Reducir Decadencia;;;;;;;;;x
obj_make_friends_condition_tooltip;To complete the ambition you need to make a friend.;Pour réussir cette ambition, vous devez vous faire un ami.;Um diese Ambition abzuschließen müsst Ihr einen Freund finden.;;Para cumplir esta ambición debes hacer un amigo.;;;;;x
obj_make_friends_desc;[This.GetTitledFirstName] wants to make a friend.;[This.Get_Le_TitledFirstName] veut se faire un ami.;[This.GetTitledFirstName] möchte einen Freund finden.;;[This.GetTitledFirstName] quiere hacer amigos.;;;;;x
obj_make_friends_title;Make a Friend;Se faire un ami;Findet einen Freund;;Haz un amigo;;;;;x
obj_marry_heir_desc;The ambitious [This.GetTitledFirstName] thinks that marrying a heir would be a good way to secure the future.;[This.Get_Le_TitledFirstName] pense qu'épouser un héritier serait un bon moyen d'asseoir son futur.;Die ehrgeizige [This.GetTitledFirstName] ist der Ansicht, dass die Vermählung mit einem Nachfolger die Zukunft finanziell sichern wird.;;La ambición de [This.GetTitledFirstName] le hace pensar que casarse con un heredero sería un modo excelente de escalar posiciones en la sociedad.;;;;;;;;;x
obj_marry_heir_title;Marry an Heir;Se marier à un héritier;Nachfolger heiraten;;Casarse con un heredero;;;;;;;;;x
obj_marry_ruler_desc;The ambitious [This.GetTitledFirstName] thinks that marrying a ruler would be an excellent way to climb the social ladder.;[This.Get_Le_TitledFirstName] pense qu'épouser un souverain serait un excellent moyen de gravir l'échelle sociale.;Die ehrgeizige [This.GetTitledFirstName] ist der Ansicht, dass die Vermählung mit einem Herrscher den Weg zur Spitze der sozialen Leiter bahnen wird.;;La ambición de [This.GetTitledFirstName] le hace pensar que casarse con un soberano sería un modo excelente de escalar posiciones en la sociedad.;;;;;;;;;x
obj_marry_ruler_title;Marry a Ruler;Se marier à un souverain;Herrscher heiraten;;Casarse con un soberano;;;;;;;;;x
obj_see_the_realm_prosper_desc;[This.GetTitledFirstName] wants to see [This.GetHerHis] realm prosper by staying at peace for §Y5 years§!.\n\nIf [This.GetFirstName]'s realm is attacked or [This.GetSheHe] goes to war, this ambition will fail and can't be taken again for §Y5 years§!.\n\nWhile this ambition is active, §YGlobal Revolt Risk§! is reduced by §Y1%§!.;[This.Get_Le_TitledFirstName] veut voir son pays prospérer en restant en paix pendant §Y5 ans§!.\n\nSi le pays de [This.GetFirstName] est attaqué ou [This.GetSilSielle] déclenche une guerre, cette ambition échouera et ne pourra être reprise avant §Y5 ans§!.\nTant que cette ambition est en cours, le §Yrisque global de révolte§! est réduit de §Y1%§!.;[This.GetTitledFirstName] möchte den Wohlstand im eigenen Reich behüten und §Y5 Jahre§! lang den Frieden wahren.\n\nWenn das Reich von [This.GetFirstName] angegriffen wird oder [This.GetSheHe] in den Krieg zieht, ist diese Zielsetzung gescheitert und kann erst in §Y5 Jahren§! erneut aktiviert werden.\n\nSolange diese Zielsetzung aktiv ist, reduziert sich das §Yglobale Aufstandsrisiko§! um §Y1%§!.;;[This.GetTitledFirstName] quiere ver su reino prosperar permaneciendo en paz durante §Y5 años§!.\n\nSi el reino de [This.GetFirstName]es atacado o va a la guerra, esta ambición fracasará y no se podrá volver a tomar en §Y5 años§!.\n\nMientras esta ambición esté activa, el §YRiesgo global de revuelta§! se reduce en §Y1%§!.;;;;;;;;;x
obj_see_the_realm_prosper_title;See the Realm Prosper;Voir le pays prospérer;Garant der Reichsentwicklung;;Ver el reino prosperar;;;;;;;;;x
obj_strengthen_religion_desc;[This.GetTitledFirstName] wants to see the authority of the §Y[Root.Religion.GetName]§! Religion strengthened, as it is currently below §Y30%§!.\n\nWhile this Ambition is active, [This.GetTitledFirstName] might be presented with special war opportunities.;[This.Get_Le_TitledFirstName] veut voir l'autorité de la religion §Y[Root.Religion.GetName]§! renforcée, puisqu'elle est actuellement en dessous de §Y30%§!.\n\nTant que cette ambition est active, [This.GetTitledFirstName] peut avoir des guerres spéciales.;[This.GetTitledFirstName] möchte die Autorität der §Y[Root.Religion.GetName]en§! Religion gestärkt sehen, da sie momentan niedriger als §Y30%§! ist.\n\nWährend diese Ambition aktiv ist, könnte [This.GetTitledFirstName] spezielle Kriegsmöglichkeiten bekommen.;;[This.GetTitledFirstName] quiere ver reforzada la autoridad del §Y[Root.Religion.GetName]§!, pues ahora mismo está debajo del §Y30%§!.\n\nMientras esta ambición esté activa, [This.GetTitledFirstName] puede recibir oportunidades de guerra especiales.;;;;;;;;;x
obj_strengthen_religion_title;Strengthen the [This.Religion.GetName] Religion;Renforcer la religion [This.Religion.GetName];Stärkt die [This.Religion.GetName]e Religion;;Reforzar el [This.Religion.GetName];;;;;;;;;x
obj_wants_landed_title_desc;[This.GetTitledFirstName] wants to be granted a fief of [This.GetPossPronoun] own.;[This.Get_Le_TitledFirstName] souhaite obtenir son propre fief.;[This.GetTitledFirstName] möchte ein eigenes Lehen übertragen bekommen.;;[This.GetTitledFirstName] quiere que se le conceda un feudo de su propiedad.;;;;;;;;;x
obj_wants_landed_title_title;Gain a Title;Obtenir un titre;Titel erringen;;Obtener un título;;;;;;;;;x
