caught_with_forgery;Forgery Discovered;Contrefaçon découverte;Fälschung entdeckt;;Falsificación descubierta;;;;;;;;x
ate_beating_heart;Heart-Eater;Mange des coeurs;Herzfresser;;Comecorazones;;;;;;;;x
religious_tolerance;Religious Tolerance;Tolérance religieuse;Religiöse Toleranz;;Tolerancia religiosa;;;;;;;;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;Le dirigeant a donné des signes de tolérance religieuse à la population.;Der Herrscher hat der Bevölkerung Zeichen religiöser Toleranz gegeben.;;El gobernante ha dado a la población señales de tolerancia religiosa.;;;;;;;;x
weak_leader_modifier;Weak Leader;Chef faible;Schwacher Anführer;;Líder débil;;;;;;;;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;N'a pas pu contrôler ses propres troupes.;Dieser Anführer konnte nicht einmal die eigenen Truppen kontrollieren.;;No pudo controlar sus propias tropas;;;;;;;;x
strong_leader_modifier;Strong Leader;Chef fort;Starker Anführer;;Líder fuerte;;;;;;;;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;Ne tolère pas l'indiscipline dans son armée.;Duldet keine Undiszipliniertheit in der Armee.;;No tolera la indisciplina en el ejército.;;;;;;;;x
plundering_leader_modifier;Plundering Leader;Chef pillard;Plündernder Anführer;;Líder saqueador;;;;;;;;x
plundering_leader_modifier_desc;Likes to sack and plunder.;Aime piller.;Mag es zu brandschatzen und zu plündern.;;Le gusta saquear y rapiñar.;;;;;;;;x
recently_burnt_the_land_not_owner;Plundered by Savages;Pillé par les sauvages;Von Wilden geplündert;;Saqueado por salvajes;;;;;;;;;x
recently_burnt_the_land_not_owner_desc;This county has been plundered by savages. For as long as this modifier remains, the county cannot be plundered again.;Ce comté a été pillé par des sauvages. Tant que ce modificateur reste, le comté ne peut plus être pillé.;Diese Grafschaft wurde von Wilden geplündert. Solange dieser Modifikator aktiv ist, kann die Grafschaft nicht erneut geplündert werden.;;Este condado ha sido saqueado por salvajes. Siempre que permanezca este modificador, el condado no se podrá volver a saquear.;;;;;;;;;x
throne_of_skulls;Throne of Skulls;Trône de crânes;Schädelthron;;Trono de cráneos;;;;;;;;;x
throne_of_skulls_desc;The skulls of this county's deceased population has been fashioned into a massive, gruesome throne.;Les crânes de la population décédée de ce comté ont été agencés pour former un énorme et horrible trône.;Aus den Schädeln der toten Bevölkerung dieser Grafschaft wurde ein massiver, grausiger Thron gefertigt.;;Los cráneos de población fallecida de este condado han sido reunidos en un trono enorme, espantoso.;;;;;;;;;x
nomadic_rites;Nomadic Rites;Rites nomades;Nomadische Rituale;;Ritos nómadas;;;;;;;;;x
nomadic_rites_desc;The Nomads of this county frequently perform war and fertility rites.;Les nomades de ce comté font souvent la guerre et des rites de fertilité.;Die Nomaden in dieser Grafschaft führen regelmäßig Kriegs- und Fruchtbarkeitsrituale durch.;;Los nómadas de este condado realizan con frecuencia ritos de fertilidad y guerra.;;;;;;;;x
nomads_exploited_land;Nomads Exploited Land;Les nomades ont exploité la terre;Nomaden beuteten das Land aus;;Tierra explotada por los nómadas;;;;;;;;;x
nomad_population_boom;Population Boom;Explosion de population;Bevölkerungsexplosion;;Auge de población;;;;;;;;;x
nomad_population_boom_spillover;Population Boom Spillover;Retombées de l'explosion de population;Begleiterscheinung der Bevölkerungsexplosion;;Excesos del auge de población.;;;;;;;;;x
wolf_child;Wolf Child;Enfant-loup;Wolfskind;;Niño Lobo;;;;;;;;;x
wolf_child_desc;There is something strange about this child...;Cet enfant a quelque chose d'étrange...;Irgendetwas stimmt mit diesem Kind nicht ...;;Hay algo extraño con este niño...;;;;;;;;;x
wolf_blood;Wolf's Blood;Sang de loup;Wolfsblut;;La sangre del lobo;;;;;;;;;x
wolf_blood_desc;This [GetGirlWomanBoyMan] is rumored to have the blood of wolves running through [GetHerHis] veins.;On raconte que dans les veines de cet enfant coule le sang des loups.;Diese Person hat angeblich Wolfsblut in den Adern.;;Corre un rumor sobre este personaje, se dice que por [GetHerHis] venas corre sangre de lobo.;;;;;;;;;x
sleep_deprivation;Not Sleeping Well;Insomniaque;Schlechter Schlaf;;No duerme bien;;;;;;;;;x
sleep_deprivation_desc;This [GetGirlWomanBoyMan] isn't getting much sleep lately.;Ce personnage souffre d'insomnie ces derniers temps.;Diese Person schlief in letzter Zeit nicht viel.;;Este personaje últimamente no duerme mucho.;;;;;;;;;x
lycanthropy;Werewolf;Lycanthropie;Lykanthropie;;Licantropía;;;;;;;;;x
lycanthropy_desc;Strange things happen around this [GetGirlWomanBoyMan] on some full moons.;Cela fait plusieurs pleines lunes que ce personnage se comporte de manière étrange.;Manchmal, bei Vollmond, geschehen seltsame Dinge in der Nähe dieser Person.;;Suceden cosas extrañas entorno a este personaje en algunas lunas llenas.;;;;;;;;;x
werewolf_killed;Full Moon Fever;Fièvre lunaire;Vollmondfieber;;Fiebre de la luna llena;;;;;;;;;x
werewolf_killed_desc;This [GetGirlWomanBoyMan] recently drew blood under the full moon.;Ce personnage a récemment tué lors de la pleine lune.;Diese Person hat vor kurzem bei Vollmond für Blutvergießen gesorgt.;;Este personaje recientemente vertió sangre bajo la luna llena. ;;;;;;;;;x
hoarse;Hoarse;Voix éraillée;Heiser;;Ronco;;;;;;;;;x
hoarse_desc;This [GetGirlWomanBoyMan] has overexerted [GetHerHis] voice and can hardly speak.;Ce personnage a poussé sa voix dans ses derniers retranchements et peut à peine parler.;Diese Person hat [GetHerHis]e Stimme stark beansprucht und kann kaum sprechen.;;Este personaje ha hecho un esfuerzo excesivo con [GetHerHis] voz y apenas puede hablar. ;;;;;;;;;x
manly_skill_wrestling;Wrestling Master;Maître lutteur;Meisterringer;;Maestro de lucha.;;;;;;;;;x
manly_skill_wrestling_desc;This [GetGirlWomanBoyMan] has mastered the skill of wrestling.;Ce personnage maîtrise l'art de la lutte.;Diese Person beherrscht das Ringen meisterhaft.;;Este personaje ha dominado la habilidad de la lucha libre.;;;;;;;;;x
denied_wrestling;Declined Wrestling Contest;Combat de lutte refusé;Ringkampfherausforderung abgelehnt;;Rechazo torneo de lucha.;;;;;;;;;x
denied_wrestling_desc;This [GetGirlWomanBoyMan] declined a challenge to a wrestling contest.;Ce personnage a refusé un défi de lutte.;Diese Person lehnte die Herausforderung zum Ringkampf ab.;;Este personaje ha rechazado un desafío en un torneo de lucha.;;;;;;;;;x
nomad_warhorse;Impressive Warhorse;Cheval de guerre impressionnant;Imposantes Schlachtross;;Impresionante caballo de guerra;;;;;;;;x
nomad_warhorse_desc;This [GetGirlWomanBoyMan] has chosen a particularly impressive horse as [GetHerHis] personal mount, granting [GetHerHim] additional prestige.;Ce personnage possède une monture personnelle particulièrement impressionnante, ce qui lui donne du prestige supplémentaire.;Diese Person nennt ein besonders imposantes Schlachtross ihr Eigen und erhält durch dieses persönliche Reittier zusätzliches Prestige.;;Este personaje ha elegido un caballo particularmente impresionante como [GetHerHis] montura personal, concediéndo [GetHerHim] prestigio adicional;;;;;;;;x
recent_county_uprising;Recent Uprising;Soulèvement récent;Kürzlicher Aufstand;;Insurrección reciente;;;;;;;;;x
holding_nomad_wargames;Holding Wargames;Organise des jeux martiaux en cours;Hält Kriegsspiele ab;;Sostener en juegos de guerra;;;;;x
holding_nomad_wargames_desc;This ruler is hosting a traditional competition in martial skills.;Ce souverain organise un tournoi traditionnel d'arts martiaux.;Dieser Herrscher veranstaltet einen traditionellen Wettkampf in den Kriegskünsten.;;Este gobernante está celebrando un concurso tradicional de habilidades marciales.;;;;;x
disloyal_peasantry;Disloyal Peasantry;Paysannerie déloyale;Untreue Bauern;;Clase Campesina Desleal;;;;;;;;;x
disloyal_peasantry_desc;Someone or something has stirred up disloyal sentiments towards the ruler among the peasants of the realm ;Quelqu'un ou quelque chose a suscité des sentiments déloyaux envers le dirigeant parmi les paysans du royaume ;Irgendetwas oder irgendwer hat die Bauern in ihren illoyalen Tendenzen gegenüber ihrem Herrscher bestärkt. ;;Algo o alguien ha suscitado sentimientos desleales contra el gobernante entre los campesinos del reino;;;;;;;;;x
spiritual_refused_pagans;Refused to Preach Among the Pagans;A refusé de prier parmi les païens;Weigerung, den Heiden zu predigen;;Se niega a predicar entre los paganos;;;;;;;;;x
spiritual_refused_pagans_desc;This [GetGirlWomanBoyMan], while a [GetLordSpiritualName], refused to proselytize in Pagan realms, deeming it much too dangerous.;Jugeant que c'était trop dangereux, cette personne, alors [GetLordSpiritualName], a refusé de faire du prosélytisme dans les royaumes païens.;In ihrer Zeit als [GetLordSpiritualName] weigerte sich diese Person, die Heiden zu bekehren, da sie dies für zu gefährlich hielt.;;Este personaje, siendo un [GetLordSpiritualName], se ha negado a hacer proselitismo en reinos paganos, considerándolo muy peligroso.;;;;;;;;;x
hard_of_hearing;Hard of Hearing;Dur de la feuille;Schwerhörigkeit;;Problemas de audición;;;;;;;;;x
hard_of_hearing_desc;This [GetGirlWomanBoyMan] has suffered damage to [GetHerHis] eardrums, affecting [GetHerHis] ability to communicate with others.;Ce personnage a subi des dommages à ses capacités auditives. Ses capacités de communication en sont réduites.;Diese Person hat durch eine Verletzung des Trommelfells Schwierigkeiten bei der Kommunikation.;;Este personaje ha sufrido daños en [GetHerHis] tímpanos, afectando [GetHerHis] capacidad de comunicarse con los demás.;;;;;;;;;x
marauding_pirates;Marauding Pirates;Pirates en maraude;Piratenplage;;Piratas saqueadores;;;;;;;;;x
councillors_changed_jobs;Changed Council Position Recently;A changé de poste au sein du Conseil récemment;Ratsposition kürzlich geändert;;Puesto del Consejo cambiado recientemente;;;;;;;;;x
mysterious_charm;Mysterious Charm;Charme mystérieux;Geheimnisvolle Anziehungskraft;;Encanto misterioso;;;;;;;;;x
mysterious_charm_desc;This [GetGirlWomanBoyMan] doesn't talk much, but there is something interesting about [GetHerHim]...;Ce personnage ne parle pas beaucoup, mais il dégage quelque chose de très intéressant...;Dieser Charakter redet nicht viel, aber etwas Interessantes geht von ihm aus ...;;Este personaje habla poco, pero tiene algo interesante...;;;;;;;;;x
silence_is_golden;Silence is Golden;Le silence est d'or.;Schweigen ist Gold;;En boca cerrada no entran moscas;;;;;;;;;x
silence_is_golden_desc;This [GetGirlWomanBoyMan] wisely chose to keep quiet.;Ce personnage a intelligemment choisi de rester discret.;Dieser Charakter zieht es klugerweise vor, zu schweigen.;;Este personaje sabiamente ha decidido callarse.;;;;;;;;;x
playing_dice;Playing Dice;Joue aux dés;Würfeln;;Jugar a los dados;;;;;;;;;x
playing_dice_desc;Playing dice successfully requires a sharp eye and a quick mind.;Bien jouer aux dés demande un oeil vif et un esprit rapide.;Beim Würfeln muss man ein gutes Auge und einen hellen Kopf haben.;;Jugar a los dados con éxito requiere vista aguda y mente rápida.;;;;;;;;;x
pet_rat_dungeon;Pet Rat;Rat de compagnie;Rattenfreund;;Rata mascota;;;;;;;;;x
pet_rat_dungeon_desc;This [GetGirlWomanBoyMan] has befriended a rat in the dungeon.;Ce personnage a apprivoisé un rat dans le cachot.;Dieser Charakter gewann im Kerker das Zutrauen einer Ratte.;;Este personaje se ha hecho amigo de una rata en el calabozo.;;;;;;;;;x
found_dark_stones;Dark Stones of Sorcery;Pierres sombres de sorcellerie;Steine der schwarzen Kunst;;Piedras oscuras de la hechicería;;;;;;;;;x
found_dark_stones_desc;This [GetGirlWomanBoyMan] has imagined strange and fantastic adventures in the dungeons, finding the Dark Stones of Sorcery.;Ce personnage a imaginé d'étranges aventures fantastiques dans le cachot, à la recherche des sombres pierres de sorcellerie.;Dieser Charakter stellte sich in seltsamen und fantastischen Abenteuern vor, wie er im Kerker nach den "Steinen der schwarzen Kunst" suchte.;;Este personaje ha imaginado extrañas y fantásticas aventuras en los calabozos, encontrando las Piedras Oscuras de la hechicería.;;;;;;;;;x
defeated_dread_king;Defeated the Dread King of Darkness;J'ai vaincu le terrifiant seigneur de l'ombre.;Besiegte den Fürsten der Dunkelheit.;;Derrotado al Temible Rey de las tinieblas;;;;;;;;;x
defeated_dread_king_desc;This [GetGirlWomanBoyMan] has imagined strange and fantastic adventures in the dungeons, defeating the Dread King of Darkness.;Ce personnage a imaginé d'étranges aventures fantastiques dans le cachot, vainquant le terrifiant seigneur de l'ombre.;Dieser Charakter stellte sich in seltsamen und fantastischen Abenteuern vor, wie er im Kerker den Fürsten der Dunkelheit besiegte.;;Este personaje ha imaginado extrañas y fantásticas aventuras en los calabozos, derrotando al Temible Rey de las tinieblas;;;;;;;;;x
dismissed_proposal;Rejecting Seduction Attempts;Tentative de séduction avortée;Abgewiesene Verführungsversuche;;Rechazando tentativas de la seducción;;;;;;;;;x
suicide;Suicide;Tendances suicidaires;Selbstmord;;Suicida;;;;;;;;;x
out_of_patience;Out of Patience;À bout de nerfs;Keine Geduld mehr;;Impaciente;;;;;;;;;x
chattermouth;Chattermouth;Commère;Quasselstrippe;;Charlatán;;;;;;;;;x
too_honest;Too Honest;Trop honnête;Zu ehrlich;;Demasiado honesto;;;;;;;;;x
impious_teachings;Impious Teachings;Enseignements impies;Unfromme Lehren;;Enseñanzas impías;;;;;;;;;x
groomed_to_perfection;Groomed to Perfection;La relève est fin prête;Zur Perfektion erzogen;;Preparado a la Perfección;;;;;;;;;x

depopulated_1;Minor Depopulation;Dépopulation mineure;Geringer Bevölkerungsverlust;;Despoblación menor;;;;;;;;;x
depopulated_1_desc;This county has been depopulated to a minor extent as a result of an epidemic. When diseases clear out of this county it will repopulate quickly.;La population de ce comté a chuté suite à une épidémie. Quand les maladies ne le frapperont plus, celui-ci se repeuplera rapidement.;Aufgrund einer Epidemie ging die Bevölkerungsanzahl in dieser Provinz leicht zurück. Sobald die Krankheiten in dieser Provinz ausgemerzt sind, wird sich die Bevölkerung schnell erholen.;;Esta provincia ha sido despoblada a escala menor a causea de una epidemia. Cuando la enfermedad deje la provincia, se repoblará rápidamente.;;;;;;;;;x
depopulated_2;Significant Depopulation;Dépopulation moyenne;Bedeutsamer Bevölkerungsverlust;;Despoblación significativa;;;;;;;;;x
depopulated_2_desc;This county has been significantly depopulated as a result of an epidemic. When diseases clear out of this county it will repopulate over several years.;La population de ce comté a chuté modérément suite à une épidémie. Quand les maladies ne le frapperont plus, celui-ci se repeuplera pendant plusieurs années.;Aufgrund einer Epidemie ging die Bevölkerungsanzahl in dieser Provinz erheblich zurück. Sobald die Krankheiten in dieser Provinz ausgemerzt sind, wird sich die Bevölkerung im Lauf einiger Jahre erholen.;;Esta provincia ha sido significativamente despoblada a causa de una epidemia. Cuando la enfermedad deje la provincia, se repoblará al cabo de unos años.;;;;;;;;;x
depopulated_3;Severe Depopulation;Forte dépopulation;Schwerwiegender Bevölkerungsverlust;;Despoblación grave;;;;;;;;;x
depopulated_3_desc;This county has been depopulated to a severe extent as a result of an epidemic. When diseases clear out of this county it will take many years to repopulate.;La population de ce comté a chuté fortement suite à une épidémie. Quand les maladies ne le frapperont plus, celui-ci se repeuplera pendant de nombreuses années.;Aufgrund einer Epidemie ging die Bevölkerungsanzahl in dieser Provinz extrem zurück. Sobald die Krankheiten in dieser Provinz ausgemerzt sind, wird sich die Bevölkerung nur über viele Jahre hinweg erholen.;;Esta provincia se ha despoblado muy gravemente a causa de una epidemia. Cuando la enfermedad deje la provincia, llevará muchos años hasta repoblarse.;;;;;;;;;x

mystic_treatment_decent;Mystically Altered;Transformation mystique;Mystisch verändert;;Alterado místicamente;;;;;;;;;x
mystic_treatment_decent_desc;This [GetGirlWomanBoyMan] has received an esoteric brand of treatment from a Mystic Court Physician.;Ce personnage a reçu un traitement ésotérique de la part d'un physicien de la Cour mystique.;Diese Person hat eine esoterische Behandlung durch einen Mystiker-Hofarzt erhalten.;;Este personaje ha recibido un tratamiento esotérico de un Médico Místico de la corte.;;;;;;;;;x
mystic_treatment_poor;Mystically Altered;Transformation mystique;Mystisch verändert;;Alterado místicamente;;;;;;;;;x
mystic_treatment_poor_desc;This [GetGirlWomanBoyMan] has received an esoteric brand of treatment from a Mystic Court Physician and does not feel very well.;Ce personnage a reçu un traitement ésotérique de la part d'un physicien de la Cour mystique et ne se sent pas très bien.;Diese Person hat eine esoterische Behandlung durch einen Mystiker-Hofarzt erhalten und fühlt sich nicht sehr gut.;;Este personaje ha recibido un tratamiento esotérico de un Médico Místico de la corte y no se siente muy bien.;;;;;;;;;x
mystic_treatment_terrible;Mystically Altered;Transformation mystique;Mystisch verändert;;Alterado místicamente;;;;;;;;;x
mystic_treatment_terrible_desc;This [GetGirlWomanBoyMan] has received an esoteric brand of treatment from a Mystic Court Physician and is close to death.;Ce personnage a reçu un traitement ésotérique de la part d'un physicien de la Cour mystique et est proche de la mort.;Diese Person hat eine esoterische Behandlung durch einen Mystiker-Hofarzt erhalten und ist dem Tode nahe.;;Este personaje ha recibido un tratamiento esotérico de un Médico Místico de la corte y está cerca de la muerte.;;;;;;;;;x

symptom_treatment_1;Minor Symptom Treatment;Traitement mineur;Geringfügige Behandlung der Symptome;;Tratamiento menor de síntomas;;;;;;;;;x
symptom_treatment_1_desc;Medical treatment can reduce or remove the effects of illnesses.;Un traitement médical peut réduire voire éliminer les effets des maladies.;Eine medizinische Behandlung kann die Auswirkungen von Krankheiten lindern oder heilen.;;Tratamiento médico que puede reducir o eliminar los efectos de las enfermedades.;;;;;;;;;x
symptom_treatment_2;Decent Symptom Treatment;Traitement correct;Ausreichende Behandlung der Symptome;;Tratamiento decente de síntomas;;;;;;;;;x
symptom_treatment_2_desc;Medical treatment can reduce or remove the effects of illnesses.;Un traitement médical peut réduire voire éliminer les effets des maladies.;Eine medizinische Behandlung kann die Auswirkungen von Krankheiten lindern oder heilen.;;Tratamiento médico que puede reducir o eliminar los efectos de las enfermedades.;;;;;;;;;x
symptom_treatment_3;Good Symptom Treatment;Bon traitement;Gute Behandlung der Symptome;;Buen tratamiento de síntomas;;;;;;;;;x
symptom_treatment_3_desc;Medical treatment can reduce or remove the effects of illnesses.;Un traitement médical peut réduire voire éliminer les effets des maladies.;Eine medizinische Behandlung kann die Auswirkungen von Krankheiten lindern oder heilen.;;Tratamiento médico que puede reducir o eliminar los efectos de las enfermedades.;;;;;;;;;x
symptom_treatment_4;Excellent Symptom Treatment;Excellent traitement;Ausgezeichnete Behandlung der Symptome;;Tratamiento excelente de síntomas;;;;;;;;;x
symptom_treatment_4_desc;Medical treatment can reduce or remove the effects of illnesses.;Un traitement médical peut réduire voire éliminer les effets des maladies.;Eine medizinische Behandlung kann die Auswirkungen von Krankheiten lindern oder heilen.;;Tratamiento médico que puede reducir o eliminar los efectos de las enfermedades.;;;;;;;;;x

successful_treatment;Successful Treatment;Traitement efficace;Erfolgreiche Behandlung;;Tratamiento exitoso;;;;;;;;;x
successful_treatment_1;Mild Treatment;Traitement léger;Milde Behandlung;;Tratamiento suave;;;;;;;;;x
successful_treatment_1_desc;This [GetGirlWomanBoyMan] has been decently treated by a Court Physician.;Ce personnage a été décemment soigné par un physicien de la Cour.;Diese Person wurde annehmbar von einem Hofarzt behandelt.;;Este personaje ha sido tratado decentemente por un médico de la corte.;;;;;;;;;x
successful_treatment_2;Successful Treatment;Traitement efficace;Erfolgreiche Behandlung;;Tratamiento exitoso;;;;;;;;;x
successful_treatment_2_desc;This [GetGirlWomanBoyMan] has been successfully treated by a Court Physician.;Ce personnage a été soigné avec succès par un physicien de la Cour.;Diese Person wurde erfolgreich von einem Hofarzt behandelt.;;Este personaje ha sido tratado exitosamente por un médico de la corte.;;;;;;;;;x
successful_treatment_3;Successful Experimental Treatment;Traitement expérimental efficace;Erfolgreiche experimentelle Behandlung;;Tratamiento experimental exitoso;;;;;;;;;x
successful_treatment_3_desc;This [GetGirlWomanBoyMan] has been masterfully treated by a Court Physician.;Ce personnage a été soigné magistralement par un physicien de la Cour.;Diese Person wurde ausgezeichnet von einem Hofarzt behandelt.;;Este personaje ha sido tratado magistralmente por un médico de la corte.;;;;;;;;;x

failed_treatment_1;Ill-Treatment;Mauvais traitement;Schlechte Behandlung;;Maltrato;;;;;;;;;x
failed_treatment_1_desc;A Court Physician has failed in treating this [GetGirlWomanBoyMan]s illness.;Un physicien de la cour a échoué à soigner la maladie de ce personnage.;Ein Hofarzt hat bei der Behandlung der Krankheit dieser Person versagt.;;Un médico de la corte fracasó en el tratamiento de la enfermedad de este personaje;;;;;;;;;x
failed_treatment_2;Horrible Mistreatment;Mauvais traitement terrible;Entsetzliche Fehlbehandlung;;Maltrato horrible;;;;;;;;;x
failed_treatment_2_desc;A Court Physician has completely botched the treatment of this [GetGirlWomanBoyMan]s illness.;Un physicien de la cour a bâclé le traitement de la maladie de ce personnage.;Ein Hofarzt hat bei der Behandlung der Krankheit dieser Person völlig versagt.;;Un médico de la corte arruinó completamente el tratamiento de la enfermedad de este personaje.;;;;;;;;;x

good_care;Good Care;Bons soins;Gute Pflege;;Buenos cuidados;;;;;;;x
good_care_desc;This [GetGirlWomanBoyMan] has received good care after an injury or an illness.;Ce personnage a reçu de bons soins après une blessure ou une maladie.;Dieser Charakter hat nach einer Verletzung oder einer Krankheit gute Pflege erhalten.;;Este personaje ha recibido buenos cuidados tras sufrir una herida o una enfermedad.;;;;;;;x

bad_care;Bad Care;Mauvais soins;Schlechte Pflege;;Malos cuidados;;;;;;;x
bad_care_desc;This [GetGirlWomanBoyMan] has received bad care after an injury or an illness.;Ce personnage a reçu de mauvais soins après une blessure ou une maladie.;Dieser Charakter hat nach einer Verletzung oder einer Krankheit schlechte Pflege erhalten.;;Este personaje ha recibido malos cuidados tras sufrir una herida o una enfermedad.;;;;;;;x

in_seclusion;Secluded with Courtiers;Vit en réclusion avec ses courtisans;Mit Höflingen in Klausur;;Recluido con cortesanos;;;;;;;;;x
commoners_abandoned;Commoners Abandoned;Roturiers abandonnés;Einfaches Volk im Stich gelassen;;§Y[GetBestName]§! se recluye con sus cortesanos\n;;;;;;;;;x
alliance_breaker;Alliance-Breaker;Briseur d'alliance;Bündnisbrecher;;Rompealianzas;;;;;;;;;x
broken_non_aggression_pact_char_modifier;Non-Aggression Pact Breaker;Briseur de pacte de non-agression;Nichtangriffspaktbrecher;;Rompepactos de No agresión;;;;;;;;;x
broken_non_aggression_pact_char_modifier_desc;This [GetGirlWomanBoyMan] has broken a Non-Aggression Pact and is considered untrustworthy;Ce personnage a brisé un pacte de non-agression et est indigne de confiance.;Diese Person hat einen Nichtangriffspakt gebrochen und gilt als nicht vertrauenswürdig;;Este personaje ha roto un Pacto de no agresión y se considera poco fiable;;;;;;;;;x
tiny_food_shortage;Trivial Food Shortage;Pénurie de vivres insignifiante;Unbedeutende Lebensmittelknappheit;;Escasez de comida nimia;;;;;;;;;x
tiny_food_shortage_desc;This [GetGirlWomanBoyMan] is suffering slightly due to a lack of food.;Ce personnage souffre légèrement d'un manque de nourriture.;Diese Person leidet geringfügig unter einer Lebensmittelknappheit.;;Este personaje sufre ligeramente debido a la falta de comida.;;;;;;;;;x
minor_food_shortage;Minor Food Shortage;Légère pénurie de vivres;Geringe Lebensmittelknappheit;;Escasez de comida menor;;;;;;;;;x
minor_food_shortage_desc;This [GetGirlWomanBoyMan] is suffering due to a lack of food.;Ce personnage souffre d'un manque de nourriture.;Diese Person leidet unter einer Lebensmittelknappheit.;;Este personaje sufre debido a la falta de comida.;;;;;;;;;x
normal_food_shortage;Food Shortage;Pénurie de vivres;Lebensmittelknappheit;;Escasez de comida;;;;;;;;;x
normal_food_shortage_desc;This [GetGirlWomanBoyMan] is suffering heavily due to a lack of food.;Ce personnage souffre beaucoup d'un manque de nourriture.;Diese Person leidet schwer unter einer Lebensmittelknappheit.;;Este personaje sufre mucho debido a la falta de comida.;;;;;;;;;x
starving_food_shortage;Starving!;Famélique !;Hungersnot!;;¡Pasando hambre!;;;;;;;;;x
starving_food_shortage_desc;This [GetGirlWomanBoyMan] is starving.;Ce personnage est famélique.;Diese Person ist am Verhungern.;;Este personaje está pasando hambre.;;;;;;;;;x
greedy_food_shortage;Greedy;Gourmandise;Gierig;;Glotón;;;;;;;;;x
greedy_food_shortage_desc;This [GetGirlWomanBoyMan] has eaten more than [GetHerHis] fair share of food.;Ce personnage a mangé une plus grande part que ce qu'un partage équitable lui permettrait.;Diese Person hat mehr gegessen, als ihr zusteht.;;Este personaje ha comido más de su ración de comida.;;;;;;;;;x
recently_opened_gates;Abandoned the Commoners;A abandonné les roturiers;Einfaches Volk im Stich gelassen;;Abandonó a los plebeyos;;;;;;;;;x
crushed_rebels_from_seclusion;Crushed Castle Rebellion;Rébellion au château réprimée;Niedergeschlagener Aufstand in der Burg;;Rebelión del castillo aplastada;;;;;;;;;x
suspected_assassin;Suspected Assassin;Assassin présumé;Mutmaßlicher Auftragsmörder;;Sospecha de asesino;;;;;;;;;x
survived_assassination;Killed an Assassin;A tué un assassin;Tötete einen Auftragsmörder;;Mató a un asesino;;;;;;;;;x
consorts_with_mystics;Consorts With Mystics;Fréquentation de mystiques;Verkehrt mit Mystikern;;Trata con místicos;;;;;;;;;x
consorts_with_infidels;Consorts With Infidels;Fréquentation d'infidèles;Verkehrt mit Ungläubigen;;Trata con infieles;;;;;;;;;x
peasant_crisis;Peasant Crisis;Crise paysanne;Bauernkrise;;Crisis de campesinos;;;;;;;;;x
peasant_pleased_witch_hunt;Peasants Pleased With Witch Hunt;Les paysans sont contents de la chasse aux sorcières;Bauern zufrieden mit Hexenverfolgung;;Campesinos complacidos con Caza de brujas;;;;;;;;;x
renewed_faith;Renewed Faith;Foi renouvelée;Erneuerter Glaube;;Fe renovada;;;;;;;;;x
no_more_cats;Cats Exterminated;Chats exterminés;Katzen ausgelöscht;;Gatos exterminados;;;;;;;;;x
pet_cat;Pet Cat;Chat de compagnie;Hauskatze;;Gato mascota;;;;;;;;;x
pet_cat_desc;Your adorable cat purrs softly when you are close and is always there to comfort you and keep you warm.;Votre adorable chat ronronne doucement quand vous êtes à proximité et est toujours là pour vous réconforter et vous garder au chaud.;Eure putzige Katze schnurrt sanft, wenn Ihr Euch in ihrer Nähe befindet und ist immer da, um Euch zu trösten und zu wärmen.;;Tu adorable gatito ronronea suavemente cuando estás cerca y está siempre allí para reconfortarte y mantenerte caliente.;;;;;;;;;x
dancing_queen;Dancing Queen;Reine dansante;Tanzende Königin;;La Reina del baile;;;;;;;;;x
dancing_queen_desc;This [GetGirlWomanBoyMan] has impressed the peasants with [GetHerHis] graceful dancing!;Ce personnage a impressionné les paysans par sa danse gracieuse !;Diese Person hat die Bauern mit ihren anmutigen Tanzeinlagen beeindruckt.;;¡Este personaje ha impresionado a los campesinos con su grácil baile!;;;;;;;;;x
dancing_king;Dancing King;Roi dansant;Tanzender König;;El Rey del baile;;;;;;;;;x
dancing_king_desc;This [GetGirlWomanBoyMan] has impressed the peasants with [GetHerHis] graceful dancing!;Ce personnage a impressionné les paysans par sa danse gracieuse !;Diese Person hat die Bauern mit ihren anmutigen Tanzeinlagen beeindruckt.;;¡Este personaje ha impresionado a los campesinos con su grácil baile!;;;;;;;;;x
cant_stop_dancing;Can't Stop Dancing;Ne peut pas arrêter de danser;Kann nicht aufhören, zu tanzen;;No puede dejar de bailar;;;;;;;;;x
cant_stop_dancing_desc;This [GetGirlWomanBoyMan] can't stop moving [GetHerHis] arms and legs! Unable to eat or sleep, this [GetGirlWomanBoyMan] is close to death.;Ce personnage ne peut pas arrêter de bouger ses bras et ses jambes ! Incapable de manger ou de dormir, il est proche de la mort.;Diese Person kann einfach nicht stillhalten! Da sie nicht im Stande ist, zu essen oder zu schlafen, wird sie bald sterben.;;¡Este personaje no puede parar los brazos y piernas! Incapaz de comer o dormir, este personaje está a punto de morir.;;;;;;;;;x
devoted_worshiper;Devoted Worshiper;Adoration religieuse profonde;Ergeben im Glauben;;Fiel devoto;;;;;;;;;x
fake_worshiper;Visiting Temple;Se rend au temple;Besucht den Tempel;;Visitando templo;;;;;;;;;x
