# Vanilla
alcohol_gift_decision;Send Alcohol Gift;Offrir de l'alcool;Alkohol-Geschenk schicken;;Enviar regalo de alcohol;;;;;;;;;x
faction_succ_feudal_elective_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the institution of Elective Monarchy. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présentez un ultimatum [Root.Liege.Get_only_au_Title]§Y[Root.Liege.GetBestName]§! pour exiger l'instauration d'une monarchie élective. [Root.Liege.GetSilSielleCap] refuse votre requête, votre faction prendra alors les armes.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert eine Wahlmonarchie. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Enviar un ultimátum a §Y[Root.Liege.GetBestName]§!, reclamando la instauración de la Monarquía Electiva. Si [Root.Liege.GetSubjectPronoun] se niega a concederla, tu Facción se sublevará.;;;;;;;;;x
faction_succ_gavelkind_ultimatum;Demand Succession by Gavelkind;Demander la succession par partage salique;Eine Nachfolge nach Erbteilung fordern;;Reclamar la sucesión por Gavelkind;;;;;;;;;x
faction_succ_gavelkind_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding succession by Gavelkind. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présentez un ultimatum [Root.Liege.Get_only_au_Title]§Y[Root.Liege.GetBestName]§! pour exiger la succession par partage salique. [Root.Liege.GetSilSielleCap] refuse votre requête, votre faction prendra alors les armes.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert die Nachfolge nach Erbteilung. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Enviar un ultimátum a §Y[Root.Liege.GetBestName]§!, reclamando la instauración de la sucesión por Gavelkind. Si [Root.Liege.GetSubjectPronoun] se niega a concederla, tu Facción se sublevará.;;;;;;;;;x
faction_succ_primogeniture_ultimatum;Demand Succession by Primogeniture;Demander la succession par primogéniture;Nachfolge nach Primogenitur fordern;;Reclamar la sucesión por Primogenitura;;;;;;;;;x
faction_succ_primogeniture_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding succession by Primogeniture. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présentez un ultimatum [Root.Liege.Get_only_au_Title]§Y[Root.Liege.GetBestName]§! pour exiger la succession par primogéniture. [Root.Liege.GetSilSielleCap] refuse votre requête, votre faction prendra alors les armes.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert die Nachfolge nach Primogenitur. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Enviar un ultimátum a §Y[Root.Liege.GetBestName]§!, reclamando la sucesión por Primogenitura. Si [Root.Liege.GetSubjectPronoun] se niega a concederla, tu Facción se sublevará.;;;;;;;;;x
faction_succ_seniority_ultimatum;Demand Succession by Seniority;Demander la succession par ancienneté;Nachfolge nach dem Senioratsprinzip fordern;;Reclamar la sucesión por Antigüedad;;;;;;;;;x
faction_succ_seniority_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding succession by Seniority. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présentez un ultimatum [Root.Liege.Get_only_au_Title]§Y[Root.Liege.GetBestName]§! pour exiger la succession par ancienneté. [Root.Liege.GetSilSielleCap] refuse votre requête, votre faction prendra alors les armes.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert die Nachfolge nach dem Senioratsprinzip. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Enviar un ultimátum a §Y[Root.Liege.GetBestName]§!, reclamando la sucesión por Antigüedad. Si [Root.Liege.GetSubjectPronoun] se niega a concederla, tu Facción se sublevará.;;;;;;;;;x
feast_0;Hold a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;;;;;;;;;x
feast_0_desc;Hold the biggest feast ever seen in the Kingdom!;Organisez le plus grand banquet du Royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;;;;;;;;;x
form_the_hre;Form the Holy Roman Empire;Constituer le Saint-Empire romain;Errichtet das Heilige Römische Reich;;Del Sagrado Imperio Romano;;;;;;;;;x
form_the_hre_desc;With a realm to rival that of Charlemagne, I could be recognized as his true successor and, invoking Translatio Imperii, have [Root.RelHead.GetBestName] crown me Emperor of a new Roman Empire in the west!;Si j'avais un royaume rivalisant avec celui de Charlemagne, on pourrait me reconnaître comme son véritable successeur. En invoquant le principe de Translatio Imperii (transfert de puissance), je pourrais même faire en sorte que [Root.RelHead.Get_only_le_Title][Root.RelHead.GetBestName] me couronne empereur d'un nouvel empire romain de l'Ouest !;Mit einem Reich, das dem von Karl dem Großen gleichkommt, könnte ich als sein wahrer Nachfolger gelten und mich durch die Anrufung der Translatio Imperii von [Root.RelHead.GetBestName] zum Kaiser des neuen Römischen Imperiums des Westens krönen lassen!;; Con un reino para rivalizar con el de Carlomagno, yo podría ser reconocido como su verdadero sucesor e, invocando a Translatio Imperii, que [Root.RelHead.GetBestName] me corone emperador de un Nuevo Imperio Romano en el oeste!;;;;;;;;;x
go_into_hiding;Go into Hiding;Se cacher;Versteckt Euch;;Ir a la Clandestinidad;;;;;;;;;x
go_into_hiding_desc;I can go into hiding in order to greatly improve my personal security against murder plots. My prestige and diplomatic ability are likely to suffer, however, and who knows how a life in hiding may affect my personality...;Je peux me cacher si je veux assurer ma sécurité contre les complots meurtriers. Je perdrai toutefois en prestige et en diplomatie, et qui sait quels effets aura ce genre de vie sur ma personnalité...;Ich kann mich verstecken, um sicherer vor Mordanschlägen zu sein. Mein Prestige und meine diplomatische Fähigkeit werden aber wohl darunter leiden und wer weiß, wie sich das Leben im Untergrund auf meine Persönlichkeit auswirkt ...;;Puedo ir a la clandestinidad para mejorar en gran medida mi seguridad personal contra complots de asesinato. No obstante, mi prestigio y habilidad diplomática seguramente quedaran afectadas, y quién sabe cómo afectará a mi personalidad una vida en la clandestinidad...;;;;;;;;;x
help_liege_manage_titles;Offer to help with liege titles;Aider [Root.Liege.GetLeLa] [Root.Liege.GetLordLady] lige à gérer ses titres;Bietet Eure Hilfe bei Lehnstiteln an;;Ofrecer ayuda con los títulos feudales;;;;;;;;x
help_liege_manage_titles_desc;Give your assistance to your liege to manage his recently acquired titles and hand them out to new holders in his realm.;Proposer à votre [Root.Liege.GetLordLady] lige de l'aider dans la gestion de ses nouveaux titres en les distribuant à de nouveaux titulaires dans son pays.;Unterstützt Euren Lehnsherrn bei der Verwaltung seiner neu erworbenen Titel und verteilt sie an neue Halter in seinem Reich.;;Dar tu asistencia a tu señor feudal para gestionar sus títulos recientemente adquiridos y distribuirlos entre los nuevos dueños de este reino.;;;;;;;;x
hold_a_epic_tournament;Hold a Grand Tournament;Organiser un grand tournoi;Ein Großes Turnier abhalten;;Celebra un gran torneo.;;;;;;;;;x
hold_a_epic_tournament_desc;Let us hold a tournament the like of which is only rumored. We will never hold another one in our reign.;Organisons un tournoi de ceux dont parlent les rumeurs. Nous n'en organiserons pas d'autre sous notre règne.;Lasst uns ein Turnier abhalten, wie man es nur aus Erzählungen kennt. Während unserer Regentschaft werden wir kein weiteres organisieren.;;Celebremos un torneo de los que haga a la gente cuchichear. Nunca celebraremos ningún otro en nuestro reino.;;;;;;;;;x
hold_grand_hunt;Go on a Grand Hunt;Participer à une grande partie de chasse;Auf eine Hofjagd gehen;;Únete a una gran cacería;;;;;;;;;x
hold_grand_hunt_desc;Go on a Grand Hunt with the best hunters in our domains!;Participez à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x
issue_declaration_of_repentance;Issue Declaration of Repentance;Envoyer une déclaration de repentance;Deklaration der Reue veranlassen;;Emitir declaración de redención;;;;;;;;;x
issue_declaration_of_repentance_desc;Send a letter to the head of the [Root.Religion.GetName] Church in the hope of getting your sins forgiven and having your Excommunication lifted.;Envoyer une lettre au chef de l'Église [Root.Religion.GetName] dans l'espoir que vos péchés soient pardonnés et que votre excommunication soit levée.;Schickt einen Brief an das Oberhaupt der [Root.Religion.GetName]en Kirche und hofft, dass Euch Eure Sünden vergeben werden und Eure Exkommunikation aufgehoben wird.;;Escribe al líder de la Iglesia [Root.Religion.GetName] esperando que te perdonen los pecados y te levanten la excomunión.;;;;;;;;x
kievan_rus_local_traditions;Embrace Local Traditions;Embrasser les traditions locales;Lokale Traditionen fördern;;Abrazar las tradiciones locales;;;;;x
kievan_rus_local_traditions_desc;Though I am respected as the ruler of Kiev, I often have a certain distance to some of my courtiers and vassals. Maybe it is time for me to adopt their culture and faith?;Bien qu'on me respecte en tant que chef de Kiev, je ressens souvent une certaine distance vis-à-vis de mes courtisans et vassaux. Peut-être est-il temps pour moi d'adopter leur culture et leur foi ?;Obwohl ich als Herrscher von Kiew respektiert werde, habe ich oft eine gewisse Distanz zu einigen meiner Höflinge und Vasallen. Vielleicht ist es Zeit, dass ich ihre Kultur und ihren Glauben annehme?;;Aunque se me respeta como gobernante de Kiev, a menudo siento una cierta distancia respecto a algunos de mis cortesanos y vasallos. ¿Será el momento de adoptar su cultura y su fe?;;;;;x
legitimize_bastard;Legitimize;Légitimer;Legitimieren;;Legitimar;;;;;;;;;x
legitimize_bastard_desc;Declare that §Y[This.GetBestName]§! is a legitimate child and not a bastard after all...;Reconnaissez [This.Get_only_le_Title]§Y[This.GetBestName]§! en tant qu'enfant légitime...;Erklärt, dass §Y[This.GetBestName]§! doch ein legitimes Kind ist und kein Bastard ...;;Reconoce finalmente a §Y[This.GetBestName]§! como hijo legítimo, no como bastardo...;;;;;;;;;x
legitimize_bastard_named;Legitimize [Root.GetTitledFirstName];Légitimer [Root.Get_le_TitledFirstName];[Root.GetTitledFirstName] legitimieren;;Legitimar a [Root.GetTitledFirstName];;;;;;;;;x
make_primary;Make County Capital;Définir comme capitale du comté;Zur Provinzhauptstadt erklären;;Hazla capital del condado;;;;;;;;;x
make_primary_desc;I can make this holding the county capital of this county.;Je peux faire de cette propriété la capitale du comté.;Ich kann dieses Besitztum zur Hauptstadt dieser Provinz erklären.;;Puedo hacer de esta posesión la capital del condado de esta provincia.;;;;;;;;;x
plot_gain_fellow_vassal_title_decision_75;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_gain_fellow_vassal_title_decision_75_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;Mettez sur pied un complot visant à obtenir le titre de [Root.PlotTargetTitle.GetFullBaseName].;Setzt den Plan in Bewegung, indem Ihr versucht, einen Anspruch auf den Titel [Root.PlotTargetTitle.GetFullBaseName] zu fingieren.;;Comenzar el complot intentando elaborar una reclamación contra el [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x
plot_gain_fellow_vassal_title_decision_100;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_gain_fellow_vassal_title_decision_100_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;Mettez sur pied un complot visant à obtenir le titre de [Root.PlotTargetTitle.GetFullBaseName].;Setzt den Plan in Bewegung, indem Ihr versucht, einen Anspruch auf den Titel [Root.PlotTargetTitle.GetFullBaseName] zu fingieren.;;Comenzar el complot intentando elaborar una reclamación contra el [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x
plot_gain_indie_title_decision_75;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_gain_indie_title_decision_75_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;Mettez sur pied un complot visant à obtenir le titre de [Root.PlotTargetTitle.GetFullBaseName].;Setzt den Plan in Bewegung, indem Ihr versucht, einen Anspruch auf den Titel [Root.PlotTargetTitle.GetFullBaseName] zu fingieren.;;Comenzar el complot intentando elaborar una reclamación contra el [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x
plot_gain_indie_title_decision_100;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_gain_indie_title_decision_100_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;Mettez sur pied un complot visant à obtenir le titre de [Root.PlotTargetTitle.GetFullBaseName].;Setzt den Plan in Bewegung, indem Ihr versucht, einen Anspruch auf den Titel [Root.PlotTargetTitle.GetFullBaseName] zu fingieren.;;Comenzar el complot intentando elaborar una reclamación contra el [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x
plot_gain_liege_title_decision_75;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_gain_liege_title_decision_75_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;Mettez sur pied un complot visant à obtenir le titre de [Root.PlotTargetTitle.GetFullBaseName].;Setzt den Plan in Bewegung, indem Ihr versucht, einen Anspruch auf den Titel [Root.PlotTargetTitle.GetFullBaseName] zu fingieren.;;Comenzar el complot intentando elaborar una reclamación contra el [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x
plot_gain_liege_title_decision_100;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_gain_liege_title_decision_100_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;Mettez sur pied un complot visant à obtenir le titre de [Root.PlotTargetTitle.GetFullBaseName].;Setzt den Plan in Bewegung, indem Ihr versucht, einen Anspruch auf den Titel [Root.PlotTargetTitle.GetFullBaseName] zu fingieren.;;Comenzar el complot intentando elaborar una reclamación contra el [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x
plot_gain_title_decision;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_gain_title_decision_desc;Put the plot into motion by sending an ultimatum to [Root.PlotTarget.GetTitledName].;Initier le complot en envoyant un ultimatum [Root.PlotTarget.Get_au_TitledName].;Verschwörung durch Senden eines Ultimatums an [Root.PlotTarget.GetTitledName] in Bewegung setzen.;;Pon en marcha el complot enviando un ultimátum a [Root.PlotTarget.GetTitledName].;;;;;;;;;x
plot_gain_vassal_title_decision;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_gain_vassal_title_decision_desc;Put the plot into motion by sending an ultimatum to [Root.PlotTarget.GetTitledName].;Lancer l'exécution du complot en envoyant un ultimatum [Root.PlotTarget.Get_au_TitledName].;Setzt die Verschwörung durch Senden eines Ultimatums an [Root.PlotTarget.GetTitledName] in Bewegung.;;Pon en marcha el complot enviando un ultimátum a [Root.PlotTarget.GetTitledName].;;;;;;;;;x
plot_weaken_fellow_vassal_decision;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_weaken_fellow_vassal_decision_desc;Put the plot into motion by sending an ultimatum to [Root.PlotTarget.GetTitledName].;Déclencher le complot en envoyant un ultimatum [Root.PlotTarget.Get_au_TitledName];Starten Sie die Verschwörung, indem Sie ein Ultimatum an [Root.PlotTarget.GetTitledName] schicken.;;Impulsar el complot enviando un ultimatum a [Root.PlotTarget.GetTitledName].;;;;;;;;;x
plot_weaken_fellow_vassal_decision_liege;Seek the backing of [Root.TopLiege.GetTitledFirstName].;Solliciter le soutien [Root.TopLiege.Get_du_TitledFirstName].;Versuchen Sie, [Root.TopLiege.GetTitledFirstName] als Mitverschwörer zu gewinnen.;;Obtener el apoyo de [Root.TopLiege.GetTitledFirstName].;;;;;;;;;x
plot_weaken_fellow_vassal_decision_liege_desc;Seek the backing of [Root.TopLiege.GetTitledFirstName] in dividing the holdings of [Root.PlotTarget.GetTitledName] by sending [Root.TopLiege.GetHerHim] a letter. If the [Root.TopLiege.GetTitle] does not support the plot, it will likely be leaked at court...;Solliciter par l'envoi d'une lettre le soutien [Root.TopLiege.Get_du_TitledFirstName] vis-à-vis du démembrement des seigneuries [Root.PlotTarget.Get_du_TitledName]. Si, toutefois, [Root.TopLiege.Get_only_le_Title][Root.TopLiege.GetTitle] ne soutient pas notre complot, il est probable qu'il le dénonce...;Versuchen Sie, [Root.TopLiege.GetTitledFirstName] als Mitverschwörer, um die Besitztümer von [Root.PlotTarget.GetTitledName] aufzuteilen, zu gewinnen, indem Sie einen Brief an [Root.TopLiege.GetHerHim] schicken. Wenn der [Root.TopLiege.GetTitle] die Verschwörung nicht unterstützen wird, wird sie wahrscheinlich auffliegen.;;Obtener el apoyo de [Root.TopLiege.GetTitledFirstName] para dividir los territorios de [Root.PlotTarget.GetTitledName] enviando[Root.TopLiege.GetHerHim] una carta. Si el [Root.TopLiege.GetTitle] no lo apoya, será filtrada a la corte...;;;;;;;;;x
present_debutante;Present Débutante;Présenter une débutante;Debütantin präsentieren;;Presentar debutante;;;;;;;;;x
present_debutante_desc;A young noblewoman who has caught your eye makes her début at a formal ball.;Invitez une jeune femme issue de la noblesse à participer à un bal.;Eine junge Adlige, die Euch auffiel, gibt ihr Debüt auf einem formellen Ball.;;Una joven noble a la que has echado el ojo debuta en una celebración formal.;;;;;;;;;x
prisoner_to_dungeon;Move to Dungeon Cell;Transférer au cachot;In eine Kerkerzelle verlegen;;Trasladarlo a celda del calabozo;;;;;;;;;x
prisoner_to_dungeon_desc;Have §Y[Root.GetTitledFirstName]§! moved to a secure cell in the dungeon, where [Root.GetSubjectPronoun] can't escape easily, yet with a fair life expectancy.;Faire transférer [Root.Get_le_TitledFirstNameJ] dans une cellule du cachot, d'où [Root.GetIlElle] ne s'échappera pas facilement et aura une espérance de vie correcte.;Lasst §Y[Root.GetTitledFirstName]§! in eine sichere Zelle des Kerkers verlegen. Von dort kann [Root.GetSubjectPronoun] nicht so leicht entkommen, trotzdem bleibt die Lebenserwartung im Rahmen.;;Haz trasladar a §Y[Root.GetTitledFirstName]§! a una celda segura en el calabozo, donde [Root.GetSubjectPronoun] no pueda escapar fácilmente, pero con una esperanza de vida justa.;;;;;;;;;x
prisoner_to_oubliette;Throw in Oubliette;Jeter aux oubliettes;Ins Verlies werfen;;Tirarlo a la mazmorra;;;;;;;;;x
prisoner_to_oubliette_desc;Have §Y[Root.GetTitledFirstName]§! thrown into the deepest hole in the dungeon and forget all about [Root.GetObjectPronoun]. There is no escape from the Oubliette! ([Root.GetPossPronounCap] life expectancy will not be high down there...).;Faire jeter [Root.Get_le_TitledFirstNameJ] dans le trou le plus profond du château et oublier jusqu'à son existence. On ne s'échappe pas des oubliettes ! Son espérance de vie ne sera pas bien longue là-dedans...;Lasst §Y[Root.GetTitledFirstName]§! in das finsterste Loch des Kerkers werfen und dort verrotten. Ein Entkommen aus dem Verlies ist undenkbar! (Wen es dorthin verschlägt, dessen letztes Stündlein wird sicherlich bald schlagen ...).;;Arrojar §Y[Root.GetTitledFirstName]§! al pozo más profundo en la mazmorra y olvidar todo sobre [Root.GetObjectPronoun]. ¡De la mazmorra no hay salida! ([Root.GetPossPronounCap] esperanza de vida no será muy alta allí abajo...). ;;;;;;;;;x
prisoner_to_suite;Put in House Arrest;Transférer en résidence surveillée;Unter Hausarrest stellen;;Puesto bajo arresto domiciliario;;;;;;;;;x
prisoner_to_suite_desc;Move §Y[Root.GetTitledFirstName]§! to a guarded suite of rooms. There is a higher risk of escape, but [Root.GetSubjectPronoun] will want for nothing and can expect to live for a long time.;Faire transférer [Root.Get_le_TitledFirstNameJ] dans une résidence surveillée. Il est plus facile de s'en échapper, mais [Root.GetIlElle] ne manquera de rien et pourra vivre longtemps.;Lasst §Y[Root.GetTitledFirstName]§! in einen bewachten Bereich mit mehreren Zimmern verlegen. Dadurch erhöht sich das Fluchtrisiko, aber [Root.GetSubjectPronoun] kann dort ein komfortables und möglicherweise langes Leben führen.;;Traslada a §Y[Root.GetTitledFirstName]§! a una suite vigilada con habitaciones. Existe un mayor riesgo de fuga, pero [Root.GetSubjectPronoun] no querrá nada y puede esperar vivir mucho tiempo.;;;;;;;;;x
raise_tribal_units;Raise Tribal Army;Lever une armée tribale;Stammesarmee rekrutieren;;Armar Ejército Tribal;;;;;;;;;x
raise_tribal_units_desc;I can summon an army of true and steadfast [Root.Culture.GetName] warriors to fight in the war. They will surely come, as my Prestige and Influence in these lands are great, but once peace ensues they will return to their homes. They fight mainly for honor, but I will need to pay for their food and other provisions.;Je peux lever une armée de guerriers [Root.GetCultureMascPl] fiables et tenaces pour combattre dans cette guerre. Ils viendront certainement car mon prestige et mon influence dans ces terres sont grands, mais si la paix survient, ils rentreront chez eux. Ils se battent principalement pour l'honneur, mais je devrai payer leur nourriture et leur approvisionnement.;Ich kann für den Krieg eine Armee aus treuen und standhaften [Root.Culture.GetName]en Kriegern aufstellen. Mit Sicherheit werden sie mir folgen, denn mein Prestige und mein Einfluss in diesen Landen ist groß. Doch sobald Frieden herrscht, werden sie nach Hause zurückkehren. Sie kämpfen primär für die Ehre, allerdings muss ich für Verpflegung und Unterhalt aufkommen.;;Puedo convocar un ejército de verdaderos e incondicionales guerreros [Root.Culture.GetName] para luchar en la guerra. Acudirán con certeza, ya que en estas tierras tengo mucho Prestigio e Influencia, pero cuando llegue la paz regresarán a sus hogares. Lucharán por honor, pero yo tendré que pagarles su manutención y otras provisiones.;;;;;;;;;x
reconquista_beneficiary_other;Set as Reconquest Beneficiary;Choisir comme bénéficiaire de la Reconquista;Als Begünstigten der Rückeroberung setzten;;Seleccionado como beneficiario de Reconquista;;;;;x
reconquista_beneficiary_other_desc;Set §Y[Root.GetTitledName]§! as a beneficiary for my reconquests at the Iberian Peninsula.;Vous choisissez [Root.Get_le_TitledNameJ] comme bénéficiaire de vos reconquêtes dans la péninsule ibérique.;Setzt §Y[Root.GetTitledName]§! als Begünstigten für meine Eroberungen auf der Iberischen Halbinsel.;;Selecciona a §Y[Root.GetTitledName]§! como beneficiario de mi reconquista en la península ibérica.;;;;;x
reconquista_beneficiary_self;Set Reconquest Beneficiary;Choisir le bénéficiaire de la Reconquista;Begünstigten der Rückeroberung setzten;;Elegir beneficiario de Reconquista;;;;;x
reconquista_beneficiary_self_desc;Find a fitting dynasty member to become a beneficiary for my reconquests at the Iberian Peninsula.;Trouver un membre de votre dynastie pour en faire le bénéficiaire de vos reconquêtes dans la péninsule ibérique.;Findet ein geeignetes Dynastie-Mitglied, der der Begünstigte bei der Rückeroberung der iberischen Halbinsel sein wird.;;Encuentra un miembro de la dinastía digno de ser el beneficiario de mi reconquista en la península ibérica.;;;;;x
reconquista_preparation_left;Preparing a Reconquest;Prépare une reconquête;Bereitet Rückeroberung vor;;Preparando Reconquista;;;;;x
reconquista_preparation_left_desc;§Y[Root.GetTitledName]§! has until §Y[Root.reconquista_preparation_left.GetExpiryDate]§! to declare war on a fitting infidel target.;[Root.Get_Le_TitledNameJ] a jusqu'au §Y[Root.reconquista_preparation_left.GetExpiryDate]§! pour déclarer la guerre à une cible infidèle appropriée.;§Y[Root.GetTitledName]§! hat bis zum §Y[Root.reconquista_preparation_left.GetExpiryDate]§! Zeit, um einem geeigneten ungläubigen Ziel den Krieg zu erklären. ;;§Y[Root.GetTitledName]§! tiene hasta §Y[Root.reconquista_preparation_left.GetExpiryDate]§! para declararle la guerra a un objetivo infiel válido.;;;;;x
recreate_the_papal_guards;Raise the Papal Guards;Lever les gardes papaux;Päpstliche Garde ausheben;;Reclutar Guardias papales;;;;;x
recreate_the_papal_guards_desc;It is only right that the Supreme Pontiff has an honor guard to protect himself.;Il est juste que le souverain pontife ait une garde d'honneur pour se protéger.;Es ist nur richtig, dass der Papst eine Ehrengarde hat, die ihn schützt.;;Es justo que el Pontífice supremo tenga una guardia de honor que le proteja.;;;;;x
recruit_academy_hero;Recruit Academy Hero;Recruter un héro académique;Akademieheld rekrutieren;;Reclutar héroe de la Academia;;;;;;;;x
recruit_academy_hero_desc;The §YTraining Academy§! in my §YAmphitheater§! possesses many well-trained young warriors. Maybe the best one out of them will make a good military commander.;L'§Yacadémie de formation§! dans mon §Yamphithéâtre§! possède de jeunes guerriers bien entraînés.;Die §YTrainingsakademie§! in meinem §YAmphitheater§! besitzt viele gut ausgebildete junge Krieger. Vielleicht gibt der beste von ihnen einen guten militärischen Befehlshaber her.;;La §YAcademia de entrenamiento§! de mi §Yanfiteatro§! posee muchos guerreros jóvenes bien entrenados. Puede que el mejor de ellos sea un buen comandante.;;;;;;;;x
recruit_child_decision;Recruit to Warrior Lodge;Recruter pour la Loge;Für Kriegerloge rekrutieren;;Reclutar para la logia;;;;;;;;;x
recruit_child_decision_desc;As §Y[Root.GetTitledFirstName]§! is your [Root.GetSonDaughter], you can ask [Root.GetHerHim] to go through the initiation rite, in order to join [From.Society.GetName].\n;Puisque [Root.Get_le_TitledFirstNameJ] est votre [Root.GetSonDaughter], vous pouvez lui demander de passer le rite d'initiation afin de rejoindre [From.Get_le_Society].\n;Da §Y[Root.GetTitledFirstName]§! [Root.GetEuerEure] [Root.GetSonDaughter] ist, könnte Ihr darum bitten, den Aufnahmeritus zu durchlaufen, um [From.Society.GetName] beizutreten.\n;;Como §Y[Root.GetTitledFirstName]§! es tu [Root.GetSonDaughter], puedes pedirle que pase el rito de iniciación para unirse a [From.Society.GetName].\n;;;;;;;;;x
recruit_wonder_guard;Recruit an Honor Guard;Recruter une garde d'honneur;Ehrenwache rekrutieren;;Reclutar una Guardia de honor;;;;;;;;x
recruit_wonder_guard_desc; A Great Work should not be without protection. Let us recruit a force to protect it, and maybe it can be useful also for other missions.;Un grand ouvrage ne devrait pas être laissé sans protection. Recrutons des troupes pour le protéger. Peut-être qu'elles s’avéreront utiles pour d'autres missions.;Ein Großes Bauwerk sollte nicht ohne Schutz sein. Lasst uns jemanden rekrutieren, der es schützt und vielleicht auch für andere Missionen nützlich sein könnte.;;Una gran obra no debe carecer de protección. Reclutemos una fuerza que la defienda y tal vez pueda servir para otras misiones.;;;;;;;;;;;x
rename_wonder_desc;Change the name of §Y'[FromFrom.GetName]'§! to whatever you desire.;Changer le nom du grand ouvrage '§Y[FromFrom.GetName]§!'.;Ändert den Namen von §Y[FromFrom.GetName]§! zu was auch immer Ihr möchtet.;;Cambia el nombre de §Y'[FromFrom.GetName]'§! al que desees.;;;;;;;;x
repay_money_jewish_special;Repay the 600¤ loan;Rembourser le prêt de 600¤;Darlehen von 600¤ zurückzahlen;;Devolver los 600¤;;;;;;;;;x
repay_money_jewish_special_desc;I will repay the gold that I owe the Banks of Israel.;Je vais rembourser l'or que je dois aux banques d'Israël.;Ich werde das Gold, das ich den Banken Israels schulde, zurückzahlen.;;Devolveré el oro que debo a los banqueros de Israel.;;;;;;;;;x
repair_wonder_decision;Repair Lighthouse;Réparer le phare;Leuchtturm reparieren;;Reparar faro;;;;;;;;;x
repair_wonder_decision_desc;You will set aside funds to repair the damage on the lighthouse removing the negative features.;Vous allez mettre de côté des fonds pour réparer les dégâts sur le phare, supprimant ainsi les caractéristiques négatives.;Ihr stellt finanzielle Mittel bereit, um den Schaden am Leuchtturm zu reparieren und die beschädigten Verbesserungen zu entfernen.;;Reservarás fondos para reparar los daños al faro retirando los elementos dañados.;;;;;;;;;x
