EVTTITLE_WoL_5001;The White [Root.GetHuntingQuarryCap];[Root.GetHuntingQuarryCap] blanc;Der Weiße [Root.GetHuntingQuarryCap];;El [Root.GetHuntingQuarry] blanco;;;;;;;;;x
EVTOPTA_WoL_5203;Faithful.;Fidèle.;Getreuer.;;Fiel.;;;;;;;;;x
EVTOPTA_WoL_5204;Good dog!;Bon chien !;Guter Hund!;;¡Buen perro!;;;;;;;;;x
EVTOPTA_WoL_5210;If only people were as trustworthy.;Si seulement les gens l'étaient autant...;Ach, wären die Menschen doch auch so vertrauenswürdig!;;Si la gente fuera tan digna de confianza.;;;;;;;;;x
EVTOPTA_WoL_5211;And he loves them.;Lui aussi les adore.;Und er liebt sie.;;Y el los quiere.;;;;;;;;;x
EVTOPTA_WoL_5220;Yes, I will train him personally.;Oui, je l'entraînerai personnellement.;Ja, ich richte ihn persönlich ab.;;Sí, lo entrenaré yo personalmente.;;;;;;;;;x
EVTOPTA_WoL_5231;Heel!;Au pied !;Bei Fuß!;;¡Ven aquí!;;;;;;;;;x
EVTOPTA_WoL_5290;I will bury him quietly in the castle garden.;Je l'enterrerai discrètement dans le jardin du château.;Ich werde ihn still im Schlossgarten vergraben.;;Lo enterraré tranquilamente en el jardín del castillo.;;;;;;;;;x

EVTOPTB_WoL_5001;I have no time for dreams and rumors.;Je n'ai pas de temps à consacrer aux rêves et aux rumeurs.;Ich habe keine Zeit für Träume und Gerüchte.;;No tengo tiempo para sueños y rumores.;;;;;;;;;x
EVTOPTB_WoL_5004;I don't have the time now.;Je n'ai pas le temps.;Ich habe jetzt keine Zeit dafür.;;No tengo tiempo ahora.;;;;;;;;;x
EVTOPTB_WoL_5010;This time it will not escape me!;Cette fois, il ne m'échappera pas !;Dieses Mal wird das Tier mir nicht entkommen!;;¡Esta vez no se me escapará!;;;;;;;;;x
EVTOPTB_WoL_5030;I cannot slay such a noble animal.;Je ne peux tuer un si noble animal.;Ein solch edles Tier kann ich nicht töten!;;No puedo matar a un animal tan noble. ;;;;;;;;;x
EVTOPTB_WoL_5035;I'm sure I'll catch it someday.;Je finirai bien par l'attraper.;Eines Tages werde ich ihn erwischen!;;Estoy seguro de que algún día lo atraparé.;;;;;;;;;x
EVTOPTB_WoL_5040;It's better to hunt alone.;Je préfère chasser seul.;Alleine jagt es sich besser.;;Es mejor cazar por sí solo.;;;;;;;;;x
EVTOPTB_WoL_5055;It's because my retainers are useless!;Ce sont mes domestiques qui sont des incapables !;Es ist die Schuld meiner unfähigen Gefolgsleute!;;¡Es porque mis criados son unos inútiles!;;;;;;;;;x
EVTOPTB_WoL_5060;No, let's go home, this is fruitless.;C'est inutile, rentrons.;Nein, gehen wir nach Hause, das hat keinen Zweck.;;No, vámonos a casa, esto es inútil.;;;;;;;;;x
EVTOPTB_WoL_5065;I really shouldn't.;Je ne devrais pas.;Lieber nicht.;;Realmente no debería.;;;;;;;;;x
EVTOPTB_WoL_5066;Come back to court with me!;Venez à la cour avec moi !;Kommt mit mir an den Hof!;;¡Vuelva a la corte conmigo!;;;;;;;;;x
EVTOPTB_WoL_5202;Send it back.;Renvoyons-le.;Schickt es zurück.;;Devuélvelo.;;;;;;;;;x
EVTOPTB_WoL_5203;Hunter.;Chasseur.;Jäger.;;Cazador.;;;;;;;;;x
EVTOPTB_WoL_5204;Hmm...;Hmm...;Hmm...;;Hum...;;;;;;;;;x
EVTOPTB_WoL_5220;No, I have people employed for that.;Laissons cela à ceux dont c'est le travail.;Nein, ich habe Leute in meinen Diensten, die sich darum kümmern.;;No, tengo gente empleada para esto.;;;;;;;;;x
EVTOPTB_WoL_5231;Kill! Kill!;Attaque ! Attaque !;Töten! Töten!;;¡Mata! ¡Mata!;;;;;;;;;x
EVTOPTB_WoL_5290;He deserves a proper funeral.;Il mérite des funérailles dignes de ce nom.;Er verdient ein richtiges Begräbnis.;;Merece un entierro como es debido.;;;;;;;;;x

EVTOPTC_WoL_5040;A rival - he must die!;Un rival... Il doit mourir !;Ein Rivale – er muss sterben!;;Un rival, ¡debe morir!;;;;;;;;;x
EVTOPTC_WoL_5061;This feels good...;Ça fait du bien...;Das fühlt sich gut an...;;Me siento bien...;;;;;;;;;x
EVTOPTC_WoL_5065;It's a trap! Attack!;C'est un piège ! Attaquez !;Es ist eine Falle. Angriff!;;Es una trampa! ¡Ataca!;;;;;;;;;x
EVTOPTC_WoL_5202;Pay someone to quietly dispose of it...;Payons quelqu'un pour le tuer discrètement...;Lasst den Welpen von einem bezahlten Helfer beseitigen.;;Paga a alguien para eliminarlo silenciosamente...;;;;;;;;;x
EVTOPTC_WoL_5203;Tricky.;Farceur.;Trickser.;;Tramposo.;;;;;;;;;x
EVTOPTC_WoL_5290;A pyramid for [Root.GetDogName]!;Une pyramide pour [Root.GetDogName] !;Eine Pyramide für [Root.GetDogName]!;;Una pirámide para [Root.GetDogName].;;;;;;;;;x

EVTOPTD_WoL_5203;Lucifer.;Lucifer.;Luzifer.;;Lucifer.;;;;;;;;;x
EVTOPTE_WoL_5203;Shaytan.;Shaytan.;Shaytan.;;Shaytan.;;;;;;;;;x
EVTOPTF_WoL_5203;Fenrir.;Fenrir.;Fenrir.;;Fenrir.;;;;;;;;;x
EVTOPTG_WoL_5203;Erlik.;Erlik.;Erlik.;;Erlik.;;;;;;;;;x
EVTOPTH_WoL_5203;Velnias.;Velnias.;Velnias.;;Velnias.;;;;;;;;;x
EVTOPTI_WoL_5203;Tuoni.;Tuoni.;Tuoni.;;Tuoni.;;;;;;;;;x
EVTOPTJ_WoL_5203;Xolotl.;Xolotl.;Xolotl.;;Xolotl.;;;;;;;;;x
EVTOPTK_WoL_5203;Veles.;Vélès.;Veles.;;Veles.;;;;;;;;;x
EVTOPTL_WoL_5203;Guruhi.;Guruhi.;Guruhi.;;Guruhi.;;;;;;;;;x
EVTOPTM_WoL_5203;Darkness.;Ténèbres.;Dunkelheit.;;Oscuridad.;;;;;;;;;x
EVTOPTN_WoL_5203;Ahriman.;Ahriman.;Ahriman.;;Ahriman.;;;;;;;;;x
EVTOPTO_WoL_5203;Satan.;Satan.;Satan.;;Satán.;;;;;;;;;x
EVTOPTP_WoL_5203;Vinayaka.;Vinayaka.;Vinayaka.;;Vinayaka.;;;;;;;;;x
EVTOPTQ_WoL_5203;Mara.;Mara.;Mara.;;Mara.;;;;;;;;;x
EVTOPTR_WoL_5203;Punisher.;Vengeur.;Vollstrecker.;;Castigador.;;;;;;;;;x

# No longer needed
# EVTTITLE_WoL_5001_bear;The White Bear;L'Ours blanc;Der Weiße Bär;;El oso blanco;;;;;;;;;x
# EVTTITLE_WoL_5001_lion;The White Lion;Le Lion blanc;Der Weiße Löwe;;El león blanco;;;;;;;;;x
# EVTTITLE_WoL_5001_stag;The White Stag;Le Cerf blanc;Der Weiße Hirsch;;El ciervo blanco;;;;;;;;;x
# EVTTITLE_WoL_5001_tiger;The White Tiger;Le Tigre blanc;Der Weiße Tiger;;El tigre blanco;;;;;;;;;x
# EVTDESC_WoL_5001_bear;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white bear, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;Ces derniers temps, les paysans et les voyageurs font courir le bruit qu'une bête mythique a été aperçue dans vos terres. C'est un ours blanc, puissant et insaisissable. Le peuple dit que cette créature vient d'un autre monde et que le chasseur qui abattra l'animal recevra un pouvoir divin.;Seit Kurzem verbreitet sich unter Bauern und Reisenden das Gerücht, dass ein seltsames, mythisches Tier in Eurem Reich gesichtet wurde. Es handelt sich um einen weißen Bären, mächtig und scheu. Das gemeine Volk behauptet, er stamme aus einer anderen Welt und wer ihn erlegte, der werde von göttlicher Macht erfüllt.;;Últimamente, has escuchado rumores persistentes de campesinos y viajeros de las regiones desoladas que se ha visto una bestia extraña, mítica en tu reino. Se trata de un oso blanco, poderoso y evasivo. El pueblo llano afirmar que proviene de otro mundo y que el cazador que lo reclame se imbuirá de poder divino.;;;;;;;;;x
# EVTDESC_WoL_5001_lion;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white lion, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;Ces derniers temps, les paysans et les voyageurs font courir le bruit qu'une bête mythique a été aperçue dans vos terres. C'est un lion blanc, puissant et insaisissable. Le peuple dit que cette créature vient d'un autre monde et que le chasseur qui abattra l'animal recevra un pouvoir divin.;Seit Kurzem verbreitet sich unter Bauern und Reisenden das Gerücht, dass ein seltsames, mythisches Tier in Eurem Reich gesichtet wurde. Es handelt sich um einen weißen Löwen, mächtig und scheu. Das gemeine Volk behauptet, er stamme aus einer anderen Welt und wer ihn erlegte, der werde von göttlicher Macht erfüllt.;;Últimamente, has escuchado rumores persistentes de campesinos y viajeros de las regiones desoladas que se ha visto una bestia extraña, mítica en tu reino. Se trata de un león blanco, poderoso y evasivo. El pueblo llano afirmar que proviene de otro mundo y que el cazador que lo reclame se imbuirá de poder divino.;;;;;;;;;x
# EVTDESC_WoL_5001_stag;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white stag, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;Ces derniers temps, les paysans et les voyageurs font courir le bruit qu'une bête mythique a été aperçue dans vos terres. C'est un cerf blanc, puissant et insaisissable. Le peuple dit que cette créature vient d'un autre monde et que le chasseur qui abattra l'animal recevra un pouvoir divin.;Seit Kurzem verbreitet sich unter Bauern und Reisenden das Gerücht, dass ein seltsames, mythisches Tier in Eurem Reich gesichtet wurde. Es handelt sich um einen weißen Hirsch, mächtig und scheu. Das gemeine Volk behauptet, er stamme aus einer anderen Welt und wer ihn erlegte, der werde von göttlicher Macht erfüllt.;;Últimamente, has escuchado rumores persistentes de campesinos y viajeros de las regiones desoladas que se ha visto una bestia extraña, mítica en tu reino. Se trata de un ciervo blanco, poderoso y evasivo. El pueblo llano afirmar que proviene de otro mundo y que el cazador que lo reclame se imbuirá de poder divino.;;;;;;;;;x
# EVTDESC_WoL_5001_tiger;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white tiger, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;Ces derniers temps, les paysans et les voyageurs font courir le bruit qu'une bête mythique a été aperçue dans vos terres. C'est un tigre blanc, puissant et insaisissable. Le peuple dit que cette créature vient d'un autre monde et que le chasseur qui abattra l'animal recevra un pouvoir divin.;Seit Kurzem verbreitet sich unter Bauern und Reisenden das Gerücht, dass ein seltsames, mythisches Tier in Eurem Reich gesichtet wurde. Es handelt sich um einen weißen Tiger, mächtig und scheu. Das gemeine Volk behauptet, er stamme aus einer anderen Welt und wer ihn erlegte, der werde von göttlicher Macht erfüllt.;;Últimamente, has escuchado rumores persistentes de campesinos y viajeros de las regiones desoladas que se ha visto una bestia extraña, mítica en tu reino. Se trata de un tigre blanco, poderoso y evasivo. El pueblo llano afirmar que proviene de otro mundo y que el cazador que lo reclame se imbuirá de poder divino.;;;;;;;;;x
# EVTDESC_WoL_5004_bear;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white bear in the county of [target_province.GetName].;Bonne nouvelle, M[Root.GetOnA][Root.GetLordLady] ! Des personnes dignes de confiance disent avoir récemment croisé le grand ours blanc dans le comté de [target_province.GetName].;Gute Nachrichten, oh [Root.GetLordLady]! Wir haben glaubwürdige Berichte erhalten, dass ein großer weißer Bär vor kurzem in der Provinz [target_province.GetName] gesichtet wurde.;;Buenas noticias, mi [Root.GetLordLady]! Hemos recibido informes creíbles de un avistamiento reciente del gran oso blanco en la provincia de [target_province.GetName].;;;;;;;;;x
# EVTDESC_WoL_5004_lion;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white lion in the county of [target_province.GetName].;Bonne nouvelle, M[Root.GetOnA][Root.GetLordLady] ! Des personnes dignes de confiance disent avoir récemment croisé le grand lion blanc dans le comté de [target_province.GetName].;Gute Nachrichten, oh [Root.GetLordLady]! Wir haben glaubwürdige Berichte erhalten, dass ein großer weißer Löwe vor kurzem in der Provinz [target_province.GetName] gesichtet wurde.;;Buenas noticias, mi [Root.GetLordLady]! Hemos recibido informes creíbles de un avistamiento reciente del gran león blanco en la provincia de [target_province.GetName];;;;;;;;;x
# EVTDESC_WoL_5004_stag;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white stag in the county of [target_province.GetName].;Bonne nouvelle, M[Root.GetOnA][Root.GetLordLady] ! Des personnes dignes de confiance disent avoir récemment croisé le grand cerf blanc dans le comté de [target_province.GetName].;Gute Nachrichten, oh [Root.GetLordLady]! Wir haben glaubwürdige Berichte erhalten, dass ein großer weißer Hirsch vor kurzem in der Provinz [target_province.GetName] gesichtet wurde.;;¡Buenas noticias, mi [Root.GetLordLady]! Hemos recibido informes creíbles de un avistamiento reciente del gran ciervo blanco en la provincia de [target_province.GetName].;;;;;;;;;x
# EVTDESC_WoL_5004_tiger;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white tiger in the county of [target_province.GetName].;Bonne nouvelle, M[Root.GetOnA][Root.GetLordLady] ! Des personnes dignes de confiance disent avoir récemment croisé le grand tigre blanc dans le comté de [target_province.GetName].;Gute Nachrichten, oh [Root.GetLordLady]! Wir haben glaubwürdige Berichte erhalten, dass ein großer weißer Tiger vor kurzem in der Provinz [target_province.GetName] gesichtet wurde.;;Buenas noticias, mi [Root.GetLordLady]! Hemos recibido informes creíbles de un avistamiento reciente del gran tigre blanco en la provincia de [target_province.GetName].;;;;;;;;;x
# EVTDESC_WoL_5007_bear;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white bear! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;Pendant la chasse, vous perdez votre groupe de vue et vous vous retrouvez seul dans la nature. Alors que vous essayez de vous repérer, vous entrevoyez quelque chose d'étrange au loin... Vous chevauchez dans sa direction et découvrez un terrifiant ours blanc ! Vous vous approchez doucement, mais la bête vous aperçoit et s'enfuit. Vous tentez de la suivre mais le terrain accidenté vous empêche de la rattraper.\n\nVous rejoignez votre groupe de chasse sans parvenir à chasser l'étrange animal de votre mémoire.;Auf der Jagd werdet Ihr in der Wildnis von Eurer Jagdgesellschaft getrennt. Beim Versuch, die Gruppe wiederzufinden, erblickt Ihr in der Ferne etwas Seltsames... Ihr reitet näher heran und seht einen furchterregenden großen weißen Bären! Während Ihr Euch ihm vorsichtig nähert, wird er auf Euch aufmerksam und ergreift die Flucht. Ihr versucht, ihn zu verfolgen, aber aufgrund des schwierigen Geländes könnt Ihr ihn nicht einholen.\n\nWährend Ihr zu Eurer Jagdgesellschaft zurückkehrt, müsst Ihr ständig an dieses seltsame Tier denken.;;Durante la caza, te separas de tus compañeros en el páramo. Mientras das vueltas y tratas de encontrar tu rumbo, vislumbras a algo extraño en la distancia… ¡Cabalgas cerca y ves un tremendo oso blanco! Como te lo acercas cautelosamente, te ve y se escapa. Tratas de seguirlo pero eres incapaz de alcanzarlo en este terreno difícil.\n\nCuando vuelvas con los tuyos, descubres que no puedes dejar de pensar en este extraño animal.;;;;;;;;;x
# EVTDESC_WoL_5007_lion;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white lion! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;Pendant la chasse, vous perdez votre groupe de vue et vous vous retrouvez seul dans la nature. Alors que vous essayez de vous repérer, vous entrevoyez quelque chose d'étrange au loin... Vous chevauchez dans sa direction et découvrez un majestueux lion blanc ! Vous vous approchez doucement, mais la bête vous aperçoit et s'enfuit. Vous tentez de la suivre mais le terrain accidenté vous empêche de la rattraper.\n\nVous rejoignez votre groupe de chasse sans parvenir à chasser l'étrange animal de votre mémoire.;Auf der Jagd werdet Ihr in der Wildnis von Eurer Jagdgesellschaft getrennt. Beim Versuch, die Gruppe wiederzufinden, erblickt Ihr in der Ferne etwas Seltsames... Es scheint sich um einen majestätischen weißen Löwen zu handeln! Doch dann, beim Versuch sich ihm zu nähern, wird er auf Euch aufmerksam und ergreift die Flucht. Ihr versucht, ihn zu verfolgen, könnt ihn aber aufgrund des schwierigen Geländes nicht einholen.\n\nWährend Ihr zur Jagdgesellschaft zurückkehrt, müsst Ihr ständig an dieses seltsame Tier denken.;;Durante la caza, te separas de tus compañeros en el páramo. Mientras das vueltas y tratas de encontrar tu rumbo, vislumbras a algo extraño en la distancia… ¡Cabalgas cerca y ves un majestuoso león blanco! Como te lo acercas cautelosamente, te ve y se escapa. Tratas de seguirlo pero eres incapaz de alcanzarlo en este terreno difícil.\n\nCuando vuelves con los tuyos, descubres que no puedes dejar de pensar en este extraño animal.;;;;;;;;;x
# EVTDESC_WoL_5007_stag;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white stag! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;Pendant la chasse, vous perdez votre groupe de vue et vous vous retrouvez seul dans la nature. Alors que vous essayez de vous repérer, vous entrevoyez quelque chose d'étrange au loin... Vous chevauchez dans sa direction et découvrez un majestueux cerf blanc ! Vous vous approchez doucement, mais la bête vous aperçoit et s'enfuit. Vous tentez de la suivre mais le terrain accidenté vous empêche de la rattraper.\n\nVous rejoignez votre groupe de chasse sans parvenir à chasser l'étrange animal de votre mémoire.;Auf der Jagd werdet Ihr in der Wildnis von Eurer Jagdgesellschaft getrennt. Beim Versuch, die Gruppe wiederzufinden, erblickt Ihr in der Ferne etwas Seltsames... Es scheint sich um einen majestätischen weißen Hirsch zu handeln! Doch dann, beim Versuch sich ihm zu nähern, wird er auf Euch aufmerksam und ergreift die Flucht. Ihr versucht, ihn zu verfolgen, könnt ihn aber aufgrund des schwierigen Geländes nicht einholen.\n\nWährend Ihr zur Jagdgesellschaft zurückkehrt, müsst Ihr ständig an dieses seltsame Tier denken.;;Durante la caza, te separas de tus compañeros en el páramo. Mientras das vueltas y tratas de encontrar tu rumbo, vislumbras a algo extraño en la distancia… ¡Cabalgas cerca y ves un majestuoso gran ciervo blanco! Como te lo acercas cautelosamente, te ve y se escapa. Tratas de seguirlo pero eres incapaz de alcanzarlo en este terreno difícil.\n\nCuando vuelvas con los tuyos, descubres que no puedes dejar de pensar en este extraño animal.;;;;;;;;;x
# EVTDESC_WoL_5007_tiger;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white tiger! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;Pendant la chasse, vous perdez votre groupe de vue et vous vous retrouvez seul dans la nature. Alors que vous essayez de vous repérer, vous entrevoyez quelque chose d'étrange au loin... Vous chevauchez dans sa direction et découvrez un terrifiant tigre blanc ! Vous vous approchez doucement, mais la bête vous aperçoit et s'enfuit. Vous tentez de la suivre mais le terrain accidenté vous empêche de la rattraper.\n\nVous rejoignez votre groupe de chasse sans parvenir à chasser l'étrange animal de votre mémoire.;Auf der Jagd werdet Ihr in der Wildnis von Eurer Jagdgesellschaft getrennt. Beim Versuch, die Gruppe wiederzufinden, erblickt Ihr in der Ferne etwas Seltsames... Es scheint sich um einen majestätischen weißen Tiger zu handeln! Doch dann, beim Versuch sich ihm zu nähern, wird er auf Euch aufmerksam und ergreift die Flucht. Ihr versucht, ihn zu verfolgen, könnt ihn aber aufgrund des schwierigen Geländes nicht einholen.\n\nWährend Ihr zur Jagdgesellschaft zurückkehrt, müsst Ihr ständig an dieses seltsame Tier denken.;;Durante la caza, te separas de tus compañeros en el páramo. Mientras das vueltas y tratas de encontrar tu rumbo, vislumbras a algo extraño en la distancia… ¡Cabalgas cerca y ves un tremendo tigre blanco! Como te lo acercas cautelosamente, te ve y se escapa. Tratas de seguirlo pero eres incapaz de alcanzarlo en este terreno difícil.\n\nCuando vuelvas con los tuyos, descubres que no puedes dejar de pensar en este extraño animal.;;;;;;;;;x
# EVTDESC_WoL_5010_bear;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white bear.;Vous avez rassemblé votre suite et vos chiens de chasse, fait seller vos chevaux et préparer vos armes. Vous êtes maintenant prêt à chasser le grand ours blanc.;Ihr habt Eure Getreuen und Eure Jagdhunde versammelt, das Pferd gesattelt und die Waffen vorbereitet. Nun seid Ihr bereit, die Jagd auf den weißen Bären zu beginnen.;;Has reunido a los tuyos, tus perros de caza, ensillado tu caballo y preparado tus armas. Estás list[Root.GetOA] para cazar al gran oso blanco. ;;;;;;;;;x
# EVTDESC_WoL_5010_lion;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white lion.;Vous avez rassemblé votre suite et vos chiens de chasse, fait seller vos chevaux et préparer vos armes. Vous êtes maintenant prêt à chasser le grand lion blanc.;Ihr habt Eure Getreuen und Eure Jagdhunde versammelt, das Pferd gesattelt und die Waffen vorbereitet. Nun seid Ihr bereit, die Jagd auf den weißen Löwen zu beginnen.;;Has reunido a los tuyos, tus perros de caza, ensillado tu caballo y preparado tus armas. Estás list[Root.GetOA] para cazar al gran león blanco. ;;;;;;;;;x
# EVTDESC_WoL_5010_stag;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white stag.;Vous avez rassemblé votre suite et vos chiens de chasse, fait seller vos chevaux et préparer vos armes. Vous êtes maintenant prêt à chasser le grand cerf blanc.;Ihr habt Eure Getreuen und Eure Jagdhunde versammelt, das Pferd gesattelt und die Waffen vorbereitet. Nun seid Ihr bereit, die Jagd auf den weißen Hirsch zu beginnen.;;Has reunido a los tuyos, tus perros de caza, ensillado tu caballo y preparado tus armas. Estás list[Root.GetOA] para cazar al gran ciervo blanco. ;;;;;;;;;x
# EVTDESC_WoL_5010_tiger;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white tiger.;Vous avez rassemblé votre suite et vos chiens de chasse, fait seller vos chevaux et préparer vos armes. Vous êtes maintenant prêt à chasser le grand tigre blanc.;Ihr habt Eure Getreuen und Eure Jagdhunde versammelt, das Pferd gesattelt und die Waffen vorbereitet. Nun seid Ihr bereit, die Jagd auf den weißen Tiger zu beginnen.;;Has reunido a los tuyos, tus perros de caza, ensillado tu caballo y preparado tus armas. Estás list[Root.GetOA] para cazar al gran tigre blanco. ;;;;;;;;;x
# EVTDESC_WoL_5030_bear;After many days of hard hunting and tracking, you have finally managed to trap the white bear in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;Après plusieurs jours de rude traque, vous parvenez à acculer l'ours blanc entre deux rochers. Le bel animal est à votre merci. Il vous regarde de ses yeux intelligents et, soudain, sa grande beauté vous frappe.;Jagd und Aufspüren des Tieres erweisen sich als schwierig und langwierig. Doch nach zwei Tagen schafft Ihr es schließlich, den weißen Bären in einer Sackgasse zwischen zwei Felsen in die Enge zu treiben. Das große Tier ist Euch ausgeliefert und es sieht Euch mit klugen Augen an. Plötzlich werdet Ihr seiner enormen Schönheit gewahr...;;Después de muchos días de difícil caza y rastreo, por fin, has logrado atrapar al oso blanco en un callejón sin salida entre dos rocas. El gran animal está a tu merced... Te mira con ojos inteligentes y de repente te sientes impresionado por su gran belleza... ;;;;;;;;;x
# EVTDESC_WoL_5030_lion;After many days of hard hunting and tracking, you have finally managed to trap the white lion in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;Après plusieurs jours de rude traque, vous parvenez à acculer le lion blanc entre deux rochers. Le bel animal est à votre merci. Il vous regarde de ses yeux intelligents et, soudain, sa grande beauté vous frappe.;Jagd und Aufspüren des Tieres erweisen sich als schwierig und langwierig. Doch nach zwei Tagen schafft Ihr es schließlich, den weißen Löwen in einer Sackgasse zwischen zwei Felsen in die Enge zu treiben. Das große Tier ist Euch ausgeliefert und es sieht Euch mit klugen Augen an. Plötzlich werdet Ihr seiner enormen Schönheit gewahr...;;Después de muchos días de difícil caza y rastreo, por fin, has logrado atrapar al león blanco en un callejón sin salida entre dos rocas. El gran animal está a tu merced... Te mira con ojos inteligentes y de repente te sientes impresionado por su gran belleza... ;;;;;;;;;x
# EVTDESC_WoL_5030_stag;After many days of hard hunting and tracking, you have finally managed to trap the white stag in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;Après plusieurs jours de rude traque, vous parvenez à acculer le cerf blanc entre deux rochers. Le bel animal est à votre merci. Il vous regarde de ses yeux intelligents et, soudain, sa grande beauté vous frappe.;Jagd und Aufspüren des Tieres erweisen sich als schwierig und langwierig. Doch nach zwei Tagen schafft Ihr es schließlich, den weißen Hirsch in einer Sackgasse zwischen zwei Felsen in die Enge zu treiben. Das große Tier ist Euch ausgeliefert und es sieht Euch mit klugen Augen an. Plötzlich werdet Ihr seiner enormen Schönheit gewahr...;;Después de muchos días de difícil caza y rastreo, por fin, has logrado atrapar al ciervo blanco en un callejón sin salida entre dos rocas. El gran animal está a tu merced -te mira con ojos inteligentes , y estás de repente golpeado por su gran belleza... ;;;;;;;;;x
# EVTDESC_WoL_5030_tiger;After many days of hard hunting and tracking, you have finally managed to trap the white tiger in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;Après plusieurs jours de rude traque, vous parvenez à acculer le tigre blanc entre deux rochers. Le bel animal est à votre merci. Il vous regarde de ses yeux intelligents et, soudain, sa grande beauté vous frappe.;Jagd und Aufspüren des Tieres erweisen sich als schwierig und langwierig. Doch nach zwei Tagen schafft Ihr es schließlich, den weißen Tiger in einer Sackgasse zwischen zwei Felsen in die Enge zu treiben. Das große Tier ist Euch ausgeliefert und es sieht Euch mit klugen Augen an. Plötzlich werdet Ihr seiner enormen Schönheit gewahr...;;Después de muchos días de difícil caza y rastreo, por fin, has logrado atrapar al tigre blanco en un callejón sin salida entre dos rocas. El gran animal está a tu merced... Te mira con ojos inteligentes y de repente te sientes impresionado por su gran belleza... ;;;;;;;;;x
# EVTDESC_WoL_5035_bear;During your hunt, you come to a deep gorge. Right on the other side is the white bear, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;Au cours de la chasse, vous atteignez une profonde gorge. De l'autre côté de la faille, c'est l'ours blanc qui vous regarde ! Vous en êtes si proche et si loin à la fois... Il s'enfuit soudain et vous comprenez qu'une fois de plus, vous rentrerez bredouille.;Während der Jagd gelangt Ihr an eine tiefe Schlucht. Genau auf der anderen Seite befindet sich der weiße Bär und starrt Euch an! Ihr seid ihm so nah und doch könnt Ihr ihn nicht erreichen. Als er wegläuft, wird Euch klar, dass Ihr dieses Mal keinen Sieg davontragen werdet.;;Durante la caza, llegas a un profundo barranco. ¡Justo al otro lado está el oso blanco, mirándote fijamente! Estás tan cerca, mas no puedes alcanzarlo. Al escaparse, te das cuenta que esta vez deberás volver a casa sin una victoria.;;;;;;;;;x
