abrahamic_antihellenic_revolt;Hellenic Civil War;Guerre civile hellénique;Hellenistischer Bürgerkrieg;;Guerra civil helénica;;;;;;;;x
abrahamic_antihellenic_revolt_desc;The decision to reinstate a dead, heathen cult in place of the worship of the Abrahamic god has dragged the newly-reformed Empire into civil war.;La décision de rétablir un ancien culte païen à la place de celui du dieu abrahamique a entraîné l'Empire nouvellement réformé dans la guerre civile.;Die Entscheidung einen toten, heidnischen Kult anstelle des abrahamischen Gottes wiedereinzusetzen, hat das kürzlich reformierte Reich in einen Bürgerkrieg gezogen.;;La decisión de restaurar un culto muerto y pagano en lugar de adorar al dios abrahámico ha molestado a muchos vasallos por todo el Imperio.;;;;;;;;x
dejure_county_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.;Le §Y$TITLE$§! est, de jure, un territoire vassal de §Y$CLAIMANT$§!, ce qui constitue un motif de guerre suffisant.;Der Träger des Titels §Y$TITLE$§! ist ein De-jure-Vasall von §Y$CLAIMANT$§! - Grund genug für einen Krieg.;;El §Y$TITLE$§! es, de iure, vasallo de §Y$CLAIMANT$§!, lo cual es motivo suficiente de guerra.;;;;;;;;;x
dejure_duchy_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$§!. By spending a significant amount of §YPrestige§!, we can go to war for the entire duchy.;Le §Y$TITLE$§! est, de jure, un vassal de §Y$CLAIMANT$§!. En dépensant une quantité importante de §YPrestige§!, nous pouvons déclarer la guerre pour le duché entier.;§Y$TITLE$§! ist de-jure ein Vasall von §Y$CLAIMANT$§!. Durch den Aufwand einer erheblichen Menge §YPrestige§! können wir um das gesamte Herzogtum in den Krieg ziehen.;;El §Y$TITLE$§! es vasallo de jure de §Y$CLAIMANT$§!. Si gastas una cantidad significativa de §Yprestigio§!, podemos ir a la guerra por el ducado entero.;;;;;;;;;x
depose_antipope_desc;This Casus Belli can be used to depose an antipope in another realm.;Ce casus belli peut être utilisé pour déposer l'antipape d'un autre pays.;Mit diesem Casus Belli könnt Ihr einen Gegenpapst in einem anderen Reich absetzen;;Este casus belli puede usarse para deponer a un Antipapa en otro reino.;;;;;;;;;x
depose_impious_pope_desc;A war over the Holy See, and what is the righteous way forward for the faith.;Une guerre pour le Saint-Siège et pour ce qui est légitime pour la foi.;Ein Krieg um den Heiligen Stuhl und das, was der richtige Weg für den Glauben ist.;;Una guerra por la Santa Sede y averiguar cuál es modo correcto de promover la fe.;;;;;x
depose_liege_desc;§Y$CLAIMANT$§! can attempt to depose §Y$TARGET$§! and install §Y$CLAIMANT$§!'s favorite heir;§Y$CLAIMANT$§! peut tenter de renverser §Y$TARGET$§! et de désigner son héritier préféré;§Y$CLAIMANT$§! kann versuchen, §Y$TARGET$§! abzusetzen und den bevorzugten Erben von §Y$CLAIMANT$§! einzusetzen;;§Y$CLAIMANT$§! puede intentar destituir a §Y$TARGET$§! y proclamar al heredero favorito de §Y$CLAIMANT$§!;;;;;;;;;x
destabilization_china_cb_desc;China can, by way of war, shatter realms they consider too big for their own good.;La Chine peut, via la guerre, démembrer des pays qu'elle considère trop puissant à leur goût.;China kann, im Zuge eines Krieges, Reiche, die sie für zu groß empfinden, zerschlagen.;;China, usando la guerra, destruye reinos que considera demasiado grandes por su propio bien.;;;;;;;;;x
dismantle_pretender_china_cb_desc;China will stop at nothing to show the pretenders that they are the one and only Empire of China.;La Chine ne reculera devant rien pour prouver aux prétendants qu'elle est le seul Empire de Chine.;China wird vor nichts zurückschrecken, um den Anwärtern zu zeigen, wer das einzig wahre Chinesische Reich ist.;;China no se detendrá ante nada para demostrar a los pretendientes que solo hay un Imperio de China.;;;;;;;;x;
ducal_county_conquest_desc;§Y$TARGET$§! holds land in a Duchy you are pretender to. By spending §YPiety§! and §YGold§! you can go to war over any County that is part of a Duchy you hold land in, as long as the Duchy has no holder. This Casus Belli is only available to characters of Count or Duke tier.;§Y$TARGET$§! détient des terres dans un duché que vous revendiquez. En dépensant de la §Ypiété§! et de l'§Yor§!, vous pouvez déclarer la guerre contre tout comté qui fait partie d'un duché dont vous détenez des terres, tant que le duché n'a pas de titulaire. Ce casus belli n'est disponible que pour les personnages de rang comte ou duc.;§Y$TARGET$§! hält Land in einem Herzogtum, von dem Ihr Anwärter seid. Durch das Aufwenden von §YPietät§! und §YGold§! könnt Ihr um jede Grafschaft, die sich in einem Herzogtum, in dem Ihr Land besitzt, in den Krieg ziehen, vorausgesetzt dass niemand den Titel des Herzogtums besitzt. Dieser Kriegsgrund ist nur für Charaktere auf der Stufe eines Grafen oder Herzoges verfügbar.;;§Y$TARGET$§! posee tierras en un ducado que pretendes. Gastando §Yprestigio§! y §Ypiedad§! puedes ir a la guerra por cualquier condado que sea parte de un condado en el que tienes tierras, siempre que el ducado no tenga dueño. Este casus belli solo está disponible para personajes con rango de conde o duque.;;;;;;;;;x
duchy_adventure_desc;Ambitious characters of noble descent can go off and attempt to seize duchies in foreign lands with a band of adventurers.;D'ambitieux personnages d'origine noble peuvent partir vers des terres étrangères accompagnés d'une bande d'aventuriers dans le but de conquérir des duchés.;Ambitionierte Charaktere von nobler Abstammung können versuchen, Grafschaften in fremden Ländern mit einer Gruppe von Abenteurern einzunehmen.;;Personajes ambiciosos de ascendencia noble pueden salir y tratar de apoderarse de ducados en tierras extranjeras con una banda de aventureros.;;;;;;;;;x
embargo_cb_desc;This Casus Belli allows you to destroy all of §Y$TARGET$§!'s Trade Posts in your entire Realm.;Ce casus belli vous permet de saccager tous les comptoirs de §Y$TARGET$§! présents dans votre pays.;Dieser Kriegsgrund erlaubt es Euch, alle Handelsposten von §Y$TARGET$§! in Eurem Gebiet zu zerstören.;;Este Casus Belli te permite destruir todos los Puestos Comerciales de §Y$TARGET$§! en todo tu Reino.;;;;;;;;;x
excommunicated_ruler_desc;§Y$TARGET$§! has been excommunicated, a just cause for war if ever there was one!;L'excommunication de §Y$TARGET$§! a été décidée, un motif de guerre légitime s'il en est !;§Y$TARGET$§! wurde exkommuniziert - einen besseren Kriegsgrund hat es noch nie gegeben!;;¡§Y$TARGET$§! ha sido excomulgado, una causa justa para la guerra si alguna vez hubo una!;;;;;;;;;x
flower_war_cb;Flower War;Guerre fleurie;Blumenkrieg;;Guerra florida;;;;;;;;x
flower_war_cb_desc;To prove our eternal devotion to the gods we can wage war not for land, but to conquer worthy offerings for our altars.;Pour prouver notre dévotion éternelle aux dieux, nous pouvons faire la guerre non pour la terre, mais pour obtenir des offrandes dignes pour nos autels.;Um den Göttern unsere ewige Hingabe zu beweisen, können wir Kriege nicht nur für Landgewinne führen, sondern auch würdige Opfer für unsere Altare finden.;;Para demostrar nuestra devoción a los dioses, podemos iniciar una guerra no por tierras, sino para conquistar ofrendas dignas para nuestros altares.;;;;;;;;x
force_open_china_cb_desc;[offmap_china.GetShortName] has closed its borders and halted trade on the Silk Road. This is unacceptable - the trade must flow!;La [offmap_china.GetShortName] a fermé ses frontières et stoppé le commerce sur la Route de la Soie. C'est inacceptable, les échanges doivent reprendre !;[offmap_china.GetShortName] hat seine Grenzen geschlossen und den Handel auf der Seidenstraße gestoppt. Das ist inakzeptabel. Der Handel muss fließen!;;[offmap_china.GetShortName] ha cerrado sus fronteras y detenido el comercio de la Ruta de la Seda. Esto es inaceptable, ¡el comercio debe fluir!;;;;;;;;;x
force_vassalization_desc;§Y$TARGET$§! is weak and in need of protection, they would be better off in your realm! By spending a significant amount of §YPrestige§! you can go to war to forcibly make them your Vassal, as long as they are of a §Ylower tier§! than you, at or below §Y30 Realm Size§! and where the ruler is either of your §YReligion§! or §YCulture Group§!.;§Y$TARGET$§! est faible et nécessite une protection, et serait mieux dans votre pays ! En dépensant une quantité importante de §Yprestige§!, vous pouvez leur déclarer la guerre pour les vassaliser, à condition qu'ils soient d'un §Yrang inférieur§! au vôtre, pas plus de §Y30 en taille du pays§!, et avec un dirigeant de votre §Yreligion§! ou de votre §Ygroupe culturel§!.;§Y$TARGET$§! ist schwach und schutzbedürftig und wären in unserem Reich besser aufgehoben! Durch das Aufwenden einer erheblichen Menge §YPrestige§! könnt Ihr in den Krieg ziehen, um sie gewaltsam zu Eurem Vasall zu machen, vorausgesetzt sie haben einen §Yniedrigeren Rang§! als Ihr, eine geringere §YReichsgröße als 30§! und einen Herrscher, der entweder Eurer §YReligion§! oder §YReligionsgruppe§! angehört.;;§Y$TARGET$§! es débil y necesita protección, ¡estarían mejor en tu reino! Puedes ir a la guerra para obligarlos a ser tu vasallo gastando una parte significativa de §Yprestigio§!, mientras sean de un §Ynivel menor§! que tú, tengan un §Ytamaño de reino de 30§! o menor y su gobernante sea de tu §Yreligión§! o §Ygrupo cultural§!.;;;;;;;;;x
free_tributary_cb_desc;You can declare war to free yourself or one of your vassals from tributary status.;Vous pouvez déclarer la guerre pour libérer l'un de vos vassaux ou vous-même du statut de tributaire.;Ihr könnt eine Kriegserklärung aussprechen, um Euch oder einen Eurer Vasallen vom Status der Tributpflichtigkeit zu befreien.;;Puedes declarar la guerra para liberar a ti mismo o a uno de sus vasallos del estado de tributario.;;;;;;;;;x
great_realm_conflict_desc;You are very powerful, and so is §Y$TARGET$§! - it is time to show them who is the strongest! By spending a significant amount of §YPrestige§! and §YPiety§! you can go to war for an entire Kingdom, as long as they are as strong as you or stronger.;Vous êtes très puissant, ainsi que §Y$TARGET$§! - il est temps de leur montrer qui est le plus fort ! En dépensant une quantité importante de §Yprestige§! et de §Ypiété§!, vous pouvez déclarer la guerre pour un royaume entier, du moment que celui qui le possède est au moins aussi fort que vous.;Ihr seid sehr mächtig und so ist es auch §Y$TARGET$§!. Es ist Zeit, ihnen zu zeigen, wer am stärksten ist! Durch den Aufwand einer erheblichen Menge §YPrestige§! könnt Ihr für ein ganzes Königreich in den Krieg ziehen, vorausgesetzt sie sind gleichstark oder stärker als Ihr.;;Eres muy poderoso, y también lo es §Y$TARGET$§! ¡Es hora de mostrar quién es el más fuerte! Gastando una parte significativa de §Yprestigio§! y §Ypiedad§! puedes ir a la guerra por un reino entero, siempre que sean tan o más fuertes que tú.;;;;;;;;;x
heretic_revolt_desc;Heretic leaders - heresiarchs - can rise up if the authority of the parent religion is low, spreading their errant beliefs with fire and sword.;Si l'autorité de leur religion parente est faible, les chefs hérétiques, les hérésiarques, peuvent se lever et étendre leur croyance déviante par le feu et la lame. ;Ketzerische Anführer – Häresiarchen – revoltieren manchmal, wenn die Autorität der herrschenden Religion niedrig ist und verbreiten ihren falschen Glauben mit Schwert und Feuer.;;Los Líderes Herejes (heresiarcas) pueden sublevarse si la autoridad de la religión paterna es baja, difundiendo sus creencias erróneas a sangre y fuego.;;;;;;;;;x
hostages_cb_desc;§Y$TARGET$§! holds unlanded characters you care about captive, it is time to free them! If you win this war these characters will be freed. You might also be able to take hostages of our own. Any freed captives will be moved to your court or to the court of their rightful spouse.\n§RBeware, $TARGET$ might execute one or more of the captives if you attack!§!;§Y$TARGET$§! détient des personnages sans terres dont vous vous souciez qu'il est temps de libérer ! Si vous gagnez cette guerre, ils le seront. Vous pourriez aussi faire des otages à votre tour. Tout captif libéré se rendra à votre cour ou à celle de son conjoint.\n§RSachez que $TARGET$ pourrait exécuter un captif ou plus lors de l'attaque !§!;§Y$TARGET$§! hält landlose Charaktere, die Euch wichtig sind, gefangen. Es ist Zeit, sie zu befreien! Wenn Ihr diesen Krieg gewinnt, werden die Charaktere frei gelassen. Ihr seid außerdem in der Lage, selbst Gefangene zu nehmen. Alle befreiten Gefangenen werden an Euren Hof oder den ihres rechtmäßigen Ehepartners verlegt.\n§RAber Vorsicht! $TARGET$ könnte einen oder mehrere Gefangene hinrichten, solltet Ihr angreifen§!!;;§Y$TARGET$§! mantiene prisioneros a unos personajes sin títulos que te importan, ¡es hora de liberarlos! Si ganas esta guerra, los personajes serán liberados. También podrás hacer tus propios prisioneros. Todos los cautivos liberados pasarán a tu corte o a la de su cónyuge legítimo.\n§RCuidado, ¡$TARGET$ podría ejecutar a un cautivo o más si atacas!§!;;;;;;;;;x
imperial_reconquest_desc;The lost territory of the Roman Empire must be reclaimed! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!.;Le territoire perdu par l'Empire romain doit être reconquis ! §Y$CLAIMANT$§! peut utiliser ce casus belli pour s'emparer de tous les tires détenus par §Y$TARGET$§! qui appartiennent de jure à §Y$TITLE$§!.;Die verlorenen Territorien des Römischen Reiches müssen zurückgewonnen werden! §Y$CLAIMANT$§! kann diesen Kriegsgrund nutzen, um alle Titel von §Y$TARGET$§! innerhalb von §Y$TITLE$§! zu konfiszieren.;;¡Los territorios perdidos del Imperio Romano han de ser recuperados! §Y$CLAIMANT$§! puede usar este Casus Belli para recuperar todos los títulos de §Y$TARGET$§! que se encuentren en el territorio de Jure de §Y$TITLE$§!.;;;;;;;;;x
increase_council_power_war_desc;The power of the council must be increased - and if war is what it takes, then war we will have!;Le pouvoir du Conseil doit être accru - et si la guerre est nécessaire, elle se fera !;Die Macht des Rates muss erhöht werden... und wenn dazu Krieg nötig ist, dann werden wir Krieg führen!;;El consejo debe aumentar su poder. ¡Si para eso hace falta una guerra, guerra tendremos!;;;;;;;;;x
indian_subjugation_desc;Rulers of the Indian religions can subjugate each other for §Y500§! Karma if they are from the same culture group.;Les souverains de religion indienne peuvent se subjuguer les uns les autres pour §Y500§! Karma s'ils sont du même groupe culturel.;Herrscher indischer Religionen können sich gegenseitig für §Y500§! Karma unterwerfen, wenn sie aus derselben Kulturgruppe stammen.;;Los gobernantes de religiones Indias pueden subyugar a otros por §Y500§! Karma si son del mismo grupo cultural.;;;;;;;;;x
invasion_desc;§Y$CLAIMANT$§! has been granted the right to invade the §Y$TITLE$§!. If successful, the titles to all currently occupied holdings will be seized.;§Y$CLAIMANT$§! a désormais le droit d'envahir le §Y$TITLE$§!. En cas de réussite, les titres de toutes les propriétés actuellement occupées seront saisis.;§Y$CLAIMANT$§! bekam das Recht zur Invasion für den Titel §Y$TITLE$§! gewährt. Im Erfolgsfall werden die Titel sämtlicher derzeit besetzter Besitztümer konfisziert.;;A §Y$CLAIMANT$§! se le ha concedido el derecho de invadir el §Y$TITLE$§!. Si triunfa se apoderará de los títulos de todas las posesiones actualmente ocupadas.;;;;;;;;;x
invasion_of_china_cb_desc;The [offmap_china.GetFullName] has been a thorn in our side long enough - no more!;L'[offmap_china.GetFullName] est un problème depuis trop longtemps !;[offmap_china.GetFullName] war uns zu lange ein Dorn im Auge!;;El [offmap_china.GetFullName] había sido un incordio durante mucho tiempo, ¡pero se acabó!;;;;;;;;;x
kingdom_adventure_desc;Certain extremely ambitious and charismatic characters can gather enough support to go off and attempt to seize kingdoms in foreign lands with a large army of adventurous warriors.;Certains personnages extrêmement ambitieux et charismatiques peuvent rassembler des guerriers aventureux et partir à la conquête de royaumes étrangers.;Außerordentlich ehrgeizige und charismatische Charaktere können genug Unterstützung sammeln, um loszuziehen und zu versuchen, Königreiche in fremden Ländern mit einer großen Armee abenteuerlicher Krieger einzunehmen.;;Ciertos personajes extremadamente ambiciosos y carismáticos pueden reunir apoyos suficientes para intentar tomar reinos extranjeros con un gran ejército de guerreros aventureros.;;;;;;;;;x
liberate_religion_desc;§Y$TARGET$§! is not of your religion, but has Counties in their realm following the true faith. They must be liberated from their oppressors!;§Y$TARGET$§! n'est pas de votre religion, mais a des comtés dans son pays qui suivent la vraie foi. Ils doivent être libérés de leurs oppresseurs !;§Y$TARGET$§! gehört nicht Eurer Religion an, hat aber Herzogtümer in seinem Reich, die dem wahren Glauben folgen. Sie müssen von ihren Unterdrückern befreit werden!;;§Y$TARGET$§! no pertenece a tu religión, pero tiene condados en su reino que siguen la fe verdadera. ¡Deben ser liberados de sus opresores!;;;;;;;;;x
liberation_revolt_desc;The subjects of foreign lords can rise up in revolt and try to restore their old kingdom.;Les sujets de seigneurs étrangers peuvent démarrer des révoltes afin de rétablir leur ancien royaume.;Die Untergebenen fremder Herrscher können revoltieren und versuchen, ihr altes Königreich wiederherzustellen.;;Los súbditos de señores extranjeros pueden alzarse en revuelta y tratar de restablecer su antiguo reino.;;;;;;;;;x
lower_crown_authority_law_desc;§Y$CLAIMANT$§! can declare war to lower Crown Authority in the §Y$TITLE$§!;§Y$CLAIMANT$§! peut déclarer la guerre pour affaiblir l'autorité de la Couronne de §Y$TITLE$§!;§Y$CLAIMANT$§! kann einen Krieg zur Reduzierung der Kronautorität in §Y$TITLE$§! erklären;;§Y$CLAIMANT$§! puede declarar la guerra para reducir la autoridad de la Corona en el §Y$TITLE$§!;;;;;;;;;x
lower_tribal_organization_law_desc;§Y$CLAIMANT$§! can declare war to lower Tribal Organization in the §Y$TITLE$§!;§Y$CLAIMANT$§! peut déclarer la guerre pour réduire l'organisation tribale dans le §Y$TITLE$§!.;§Y$CLAIMANT$§! darf den Krieg erklären, um die Stammesorganisation in §Y$TITLE$§! zu verringern.;;§Y$CLAIMANT$§! puede declarar la guerra para bajar la Organización Tribal en §Y$TITLE$§!;;;;;;;;;x
manifest_destiny_invasion_desc;My manifest destiny allows me to invade §Y$TARGET$§!. If successful, everything §Y$TARGET$§! controls within the §Y$TITLE$§! will be taken or vassalized.;Ma destinée manifeste me donne le droit d'envahir §Y$TARGET$§!. En cas de réussite, tout territoire contrôlé par §Y$TARGET$§! au sein du §Y$TITLE$§! sera capturé ou vassalisé.;Mein manifestiertes Schicksal erlaubt mir, §Y$TARGET$§! zu erobern. Bei Erfolg wird alles, was §Y$TARGET$§! in §Y$TITLE$§! kontrolliert, übernommen oder vasalliert.;;Mi destino manifiesto me permite invadir §Y$TARGET$§!. De tener éxito, todo lo que §Y$TARGET$§! controla en los §Y$TITLE$§! Será tomado o avasallado.;;;;;;;;;x
matriarchal_deposition_war;Matriarchal Deposition War;Guerre de déposition matriarcale;Matriarchalischer Absetzungskrieg;;Guerra para destronar a la matriarca;;;;;;;;x
matriarchal_deposition_war_desc;No [Root.GetOppositeManWoman] should be allowed to hold as much authority as $TARGET$ does. We are well within our rights to force this vile tyrant to abdicate his throne, leaving his realm in the capable hands of a [Root.GetManWoman].;Il ne devrait pas être permis à un[Root.Get_EOpp] [Root.GetOppositeManWoman] de détenir autant de pouvoir que l'illégitime $TARGET$ en a. Nous sommes dans nos droits de forcer ce tyran à abdiquer le trône, laissant son pays entre les mains adroites d'un[Root.Get_E] [Root.GetManWoman].;K[Root.GeteineineOpp] [Root.GetOppositeManWoman] sollte so viel Autorität besitzen wie $TARGET$. Es ist unser Recht diesen abscheulichen Tyrannen dazu zu zwingen den Thron abzutreten und das Reich in die Hände [Root.Geteineseiner] fähigeren [Root.GetManWoman] zu legen.;;Un[Root.GetOAOpp] [Root.GetOppositeManWoman] no debería tener tanto poder como el que tiene $TARGET$. Tenemos todo el derecho para obligar a semejante tiran[Root.GetOA] a abdicar del trono para dejar el reino en las manos más capaces de un[Root.GetXA] [Root.GetManWoman];;;;;;;;x
muslim_county_conquest_desc;Muslims can conquer single border counties without specific reasons at the cost of §Y50§! Piety.;Les musulmans peuvent conquérir les comtés frontaliers sans raison spécifique pour §Y50§! de piété.;Muslime können einzelne, angrenzende Länder ohne spezifischen Grund zum Preis von §Y50§! Pietät erobern.;;Los Musulmanes pueden conquistar condados fronterizos únicos sin motivos específicos por el coste de §Y50§! Piedad.;;;;;;;;;x
muslim_invasion_desc;§Y$TARGET$§! is not of the True Faith - which is all the cause §Y$CLAIMANT$§! needs to invade the §Y$TITLE$§!. If successful, everything §Y$TARGET$§! controls within the §Y$TITLE$§! will be taken or vassalized.;§Y$TARGET$§! ne suit pas la vraie foi - c'est suffisant pour que §Y$CLAIMANT$§! envahisse le §Y$TITLE$§!. En cas de succès, tout ce que contrôle §Y$TARGET$§! dans le §Y$TITLE$§! sera capturé ou vassalisé.;§Y$TARGET$§! gehört nicht dem wahren Glauben an, was Grund genug für §Y$CLAIMANT$§! ist, um eine Invasion gegenüber §Y$TITLE$§! zu starten. Sollte er Erfolg haben, so wird aller Besitz von §Y$TARGET$§! innerhalb vom §Y$TITLE$§! übernommen oder vasallisiert.;;§Y$TARGET$§! no es de la verdadera fe - por lo cual §Y$CLAIMANT$§! debe invadir el §Y$TITLE$§!. De tener éxito, todo lo que §Y$TARGET$§! controle dentro del §Y$TITLE$§! será anexionado o vasallizado.;;;;;;;;;x
nomad_dispute_desc;Feuding clans can declare wars against each other to seize a single county.;Les clans impliqués dans une querelle peuvent se déclarer la guerre dans le but de s'emparer d'un seul comté.;Klans, die eine Fehde führen, können einander den Krieg erklären, um einzelne Grafschaften in Besitz zu nehmen.;;Los clanes enemistados pueden declarar guerras uno contra otro para apoderarse de un solo condado.;;;;;;;;;x
nomad_expansion_desc;If we have enough Prestige, we can subdue large foreign areas in a single war.;Si nous avons suffisamment de prestige, nous pouvons conquérir de grands territoires étrangers en une seule guerre.;Wenn wir genug Prestige haben, können wir große fremde Gebiete in einem einzigen Krieg erobern.;;Si tenemos suficiente prestigio, podemos dominar grandes zonas extranjeras con una sola guerra.;;;;;;;;;x
nomad_humiliate_cb_desc;Humiliate the enemy and steal their people to strengthen your own clan.;Humiliez l'ennemi et volez sa population pour renforcer votre propre clan.;Den Feind demütigen und Menschen verschleppen, um den eigenen Clan zu stärken.;;Humilla al enemigo y roba a su gente para reforzar tu propio clan.;;;;;;;;;x
nomad_invasion_desc;If our population is getting too large, we may invade another realm to seize their pasture lands! If successful, all occupied territory will be seized and all vassals will become our vassals.;Si notre population devient trop importante, nous pouvons envahir un autre pays pour nous emparer de ses pâturages ! Si nous réussissons, tous les territoires occupés seront saisis et tous les vassaux nous appartiendront.;Wenn unsere Bevölkerung zu groß wird, können wir in ein anderes Reich einfallen, um das dortige Weideland in Besitz zu nehmen. Im Erfolgsfall wird das besetzte Gebiet mit sämtlichen dort befindlichen Vasallen an uns fallen.;;Si nuestra población se hace demasiado grande, podemos invadir otro reino para apoderarnos de sus tierras de pastoreo. Si tenemos éxito, todo el territorio ocupado será confiscados y todos los vasallos serán nuestros.;;;;;;;;;x
nomad_subjugation_desc;Nomads can subjugate non-Nomadic realms once in their lifetime.;Les nomades peuvent assujettir les royaumes non-nomades, et ce, une seule fois au cours de leur vie.;Nomaden können nicht-nomadische Reiche einmal zu Lebzeiten unterwerfen.;;Los nómadas pueden subyugar reinos no nómadas una vez en su vida.;;;;;;;;;x
northern_crusade_war_desc;§Y[Root.GetTitledName]§! can use this casus belli to attack §Y$TARGET$§! over §Y$TITLE$§! as part of the Northern Crusade to convert the pagans of the north.;[Root.Get_Le_TitledNameJ] peut utiliser ce casus belli pour attaquer §Y$TARGET$§! pour prendre §Y$TITLE$§! comme cible de la Croisade balte afin de convertir les païens du nord.;§Y[Root.GetTitledName]§! kann diesen Kriegsgrund nutzen, um §Y$TARGET$§! für §Y$TITLE$§! als Teil der nördlichen Kreuzzüge der Heiden im Norden anzugreifen.;;§Y[Root.GetTitledName]§! puede usar este casus belli para atacar a §Y$TARGET$§! por §Y$TITLE$§! como parte de la cruzada del norte para convertir a los paganos norteños.;;;;;x
offmap_submission_desc;China can, by way of war, force realms to submit to them.;La Chine peut, par voie de guerre, forcer les pays à se soumettre à eux.;China kann mittels Krieg andere Reiche dazu zwingen, sich ihnen zu unterwerfen.;;China puede obligar a los reinos a someterse a ellos usando la guerra.;;;;;;;;;x
other_claim_desc;This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!.\nIf §Y$PRESSER$§! holds a higher tier title and is of the same dynasty as §Y$CLAIMANT$§!, or if §Y$PRESSER$§! is de jure liege of §Y$TITLE$§!, §Y$CLAIMANT$§! will also become a vassal of §Y$PRESSER$§!.;Ce casus belli peut être utilisé par §Y$PRESSER$§! pour appuyer la revendication de §Y$CLAIMANT$§! sur le titre de §Y$TITLE$§!.\nSi §Y$PRESSER$§! a un plus haut rang et appartient à la même dynastie que §Y$CLAIMANT$§!, ou si §Y$PRESSER$§! est le seigneur lige de jure de §Y$TITLE$§!, §Y$CLAIMANT$§! deviendra aussi vassal de §Y$PRESSER$§!.;Der Kriegsgrund kann von §Y$PRESSER$§! eingesetzt werden, um den Anspruch von §Y$CLAIMANT$'s§! auf §Y$TITLE$§! durchzusetzen.\nWenn §Y$PRESSER$§! einen Titel höherer Stufe hält oder aus derselben Dynastie wie §Y$CLAIMANT$§! stammt, oder wenn §Y$PRESSER$§! ein De-jure-Lehnsherr von §Y$TITLE$§! ist, wird §Y$CLAIMANT$§! außerdem zum Vasallen von §Y$PRESSER$§!.;;Este Casus Belli puede ser utilizado por §Y$PRESSER$§! para presentar la reclamación de §Y$CLAIMANT$§! sobre el §Y$TITLE$§!.\nSi §Y$PRESSER$§! tiene un título de nivel superior y es de la misma dinastía que §Y$CLAIMANT$§!, o si §Y$PRESSER$§! Es de señor de jure de §Y$TITLE$§!, §Y$CLAIMANT$§! también se convertirá en vasallo de §Y$PRESSER$§!.;;;;;;;;x
other_claim_on_liege_desc;This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!;Ce casus belli peut être utilisé par §Y$PRESSER$§! pour appuyer la revendication de §Y$CLAIMANT$§! vis-à-vis de §Y$TITLE$§!;§Y$PRESSER$§! kann diesen Kriegsgrund benutzen, um §Y$CLAIMANT$§! Anspruch auf den Titel §Y$TITLE$§! voranzutreiben;;Este Casus Belli puede ser usado por §Y$PRESSER$§! para instar la reclamación de §Y$CLAIMANT$§! de §Y$TITLE$§!;;;;;;;;;x
other_dejure_barony_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.;§Y$TITLE$§! est, de jure, un territoire vassal de §Y$CLAIMANT$§!, ce qui est suffisant pour déclencher une guerre.;Der Titel §Y$TITLE$§! ist De-jure ein Vasall von §Y$CLAIMANT$§!. Dies ist Grund genug für einen Krieg.;;El §Y$TITLE$§! es, de iure, un vasallo de §Y$CLAIMANT$§!, lo que es motivo suficiente para una guerra.;;;;;;;;;x
other_dejure_county_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.;Le §Y$TITLE$§! est, de jure, un territoire vassal de §Y$CLAIMANT$§!, ce qui est suffisant pour déclencher une guerre.;Der Titel §Y$TITLE$§! ist De-jure ein Vasall von §Y$CLAIMANT$§!. Dies ist Grund genug für einen Krieg.;;El §Y$TITLE$§! es, de iure, un vasallo de §Y$CLAIMANT$§!, lo que es motivo suficiente para una guerra.;;;;;;;;;x
overthrow_ruler_desc;§Y$TARGET$§! has tried and failed to imprison §Y$CLAIMANT$§!, which has resulted in an armed conflict;§Y$TARGET$§! a essayé en vain d'emprisonner §Y$CLAIMANT$§!, ce qui a déclenché un conflit armé.;§Y$TARGET$§! ist mit dem Versuch gescheitert, §Y$CLAIMANT$§! einzukerkern, was zu einem bewaffneten Konflikt geführt hat.;;§Y$TARGET$§! ha fracasado en su intento de apresar a §Y$CLAIMANT$§!, lo cual ha desembocado en conflicto armado;;;;;;;;;x
overthrow_ruler_no_calls_desc;§Y$CLAIMANT$§! has risen in revolt after a failed arrest attempt by §Y$TARGET$§!.;§Y$CLAIMANT$§! se révolte d'autant plus depuis la tentative d'arrestation ratée de §Y$TARGET$§!.;§Y$CLAIMANT$§! hat sich zum Aufstand erhoben - nach einem fehlgeschlagenen Festnahmeversuch durch §Y$TARGET$§!.;;§Y$CLAIMANT$§! se ha levantado en rebelión tras un intento fallido de arresto de §Y$TARGET$§!.;;;;;;;;;x
