# Historical
alexander_bloodline_01;Immortal Blood of Alexander;Sang immortel d'Alexandre;Unsterbliches Blut von Alexander;;Sangre inmortal de Alejandro;;;;;;;;;x
matilde_bloodline_desc;By defending the integrity and dignity of the Holy See against its enemies, [This.GetTitledFirstName]'s has forever bound its fate to the Vatican.;En défendant l'intégrité et la dignité du Saint-Siège contre ses ennemis, [This.Get_le_TitledFirstName] a uni son destin à celui du Vatican.;Durch die Verteidigung der Integrität und der Würde des Heiligen Stuhls gegen seine Feinde hat [This.GetTitledFirstName] sein Schicksal für immer an den Vatikan gebunden.;;Al defender la integridad y dignidad de la Santa Sede contra sus enemigos, [This.GetTitledFirstName] ha unido para siempre su destino con el Vaticano;;;;;;;;;x
matilde_male_bloodline;Blood of [This.GetFirstName];Sang de [This.GetFirstName];Blut von [This.GetFirstName];;Sangre de [This.GetFirstName];;;;;x
matilde_male_bloodline_desc;By defending the integrity and dignity of the Holy See against its enemies, [This.GetTitledFirstName]'s has forever bound its fate to the Vatican.;En défendant l'intégrité et la dignité du Saint-Siège contre ses ennemis, [This.Get_le_TitledFirstName] a uni son destin à celui du Vatican.;Durch die Verteidigung der Integrität und der Würde des Heiligen Stuhls gegen seine Feinde hat [This.GetTitledFirstName] sein Schicksal für immer an den Vatikan gebunden.;;Al defender la integridad y dignidad de la Santa Sede contra sus enemigos, [This.GetTitledFirstName] ha unido para siempre su destino con el Vaticano;;;;;;;;;x
merovingian;Merovingian Blood;Sang mérovingien;Merovinganisches Blut;;sangre merovingia;;;;;;;;;x
merovingian_desc;The legendary founder of the Merovingian dynasty. He joined his tribal forces with Rome to drive the Huns out of Gaul, ending Attila's ambitions in the area.;Fondateur légendaire de la dynastie mérovingienne qui a joint ses forces tribales à Rome pour chasser les Huns de la Gaule, mettant fin aux ambitions d'Attila dans la région.;Der legendäre Gründer der Merowinger-Dynastie. Er schloss sich seinen Stammesstreikräften in Rom an, um die Hunnen aus Gallien zu vertreiben und so Attilas Ambitionen zu beenden.;;Legendario fundador de la dinastía merovingia, que unió sus fuerzas con las de Roma para expulsar a los hunos de Atila de la Galia.;;;;;;;;;x
muhammad_the_victorious;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
muhammad_the_victorious_desc;Known as a champion of the faithful, diplomat and friend to Christians, Muhammad managed to keep alive the light of Al-Andalus despite the Castillian invasion.;Connu comme le champion des fidèles, diplomate et ami des chrétiens, Mahomet a réussi à maintenir la lumière d'Al-Andalus malgré l'invasion castillane.;Als Bewahrer des Glaubens, Meisterdiplomat und Freund der Christen bekannt, schaffte es Muhammad I. trotz der kastilischen Invasion das Licht von Al-Andalus am Leben zu erhalten.;;Famoso como campeón de los fieles, diplomático maestro y amigo de cristianos, Mohamed I consiguió mantener viva la luz de al-Ándalus pese a la invasión castellana.;;;;;;;;;x
niall;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
niall_desc;A legendary high king of Ireland and founder of the Uí Néill dynasty. During his rule he won several battles against the Saxons, Scots, Gauls and even the Romans.;Roi d'Irlande légendaire et fondateur de la dynastie Uí Néill, il remporta plusieurs batailles contre les Saxons, les Écossais, les Gaulois et même les Romains.;Ein legendärer Hochkönig von Irland und Gründer der Uí Néill-Dynastie. Während seiner Herrschaft gewann er mehrere Schlachten gegen die Sachen, Schotten, Gallier und sogar Römer.;;Legendario gran rey de Irlanda y fundador de la dinastía uí néill. Durante su reinado derrotó a sajones, escoceses, galos e incluso romanos.;;;;;;;;;x
otto;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
otto_desc;Conquered Italy, regained the old lands of the Holy Roman Empire and raised its banners once more.;A conquis l'Italie et regagné les anciennes terres du Saint-Empire romain.;Eroberte Italien, gewannt die alten Länder des Heiligen Römischen Reiches zurück und hisste erneut dessen Banner.;;Conquistó Italia, recuperó las antiguas tierras del Sacro Imperio Romano, cuyos estandartes volvió a levantar.;;;;;x
ottoman;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
ottoman_desc;Founder of the Ottoman dynasty, Osman rose to prominence as a daring commander, achieving victories against both Greeks and fellow Turks in his campaigns.;Fondateur de la dynastie ottomane, Osman s'est fait connaître comme commandant audacieux, remportant de belles victoires contre les Grecs et les Turcs.;Als Gründer der osmanischen Dynastie erlangte Osman als wagemutiger Heerführer große Bekanntheit und erzielte in seinen Feldzügen beeindruckende Siege gegen Griechen und Türken.;;Osmán, fundador de la dinastía otomana, adquirió importancia como un comandante militar osado que consiguió victorias aplastantes en sus campañas tanto contra griegos como contra otros turcos.;;;;;;;;;x
pala;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
pala_desc;The founder of the Pala dynasty, said to be descended from the mythical Suryavansha (Sun Dynasty). He came to rule a massive kingdom, encompassing all of Bengal.;Le fondateur de la dynastie Pala, qui descendrait des mythiques Suryavansha (dynastie du Soleil). Il est venu régner sur un immense royaume, englobant tout le Bengale.;Der Gründer der Pala-Dynastie. Er stamm angeblich von der mythischen Suryavasha (Sonnendynastie) ab. Er regierte ein riesiges Königreich, das ganz Bengalen umfasste.;;Fundador de la dinastía pala, decía descender de los míticos Suryavansha (dinastía solar). Llegó a gobernar un reino inmenso que ocupaba toda Bengala.;;;;;;;;;x
parthian;Parthian Blood;Sang parthe;Partherrisches Blut;;sangre parta;;;;;;;;;x
parthian_desc;A descendant of one of the seven Parthian clans under Sassanid rule. The seven clans, or houses, played key importance in Persian history.;Un descendant de l'un des sept clans parthes sous la domination sassanide. Les sept clans, ou maisons, ont joué un rôle clé dans l'histoire perse.;Ein Nachkomme von einem der sieben Klans unter Sassanidenherrschaft. Die sieben Klans oder Häuser spielen eine Schlüsselrolle in der persischen Geschichte.;;Descendiente de uno de los siete clanes partos bajo el dominio sasánida. Los siete clanes, o casas, tuvieron un papel clave en la historia persa.;;;;;;;;;x
philippe_capet;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
philippe_capet_desc;A pious and respected leader of the Third Crusade, Philippe fought against both heretics and infidels with great success.;Chef pieux et respecté de la troisième croisade, Philippe a combattu avec succès les hérétiques et les infidèles.;Phillippe war als frommer und respektierter Führer des Dritten Kreuzzugs bekannt und kämpfte mit großem Erfolg gegen Häretiker und Ungläubige.;;Líder piadoso y respetado de la Tercera cruzada, Felipe luchó con gran éxito tanto contra herejes como contra infieles.;;;;;;;;;x
premyslid;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
premyslid_desc;Despite his involvement in the murder of his elder brother, Boleslav was a tenacious leader who significantly strengthened the Bohemian realm.;Malgré son implication dans le meurtre de son frère aîné, Boleslav était un chef tenace qui a considérablement renforcé la Bohême.;Trotzt seiner Beteiligung an der Ermordung seines älteren Bruders war Boleslav ein hartnäckiger Anführern, der das böhmische Reich bedeutend stärkte.;;A pesar de su involucración en el asesinato de su hermano mayor, Boleslao fue un líder tenaz que reforzó significativamente el reino bohemio.;;;;;;;;;x
ragnarr_lodbrok;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
ragnarr_lodbrok_desc;A legendary viking hero. He led numerous raids against the Franks and Anglo-Saxons, going so far as to sail up the Seine and successfully lay siege to Paris.;Viking légendaire, il mena des pillages contre les Francs et les Anglo-Saxons, allant jusqu'à remonter la Seine et assiéger avec succès Paris.;Als legendärer Wikingerheld führte er zahlreiche Invasionen gegen die Franken und Angelsachsen und segelte sogar die Seine hinauf, um erfolgreich Paris zu belagern.;;Héroe vikingo legendario. Lideró numerosas incursiones contra francos y anglosajones, llegando a navegar por el Sena y asediar París.;;;;;;;;;x
richard_lionheart;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
richard_lionheart_desc;A great military leader and warrior who became known as 'the Lionheart'. He was a figurehead of the Third Crusade, scoring numerous victories against the Muslims.;Grand chef militaire et guerrier connu sous le nom « Coeur de lion » qui fut une figure de proue de la Troisième Croisade, marquant de nombreuses victoires contre les musulmans.;Ein großer Militärführer und Krieger, der als "Löwenherz" bekannt wurde. Er war eine Gallionsfigur des Dritten Kreuzzugs und erzielte zahlreiche Siege gegen die Muslime.;;Gran líder militar y guerrero llamado 'Corazón de león'. Figura insigne de la Tercera cruzada que consiguió bastantes victorias contra los musulmanes.;;;;;;;;;x
roger;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
roger_desc;Last of the great Norman conquerors, Roger unified Sicily under his rule, transforming it into a local power responsible for raids across the Muslim lands.;Dernier des grands conquérants normands, Roger a unifié la Sicile sous son autorité, la transformant en une puissance locale responsable de pillages dans les terres musulmanes.;Als letzter der großen nommanischen Eroberer vereinigte Roger Sizilien unter seiner Herrschaft und verwandelte es in eine Lokalmacht, die weitgehend für die Überfälle auf muslimische Nationen verantwortlich war.;;Roger, el último de los grandes conquistadores normandos, unió Sicilia bajo su poder, transformándola en una potencia regional responsable de incursiones en tierras musulmanas.;;;;;;;;;x
rudolph;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
rudolph_desc;Known for combining the two separate parts of Burgundy to form the new Kingdom of Arles.;Connu pour avoir réuni les deux grands territoires de la Bourgogne et ainsi formé le nouveau Royaume d'Arles.;Bekannt für die Vereinigung der beiden Teile Burgunds zu dem neuen Königreich Arles.;;Célebre por unir las dos partes separadas de Borgoña para formar el nuevo Reino de Arlés.;;;;;x
rurik;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
rurik_desc;The founder of the Rurikid Dynasty. He was a Varangian chieftain who ruled over the Rus' and built several settlements, the most famous of which lies in Novgorod.;Le fondateur de la dynastie Riourikide. Il fut un chef varègue qui a régné sur les Rus' et fondé plusieurs colonies, dont la plus célèbre se trouve à Novgorod.;Der Gründer der Rurikiden-Dynastie. Er war ein verangianischer Häuptling, der über die Rus herrschte und mehrere Siedlungen errichtete, von denen die berühmteste in Nowgorod liegt.;;Fundador de la dinastía rurikida, un caudillo varengo que gobernó sobre la Rus y fundó varios asentamientos, de los cuales el más famoso es Nóvgorod.;;;;;;;;;x
saladin;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
saladin_desc;The first Sultan of Egypt and Syria. He successfully led the Muslim military campaign against the Crusader States in the Levant.;Le premier sultan d'Égypte et de Syrie. Il dirigea avec succès la campagne militaire musulmane contre les États Croisés au Levant.;Der erste Sultan von Ägypten und Syrien. Er führte erfolgreich die muslimischen Militärzüge gegen die Kreuzfahrerstaaten in der Levante an.;;Primer sultán de Egipto y Siria. Dirigió con éxito las campañas musulmanas contra los estados cruzados de Levante.;;;;;;;;;x
sassanid;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
sassanid_desc;The founder of the Sassanid dynasty. Known as a great warrior, hunter and high priest of the Zoroastrian faith.;Le fondateur de la dynastie sassanide. Connu comme un guerrier, chasseur et grand prêtre de la foi zoroastrienne.;Der Gründer der Sassaniden-Dynastie. Bekannt als großer Krieger, Jäger und Hohepriester des zoroastrischen Glaubens.;;Fundador de la dinastía sasánida. Reconocido como gran guerrero, cazador y sumo sacerdote de la fe zoroástrica.;;;;;;;;;x
seljuk;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
seljuk_desc;An Oghuz Turkic warlord, Seljuk started out an officer in the Khazar army. He later went on to found his own clan, seeking adventure away from his ancestral home.;Seldjouk, chef de guerre turc oghouze, a commencé comme officier dans l'armée khazare. Il a ensuite fondé son propre clan, s'aventurant loin de sa demeure ancestrale.;Als oghusischer Kriegsherr begann Seldschuk als Offizier in der chasarischen Armee. Er gründete später seinen eigenen Klan und suchte das Abenteuer weg von seiner Heimat. ;;Caudillo turco oguz, Seljuq comenzó siendo oficial en el ejército jazaro. Más tarde fundó su propio clan, buscando aventuras lejos de su hogar ancestral.;;;;;;;;;x
solomon;Solomonic Blood;Sang de Salomon;Solomonischen Blut;;sangre salomónica;;;;;;;;;x
solomon_desc;The Solomonid Dynasty claim direct descendance from the biblical Solomon, a king of Israel famed for legendary wisdom and wealth.;La dynastie des Salomonides revendique la descendance directe du Salomon biblique, un roi d'Israël célèbre pour sa sagesse et sa richesse légendaires.;Die Solomoniden-Dynastie beansprucht die direkte Nachkommenschaft von dem biblischen Salomon, König von Israel, der für seine Weisheit und Reichtum berühmt ist.;;La dinastía salomónida reclama descender directamente del Salomón bíblico, un rey de Israel famoso por su sabiduría y riquezas legendarias.;;;;;;;;;x
songtsen_gampo;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
songtsen_gampo_desc;The founder of the Tibetan Empire who unified several Tibetan kingdoms under his rule. He also introduced Buddhism to Tibet and created the Tibetan Alphabet.;Le fondateur de l'Empire tibétain qui a unifié plusieurs royaumes tibétains sous son règne. Il a également introduit le bouddhisme au Tibet et a créé l'alphabet tibétain.;Der Gründer des tibetischen Reiches, der mehrere tibetische Königreiche unter seiner Herrschaft vereinte. Er führte den Buddhismus nach Tibet und schuf das tibetische Alphabet.;;Fundador del Imperio tibetano que unió varios reinos tibetanos bajo su mando y que también introdujo el budismo en el Tíbet y creó el alfabeto tibetano.;;;;;;;;;x
timur;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
timur_desc;In his native tongue, Timur means 'Iron'. Despite being crippled by two arrows, he was both a military genius and a statesman capable of instilling great loyalty.;En dépit d'avoir été estropié par deux flèches, Timur (« fer ») fut à la fois un génie militaire et un homme d'État inspirant une grande loyauté.;In seiner Muttersprache bedeutet Timur "Eisen". Obwohl er durch zwei Pfeile verkrüppelt wurde, war er sowohl ein militärisches Genie als auch ein Staatsmann, der große Loyalität genoss.;;En su lengua natal, 'timur' significa 'hierro'. Pese a quedar cojo, fue tanto un genio militar como un estadista capaz de inspirar gran lealtad.;;;;;;;;;x
true_matilde_bloodline;Blood of [This.GetFirstName];Sang de [This.GetFirstName];Blut von [This.GetFirstName];;Sangre de [This.GetFirstName];;;;;x
true_matilde_bloodline_desc;By defending the integrity and dignity of the Holy See against its enemies, [This.GetTitledFirstName]'s has forever bound its fate to the Vatican.;En défendant l'intégrité et la dignité du Saint-Siège contre ses ennemis, [This.Get_le_TitledFirstName] a uni son destin à celui du Vatican.;Durch die Verteidigung der Integrität und der Würde des Heiligen Stuhls gegen seine Feinde hat [This.GetTitledFirstName] sein Schicksal für immer an den Vatikan gebunden.;;Al defender la integridad y dignidad de la Santa Sede contra sus enemigos, [This.GetTitledFirstName] ha unido para siempre su destino con el Vaticano;;;;;;;;;x
tughluq;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
tughluq_desc;Founder of the Tughluq dynasty, he expanded Muslim reach across the Indian subcontinent and successfully repealed the Mongol menace.;Fondateur de la dynastie Tughlûq, il a étendu les terres musulmane dans le sous-continent indien et a réussi à contrer la menace mongole.;Er war der Gründer der Tughluq-Dynastie und bekannt dafür die muslimische Reichweite über den indischen Subkontinent hinaus auszuweiten, womit er einer der wenigen Herrscher ist, die erfolgreich die mongolische Bedrohung abgewehrt haben.;;Fundador de la dinastía tugluquí, es célebre por extender la influencia musulmana por todo el subcontinente indio y ser uno de los pocos gobernantes que consiguió rechazar con éxito la amenaza mongola.;;;;;;;;;x
vortigern;Blood of Vortigern;Sang de Vortigern;Blut von Vortigern;;Sangre de Vortigern;;;;;x
vortigern_desc;A king in sub-Roman Britain. He was a strong leader, but is notorious for hiring the Saxons as mercenaries and allowing them to enter the Isle of Britain.;Un roi dans l'île de Bretagne sous domination romaine. Il était un chef fort, mais réputé pour avoir embauché des Saxons comme mercenaires et leur avoir permis d'entrer dans le pays.;Ein König im vorrömischen Großbritannien. Er war ein starker Anführer, aber auch berüchtigt dafür die Sachen als Söldner anzuheuern und ihnen zu erlauben Britannien zu betreten.;;Un rey de la Britania posromana. Un líder fuerte, pero famoso por contratar a los sajones como mercenarios y permitir que entrasen en Britania.;;;;;;;;;x
william_the_conqueror;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
william_the_conqueror_desc;Born an illegitimate bastard, he more than proved himself after successfully claiming the throne of England – becoming known as 'the Conqueror'.;Né bâtard illégitime, il a plus que prouvé son succès après avoir revendiqué et s'être emparé du trône d'Angleterre – devenant connu comme « le Conquérant ».;Als Bastard geboren bewies er sich, nachdem er erfolgreich den Thron Englands eroberte und als "der Eroberer" bekannt wurde.;;Nacido bastardo ilegítimo, mostró su valía reclamando con éxito el trono de Inglaterra, por lo que se le llamó 'el Conquistador'.;;;;;;;;;x
william_wallace;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
william_wallace_desc;A brave knight who fought in the Wars of Scottish Independence. After defeating an English army, he was appointed 'Guardian of Scotland'.;Un chevalier courageux qui a combattu dans les guerres de l'indépendance écossaise. Après avoir vaincu une armée anglaise, il fut nommé « Gardien d'Écosse ».;Ein tapferer Ritter, der in den Kriegen der schottischen Unabhängigkeit kämpfte. Nachdem er eine englische Armee besieht hatte, wurde er zum "Wächter von Schottland" ernannt.;;Valiente caballero que luchó en las guerras de independencia escocesa. Fue nombrado 'Guardián de Escocia' tras derrotar al ejército inglés.;;;;;;;;;x
zvonimir;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
zvonimir_desc;A peaceful ruler who rose to kingship through skilled diplomacy. His rule saw huge economic and cultural advancements take place in Croatia.;Un dirigeant pacifique qui a accédé à la royauté grâce à une diplomatie talentueuse. Son règne a vu d'énormes progrès économiques et culturels avoir lieu en Croatie.;Ein friedlicher Herrscher, der durch geschickte Diplomatie zum König aufstieg. Seine Herrschaft brachte Kroatien große wirtschaftliche und kulturelle Fortschritte.;;Gobernante pacífico que subió al trono mediante una diplomacia hábil y bajo cuyo gobierno hubo enormes avances económicos y culturales en Croacia.;;;;;;;;;x





ashoka_bloodline_01;Reincarnation of Ashoka;Réincarnation d'Ashoka;Reinkarnation von Ashoka;;Reencarnación de Ashoka;;;;;;;;;x
ashoka_bloodline_01_desc;[This.GetTitledFirstName] has been acclaimed by many wise men as the next reincarnation of the great Ashoka, unifier of India.;[This.Get_Le_TitledFirstName] a été reconnu[This.Get_E] par de nombreux sages comme la prochaine réincarnation du grand Ashoka, l'unificateur de l'Inde.;[This.GetTitledFirstName] wurde von vielen Weisen Männern als die nächste Reinkarnation des großen Ashoka, dem Vereiniger Indiens, gefeiert.;;Muchos hombres sabios han proclamado a [This.GetTitledFirstName] como la siguiente reencarnación del gran Ashoka, unificador de la India.;;;;;;;;;x
blessed_bloodline_description;[saint_person.GetSheHeCap] was known as an exemplar of the faith, and will be an inspiration for all our people for many years to come.;[saint_person.GetIlElleCap] était connu[saint_person.Get_E] comme un exemple de foi et sera une source d'inspiration pour notre peuple pendant longtemps.;[saint_person.GetSheHeCap] war als Vorbild des Glaubens bekannt und wird viele Jahre lang eine Inspiration für unser Volk sein.;;Fue célebre como ejemplo de fe y será una inspiración para nuestra gente en los años venideros.;;;;;x
blessed_bloodline_name;Blessed Blood of [saint_person.GetDynName];Sang béni de [saint_person.GetDynName];Gesegnetes Blut von [saint_person.GetDynName];;Sangre bendita de [saint_person.GetDynName];;;;;x
bloodline_bloodthirsty_name_random_a;Dark Blood of [Root.GetFirstName];Sang noir de [Root.GetFirstName];Dunkelblut von [Root.GetFirstName];;Sangre oscura de [Root.GetFirstName];;;;;;;;x
bloodline_bloodthirsty_name_random_b;Crimson Tree;Arbre cramoisi;Purpurbaum;;Árbol escarlata;;;;;;;;x
bloodline_bloodthirsty_name_random_c;Scarlet Seeds of [Root.GetFirstName];Graines écarlates de [Root.GetFirstName];Scharlachroter Samen von [Root.GetFirstName];;Semillas escarlatas de [Root.GetFirstName];;;;;;;;x
bloodline_bloodthirsty_name_random_d;Red Reaper of [Root.Capital.GetName];Faucheu[Root.GetRSe] de [Root.Capital.GetName];Roter Schlächter von [Root.Capital.GetName];;Segador rojo de [Root.GetFirstName];;;;;;;;x
bloodline_bloodthirsty_name_random_e;Soulflayers;Écorcheu[Root.GetRSe] d'âmes;Seelenschinder;;Despellejaalmas;;;;;;;;x
bloodline_bloodthirsty_name_random_f;Dreaded;Redoutable;Gefürchteter;;Temido;;;;;;;;x
bloodline_desc_bloodthirsty_gods_bloodline;[Root.GetTitledFirstName] dedicated [Root.GetHerHis] life to build an empire of blood and skulls in honor of [Root.GetHerHis] fickle and cruel gods.;[Root.Get_Le_TitledFirstName] a consacré sa vie à bâtir un empire dans le sang en l'honneur de ses dieux inconstants et cruels.;[Root.GetTitledFirstName] hat [Root.GetHerHis] Leben dem Bau eines Imperiums voller Blut und Schädel zu Ehren von wankelmütigen und grausamen Göttern gewidmet.;;[Root.GetTitledFirstName] dedicó su vida a levantar un imperio de sangre y cráneos en honor a sus dioses veleidosos y crueles.;;;;;;;;x
bloodline_desc_child_of_destiny;A [child_of_destiny.GetManWoman] of true legend. [child_of_destiny.GetHerHisCap] exploits mimicked those of Alexander the Great himself!;Un[child_of_destiny.Get_E] [child_of_destiny.GetManWoman] de légende. Ses exploits égalent ceux d'Alexandre le Grand !;[child_of_destiny.GetEinEine] [child_of_destiny.GetManWoman] wahrer Legende. [child_of_destiny.GetHerHisCap]e Errungenschaften stehen selbst die von Alexander dem Großen in nichts nach.;;Un[child_of_destiny.GetXA] [child_of_destiny.GetManWoman] que es pura leyenda. ¡Sus hazañas se igualan a las del mismo Alejandro Magno!;;;;;;;;;x
bloodline_desc_great_conqueror;A great conqueror of fame and legend. With sword in hand [This.Founder.GetSheHe] would let no one stand in [This.Founder.GetHerHis] way.;Un grand conquérant de légende. L'épée en main [This.Founder.GetIlElle] ne laisse personne se mettre en travers de son chemin.;Ein großer und legendärer Eroberer. Mit dem Schwert in der Hand lässt [This.Founder.GetSheHe]  niemanden in [This.Founder.GetHerHis]em Wege stehen.;;Gran conquistador de fama y leyenda. Con la espada en la mano, nadie se interpuso en su camino.;;;;;;;;;x
bloodline_desc_israel;The [This.Founder.GetManWoman] who restored the Kingdom of David, the land of Israel, to the Jews.;[This.Founder.GetLLa][This.Founder.GetManWoman] qui a restauré le Royaume de David, la terre d'Israël, aux juifs.;[This.Founder.GetDerDie] [This.Founder.GetManWoman], [This.Founder.Getderdie] das Königreich Davids, das Land Israels, für die Juden zurückgewann.;;[This.Founder.GetElLaCap] [This.Founder.GetManWoman] que devolvió a los judíos el reino de David, la tierra de Israel.;;;;;;;;;x
bloodline_desc_legendary_battle_bard;Rumored to often have gone singing into battle, [This.Founder.GetFirstNameWithNick] was a [This.Founder.GetWarriorRole] of a different time, [This.Founder.GetHerHis] deeds inspiring greatness in others for generations to come.;Réputé[This.Founder.Get_E] pour ses chants avant la bataille, [This.Founder.GetFirstNameWithNick] était un [This.Founder.GetWarriorRole] d'un autre temps. Ses actes inspirent la grandeur aux générations futures.;Es wird gemunkelt, dass [This.Founder.GetFirstNameWithNick] im Kampf oft gesungen haben soll. [This.Founder.GetHerHis]e Taten werden kommende Generationen zur Großartigkeit verleiten.;;[This.Founder.GetFirstNameWithNick] fue un[This.Founder.GetXA] [This.Founder.GetWarriorRole] de otra época. Sus obras inspirarn a otros a la grandeza desde hace generaciones.;;;;;;;;x
bloodline_desc_legendary_battle_survivor;A particularly resilient [This.Founder.GetManWoman], [This.Founder.GetFirstNameWithNick] proved [This.Founder.GetHerselfHimself] one of the finest [This.Founder.GetWarriorRole]s of [This.Founder.GetHerHis] time.;Un[This.Founder.Get_E] [This.Founder.GetManWoman] particulièrement résistant[This.Founder.Get_E], [This.Founder.GetFirstNameWithNick] s'est avéré[This.Founder.Get_E] être l'un des meilleurs [This.Founder.GetWarriorRole]s de son temps.;Als besonders widerstandsfähige[This.Founder.GetrMale] [This.Founder.GetManWoman], bewies sich [This.Founder.GetFirstNameWithNick] selbst als einer der besten [This.Founder.GetWarriorRole] [This.Founder.GetHerHis]er Zeit.;;Alguien con una capacidad de recuperación especial, [This.Founder.GetFirstNameWithNick] demostró ser un[This.Founder.GetXA] de l[This.Founder.GetOA]s mejores [This.Founder.GetWarriorRole] s de su tiempo.;;;;;;;;x
bloodline_desc_legendary_captor;[This.Founder.GetBestName] was both feared and respected, not only for [This.Founder.GetHerHis] combat prowess, but for [This.Founder.GetHerHis] relentless courage.;[This.Founder.GetBestName] était à la fois craint[This.Founder.Get_E] et respecté[This.Founder.Get_E], non seulement pour ses prouesses au combat, mais aussi pour son courage incessant.;[This.Founder.GetBestName] war sowohl gefürchtet als auch respektiert und das nicht nur für [This.Founder.GetHerHis]e Kampffertigkeiten sondern auch für [This.Founder.GetHerHis]en unerbittlichen Mut.;;[This.Founder.GetBestName] fue temid[This.Founder.GetOA] y respetad[This.Founder.GetOA] no solo por su destreza en el combate, sino por su valor implacable..;;;;;;;;x
