BM_100_YEARS_WAR;The Hundred Years War;La guerre de Cent Ans;Der Hundertjährige Krieg;;La Guerra de los Cien años;;;;;;;;;x
BM_THE_MONGOLS_ERA_INFO;As Europe entered the 13th century, Constantinople had been weakened by the Turks and sacked by the Fourth Crusade, so the Byzantine Empire was very much weakened. The Turks still reigned in the Middle East and Persia, in India many new kingdoms vied for power after the fall of the old dynasties. The Norman conquest had brought new political and dynastic struggles to England and France, the Christian kingdoms in Spain were continually growing stronger, Scandinavia had left paganism behind and was becoming more centralized. In Russia several principalities struggled for power in the shadow of the Bolghars and Cumans to the east. In Germany and Italy, the Holy Roman Empire still stood firm, but beyond all this, to the east, a new power was to come into play. When the Mongols broke into Eastern Europe and Persia, it changed the balance of power in all of Western Eurasia...;Alors que l'Europe entre dans le XIIIe siècle, Constantinople est affaiblie par les Turcs et pillée par la quatrième croisade, et l'Empire byzantin connait de grandes difficultés. Les Turcs règnent encore au Moyen-Orient et en Perse. En Inde, de nouveaux royaumes luttent pour la domination après la chute des vieilles dynasties. Les conquêtes normandes ont créé de nouvelles luttes politiques et dynastiques en Angleterre et en France, les royaumes chrétiens d'Espagne se renforcent un peu plus chaque jour, la Scandinavie abandonne le paganisme et devient plus centralisée. En Russie, plusieurs principautés luttent pour gagner en puissance dans l'ombre des Bulgares et des Coumans. En Germanie et en Italie, le Saint-Empire romain tient bon, mais plus à l'est, une nouvelle puissance s'apprête à entrer en jeu. Lorsque les Mongols arrivent dans l'est de l'Europe et en Perse, ils modifient l'équilibre du monde dans toute l'Eurasie occidentale...;Als Europa ins 13. Jh. eintrat, war Konstantinopel von den Türken geschwächt und vom Vierten Kreuzzug gebrandschatzt worden. Byzanz hatte seine Machtposition so gut wie verloren. Die Türken herrschten über den Nahen Osten und Persien, und in Indien versuchten viele neue Königreiche nach dem Niedergang alter Herrscherdynastien die Vorherrschaft an sich zu reißen. Die Eroberung Englands durch die Normannen löste neue politische und dynastische Konflikte in England und Frankreich aus, die christlichen Königreiche Spaniens wurden stetig mächtiger und im nun endgültig christianisierten Skandinavien wurde die Herrschaft allmählich zentralisierter. In Russland kämpften mehrere Fürstentümer im Schatten der Bulgaren und Kumanen im Osten um die Macht. In Deutschland und Italien behielt das Heilige Römische Reich seine zentrale Bedeutung, doch jenseits dieser Entwicklungen erhob sich am östlichen Horizont eine neue Großmacht. Als die Mongolen in Osteuropa und Persien einfielen, sollte dies das Kräftegleichgewicht in Westeurasien von Grund auf ändern...;;Cuando Europa entró en el siglo XIII Constantinopla ya había sido debilitada por los turcos y saqueada por la Cuarta Cruzada, así que el Imperio bizantino era débil. Los turcos aún reinaban en el Oriente Medio y Persia, en la India muchos nuevos reinos competían por el poder tras la caída de las viejas dinastías. La conquista normanda había traído nuevas disputas a Inglaterra y Francia, los reinos cristianos de España seguían fortaleciéndose, Escandinavia había abandonado el paganismo y se había centralizado. En Rusia, varios principados luchaban por el poder a la sombra de los búlgaros y los cumanos, al este. En Alemania e Italia, el Sacro Imperio Romano aún seguía firme, pero con todo lo que estaba sucediendo al este, estaba a punto de aparecer un nueva potencia. Cuando los mongoles irrumpieron en Europa del Este y Persia, cambió el equilibrio de poderes en toda la Eurasia Occidental...;;;;;;;;;x
BM_THE_OLD_GODS;The Old Gods;Les Anciens Dieux;Die Alten Götter;;Los Antiguos Dioses;;;;;;;;;x
BM_THE_OLD_GODS_DESC;§Y'How the little piglets would grunt if they knew how the old boar suffered.'§! Those were the prophetic last words of the legendary viking §YRagnarr Loðbrok§! as he lay dying in the snake pit of Northumbrian king §YÆlla§!. In 867 the vengeful sons of Loðbrok and their 'Great Heathen Army' descended upon the petty kingdoms of Britain to make of §YÆlla§! a 'Blood Eagle'. Meanwhile, two other Norse lords - §YRurik§! and §YDyre§! - were carving out their own rival states among the Slavic and Finnish tribes of the East, laying down the foundations for what would one day become Russia. The Old Gods are still strong and their warriors mighty!;§YÔ combien les petits porcelets ronchonneraient s'ils savaient à quel point a souffert le vieux sanglier.§! Voilà qui furent les dernières paroles prophétiques du légendaire Viking §YRagnarr Loðbrok§! alors qu'il gisait à l'agonie dans la fosse aux serpents de §YÆlla§!, le roi northumbrien. En 867, les fils vindicatifs de Loðbrok et leur 'Grande Armée païenne' ont pénétré dans les petits royaumes de Bretagne et ont fait de §YÆlla§! un 'aigle de sang'. Au même moment, deux autres seigneurs nordiques, §YRurik§! et §YDyre§!, souillaient les terres de leurs rivaux parmi les tribus slaves et finnoises dans l'Est, posant les fondations de ce qui allait un jour devenir la Russie. Les Anciens Dieux sont toujours puissants, tout comme le sont leurs puissants guerriers !;§YWie die kleinen Ferkel grunzen würden, wenn sie wüssten, wie das alte Wildschwein litt.§! Dies waren die prophetischen letzten Worte des legendären Wikingers §YRagnarr Loðbrok§!, als er sterbend in der Schlangengrube des northumbrischen Königs §YÆlla§! lag. 867 fielen die rachedurstigen Söhne von Loðbrok mit ihrer "Großen Ketzerischen Armee" in die erbärmlichen Königreiche Britanniens ein, um §YÆlla§! zum "Blutadler" zu machen. Zu gleicher Zeit erschufen zwei andere nordische Lords - §YRurik§! und §YDyre§! - ihre eigenen rivalisierenden Staaten unter den slawischen und finnischen Stämmen des Ostens und legten den Grundstein für das, was eines Tages Russland sein würde. Die Alten Götter sind noch immer mächtig und ihre Krieger sind stark!;;§YCómo gruñirían los cerditos si supieran cómo sufrió el viejo jabalí.§! Esas fueron las últimas palabras proféticas del legendario vikingo §YRagnarr Loðbrok§! mientras agonizaba en el nido de vívoras del rey de Northumbria §YÆlla§!. En el 867, los vengativos hijos de Loðbrok y su ‘Gran Ejército Pagano’ descendieron sobre los pequeños reinos de Bretaña para hacer de §YÆlla§! un ‘Águila de Sangre’. Mientras tanto, otros dos señores Nórdicos, §YRurik§! y §YDyre§!, fueron forjando sus propios estados rivales entre las tribus Eslavas y Finlandesas del Este, estableciendo las bases de lo que un día se convertiría en Rusia. ¡Los Antiguos Dioses aún son fuertes y sus guerreros poderosos!;;;;;;;;;x
BM_THE_OLD_GODS_ERA;Viking Age;L'âge des Vikings;Wikingerzeitalter;;Época Vikinga;;;;;;;;;x
BM_THE_OLD_GODS_ERA_INFO;By the middle of the 9th century, the Norse raiders and adventurers known as the Vikings had already begun to set their indelible mark on the map of Europe, establishing realms in Russia and the British Isles and travelling and raiding as far as the Black Sea and the Mediterranean. The Karling rulers, descendants of Charlemagne, ruled mighty realms in France, Germany and Italy, while the Muslim religion was now firmly established in Spain under the Umayyads. The Byzantine emperor held on, though suffering under increasing pressure from the Caliphate and the Bulgarians. West of the fractured Steppes, The Magyars were poised to make their claim on the Carpathian basin. Islam was spreading rapidly in Persia under rulers such as the Saffarids, and had penetrated into the Indus valley. Further East, the Hindu Pratihara dynasty was expanding.;Vers le milieu du IXe siècle, les pillards et aventuriers nordiques connus sous le nom de Vikings commencent déjà à imprimer leur marque indélébile en Europe, établissant des royaumes en Russie et dans les îles britanniques, pillant des contrées aussi lointaines que la mer Noire et la Méditerranée. Les souverains carolingiens, descendants de Charlemagne, possédent de puissants royaumes en France, en Germanie et en Italie, tandis que l'islam détient de solides bases en Espagne avec la dynastie des Omeyyades. L'empereur byzantin connait des moments difficiles face à la pression du Califat et des Bulgares. À l'ouest des steppes, les Magyars se préparent à envahir le bassin des Carpates. L'Islam se répand rapidement en Perse sous l'impulsion de souverains tels que les Saffarides, et se propage jusqu'à la vallée de l'Indus. Plus à l'est encore, la dynastie hindouiste des Pratihâra s'étend.;Zu Mitte des 9. Jh. hatten die skandinavischen Plünderer und Abenteurer, die unter der Bezeichnung Wikinger zusammengefasst werden, der europäischen Landkarte bereits ihren unauslöschlichen Stempel aufgedrückt. Sie gründeten Reiche in Russland und auf den Britischen Inseln und segelten auf ihren Raub- und Erkundungsfahrten bis ins Schwarze Meer und ins Mittelmeer. Als die Nachkommen Karls des Großen herrschten die Karolinger über mächtige Reiche in Frankreich, Deutschland und Italien, während der Islam unter den Umayyaden in Spanien nun eine gesicherte Machtbasis hatte. Im Osten musste sich der Kaiser von Byzanz des wachsenden Drucks der Kalifen und der Bulgaren erwehren. Westlich der in Einzelreiche zersplitterten Steppen waren die Magyaren in einer günstigen Position, Anspruch auf das Karpatenbecken zu erheben. In Persien breitete sich der Islam schnell unter den Herrscherdynastien wie den Saffariden aus und drang dabei bis zum Indus vor. Und noch weiter östlich erweiterten die Hindus der Pratihara-Dynastie ihre Machtbasis.;;A mediados del siglo IX, los aventureros e invasores nórdicos conocidos como vikingos, ya habían empezado a situar su imborrable marca en el mapa de Europa. Estableciendo reinos en Rusia y las Islas Británicas y viajaron y saquearon en lugares tan lejanos como el Mar Negro y el Mediterráneo. Los gobernantes carolingios, descendientes de Carlomagno, estuvieron al mando de poderosos reinos en Francia, Alemania e Italia, mientras que la religión musulmana se estableció fuertemente en España a manos de los omeyas. El emperador bizantino no se rindió,  a pesar de ser cada vez más presionado por el califato y los búlgaros. Al oeste de las fracturadas estepas, los magiares estaban preparados para reclamar la Cuenca  de los Cárpatos. El Islam se expandió rápidamente por Persia, bajo unos gobernantes como los saffarís, y penetró en el Valle del Indo. Más hacia el este, se expandió la dinastía hindú Pratihara.;;;;;;;;;x
BM_THIRD_CRUSADE;The Third Crusade;La troisième croisade;Der Dritte Kreuzzug;;La Tercera Cruzada;;;;;;;;;x
BM_THIRD_CRUSADE_DESC;Jerusalem has fallen to the forces of the great infidel, Saladin, but Henry II of England, Philip II of France, and Holy Roman Emperor Frederick 'Barbarossa' have, in their righteous zeal, ended their petty disputes and stand ready to march against the Moor in the most powerful Crusade yet... Deus Vult!;Jérusalem est aux mains des forces de Saladin, le grand infidèle. Mais Henri II d'Angleterre, Philippe II de France et l'empereur Frédéric du Saint-Empire romain germanique, dit « Barberousse », ont, dans leur zèle vertueux, mis fin aux querelles qui les opposaient pour unir leurs forces contre les Maures au cours de la plus féroce des croisades... Deus Vult !;Jerusalem ist den Truppen Saladins, des großen Ungläubigen, anheimgefallen, aber Heinrich II. von England, Philipp II. von Frankreich und der Kaiser des Heiligen Römischen Reiches, Friedrich "Barbarossa" haben wagemutig ihre kleinlichen Zankereien beigelegt und sind bereit, mit dem bis dato gewaltigsten Kreuzzug gegen den Mohr zu Felde zu ziehen ... Deus Vult!;;Jerusalén ha caído ante las fuerzas del gran infiel Saladino, pero Enrique II de Inglaterra, Felipe II de Francia y el emperador del Sacro Imperio Romano Federico 'Barbarroja' han puesto fin, en el nombre de la justicia, a sus disputas y se preparan para marchar contra los moros en la cruzada más importante hasta la fecha... ¡Deus vult!;;;;;;;;;x
ERA_CHALUKYA;Chalukya;Chalukya;Chalukya;;Chalukya;;;;;;;;;x
ERA_CHAR_INFO_140;William the Conqueror, a descendant of the Viking chief Rollo, became duke of Normandy at a very young age, a situation compounded by the fact that he was also a bastard. Early on he was constantly being used as a pawn by rival factions in the duchy, with a succession of his guardians being murdered. Once he reached adulthood, he faced years of warfare in order to take full control over his duchy, eventually emerging victorious. In 1066 he successfully invaded England to press a claim on the English throne. He spent the remainder of his reign consolidating and reforming his new kingdom in the face of sometimes fierce opposition.;Guillaume le Conquérant, descendant du chef viking Rollon, devient duc de Normandie à un très jeune âge, situation d'autant plus compliquée qu'il est un bâtard. Au début, les factions rivales du duché l'utilisent comme un simple pion et bon nombre de ses tuteurs finissent assassinés. Une fois adulte, il doit guerroyer pendant des années pour prendre le contrôle total de son duché et finit par être victorieux. En 1066, il parvient à envahir l'Angleterre pour faire valoir une revendication sur son trône. Il passe le restant de son règne à consolider et à réformer son nouveau royaume face à une opposition parfois farouche.;Wilhelm der Eroberer, ein Nachkomme des Wikingerfürsten Rollo, wurde jung zum Herzog der Normandie, was für gewisse Probleme sorgte, die durch seine Herkunft (sein erster Beiname lautete "der Bastard") noch verstärkt wurden. Während er in seiner Jugendzeit ständigen Hofintrigen ausgesetzt war, in deren Folge gleich mehrere seiner Erzieher das Zeitliche segneten, war er nach seiner Volljährigkeit gezwungen, einen mehrjährigen Krieg um die Herrschaft seines Herzogtums zu führen, aus dem er schließlich siegreich hervorging. Im Jahre 1066 fiel er erfolgreich in England ein und konnte seinen Anspruch auf den englischen Thron durchsetzen. Den Rest seines Lebens verbrachte er mit Reformen und der Konsolidierung seiner Herrschaft über das neue Königreich, wobei er sich gegen starke Widerstände durchsetzen musste.;;Guillermo el Conquistador, un descendiente del jefe vikingo Rollo, fue duque de Normandía a una edad muy temprana, situación agravada por el hecho de ser hijo bastardo. En un inicio era constantemente utilizado como peón por facciones rivales en el ducado, siendo asesinados todos sus tutores. Una vez llegó a la edad adulta, hizo frente a años de contienda para tomar el pleno control de su ducado, proclamándose finalmente vencedor. en 1066 invadió con éxito Inglaterra para aspirar al trono inglés. Pasó el resto de su reinado consolidando y reformando su nuevo reino frente, en ocasiones, a una feroz oposición.;;;;;;;;;x
ERA_CHAR_INFO_1128;Robert Guiscard was the sixth son of Tancred de Hauteville, a petty Norman lord. Just like his brothers, he left Normandy with a small force of followers to seek his fortune in Italy. A brilliant and ruthless leader, he spent several years building a reputation as a mercenary, and the ever changing political landscape in Italy eventually saw the pope investing him as Duke of Apulia. In further campaigns, he proceeded to conquer Sicily, fighting both the Saracens and the Byzantines to secure control. He thus established Norman rule in southern Italy and his conquests had a profound long term impact on the region.;Robert Guiscard est le sixième fils de Tancrède de Hauteville, petit seigneur normand. Tout comme ses frères, il quitte la Normandie avec une petite troupe pour chercher fortune en Italie. Chef brillant et impitoyable, il passe plusieurs années à se construire une réputation en tant que mercenaire, et le paysage politique chroniquement instable en Italie voit le pape l'investir comme duc d'Apulie. Dans de nouvelles campagnes, il fait la conquête de la Sicile, affrontant à la fois les Sarrasins et les Byzantins pour en assurer le contrôle. C'est ainsi qu'il établit la souveraineté normande dans l'Italie du sud et ses conquêtes auront un impact profond et durable sur la région.;Dem Vorbild seiner Brüder folgend scharte Robert Guiscard, der sechste Sohn des Normannenfürsten Tancred de Hauteville, eine Streitmacht Gleichgesinnter um sich und verließ mit ihnen die Normandie, um in Italien sein Glück zu suchen. Als ebenso brillanter wie rücksichtsloser Anführer machte er sich schon bald als Söldnerführer einen Namen. Der schnelle Wechsel der politischen Landschaft Italiens ergab es, dass der Papst irgendwann einen passenden Herzog von Apulien in ihm sah. Bei den folgenden Feldzügen erreichte und eroberte er schließlich Sizilien, wobei er sowohl mit den Sarazenen als auch mit den Byzantinern um die Vorherrschaft rang. So kam es, dass er in Süditalien ein normannisches Herrscherhaus etablieren konnte, mit weitreichenden Auswirkungen auf die weitere Geschichte dieser Region.;;Roberto Guiscardo fue el sexto hijo Tancredo de Hauteville, un insignificante señor normando. Como sus hermanos, dejó Normandía con una pequeña fuerza de seguidores para buscar fortuna en Italia. como brillante y despiadado líder, pasó varios años haciéndose una reputación como mercenario, y con el siempre cambiante paisaje político italiano, finalmente el Papa lo invistió como Duque de Apulia. En siguientes campañas, procedió a conquistar Sicilia, luchando tanto con los sarracenos como con los bizantinos para asegurarse el control. Así estableció el mandato normando en el sur de Italia y sus conquistas tuvieron un impacto en la región durante largo tiempo.;;;;;;;;;x
ERA_CHAR_INFO_1282;Otto was crowned King of the Germans after the death of his father Henry I. Early in his reign he had to push back a rebellion by Duke Eberhard of Bavaria, as well as fight a war against Louis IV of West-Francia and Duke Gilbert of Lorraine. After securing peace in the war, Otto went on to fight for the Italian throne as well as push back the Hungarian threat in the east. In his later years, after his coronation as the Emperor of the Holy Roman Empire, he had to continue his struggles in Italy to keep his newfound empire under control. The Ottonian dynasty went on to control the empire for almost half a century after his death, until it finally ended with the demise of Henry II in 1024.;Otto fut couronné roi des Allemands après la mort de son père Henri Ier. Au début de son règne, il dut repousser la rébellion du duc Eberhard de Bavière, ainsi que mener une guerre contre Louis IV de Francie occidentale et le duc Giselbert de Lorraine. Après avoir obtenu la paix, Otto se battit pour le trône italien et repoussa la menace hongroise à l'est. Durant ses dernières années, après son couronnement en tant qu'empereur du Saint-Empire romain, il dut poursuivre ses luttes en Italie. La dynastie ottonienne a continué à contrôler l’empire pendant près d’un demi-siècle, jusqu’à sa disparition définitive en 1024 avec la mort de Henri II.;Otto wurde nach dem Tod seines Vaters Heinrich I. zum König der Deutschen gekrönt. Zu Beginn seiner Regierungszeit musste er einen Aufstand von Herzog Eberhard von Bayern zurückschlagen und Krieg gegen Ludwig IV. von Westfranken und Herzog Gilbert von Lothringen führen. Nach der Sicherung des Friedens kämpfte Otto weiter um den italienischen Thron und drängte die ungarische Bedrohung im Osten zurück. In seinen späteren Jahren, nach seiner Krönung zum Kaiser des Heiligen Römischen Reiches, musste er seine Kämpfe in Italien fortsetzen, um sein neu gegründetes Reich unter Kontrolle zu halten. Die ottonische Dynastie kontrollierte das Reich nach seinem Tod fast ein halbes Jahrhundert lang weiter, bis es schließlich mit dem Tod Heinrichs II. im Jahr 1024 endete.;;Otón fue coronado Rey de los alemanes a la muerte de su padre, Enrique I. Al principio de su reinado tuvo que rechazar una rebelión del duque Everardo de Baviera, así como entrar en guerra contra Luis IV de Francia Occidental y el duque Gilberto de Lorena. Tras conseguir la paz, Otón fue a luchar por el trono italiano, así como para rechazar la amenaza húngara del este. En sus últimos años, tras su coronación como emperador del Sacro Imperio Romano, tuvo que seguir luchando en Italia para mantener bajo control su nuevo imperio. A su muerte, la dinastía otónida controlaría el imperio durante casi medio siglo hasta desaparecer a la muerte de Enrique II en 1024.;;;;;x
ERA_CHAR_INFO_1316;Heinrich was the son of Holy Roman Emperor Heinrich III, and like his father before him became King of the Germans at a very young age. He nearly drowned at the age of 12 when trying to escape a kidnapping at the hands of the Archbishop of Cologne during an ultimately successful political coup against his mother for the regency. Once an adult, he spent a lot of time balancing between the many powerful interest groups within his vast empire. He fought several wars against rebellious princes and against the Pagan Slavs. Heinrich also had a bitter controversy with the Pope Gregory VII over investiture, leading to his excommunication. Faced with possible rebellion in the Empire, Heinrich was forced to humiliate himself by standing on his knees in a blizzard for three days at Canossa while awaiting the Pope's pardon.;Henri était le fils de Henri III, empereur du Saint-Empire romain. Comme son père avant lui, il devint roi de Germanie très jeune. Il faillit se noyer à l'âge de 12 ans lorsqu'il tenta d'échapper aux ravisseurs mandatés par l'archevêque de Cologne dans ce qui allait être un coup d'État réussi contre sa mère pour obtenir la régence. Adulte, il passa le plus clair de son temps à équilibrer les intérêts de divers groupes puissants au sein de son vaste empire. Il mena plusieurs guerres contre des princes rebelles et contre les Slaves païens. Henri fut également au centre d'une controverse avec le pape Grégoire VII qui mena à son excommunication. Confronté à la possibilité d'une rébellion dans l'empire, Henri fut contraint à l'humiliation en demeurant à genoux pendant trois jours dans une tempête de neige à Canossa, attendant le pardon du pape.;Heinrich, Sohn Heinrichs des III., Kaiser des Heiligen Römischen Reiches, wurde wie sein Vater früh zum König der Deutschen gekrönt. Mit 12 ertrank er beinahe bei einem Entführungsversuch des Erzbischofs von Köln, der Heinrichs Mutter die Regentschaft entreißen wollte und auch letztlich erfolgreich war. Als erwachsener Mann hatte Heinrich die Aufgabe, für Gleichgewicht unter einer Vielzahl Interessensgruppen in seinem Reich zu sorgen. Dabei führte er Kriege gegen verschiedene aufständische Fürsten und heidnischen Slawen. Eine erbitterte Auseinandersetzung mit Papst Gregor VII. hatte Heinrichs Exkommunikation zu Folge. Um eine mögliche Rebellion zu vermeiden, war Heinrich gezwungen, den schmachvollen Gang nach Canossa anzutreten. Dort kniete er drei Tage lang im Schneesturm, bis der Papst ihm Vergebung gewährte.;;Enrique fue el hijo del Emperador Enrique III del Sacro Imperio y, al igual que su padre, se convirtió en Rey de los Germanos a muy temprana edad. A los 12 años casi muere ahogado al tratar de escapar de un secuestro en manos del Arzobispo de Colonia durante un ataque político contra su madre por conseguir la regencia y que finalmente resultó exitoso. Enrique, ya adulto, pasó mucho tiempo tratando de mantener el equilibrio entre los muchos  grupos con poderosos intereses dentro del vasto imperio. Luchó en distintas guerras contra príncipes rebeldes y también contra Eslavos Paganos. Así mismo, tuvo también una amarga controversia con el Papa Gregorio VII sobre la investidura, lo que le comportó la excomunión. Ante una posible rebelión en el Imperio, Enrique, humillado, tuvo que arrodillarse durante tres días bajo una tormenta en Canossa esperando el perdón del Papa.;;;;;;;;;x
ERA_CHAR_INFO_1700;Basil the Macedonian was born to simple peasant parents in Macedonia. After a tumultuous early life, he eventually entered the service of relatives of the imperial house. With time, he became a friend and confidant of Emperor Michael. Using his position to advance his interests, he soon became co-emperor and eventually murdered Michael to become sole emperor. Once in power, he developed a reputation for efficiency and dedication to the empire. He restored good relations with the Pope and strengthened the eastern frontier in spite of hard-fought wars with the Paulicians and the Arabs.;Basile le Macédonien est fils de paysans de Macédoine. Après une enfance tumultueuse, il finit par entrer au service de membres de sa famille au palais impérial. Le temps passant, il devient ami et confident de l'empereur Michel. Utilisant sa position pour servir ses intérêts, il reçoit rapidement le titre de coempereur avant de faire assassiner Michel pour régner seul. Une fois au pouvoir, il développe une réputation d'efficacité et de dévouement à l'Empire. Il restaure de bonnes relations avec le Pape et consolide la frontière orientale malgré des guerres sanglantes contre les Pauliciens et les Arabes.;Basileios I. der Makedonier wurde als Sohn einfacher Bauern in Makedonien geboren. Nach einer turbulenten Kindheit und Jugend trat er in die Dienste einer mit dem Kaiserhaus verwandten Familie ein. Im Laufe der Zeit erwarb er sich das Vertrauen Kaiser Michaels. Aus dieser Position heraus verfolgte er seine eigenen Interessen, stieg zum Beikaiser auf und ermordete schließlich Kaiser Michael, um alleiniger Kaiser zu werden. Nach seiner Machtergreifung erwarb er den Ruf, ein effizienter und pflichtbewusster Herrscher zu sein. Er stellte die guten Beziehungen zum Papst wieder her und konnte die Machtposition des Reiches im Osten trotz schwieriger Kriege gegen Paulizianer und Araber stärken.;;Basilio el Macedonio nació de padres campesinos en Macedonia. Después de un inicio de vida convulso, finalmente estuvo al servicio de parientes de la casa imperial. Con el tiempo, se convirtió en amigo y confidente del Emperador Miguel. Usando su posición para sus intereses, pronto se convirtió en co-emperador y cuando al fin murió Miguel, se convirtió en el único emperador. Una vez en el poder, tuvo reputación por su eficiencia y dedicación al imperio. Restauró las buenas relaciones con el Papa y reforzó la frontera oriental a pesar de las cruentas guerras con los paulicianos y los árabes.;;;;;;;;;x
ERA_CHAR_INFO_3040;Alp Arslan, great-grandson of Seljuk, was born Muhammad bin Dawud Chaghri, but his strength, personal combat skills and valor were soon to earn him his honorary name, which means 'Heroic Lion'. Early on, he succeeded his father as governor of Khorasan, and after a succession crisis in 1064 he took the title of Sultan by force of arms, and became ruler of the immense Seljuk Empire. He then made war on the Byzantine Empire, defeating them thoroughly at the famous battle of Manzikert and taking the Emperor prisoner. This victory was a first step towards Turkish domination in Anatolia and was one of the major events triggering the crusades. He died true to his name, at the age of 42, refusing to let his guards help him against a rebel prisoner who came at him with a dagger.;Alp Arslan, arrière-petit-ils de Seldjouk, naquit sous le nom de Muhammad bin Da'ud Chaghri, mais sa force, son talent au combat et sa valeur lui donnèrent rapidement ce titre honorifique qui signifie 'Lion héroïque'. Très tôt, il succéda à son père en tant que gouverneur du Khorassan. Après la crise de succession de 1064, il s'empara du titre de sultan par les armes et devint le souverain de l'immense Empire seldjouk. Il mena ensuite la guerre à l'Empire byzantin et les battit à plates coutures à la célèbre bataille de Manzikert, lors de laquelle il captura l'empereur. Cette victoire était la première étape de la domination turque en Anatolie et constitua l'un des principaux déclencheurs des croisades. Il mourut fidèle à sa réputation, à l'âge de 42 ans, en refusant que ses gardes viennent l'aider à combattre un prisonnier rebelle qui l'attaquait avec une dague.;Alp Arslan, Urenkel von Seldschuk, wurde als Muhammad bin Dawud Chaghri geboren, aber aufgrund seiner Stärke, Fähigkeit im Zweikampf und Mutes schon bald unter dem Ehrennamen "Heldenhafter Löwe" bekannt. Anfangs folgte er seinem Vater als Gouverneur von Khorasan, doch nach einer Erbfolgekrise im Jahre 1064 übernahm er mit Waffengewalt den Titel des Sultans und war fortan Herrscher des Seldschukenreiches. Danach führte er Krieg gegen Byzanz, das er in der berühmten Schlacht von Manzikert besiegte und den Kaiser gefangen nehmen konnte. Dieser Sieg war ein erster Schritt zur türkischen Vorherrschaft in Anatolien und gleichzeitig einer der Auslöser für Kreuzzüge. Sein Tod ereilte ihn, ganz im Sinne seines Namens, im Alter von 42, als ein gefangener Aufständischer ihn mit einem Dolch angriff und er die Hilfe seiner Wache ausschlug.;;Alp Arslan, bisnieto Selyúcida y nacido con el nombre de Muhammad bin Dawud Chaghri, pronto se ganó este honorable nombre que significa "León Heroico" por su fuerza, sus habilidades de combate y su valor. En etapas tempranas, sucedió a su padre como gobernador de Jorasán, y después de una crisis de sucesión en 1064, se hizo con el título de Sultán por la fuerza y se convirtió en el gobernante del inmenso Imperio Selyúcida. Luego entró en guerra con el Imperio Bizantino y lo derrotó por completo en la batalla de Malazgirt y haciendo prisionero al Emperador. Su victoria fue un primer paso hacia el dominio turco en Anatolia y fue uno de los principales desencadenantes de las cruzadas. Murió fiel a su nombre, a la edad de 42 años, rechazando la ayuda de sus guardas contra un prisionero rebelde que se dirigió a él con un puñal.;;;;;;;;;x
ERA_CHAR_INFO_3096;Born in Cairo, Al-Mustansir became Caliph when he was only 6 years old. During his early years, his mother Ma'd Abu Tamim acted as regent and saw to her son's safety. Once he became an adult, his reign was dominated by strong Viziers, and also plagued by chaos as famine weakened the realm and powerful groups of Turkish mercenaries dominated Egypt and struggled for power. Al-Mustansir never fully took the reins of power, but he was to become the longest-reigning Caliph in history.;Né au Caire, Al-Mustansir devint calife à l'âge de 6 ans. Durant les premières années de son règne, sa mère Ma'd Abu Tamim fut régente et veilla à la sécurité de son fils. Une fois adulte, son règne fut dominé par de puissants vizirs et miné par le chaos. La famine affaiblissait le royaume. Des troupes de mercenaires turcs sévissaient en Égypte et luttaient pour le pouvoir. Al-Mustansir n'eut jamais réellement le pouvoir, mais il allait devenir le calife au plus long règne de l'histoire.;Als der in Kairo geborene Al-Mustansir Kalif wurde, war er erst 6 Jahre alt. In jungen Jahren fungierte seine Mutter Ma'd Abu Tamim als Regentin und kümmerte sich um seine Sicherheit. Sobald er erwachsen war, wurde seine Herrschaft von starken Wesiren geprägt. Auch Hungersnöte und die Machtkämpfe mit mächtigen türkischen Söldnerbanden, die die Vorherrschaft in Ägypten übernommen hatten, belasteten seine Regierungszeit. Bis zuletzt konnte Al-Mustansir die Herrschaft nicht restlos übernehmen. Trotzdem wurde er zu einem der am längsten regierenden Kalifen aller Zeiten.;;Natural de El Cairo, Al-Mustansir se convirtió en Califa con sólo 6 años. Durante sus primeros años, su madre Ma'd Abu Tamim, ejerció la regencia y se encargó de la seguridad de su hijo. Cuando llegó a la edad adulta, su reino fue dominado por poderosos Visires y dominado por el caos. Mientras la hambruna debilitaba el reino, grupos de poderosos mercenarios turcos dominaron Egipto y lucharon por el poder. Al-Mustansir nunca tomó completamente las riendas del poder, pero llegó a ser el califa con el reinado más largo de la historia.;;;;;;;;;x
