#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME6301;The Turnip Act;La loi du navet;Der Rübenerlass;;La Ley de Nabos;;;;;;;;;x
EVTDESC6216;I am proud and I thought myself noble for I rejected all that was weak and insipid. Then the voice reminded me that I was rejecting God when I worshipped myself thus?;Je suis fi[Root.GetErEre] et je me croyais noble parce que je rejetais tout ce qui était faible et insipide. Mais la voix m'a rappelé qu'en me vénérant moi-même, je rejetais Dieu.;Ich bin stolz und hielt mich für edel, weshalb ich alles Schwache und Fade ablehnte. Dann erinnerte mich die Stimme daran, dass ich eigentlich Gott selbst zurückwies, wenn ich mir selbst huldigte.;;Me siento orgulloso y me considero noble por rechazar todo lo débil e insulso. Entonces la voz me recordó que rechazaba a Dios al adorarme a mí mismo.;;;;;;;;;x
EVTDESC6217;For too long I believed that it was the Greeks who would inherit the earth. Then Jesus whispered that is was simply a typo in my Bible and that in reality it was the meek.;J'ai longtemps cru que les légionnaires hériteraient de la terre. Jusqu'à ce que Jésus me murmure qu'une coquille s'était glissée dans ma Bible et qu'en réalité, il s'agissait des débonnaires.;Viel zu lange hatte ich geglaubt, dass die Griechen die Erde erben würden. Dann flüsterte mir Jesus zu, dass es nur ein Druckfehler in der Bibel sei und dass es eigentlich die Siechen heißen sollte.;;Durante demasiado tiempo creí que los gansos heredarían la tierra. Entonces Jesús me susurró que solo era un error tipográfico en mi biblia y que en realidad eran los mansos.;;;;;;;;;x
EVTDESC6218;Jesus whispers have become more frantic of late. He is worried that Satan has corrupted his words through his agents at the various ecumenical councils. He has asked me to seek out the good news that Philip brought so that I can understand the true role of Mary.;Les murmures de Jésus sont plus frénétiques ces temps-ci. Il craint que les Démons de Satan aient altéré sa parole lors des différents conciles oecuméniques. Il m'a demandé de trouver la bonne nouvelle apportée par Philippe afin que je comprenne le véritable rôle de Marie.;In letzter Zeit wurde Jesus' Flüstern immer verzweifelter. Er sorgt sich, dass Satan seine Worte durch seine Spitzel an den verschiedenen ökumenischen Räten verzerrt hat. Er hat mich gebeten, die guten Nachrichten Philipps zu suchen, damit ich die wahre Rolle Marias verstehen kann.;;Jesús susurra que se ha vuelto más maniático últimamente. Le preocupa que Satán haya corrompido sus palabras mediante sus agentes en los diversos consejos ecuménicos. Me pidió que buscase las buenas noticias que trajo Filipo para que entendiese el verdadero rol de María.;;;;;;;;;x
EVTDESC6219;For too long I have felt powerless as our enemies advance, but lately Jesus has been promising me victories if only I can get command.;Je me suis longtemps senti[Root.Get_E] impuissant[Root.Get_E] face à l'avancée de nos ennemis, mais dernièrement Jésus m'a promis des victoires... à condition que j'apprenne à déléguer.;Viel zu lange habe ich mich beim Vormarsch unserer Feinde machtlos gefühlt. In letzter Zeit hat mir Jesus aber Siege versprochen, wenn ich mich nur hingebe.;;Llevo demasiado tiempo sintiéndome impotente mientras nuestro enemigo avanza, pero recientemente Jesús me ha prometido victorias solo si obtengo elogios.;;;;;;;;;x
EVTDESC6220;Lately Jesus has fallen silent over military matters. I feel somehow lessened because without the Lord who am I?;Jésus ne me parle plus des affaires militaires. Je me sens diminué[Root.Get_E]... Qui suis-je sans le Seigneur ?;In letzter Zeit hat sich Jesus in militärischen Belangen zurückgehalten. Ich fühle mich irgendwie geschwächt, denn wer bin ich schon ohne den Herrn?;;Últimamente Jesús ha guardado silencio respecto a los asuntos militares. Me siento impotente por que no soy nadie sin el Señor.;;;;;;;;;x
EVTDESC6221;I felt the holy spirit fill me and just like the Apostles of yore I could speak in the tongues of many peoples, as the holy spirit gave me the power to express myself.;J'ai senti le Saint-Esprit entrer en moi et, comme les apôtres jadis, j'ai acquis la capacité de parler différentes langues, car le Saint-Esprit m'a donné le pouvoir de m'exprimer.;Ich fühlte, wie der Heilige Geist von mir Besitz ergriff, und als er mir die Kraft gab, mich auszudrücken, könnte ich wie die Apostel vergangener Zeiten in den Zungen vieler Völker sprechen.;;Siento que el sagrado espíritu me llena, e igual que los apóstoles de antaño podría hablar en muchas lenguas, ya que el espíritu me dio el poder de expresarme.;;;;;;;;;x
EVTDESC6222;The holy spirit left me and I felt lessened. Some cynics commented that I was finally sober, but they did not understand what the true love of the Lord felt like.;Le Saint-Esprit m'abandonne et je me sens diminué[Root.Get_E]. Quelques cyniques ont ri de moi en disant que j'étais enfin sobre, mais ils ignorent ce que c'est que d'aimer vraiment le Seigneur.;Der Heilige Geist verließ mich, und ich fühlte mich geschwächt. Einige Zyniker meinten, ich wäre nun endlich wieder nüchtern, aber sie verstanden nicht, wie sich die wahre Liebe des Herrn anfühlt.;;El sagrado espíritu me dejó y me sentí impotente. Algunos cínicos dijeron que por fin era sensato, pero no entienden cómo es el verdadero amor del Señor.;;;;;;;;;x
EVTDESC6223;I had been hearing a voice for some time now but I couldn't quite place it. Then I felt its presence fill me and it did not feel divine.;J'entends une voix depuis quelque temps, mais impossible de la resituer. Puis, sa présence s'est faite omniprésente et elle n'avait rien de divin.;Ich hatte schon seit einiger Zeit eine Stimme gehört, konnte sie aber nicht zuordnen. Dann fühlte ich ihre Gegenwart in meinem Körper, und das fühlte sich gar nicht göttlich an.;;Hace un tiempo que oigo una voz, pero no sabía de dónde venía exactamente. Entonces, sentí su presencia dentro de mí, y no era divina.;;;;;;;;;x
EVTDESC6224;I wasn't sure what to do, when [Root.Religion.GetRandomEvilGodName] himself whispered to me. I should talk to one of the denizens of my dungeon.  As I listened to the prisoner's appeal for mercy Satan whispered to me once more that they weren't very sincere. Perchance a little time on the rack would help him.;Je ne savais pas que faire lorsque [Root.Religion.GetRandomEvilGodName] en personne a chuchoté à mon oreille. Il me fallait m'entretenir avec un des occupants de mon donjon. Alors que j'écoutais les déchirants suppliques du captif demandant pitié, le Diable a, une nouvelle fois, chuchoté à mon oreille qu'il n'était pas sincère. Je devrais peut-être le soumettre à la torture.;Ich wusste nicht, was ich tun sollte, als [Root.Religion.GetRandomEvilGodName] selbst mir zuflüsterte, dass ich mit einem Insassen meines Kerkers sprechen sollte. Als ich zuhörte, wie der Gefangene um Gnade flehte, flüsterte mir Satan zu, dass er nicht besonders aufrichtig sei. Vielleicht wäre eine Weile auf der Streckbank für ihn eine Hilfe?;;No sabía muy bien qué hacer cuando el mismo Satanás me estaba susurrando. Debería hablar con algún habitante de mi mazmorra.  Mientras el prisionero pedía piedad, Satanás me habló una vez más y me dijo que no era sincero. Quizás le venga bien pasar un rato en el potro de tortura.;;;;;;;;;x
EVTDESC6225;He came to me while I slept, it seemed almost as if it was a dream. He had three heads, the body of a man, the legs of a cock and the tail of a serpent. He taught me something about myself that I had always known but denied.;Il m'est apparu alors que je dormais, comme dans un rêve. Il avait trois têtes, un corps d'homme, des pattes de coq et une queue de serpent. Il m'a appris quelque chose me concernant, quelque chose que je me refusais à croire.;Er suchte mich im Schlaf auf, und es erschien mir fast wie ein Traum. Er hatte drei Köpfe, den Torso eines Mannes, die Beine eines Hahns und einen Schlangenschwanz. Er lehrte mich etwas über mich selbst, das ich schon wusste, aber stets geleugnet hatte.;;Vino hacia mí mientras dormía, casi parecía un sueño. Tenía tres cabezas, el cuerpo de un hombre, las patas de un gallo y la cola de una serpiente. Me hizo ver una parte de mí que ya conocía y que siempre había negado.;;;;;;;;;x
EVTDESC6226;As I sat and looked at the fish course, the fish spoke to me and reminded me that my neighbor's titles were rich and should be mine.;Alors que j'étais à table et que j'observais mon plat de poisson, celui-ci m'a fait remarquer que les titres de mes voisins étaient prestigieux et me revenaient.;Als ich so dasaß und mir das Fischgericht ansah, sprach der Fisch zu mir und erinnerte mich daran, dass die Titel meines Nachbarn reich waren und mein sein sollten.;;Estando sentado en la mesa miré el pescado y este me habló, me recordó lo apetitosos que eran los títulos del vecino y que debían ser míos.;;;;;;;;;x
EVTDESC6227;Asmodeus asked me why I was denying myself sensual pleasures. I told him it was sin and he reminded me that the Lord God himself had commanded that we should go forth and multiply.;Asmodée m'a demandé pourquoi je me privais des plaisirs charnels. Je lui ai dit qu'il s'agissait là de péchés, ce à quoi il m'a répondu que le Seigneur, lui-même, avait ordonné qu'on se multiplie.;Asmodeus fragte mich, weshalb ich mir sinnliche Genüsse verweigern würde. Ich sagte ihm, dass es sündig sei. Daraufhin erinnerte er mich daran, dass Gott selbst den Menschen befohlen hatte, fruchtbar zu sein und sich zu mehren.;;Asmodeo me preguntó por qué me privaba de placeres carnales. Le dije que era pecado y me recordó que Dios mismo ordenó que debemos reproducirnos.;;;;;;;;;x
EVTDESC6228;I told Asmodeus that lust is a sin against God, and he whispered quietly that I am made in God's image. If I have these urges then it is only because God does too.;J'ai dit à Asmodée que le désir charnel constituait un péché envers Dieu et il m'a chuchoté calmement que j'étais à l'image de Dieu. Si j'ai ces envies, c'est que Dieu les a, lui aussi.;Ich sagte Asmodeus, dass Fleischeslust eine Sünde vor Gott sei. Darauf flüsterte er ruhig, dass ich ein Ebenbild Gottes sein. Wenn ich also diese Dränge verspürte, so sei es nur deshalb, weil es Gott nicht anders ginge.;;Le dije a Asmodeo que la lujuria es un pecado contra Dios y me dijo en voz baja que me crearon a imagen y semejanza de Dios. Si tengo esa tentación es porque Dios también la tiene.;;;;;;;;;x
EVTDESC6229;I was patient and listened to the knight as he explained to me why the world was shaped like a banana. I knew it was Satan's voice who said why do you listen to this fool, your eyes prove the world is flat.;J'ai patiemment écouté le chevalier m'expliquer pourquoi le monde avait la forme d'une banane. Je savais que c'était la voix de Satan qui me demandait pourquoi j'écoutais cet imbécile alors que nos yeux prouvent que le monde est plat.;Ich hörte dem Ritter geduldig zu, als er mir erklärte, weshalb die Erde krumm wie eine Banane sei. Ich wusste, dass es Satans Stimme war, die mich fragte, warum ich diesem Narren überhaupt zuhörte. Ich wüsste doch, dass die Erde eine Scheibe sei.;;Fui paciente y escuché al caballero argumentar por qué el mundo tenía forma de plátano. Sabía que era Satanás quien preguntaba que por qué escuchaba a aquel imbécil, que mis ojos sabían que la Tierra es plana.;;;;;;;;;x
EVTDESC6230;The servant dropped the meat and the dogs immediately drove upon it. The waste angered me but I held my temper, then the voice whispered to me as it has so often before: 'Why do you accept this foolishness?';Le serviteur a laissé tomber la viande et les chiens l'ont dévorée. La situation me mettait en colère, mais j'ai gardé mon sang-froid. Puis, la voix m'a demandé pourquoi j'acceptais une telle bêtise.;Kaum hatte der Diener das Fleisch auf den Boden fallen gelassen, stürzten sich schon die Hunde darauf. Diese Verwendung ärgerte mich, aber ich hielt mein Temperament im Zaum. Dann flüsterte mir die Stimme wieder sanft ins Ohr, wie sie es schon so oft getan hatte. Sie wollte wissen, warum ich diese Torheit akzeptieren würde.;;El sirviente tiró la carne y los perros se lanzaron a ella de inmediato. Tal desperdicio me enfureció, pero me contuve. Entonces, la voz me susurró como lo ha venido haciendo hasta ahora: '¿Por qué aceptas semejante ineptitud?'.;;;;;;;;;x
EVTDESC6231;At the sermon the father reminded the congregation of my humbleness. Then a voice whispered in my ear, I know it is the morning star, and he told me that the father was making a fool out of me. The so called priest was a wealthy man who ate well while the poor starved.;Au cours de son sermon, le prêtre a rappelé à l'assemblée mon humilité. Puis, une voix a chuchoté à mon oreille, je sais qu'il s'agit de l'étoile du matin, et elle m'a dit que le frère me ridiculisait. Ce soi-disant prêtre était riche et mangeait à satiété pendant que les pauvres mouraient de faim.;Bei der Predigt erinnerte der Pfarrer die Kirchengemeinde an meine Bescheidenheit. Dann flüsterte mir eine wohlbekannte Stimme ins Ohr, dass der Pfarrer einen Narren aus mir machte. Der sogenannte Priester war ein reicher Mann, der gut und reichlich speiste, während draußen die Armen verhungerten.;;Durante el sermón, el párroco habló a los congregados de mi humildad. Entonces, una voz me susurró al oído. Sé que es el lucero del alba. Me dijo que el párroco me estaba dejando como a un idiota. El venerado sacerdote era un acomodado que comía caliente mientras los pobres pasaban hambre.;;;;;;;;;x
EVTDESC6232;I sat in contemplation of my life and wondered why it was that I wasn't getting my due. Then a voice whispered to me, I know it to be Lucifer, who told me it was my right to have a throne higher than the clouds and over the earth.;J'ai réfléchi à ma vie et j'ai voulu savoir pourquoi je n'avais pas ce qui me revenait. Puis, une voix a chuchoté quelque chose à mon oreille. Je savais que c'était la voix de Lucifer et elle m'a dit qu'il était normal que j'ai un trône plus haut que les nuages et au-dessus de la terre.;Ich dachte über mein Leben nach und wunderte mich, warum ich nicht das mir Zustehende erreichte. Dann flüsterte mir Luzifer wieder ins Ohr. Er behauptete, dass mir ein Thron zustünde, der selbst die Wolken überragte.;;Me senté a reflexionar sobre mi vida y me pregunté por qué no tenía lo que me merecía. Entonces, una voz me susurró. Yo sabía que era Lucifer. Me dijo que tenía derecho a sentarme en un trono más alto que las nubes y gobernar el mundo entero.;;;;;;;;;x
EVTDESC6233;I always tried to avoid eating too much, as I felt it a sin. The Lord of the flies whispered softly in my ear, that I should enjoy all the fruits of God's creation.;J'ai toujours essayé de limiter mon appétit, car pour moi, c'est un péché. Le Seigneur des Mouches a chuchoté à mon oreille qu'il me fallait profiter de tous les fruits créés par Dieu.;Zu viel zu essen, das versuchte ich stets zu vermeiden, denn es fühlte sich sündig an. Der Herr der Fliegen flüsterte mir sanft ins Ohr, ich solle alle Früchte von Gottes Schöpfung genießen.;;Nunca he comido mucho, porque sabía que era pecado. Pero el Señor de las moscas me habló al oído y me dijo que debía disfrutar de todos los frutos de la creación de Dios.;;;;;;;;;x
EVTDESC6234;I looked upon  the table and my mouth salivated at the rich odours. I felt the urge to fill my plate as much as I could and the Beelzebub whispered why not?;Je salivais à l'odeur des délicieux plats qui se trouvaient sur la table. J'ai eu très envie de remplir mon assiette et Belzébuth m'a conforté dans ce sens.;Ich blickte auf den Tisch, und die intensiven Gerüche ließen mir das Wasser im Mund zusammenlaufen. Ich fühlte den Drang, meinen Teller komplett zu füllen. "Warum auch nicht?", flüsterte der Beelzebub.;;Miré a la mesa y empecé a salivar ante los deliciosos olores. Sentí la necesidad de llenarme el plato hasta los bordes y Belcebú susurró: '¿Y por qué no?'.;;;;;;;;;x
EVTDESC6235;As I watched the Almoner hand out coins I wondered is it really so good that those who are clearly going to squander the money should receive it. Mammon came to me later and pointed out the logic in my thoughts, we should try to save first those who can be saved.;En voyant l'aumônier distribuer des pièces, je me suis demandé s'il était bon que ceux qui dilapident l'argent le reçoivent. Mammon m'a ensuite rendu visite et souligné la légitimité de ce que je pensais. Il vaudrait mieux commencer par sauver ceux qui peuvent être sauvés.;Als ich den Almosenier bei der Ausgabe von Münzen beobachte, fragte ich mich, warum es denn eine so gute Sache sei, dass jene Geld erhalten, die es eh verschwenden werden. Mammon erschien mir später und zeigte die Logik meiner Gedanken auf. Wir sollten erst jene zu retten versuchen, die noch gerettet werden können.;;Mientras vi al limosnero repartiendo monedas pensé si realmente merecía la pena darle dinero a aquellos que evidentemente iban a despilfarrarlo. Entonces, Mammon se dirigió a mí y me hizo ver que mis pensamientos eran lógicos, antes debemos salvar a los que pueden ser salvados.;;;;;;;;;x
EVTDESC6236;It was hard to sleep, while Mammon softly whispered in my ear. He was telling me about all the things that should be mine but  others had The more he whispered the more it made sense.;Alors que je peinais à trouver le sommeil, Mammon a murmuré quelque chose à mon oreille. Il a énuméré tout ce qui devrait m'appartenir, mais qui appartenait à d'autres. Plus il me parlait, plus ce qu'il disait avait du sens.;Das Schlafen fiel mir schwer, während mir Mammon leise ins Ohr flüsterte. Er erzählte mir über all die Dinge, die mir gehören sollten, aber im Besitz anderer waren. Je mehr er mir zuflüsterte, umso mehr machte es Sinn.;;Cuesta dormir cuando tienes a Mammon susurrándote en el oído. Me hablaba sobre cómo las pertenencias de otros debían ser mías. Y cuando más me hablaba, más sentido tenía todo.;;;;;;;;;x
EVTDESC6237;It was the Leviathan who told me that I was merely being weak. I should stop it and show my strength.;Le Léviathan m'a dit que je faisais tout simplement preuve de faiblesse et qu'il me fallait y remédier.;Der Leviathan schließlich war es, der mir sagte, ich wäre lediglich schwach. Ich sollte damit aufhören und meine Stärke zeigen.;;El Leviatán me dijo que, simplemente, estaba siendo débil. Tenía que cambiar y demostrar mi fortaleza.;;;;;;;;;x
EVTDESC6238;The Leviathan whispered to me and reminded me that there were those who had that did not deserve it and then there were those like me who deserved so much more.;Le Léviathan a murmuré à mon oreille et m'a rappelé que certains étaient méritants et d'autres absolument pas.;Der Leviathan flüsterte mir zu und erinnerte mich daran, dass es jene gab, die nichts verdient hatten, und solche wie ich, denen so viel mehr zustünde.;;El Leviatán susurraba recordándome que había gente que tenía lo que no se merecía, mientras otros, como yo, merecían mucho más.;;;;;;;;;x
EVTDESC6239;Belphegor was wondering why I was always so busy. I am top of the tree, compared to the serfs, so why should I not take the time to enjoy it?;Belphégor se demandait pourquoi j'avais tant à faire. Je suis la cime de l'arbre, par rapport aux serfs, pourquoi ne devrais-je pas en profiter ?;Belphegor wunderte sich, weshalb ich immer so beschäftigt war. Im Vergleich zu den Leibeigenen stehe ich ganz oben an der Spitze der Gesellschaft. Warum sollte ich mir nicht die Zeit nehmen, das zu genießen?;;Belphegor se preguntaba por qué siempre estaba ocupado. Comparado con los siervos, yo estaba en un nivel superior. Así que, ¿por qué no dedicar tiempo a disfrutarlo?;;;;;;;;;x
EVTDESC6240;I often wondered why I bother about such trivial things. Belphegor keeps urging me to save my energy for when it really matters.;Je me suis souvent demandé pourquoi je m'embêtais avec des choses aussi triviales. Belphégor me conseille de garder mon énergie pour ce qui compte vraiment.;Ich fragte mich oft, warum ich mich mit derart trivialen Dingen abgab. Belphegor drängt mich immerzu, mir meine Energie für wirklich wichtige Angelegenheiten aufzuheben.;;A menudo, me he preguntado por qué me preocupo por cosas tan triviales. Belphegor siempre me aconseja que ahorre mi energía para cuando realmente la necesite.;;;;;;;;;x
EVTDESC6300;You have decided to introduce a new law to the good people of the realm, as is your right as their ruler. Now you just have to decide on its contents...;Vous avez décidé d'introduire une nouvelle loi pour le bien du pays, tel est votre privilège de souverain. Il ne vous reste plus qu'à décider de son contenu...;Zum Wohlergehen aller erlasst Ihr, wie es Euch als Herrscher von Rechts wegen zusteht, ein neues Gesetz. Nun müsst Ihr nur noch über seinen Inhalt entscheiden ...;;Has decidido aplicar una nueva ley a las buenas gentes de tu reino, como te corresponde al ser su gobernante. Ahora solo debes decidir su contenido...;;;;;;;;;x
EVTDESC6301;Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n"Whereas the turnip represents the very best qualities to be found in society, and: whereas it is of fine texture, particularly when boiled, and has been proven to remedy all ailments known to Man when consumed:\n\nTherefore I, [From.GetTitledName], decree that the turnip shall henceforth be used as currency throughout the realm, taking the place of gold, silver or any other precious metal. These shall instead be turned over to the Crown for immediate disposal.";Votre [Root.Liege.GetLordLady] lige, un brin excentrique, a proclamé une nouvelle loi qui sera instaurée dans tout le Royaume. En voici sa teneur : \n\n- Attendu que le navet est doté des plus grandes qualités qui soient, \n- Attendu que ce légume dégage une saveur si délicate, en particulier lorsqu'on le fait bouillir, \n- Attendu qu'il a été prouvé qu'il remédie à toutes les maladies connues de l'homme lorsqu'il est consommé : \nC'est pourquoi, Moi, [From.Get_le_TitledName], décrète que le navet sera désormais utilisé comme monnaie dans tout le Royaume, prenant la place de l'or, de l'argent ou tout autre métal précieux. Ils doivent aussitôt être remis à la Couronne pour en faire une réserve monétaire.;Euer etwas exzentrischer Lehnsherr hat ein neues Gesetz verfügt, das überall im Reich gelten soll. Dort heißt es:\n\n"Demgemäß, dass die Rübe die besten Qualitäten der Menschheit verkörpert, von delikater Textur ist, insbesondere in gekochtem Zustand, und bei Verzehr erwiesenermaßen ein Heilmittel für alle Krankheiten des Menschen darstellt, verfügen Wir, [From.GetTitledName], den folgenden Erlass:\n\nDie Rübe wird hinkünftig als Währung in das Reich eingeführt und die Stelle von Gold, Silber oder anderer kostbarer Metalle einnehmen. Die alte Währung soll hingegen eingezogen und der Krone zur sofortigen Verfügung gestellt werden.";;Tu ligéramente excéntrico señor ha proclamado una ley que deberá ser respetada en todo el reino. Dice:\n\n"En vista de que el nabo representa la mejor de la cualidades que se encuentran en la sociedad, y:  debido a su fina textura, sobre todo cocido, y ha;;;;;;;;;x ;;
EVTDESC6302;Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n"Whereas pants constrict not only the lower limbs and reproductive organs, but also the human soul, and: whereas pants are known to be an affront to all forms of life but Man:\n\nTherefore I, [From.GetTitledName], command that the use of pants be outlawed throughout the realm under penalty of death. All existing variants of this garment are to be immediately burned, and the ashes distributed evenly over the graves of our forefathers.";Votre [Root.Liege.GetLordLady] lige, un brin excentrique, a proclamé une nouvelle loi qui sera instaurée dans tout le Royaume. En voici sa teneur : \n\n- Attendu que le pantalon comprime non seulement les membres inférieurs mais aussi les organes reproducteurs, tout comme l'âme humaine, \n- Attendu que les pantalons sont connus pour être un affront à toutes les formes de vie, sauf pour l'homme : \nC'est pourquoi, Moi, [From.Get_le_TitledName], décrète que l'utilisation d'un pantalon est interdite dans tout le royaume sous peine de mort. Toutes les variantes existantes de ce vêtement doivent être immédiatement brûlées et les cendres réparties uniformément sur les tombes de nos ancêtres.;Euer etwas exzentrischer Lehnsherr hat ein neues Gesetz verfügt, das überall im Reich gelten soll. Dort heißt es:\n\n"Demgemäß, dass die Hose nicht nur die unteren Glieder und Organe knebelt, sondern auch die Seele einschnürt, und des Weiteren einen Affront an alle anderen Lebensformen darstellt, befehlen Wir, [From.GetTitledName]:\n\nDass die Verwendung von Hosen im ganzen Reich für ungesetzlich erklärt und mit der Todesstrafe geahndet wird. Alle noch existierenden Varianten dieses Bekleidungsstücks sind unverzüglich zu verbrennen und die Asche sodann gleichmäßig über die Gräber unserer Vorväter zu verteilen.";;Tu ligéramente excéntrico señor ha proclamado una ley que deberá ser respetada en todo el reino. Dice:\n\n"Dado que los pantalones oprimen, no solo los miembros inferiores y órganos reproductores, sino también el alma humana, y:  puesto que se consideran ;;;;;;;;;x
EVTDESC6303;Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n"Whereas the positive effects of fresh air is known to all, and: whereas the movement of the wind must not be obstructed by man-made structures:\n\nTherefore I, [From.GetTitledName], decree that all homesteads throughout the realm are to have two holes, each no smaller than a grown peasant standing with arms outstretched, in opposite walls facing each other to allow free passage of the wind. These holes are not to be covered by planks, windows, doors or cattle. If any member of the household is known to exhibit severe flatulence, the holes shall number three and no less.";Votre [Root.Liege.GetLordLady] lige, un brin excentrique, a proclamé une nouvelle loi qui sera instaurée dans tout le Royaume. En voici sa teneur : \n\n- Attendu que les effets positifs de l'air frais sont connus de tous, \n- Attendu que la circulation du vent ne doit pas être bloquée par des bâtiments: \nC'est pourquoi, Moi, [From.Get_le_TitledName], décrète que toutes les fermes du Royaume auront deux trous, de la taille d'un paysan adulte debout ayant les bras tendus, chacun dans des parois opposées pour permettre le libre passage du vent. Ces trous ne doivent pas être couverts par des planches, fenêtres, portes ou animaux. Si un membre du ménage est connu pour présenter de sévères flatulences, les trous seront au nombre de trois et pas moins.;Euer etwas exzentrischer Lehnsherr hat ein neues Gesetz verfügt, das überall im Reich gelten soll. Dort heißt es:\n\n"Demgemäß, dass die lebensspendende Wirkung von frischer Luft zum allgemeinen Wissenstand gehört und des Weiteren das Wehen des Windes nicht durch menschengeschaffene Bauten behindert werden darf, verfügen Wir, [From.GetTitledName], den folgenden Erlass:\n\nVon nun an müssen im ganzen Reich alle Heimstätten mindestens zwei Löcher aufweisen, jedes davon nicht kleiner als ein stehender Bauer mit ausgestreckten Händen, in gegenüberliegenden Wänden, die sich gegenseitig zuwenden, um den freien Windzug zu ermöglichen. Diese Löcher dürfen nicht durch Bretter, Fenster, Türen oder Vieh verdeckt werden. Falls irgendein Haushaltsmitglied bekanntermaßen an starker Flatulenz leidet, so soll sich die Anzahl der Löcher auf nicht weniger als drei erhöhen.";;Tu ligéramente excéntrico señor ha proclamado una ley que deberá ser respetada en todo el reino. Dice:\n\n"Dados los efectos positivos que se conoce tiene el aire fresco, y en vista de que el movimiento del viento no debe ser obstruido por creación humana;;;;;;;;;x
EVTDESC6304;Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n"Whereas the children of the realm have become desensitised to violence, and: whereas the general populace seems to have lost all regard for the sanctity of human life:\n\nTherefore I, [From.GetTitledName], decree that all forms of violence directed at other human beings be outlawed, including both capital and corporal punishment as well as the torture of criminals, heathens and foreigners. These vulnerable social groups are instead to be rehabilitated and eventually released back into society as productive citizens.";Votre [Root.Liege.GetLordLady] lige, un brin excentrique, a proclamé une nouvelle loi qui sera instaurée dans tout le Royaume. En voici sa teneur : \n\n- Attendu que les enfants du Royaume sont devenus insensible à la violence, \n- Attendu que la population a perdu tout respect pour le caractère sacré de la vie humaine : \nC'est pourquoi, Moi, [From.Get_le_TitledName], décrète que toutes les formes de violence à l'endroit d'autres êtres humains est hors la loi, y compris la peine capitale, les châtiments corporels ainsi que la torture des criminels, des païens et des étrangers. Ces groupes sociaux vulnérables seront plutôt réhabilités et éventuellement relâchés dans la société en tant que citoyens productifs.;Euer etwas exzentrischer Lehnsherr hat ein neues Gesetz verfügt, das überall im Reich gelten soll. Dort heißt es:\n\n"Demgemäß, dass die Kinder des Reiches gegenüber von Gewalt abgestumpft sind und des Weiteren die Bevölkerung besorgniserregende Anzeichen von Gleichgültigkeit gegenüber der Unantastbarkeit des menschlichen Lebens zeigt, verfügen Wir, [From.GetTitledName], folgenden Erlass:\n\nVon heute an stehen sämtliche Formen der Gewalt gegen menschliche Wesen unter Strafe, einschließlich der Todesstrafe und der Prügelstrafe, ebenso die Folter von Kriminellen, Ungläubigen und Ausländern. Diese letztgenannten sozialen Gruppen sind demgegenüber vollständig zu rehabilitieren und gegebenenfalls zurück in die Gesellschaft zu überantworten, als produktive Bürger.";;Tu ligéramente excéntrico señor ha proclamado una ley que deberá ser respetada en todo el reino. Dice:\n\n"Dado que los niños del reino se han vuelto insensibles a la violencia, y en vista de que la población en general parece haber perdido toda considera;;;;;;;;;x
