#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_lord_spiritual.txt

#########################
#
#	Lord spiritual events
#
#########################

# The Lord Spiritual converts a province!
evt_lordspiritual_001_title;County Religion Converted;Conversion religieuse d'un comté;Grafschaftsreligion konvertiert;;Condado convertido;;;;;;;;;x
EVTDESC39650;You have arrived at [Root.Location.GetName] to convert the local populace to the true faith.;Vous arrivez à [Root.Location.GetName] pour convertir la population locale à la véritable foi.;Ihr seid in [Root.Location.GetName] angekommen, um die lokale Bevölkerung zum wahren Glauben zu konvertieren.;;Has llegado a [Root.Location.GetName] para convertir a la población local a la verdadera fe.;;;;;;;;;x
EVTOPTA39650;Embrace [Root.Religion.GetRandomGodName] before it is too late, heathens!;Païens, tournez-vous vers le [Root.Religion.GetRandomGodName] avant qu'il ne soit trop tard !;Akzeptiert [Root.Religion.GetRandomGodName], bevor es zu spät ist, Ungläubige!;;Abrazad el [Root.Religion.GetRandomGodName] antes de que sea demasiado tarde, ¡paganos!;;;;;;;;;x

EVTDESC39651;You have seen the local pagan lord paying special attention to your sermons lately. Could a conversion be at hand?;Vous avez récemment vu le seigneur local païen prêter attention à vos sermons. Se pourrait-il que sa conversion soit proche ?;Ihr habt bemerkt, dass der lokale heidnische Herrscher Euren Predigten in der letzten Zeit erhöhte Aufmerksamkeit schenkt. Steht eine Konvertierung bevor?;;Has visto al señor local pagano prestando especial atención a tus sermones últimamente. ¿Podrías convertirlo pronto? ;;;;;;;;;x
EVTOPTA39651;Let us pray it is so...;Prions qu'il en soit ainsi...;Lasst uns dafür beten...;;Oremos por que así sea…;;;;;;;;;x

EVTDESC39652;Through your efforts, you have managed to convert one of the local pagan lord's courtiers to the true faith. Surely this is an important stepping stone on the way to salvation for all of [Root.Location.GetName]!;Grâce à vos efforts, vous avez réussi à convertir un des courtisans du seigneur païen local à la véritable foi. C'est certainement le premier pas vers le salut de tout [Root.Location.GetName] !;Dank Eurer Bemühungen konntet Ihr einen Gefolgsmann des lokalen heidnischen Herrschers zum wahren Glauben konvertieren. Dies ist mit Sicherheit ein wichtiger Schritt zur Rettung aller in [Root.Location.GetName]!;;Mediante tus esfuerzos, has logrado convertir a uno de los cortesanos del señor local pagano a la verdadera fe. Sin duda, ¡este es un paso importante en el camino hacia la salvación para todos los de [Root.Location.GetName]!;;;;;;;;;x
EVTOPTA39652;Praised be [Root.Religion.GetRandomGodName]!;Que [Root.Religion.GetRandomGodName] soit loué !;Gepriesen sei [Root.Religion.GetRandomGodName]!;;¡Alabado sea [Root.Religion.GetRandomGodName]!;;;;;;;;;x

EVTDESC39653;You come to blows with another cleric who has also come to [Root.Location.GetName] to convert the people to his own faith!;Vous en venez aux mains avec un autre clerc venu également à [Root.Location.GetName] pour convertir le peuple à sa propre foi !;Ihr geratet mit einem anderen Kleriker aneinander, der ebenfalls nach [Root.Location.GetName] gekommen ist, um das Volk zu seinem Glauben zu konvertieren!;;¡Llegas a las manos con otro clérigo que también ha llegado a [Root.Location.GetName] para convertir a la gente a su propia fe!;;;;;;;;;x
EVTOPTA39653;Not in the face!;Pas la tête !;Nicht ins Gesicht!;;¡En la cara no!;;;;;;;;;x

# The Lord Spiritual improves relations between the liege and a bishop
evt_lordspiritual_501_title;Improved Relations with [Root.Religion.GetPriestTitle];Relations améliorées avec un religieux;Beziehungen zu [Root.Religion.GetPriestTitle] verbessert;;Las relaciones con el [Root.Religion.GetPriestTitle] han mejorado.;;;;;;;;;x
evt_lordspiritual_501_desc_a;During my stay at the court of a local bishop in [Root.Location.GetName] I have done my utmost to present my liege in a more favourable light and have him recognized as the benevolent ruler and pious [Root.Liege.Religion.GetName] [Root.Liege.GetSheHe] is.;Lors de mon séjour à la Cour d'un [Root.Religion.GetPriestTitle] local à [Root.Location.GetName], j'ai tout mis en oeuvre pour présenter m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige sous un jour des plus flatteurs et le faire reconnaître en tant que pieu[Root.Liege.GetXSe] [Root.Liege.GetReligionMascFem].;Während meines Besuches am Hofe eines hiesigen Bischofs in [Root.Location.GetName] tat ich mein Möglichstes, meinen Lehnsherrn in einem günstigeren Licht erscheinen zu lassen und ihn als gütigen Herrscher und frommen [Root.Liege.Religion.GetName] darzustellen.;;Durante mi estancia en la corte de un obispo de [Root.Location.GetName], hice todo lo posible por hablar bien de mi señoría en reconocimiento a la bondad y la devoción al [Root.Liege.Religion.GetName] que [Root.Liege.GetSheHe] profesa.;;;;;;;;;x
evt_lordspiritual_501_option_a;It seems as I have succeeded!;Visiblement, cela a porté ses fruits !;Es scheint, ich hatte Erfolg!;;¡Parece que lo he logrado!;;;;;;;;;x

# Inform the bishop
evt_lordspiritual_502_desc_a;During [From.GetHerHis] visit to my court, the [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has really convinced me of what a benevolent and pious ruler [From.GetHerHis] liege [From.Host.GetTitledName] is.;Lors de sa venue au sein de ma Cour, [From.Get_le_JobTitle] [From.Host.PrimaryTitle.Get_du_Realm], [From.Get_le_TitledName], a réussi à me convaincre de la bienveillance et de la piété de s[From.Host.GetOnA] [From.Host.GetLordLady], [From.Host.Get_le_TitledName].;Während [From.GetHerHis]es Besuchs an meinem Hof überzeugte mich der [From.GetJobTitle] von [From.Host.PrimaryTitle.GetName], [From.GetTitledName], was für ein gütiger und frommer Herrscher [From.GetHerHis] Lehnsherr [From.Host.GetTitledName] doch ist.;;Durante su visita a la corte, el [From.GetJobTitle] de [From.Host.PrimaryTitle.GetName], [From.GetTitledName], realmente me ha convencido de la benevolencia y la piedad de su monarca [From.Host.GetTitledName].;;;;;;;;;x
evt_lordspiritual_502_option_a;I feel a new appreciation for [From.Host.GetTitledName]!;J'apprécie davantage [From.Host.Get_le_TitledName] !;Ich sehe [From.Host.GetTitledName] nun in viel hellerem Licht!;;¡Creo que empiezo a apreciar a [From.Host.GetTitledName]!;;;;;;;;;x

# The liege is informed of the success
evt_lordspiritual_503_desc_a;My liege, my mission to [FromFrom.Location.GetName] has so far been a success! During my visit to the court of [From.GetBestName], I seem to have managed to make [From.GetHerHim] understand what a benevolent and pious ruler you really are and [From.GetSheHe] sends [From.GetHerHis] regards.\n\nYour humble [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nMa mission en [FromFrom.Location.GetName] est un succès ! Lors de ma visite à la Cour [From.Get_only_du_Title][From.GetBestName], j'ai réussi à lui faire comprendre que vous régnez avec bienveillance et piété, et [From.GetIlElle] vous transmet son bon souvenir.\n\nVotre humble [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];Mein Lehnsherr, meine Mission in [FromFrom.Location.GetName] ist bislang ein Erfolg! Während meines Besuches am Hof von [From.GetBestName] scheine ich [From.GetHerHim] überzeugt zu haben, dass Ihr ein gütiger und frommer Herrscher seid, und [From.GetSheHe] übermittelt [From.GetHerHis]e besten Grüße.\n\nEuer ergebener [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];;¡Mi señor, mi misión a [FromFrom.Location.GetName] ha sido un éxito! Durante mi visita a la corte de [From.GetBestName], logré que entendiera lo benévolo y devoto que eres como gobernante y envía sus saludos.\n\nTu humilde [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];;;;;;;;;x


# The Lord Spiritual attempts to sabotage the relations of a subject priest towards the official head of the religion
evt_lordspiritual_601_title;Decreased Relation Between [Root.Religion.GetPriestTitle] and Spiritual Leader;Moins bonnes relations entre le [Root.Religion.GetPriestTitle] et le chef religieux;Schlechte Beziehungen zwischen [Root.Religion.GetPriestTitle] und Kirchenoberhaupt;;La relación entre el [Root.Religion.GetPriestTitle] y el [Root.Religion.RelHead.GetTitle] empeora;;;;;;;;;x
evt_lordspiritual_601_desc_a;Filling his ears with poisonous slander and evil rumors about his [Root.Religion.GetName] leader, I did my best to sabotage the relationship between the bishop and his spiritual leader.;En diffamant et en répandant des rumeurs incendiaires sur le chef de la religion [Root.Religion.GetName], j'ai tout mis en oeuvre pour saboter les relations entre l'évêque et son chef religieux.;Ich stopfte ihm die Ohren mit giftigen Verleumdungen und üblen Gerüchten über seinen [Root.Religion.GetName] Führer voll, und tat so mein Bestes, die Beziehungen zwischen dem Bischof und seinem Kirchenoberhaupt zu sabotieren.;;Intenté hacer todo lo posible para sabotear la relación entre el obispo y su líder espiritual envenenando al obispo con calumnias y rumores nocivos sobre su guía en el [Root.Religion.GetName].;;;;;;;;;x
evt_lordspiritual_601_option_a;This should please my liege!;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige devrait apprécier !;Das sollte meinem Lehnsherrn das Herz erwärmen!;;¡Mi señor estará encantado!;;;;;;;;;x

# Inform the bishop
evt_lordspiritual_602_desc_a;During [From.GetHerHis] visit to my court, the [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has told me many disturbing news about our religious leader. I feel like a veil has been lifted from my eyes;En visite à ma Cour, [From.Get_le_JobTitle] [From.Host.PrimaryTitle.Get_du_Realm], [From.Get_le_TitledName], m'a fait part d'informations inquiétantes sur notre chef religieux. J'ai l'impression qu'il m'a ouvert les yeux.;Während [From.GetHerHis]es Besuchs an meinem Hof erzählte mir der [From.GetJobTitle] von [From.Host.PrimaryTitle.GetName], [From.GetTitledName], viele beunruhigende Neuigkeiten über unser Kirchenoberhaupt. Ich fühle mich, als sei ein Schleier von meinen Augen genommen worden.;;Durante su visita a mi corte, el [From.GetJobTitle] de [From.Host.PrimaryTitle.GetName], [From.GetTitledName], me hizo llegar varias noticias preocupantes sobre nuestro líder religioso. Es como si me hubieran quitado la venda de los ojos.;;;;;;;;;x
evt_lordspiritual_602_option_a;How can I trust him again?;Dois-je continuer à lui faire confiance ?;Wie soll ich ihm jemals noch vertrauen?;;¿Cómo voy a confiar en él de nuevo?;;;;;;;;;x

# The liege is informed of the success
evt_lordspiritual_603_desc_a;My liege, I have good news from my mission to [From.Location.GetName]! During my visit to the court of [From.GetBestName], I have filled [From.GetHerHis] ears with poisonous slander and evil rumors about [From.GetHerHis] spiritual leader. Their relation has been thoroughly sabotaged and I foresee that it is going to be anything but good from now on.\n\nYour humble [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJ'ai de bonnes nouvelles suite à ma mission en [From.Location.GetName] ! Lors de mon séjour à la cour [From.Get_only_du_Title][From.GetBestName], j'ai répandu des rumeurs incendiaires sur son chef religieux. Leurs relations en ont souffert et j'ai le sentiment que cela va porter ses fruits.\n\nVotre humble [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];Mein Lehnsherr, ich habe gute Neuigkeiten aus [From.Location.GetName]! Während meines Besuchs am Hofe von [From.GetBestName] stopfte ich [From.Getihmihr] die Ohren mit giftigen Verleumdungen und Gerüchten über [From.GetHerHis]en Kirchenführer. Ihre Beziehung wird ab jetzt wohl alles andere als gut sein.\n\nEuer ergebener [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];;¡Mi señor, tengo buenas noticias de mi misión a [From.Location.GetName]! Durante mi visita a la corte de [From.GetBestName], llené su mente de calumnias y maliciosos rumores acerca de su líder espiritual. Su relación ha sido totalmente saboteada y preveo que en adelante solo habrá buenas noticias.\n\nTu humilde [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];;;;;;;;;x


# A Great Inventor offers his help: Random Culture Tech increases
evt_lordspiritual_701_title;A Great Philosopher;Un grand philosophe;Ein großer Philosoph;;Un gran filósofo.;;;;;;;;;x
evt_lordspiritual_701_desc_a;My work to enhance cultural study in [Root.Location.GetName] had not been going as well as I had hoped, but then I happened to meet a great philosopher who seems to be able to greatly help me in my work.;Ma mission culturelle à [Root.Location.GetName] ne se déroule pas comme je l'espérais, mais j'ai rencontré un grand philosophe qui semble en mesure de me prêter main-forte.;Meine Arbeit an der Verbesserung kultureller Studien in [Root.Location.GetName] lief nicht so gut, wie ich erhofft hatte, aber dann traf ich einen großen Philosophen, der mir bei meiner Arbeit enorm helfen kann.;;Mis intentos por mejorar el estudio cultural de [Root.Location.GetName] no ha estado yendo todo lo bien que esperaba, pero he conocido a un gran filósofo que parece que puede ayudarme bastante con mi trabajo.;;;;;;;;;x
evt_lordspiritual_701_option_a;Maybe my liege could be persuaded to hire him?;Peut-être serait-il bon de persuader m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige de l'engager ?;Vielleicht könnte mein Lehnsherr sich überzeugen lassen, ihn einzustellen?;;¿Y si convenzo a mi señor para que lo contrate?;;;;;;;;;x
evt_lordspiritual_701_option_a_tooltip;Send a letter to inform my liege;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige pour l'en informer.;Einen Brief an meinen Lehnsherrn senden;;Envía una carta para informar a mi señor.;;;;;;;;;x

# The liege is informed of the success
evt_lordspiritual_702_desc_a;My liege, during my stay in [From.Location.GetName] I have found a great philosopher who has agreed to help me with my studies to enhance culture in the county. With your permission I would suggest that we employ him.\n\nYour humble [Root.GetLordSpiritualName],\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nLors de mon séjour à [From.Location.GetName], j'ai rencontré un grand philosophe prêt à m'aider dans mes recherches visant à réaliser des progrès culturels dans le comté. Je ne saurais que trop vous conseiller de l'engager.\n\nVotre humble [Root.GetLordSpiritualName],\n[From.GetTitledName];Mein Lehnsherr, während meines Besuchs in [Root.Location.GetName] traf ich einen großen Philosophen, der einwilligte, mir bei meinen Studien zur Kulturintensivierung in der Provinz zu helfen. Mit Eurer Erlaubnis schlage ich vor, ihn in unsere Dienste zu stellen.\n\nEuer ergebener [Root.GetLordSpiritualName],\n[From.GetTitledName];;Mi señor, durante mi estancia en [Root.Location.GetName] hallé un gran filósofo que aceptó ayudarme con mis estudios para mejorar la cultura de la provincia. Con tu permiso, te sugiero que le contratemos.\n\nTu humilde [Root.GetLordSpiritualName],\n[From.GetTitledName];;;;;;;;;x
evt_lordspiritual_702_option_a;Of course!;Bien sûr !;Natürlich!;;¡Por supuesto!;;;;;;;;;x
evt_lordspiritual_702_option_b;No, that's outrageously expensive!;Non, ce serait bien trop cher !;Nein, das ist viel zu teuer!;;¡No, es un gasto grandísimo!;;;;;;;;;x


# Lord Spiritual = heretic
evt_lordspiritual_801_title;A Heretic Find;Une découverte hérétique;Ein ketzerischer Fund;;Un hallazgo herético;;;;;;;;;x
evt_lordspiritual_801_desc_a;In the dusty archives of [Root.Location.GetName] I found several old and battered tomes containing sacred books of a religion considered heretic. The knowledge found inside these texts have severely shaken my belief in the [Root.Religion.GetName] faith.;Dans les archives poussiéreuses de [Root.Location.GetName], j'ai trouvé d'anciens manuscrits sacrés traitant d'une religion considérée comme hérétique. Le contenu de ces textes a sérieusement ébranlé ma foi [Root.Religion.GetName].;In den verstaubten Archiven von [Root.Location.GetName] fand ich eine Reihe alter, verbeulter Schwarten, die heilige Bücher einer als Ketzerei angesehen Religion enthielten. Das Wissen in diesen Texten hat mein Vertrauen in den [Root.Religion.GetName]en Glauben ernsthaft unterminiert.;;En los polvorientos archivos de [Root.Location.GetName], he encontrado varios tomos antiguos y desgastados que contenían libros sagrados de una religión considerada hereje. El saber hallado en estos textos ha tambaleado mis creencias en el [Root.Religion.GetName].;;;;;;;;;x
evt_lordspiritual_801_option_a;I will embrace this heretic but sage religion;J'embrasserai cette foi, certes hérétique, mais sage.;Ich werde diese ketzerische, aber weise Religion annehmen;;Me uniré a esta sabia, aunque hereje, religión.;;;;;;;;;x
evt_lordspiritual_801_option_b;I better hide my doubts;Il vaut mieux que je dissimule mes doutes.;Ich werde meine Zweifel lieber für mich behalten;;Mejor me callo mis dudas.;;;;;;;;;x

# Liege gets a letter
evt_lordspiritual_802_desc_a;My [Root.GetTitle], the more I study the [From.Religion.GetName] religion the more I feel compelled to embrace it and to show you the wisdom that lies in these texts. I have sent you excerpts from the most interesting parts... ...I urge you to follow my example and embrace the [From.Religion.GetName] religion.\n\nYour [Root.GetLordSpiritualName],\n[From.GetTitledFirstName];M[Root.GetOnA][Root.GetLordLady],\nPlus j'étudie la religion [From.Religion.GetName], plus j'ai envie de l'embrasser et de vous faire découvrir la sagesse contenue dans ces textes dont j'ai compilé ici les extraits les plus intéressants... Je vous invite à suivre mon exemple en embrassant la religion [From.Religion.GetName].\n\nVotre [Root.GetLordSpiritualName],\n[From.GetTitledFirstName];Mein [Root.GetTitle], je mehr ich mich mit der [From.Religion.GetName]en Glaubensrichtung befasse, desto mehr fühle ich einen großen Zwang, zu ihr überzutreten und Euch die Weisheit zu zeigen, die diese Texte enthalten. Ich dränge Euc mir zu folgen und den [From.Religion.GetName]en Glauben anzunehmen.\n\nEuer [Root.GetLordSpiritualName],\n[From.GetTitledFirstName];;Mi [Root.GetTitle], cuanto más estudio la religión [From.Religion.GetName] más impulsado me siento a abrazarla y mostrarte la sabiduría que yace en esos textos. Te he enviado extractos de las partes más interesantes... ...Te invito a seguir mi ejemplo y abrazar la religión [From.Religion.GetName].\n\nTu [Root.GetLordSpiritualName],\n[From.GetTitledFirstName];;;;;;;;;x
evt_lordspiritual_802_option_a;[From.GetSheHeCap] is mad! Arrest [From.GetHerHim]!;[From.GetIlElleCap] a perdu la tête ! Procédez à son arrestation !;[From.GetSheHeCap] ist verrückt! Verhaftet [From.GetHerHim]!;;¡[From.GetSheHeCap] ha perdido la cabeza! ¡Arrestadle!;;;;;;;;;x
evt_lordspiritual_802_option_b;I will NEVER embrace your vile heresy... publicly.;Je n'embrasserai jamais votre vile hérésie... publiquement.;Ich werde NIEMALS Eure abscheuliche Ketzerei annehmen ... jedenfalls nicht öffentlich.;;NUNCA abrazaré tu vil herejía... públicamente.;;;;;;;;;x
evt_lordspiritual_802_option_c;[From.GetSheHeCap] has convinced me to follow in [From.GetHerHis] footsteps.;[From.GetIlElleCap] a réussi à me convaincre de lui emboîter le pas.;[From.GetSheHeCap] hat mich überzeugt, [From.GetHerHis]em Beispiel zu folgen.;;[From.GetSheHeCap] me ha convencido para que siga sus pasos.;;;;;;;;;x

# Lord Spiritual responds
evt_lordspiritual_803_desc_a;To [Root.GetTitledFirstName],\nYour findings have proven to be most fascinating and I am now convinced to follow in your footsteps and immediately convert to the [Root.Religion.GetName] faith. However, I have chosen to keep this hidden to avoid prying eyes. I urge you to do the same!\n\nYour liege, [From.GetTitledFirstName];[Root.GetTitledFirstName],\nVos conclusions se sont avérées être des plus fascinantes et je suis déterminé[From.Get_E] à suivre vos pas et à adopter la foi [Root.Religion.GetName]. Cependant, j'ai choisi de le garder caché pour éviter les regards indiscrets. Je vous exhorte à faire de même !\n\nVotre [From.GetLordLady] lige, [From.GetTitledFirstName];An [Root.GetTitledFirstName],\nEure Erkenntnisse haben sich als höchst interessant erwiesen und ich bin jetzt so überzeugt, dass ich es Euch gleichtun und sofort zum [Root.Religion.GetName]en Glauben konvertieren werde. Ich habe jedoch beschlossen, dies geheim zu halten, um keine neugierigen Blicke auf mich zu lenken. Ich bitte Euch eindringlich, dasselbe zu tun!\n\nEuer Lehnsherr [From.GetTitledFirstName];;[Root.GetTitledFirstName]:\nTus averiguaciones han resultado fascinantes y me he decidido a seguir tus pasos y convertirme a la fe [Root.Religion.GetName]. Sin embargo, prefiero mantenerlo oculto a las malas lenguas. ¡Te aconsejo que hagas lo mismo!\n\nTu señor/a, [From.GetTitledFirstName].;;;;;;;;;x
evt_lordspiritual_803_option_a;A wise decision.;Une sage décision.;Eine weise Entscheidung.;;Sabia decisión.;;;;;;;;;x
evt_lordspiritual_803_option_b;To hide who I am? Never!;Pour cacher qui je suis ? Jamais !;Verbergen, wer ich bin? Niemals!;;¿Ocultar lo que soy? ¡Jamás!;;;;;;;;;x

# Liege responds
evt_lordspiritual_804_desc_a;To [Root.GetTitledFirstName],\n\nYou are most wise, I shall henceforth continue my [From.SecretReligion.GetName] practices in secret.\n\nYour fellow servant of [From.SecretReligion.GetHighGodName],\n[From.GetTitledFirstName];[Root.GetTitledFirstName],\n\nVous êtes d'une grande clairvoyance. Je continuerai mes pratiques [From.SecretReligion.GetName]s en secret dorénavant.\n\nVotre fidèle serviteur [From.Get_du_HighGodSecret],\n[From.GetTitledFirstName];An [Root.GetTitledFirstName],\nIhr seid sehr klug. Ich werde fortan meine [From.SecretReligion.GetName]-Praktiken im Geheimen fortsetzen.\n\nEuer treuer Diener von [From.SecretReligion.GetHighGodName]\n[From.GetTitledFirstName];;Al [Root.GetTitledFirstName].\n\nTenéis gran sabiduría, así que continuaré mi práctica del [From.SecretReligion.GetName] en secreto.\n\nVuestro fiel servidor de [From.SecretReligion.GetHighGodName],\n[From.GetTitledFirstName];;;;;;;;;x
evt_lordspiritual_804_option_a;I knew [From.GetSheHe] would see reason!;Je savais qu'[From.GetIlElle] entendrait raison !;Ich wusste, dass [From.GetSheHe] zur Vernunft kommt!;;¡Sabía que vería la razón!;;;;;;;;;x

# Liege responds
evt_lordspiritual_805_desc_a;To [Root.GetTitledFirstName],\n\nI will not cower and hide in fear! I shall practice my [From.Religion.GetName] beliefs for all the world to see and people with stronger wills than you will join me in the open.\n\nYour fellow servant of [From.SecretReligion.GetHighGodName],\n[From.GetTitledFirstName];[Root.GetTitledFirstName],\n\nJe ne vais pas me recroqueviller et me cacher par peur ! Je pratiquerai ma religion [From.Religion.GetName] aux yeux de tous, et les gens avec une volonté supérieure à la vôtre me rejoindront au grand jour.\n\nVotre fidèle serviteur [From.Get_du_HighGodSecret],\n[From.GetTitledFirstName];An [Root.GetTitledFirstName],\nich werde mich nicht aus Angst verstecken! Ich werde meine [From.Religion.GetName]-Überzeugung frei ausüben, so dass es die ganze Welt sieht und Menschen mit stärkerem Willen als Ihr mir öffentlich beiwohnen.\n\nEuer treuer Diener von [From.SecretReligion.GetHighGodName]\n[From.GetTitledFirstName];;Al [Root.GetTitledFirstName].\n\n¡No me ocultaré asustado! Seguiré practicando el [From.Religion.GetName] a la vista del mundo y gente con una voluntad mayor que la tuya se unirá abiertamente a mí.\n\nTu compañero servidor de [From.SecretReligion.GetHighGodName],\n[From.GetTitledFirstName];;;;;;;;;x
evt_lordspiritual_805_option_a;What a fool! [From.GetSheHeCap] will be the death of me!;Que[From.GetLLle] idiot[From.Get_E] ! [From.GetIlElleCap] va causer ma perte !;Was ein Dummkopf! [From.GetSheHeCap] wird noch mein Tod sein!;;¡Loco! ¡Será mi muerte!;;;;;;;;;x


# The Mufti improves relations between the liege and a vassal
evt_lordspiritual_901_title;Vassal Impressed;Vassal impressionné;Vasallen beeindruckt;;Vasallo impresionado;;;;;;;;;x
evt_lordspiritual_901_desc_a;Due to your recent charity work on behalf of [Root.Liege.GetTitledFirstName], one of [Root.Liege.GetHerHis] vassals has become impressed with [Root.Liege.GetHerHis] great generosity.;Lors d'une récente action caritative réalisée sous les ordres [Root.Liege.Get_du_TitledFirstName], l'un de ses vassaux a été agréablement surpris par sa générosité.;Aufgrund Ihrer aktuellen Wohltätigkeitsarbeit im Namen von [Root.Liege.GetTitledFirstName] ist einer [Root.Liege.GetHerHis]er Vasallen sehr von [Root.Liege.GetHerHis]er enormen Großzügigkeit beeindruckt.;;Debido a la reciente obra de caridad en nombre de [Root.Liege.GetTitledFirstName], uno de sus vasallos se ha impresionado por su grandísima generosidad.;;;;;;;;;x

# Inform the vassal
evt_lordspiritual_902_desc_a;The [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName] has been performing charity in [From.Location.GetName], donating alms and food to those in need. The local peasants have benefitted greatly from the [From.Host.GetTitle]'s generosity.;[From.Get_Le_JobTitle] [From.Host.PrimaryTitle.Get_du_Realm] a réalisé une action charitable dans la ville de [From.Location.GetName], et a fait l'aumône et donné de la nourriture aux personnes dans le besoin. Les paysans du coin ont grandement apprécié cet acte généreux.;Der [From.GetJobTitle] von [From.Host.PrimaryTitle.GetName] war in [From.Location.GetName] äußerst wohltätig, und hat Almosen und Essen an die gespendet, die es nötig haben. Die örtlichen Bauern profitieren sehr von [From.Host.GetTitle]s Großzügigkeit.;;El [From.GetJobTitle] de [From.Host.PrimaryTitle.GetName] ha estado haciendo obras de caridad en [From.Location.GetName], dando limosnas y comida a quien necesite. Los campesinos locales se han visto grandemente beneficiados por su generosidad.;;;;;;;;;x
evt_lordspiritual_902_option_a;Perhaps there is still some good in this world.;Peut-être reste-t-il encore quelques hommes bons dans ce monde ?;Vielleicht gibt es immer noch Gutes in dieser Welt.;;Puede que todavía haya bondad en este mundo.;;;;;;;;;x

# The liege is informed of the success
evt_lordspiritual_903_desc_a;Your [FromFrom.GetJobTitle], [FromFrom.GetTitledName], reports that [From.GetTitledName] has been humbled by your endless generosity to the poor in [From.Location.GetName]. The peasants are singing your name!;Votre [FromFrom.GetJobTitle], [FromFrom.Get_le_TitledName], dit que [From.Get_le_TitledName] s'est senti humilié par votre générosité sans limite envers les pauvres de [From.Location.GetName]. Les paysans vous honorent en chantant votre nom !;Euer [FromFrom.GetJobTitle], [FromFrom.GetTitledName], meldet, dass [From.GetTitledName] durch Eure endlose Großzügigkeit den Armen in [From.Location.GetName] gegenüber gedemütigt wurde. Die Bauern singen Euren Namen! ;;Tu [FromFrom.GetJobTitle], [FromFrom.GetTitledName], informa que [From.GetTitledName] se siente honrado por tu infinita generosidad hacia los pobres de [From.Location.GetName]. Los campesinos cantan tu nombre.;;;;;;;;;x
evt_lordspiritual_903_option_a;A job well done!;Voilà du bon travail !;Eine Aufgabe gut ausgeführt! ;;¡Bien hecho!;;;;;;;;;x


# The Mufti is trampled by a peasant mob (Gets away, Is wounded, Is killed)
evt_lordspiritual_1001_title;[Root.Liege.GetLordSpiritualName] is Trampled by Mob;La foule piétine notre [Root.Liege.GetLordSpiritualName];[Root.Liege.GetLordSpiritualName] wurde vom Pöbel niedergetrampelt;;[Root.Liege.GetLordSpiritualName] es pisoteado por la muchedumbre;;;;;;;;;x
evt_lordspiritual_1001_desc_a;It seems your selfless charity work in [Root.Location.GetName] has attracted a little too much attention. Before you know it, you are surrounded by a huge crowd of hungry and desperate beggars who claw at your robes, pleading for food.;Votre oeuvre de charité altruiste à [Root.Location.GetName] a un peu trop attiré l'attention. En un rien de temps, vous vous retrouvez encerclé par une foule de mendiants affamés et désespérés qui s'accrochent à vos habits, réclamant de la nourriture.;Anscheinend hat Eure selbstlose Wohltätigkeitsarbeit in [Root.Location.GetName] etwas zu viel Aufmerksamkeit erregt. Ehe Ihr es Euch verseht, seid Ihr von einer großen Menschenmenge hungriger und verzweifelter Bettler umzingelt, die an Eurer Robe zerren und um Nahrung betteln.;;Parece que tu altruista obra de caridad en [Root.Location.GetName] ha llamado demasiado la atención. En un santiamén, te rodea una gran multitud de hambrientos y desesperados mendigos que clavan sus uñas en tus vestimentas pidiéndote comida.;;;;;;;;;x
evt_lordspiritual_1001_option_a;By the Prophet, let me through!;Par le Prophète, laissez-moi passer !;Bei dem Propheten, lasst mich durch! ;;¡Dejadme pasar, por el Profeta!;;;;;;;;;x

# Mufti gets away
