# Unused and/or EU3 holdovers ?

CRBSIEGE2;The city will probably surrender within twelve months.;La cité se rendra probablement d'ici douze mois.;Die Stadt wird wahrscheinlich innerhalb von 12 Monaten kapitulieren.;To miasto prawdopodobnie podda siê w ci¹gu dwunastu miesiêcy.;Probablemente la villa se rendirá antes de doce meses..;La città si arrenderà probabilmente entro dodici mesi.;A város talán tizenkét hónapon belül megadja magát.;Mìsto se pravdìpodobnì vzdá do 12 mìsícù.;;;;;;x
CRBSIEGE3;The city will probably surrender within nine months.;La cité se rendra probablement d'ici neuf mois.;Die Stadt wird wahrscheinlich innerhalb von neun Monaten kapitulieren.;To miasto prawdopodobnie podda siê w ci¹gu dziewiêciu miesiêcy.;Probablemente la villa se rendirá antes de nueve meses.;La città si arrenderà probabilmente entro nove mesi.;A város talán kilenc hónapon belül megadja magát.;Mìsto se pravdìpodobnì vzdá do 9 mìsícù.;;;;;;x
CRBSIEGE4;The city will probably surrender within six months.;La cité se rendra probablement d'ici six mois.;Die Stadt wird wahrscheinlich innerhalb von sechs Monaten kapitulieren.;To miasto prawdopodobnie podda siê w ci¹gu szeœciu miesiêcy.;Probablemente la villa se rendirá antes de seis meses.;La città si arrenderà probabilmente entro sei mesi.;A város talán hat hónapon belül megadja magát.;Mìsto se pravdìpodobnì vzdá do 6 mìsícù.;;;;;;x
CRBSIEGE5;The city will probably surrender within three months.;La cité se rendra probablement d'ici trois mois.;Die Stadt wird wahrscheinlich innerhalb von drei Monaten kapitulieren.;To miasto prawdopodobnie podda siê w ci¹gu trzech miesiêcy.;Probablemente la villa se rendirá antes de tres meses.;La città si arrenderà probabilmente entro tre mesi.;A város talán három hónapon belül megadja magát.;Mìsto se pravdìpodobnì vzdá do 3 mìsícù.;;;;;;x
CRBSIEGE6;The city will surrender any day now.;La cité se rendra d'un jour à l'autre.;Die Stadt wird nun jederzeit kapitulieren.;To miasto podda siê lada dzieñ.;La villa se rendirá cualquier día de estos.;La città ormai potrebbe arrendersi in qualsiasi momento.;A város bármelyik nap megadhatja magát;Mìsto se vzdá každým dnem.;;;;;;x
CREATE_COLONY_EFFECT;Colony of  $SIZE$ population founded in $WHERE$.\n;Colonie de $SIZE$ habitants fondée à $WHERE$.\n;Kolonie der Größe $SIZE$ gegründet in $WHERE$.\n;;Colonia de $SIZE$ de población fundada en $WHERE$.\n;$WHERE$: fondata una colonia con $SIZE$ abitanti.\n;;;;;;;;x
CREATE_PIRATE;$SIZE$ ship(s) with pirates will appear in $WHERE$.\n;Apparition de $SIZE$ vaisseaux pirates à $WHERE$\n;$SIZE$ Schiffe mit Piraten erscheinen in $WHERE$.\n;$SIZE$ okrêt(-ów) pirackich pojawia siê w $WHERE$.\n;$SIZE$ barco(s) pirata(s) aparecerá(n) en $WHERE$.\n;$WHERE$: appariranno $SIZE$ navi pirata\n;$SIZE$ kalózhajó jelent meg $WHERE$ közelében\n;;;;;;;x
CREATE_REVOLT;$SIZE$ regiment(s) rises up in revolt in $WHERE$.\n;$SIZE$ régiment(s) en révolte à $WHERE$\n;$SIZE$ Regimenter revoltieren in $WHERE$.\n;$SIZE$ pu³k(-ów) wznieca bunt w: $WHERE$.\n;$SIZE$ regimiento(s) se rebela(n) en $WHERE$\n;$WHERE$: $SIZE$ reggimenti in rivolta\n;$SIZE$ hadsereg fellázadt a $WHERE$ -i forradalomban\n;;;;;;;x
CULTURE_CHANGE;$NEW$ becomes the new primary culture.\n;$NEW$ devient la culture principale.\n;$NEW$ wird zur neuen Leitkultur.\n;$NEW$ bêdzie odt¹d nasz¹ now¹ podstawow¹ kultur¹.\n;La cultura $NEW$ se convierte en la nueva cultura principal.\n;La nuova cultura principale è: $NEW$.\n;$NEW$ lett az elsõdleges kultúra.\n;;;;;;;x
DECWARINFORM;$MONARCHTITLE$, an envoy of $COUNTRY$ has brought forward a declaration of war. He says our capital will burn within the week!;$MONARCHTITLE$, un émissaire de $COUNTRY$, nous a porté une déclaration de guerre. Il dit que notre capitale brûlera avant la fin de cette semaine !;$MONARCHTITLE$, ein Gesandter aus $COUNTRY$ hat uns eine Kriegserklärung überbracht. Er sagt, unsere Hauptstadt wird binnen einer Woche brennen!;;$MONARCHTITLE$, un emisario de $COUNTRY$ ha presentado una declaración de guerra. ¡Dice que nuestra capital arderá en cuestión de una semana!;$MONARCHTITLE$, un emissario di: $COUNTRY$, ha portato una dichiarazione di guerra. Ha detto che di qui a una settimana la nostra capitale brucerà!;;;;;;;;x
DECWARREQDESC;Declaring war is, sometimes, the last resort of diplomacy. The act of declaring war will reduce the view other countries have of you, especially if you do not have a legitimate reason to do so. It may also reduce your stability. Are you sure you wish to do this?;Déclarer la guerre est parfois le dernier recours de la diplomatie. Une déclaration de guerre influe négativement sur l'opinion des autres pays à votre égard, surtout si vos raisons ne sont pas légitimes. Votre stabilité peut également en pâtir. Êtes-vous sûr de vouloir déclarer la guerre ?;Eine Kriegserklärung ist manchmal das letzte Mittel der Demokratie. Durch eine Kriegserklärung fallt Ihr im Ansehen anderer Ländern, besonders wenn Ihr keinen legitimen Grund dafür habt. Außerdem könnte dies zur Reduzierung Eurer Stabilität führen. Möchtet Ihr wirklich in den Krieg ziehen?;Wypowiedzenie wojny to czasami ostatecznoœæ, kiedy zawiod¹ pozosta³e dzia³ania dyplomatyczne. Akt wypowiedzenia wojny pogorszy nasz¹ reputacjê w oczach innych pañstw, szczególnie, jeœli nie ma on odpowiedniego uzasadnienia. Mo¿e ono równie¿ wp³yn¹æ na stabilnoœæ. Czy na pewno chcesz to zrobiæ?;En ocasiones, declarar la guerra es el último recurso de la diplomacia. El acto de declarar la guerra merma la opinión que los demás países tienen de vos, especialmente si no tenéis una razón legítima para hacer algo así. También reduce vuestra estabilidad. ¿Seguro que queréis hacerlo?;Talvolta, una dichiarazione di guerra è l'ultima carta da giocare in diplomazia. Una dichiarazione di guerra peggiora la tua immagine agli occhi degli altri paesi, soprattutto se non hai un motivo legittimo per farlo. Potrebbe anche ridurre la tua stabilità. Vuoi farlo davvero?;A háború néha az egyetlen lehetõség. A hadüzenetnek köszönhetõen romlik a többi állam véleménye rólad, fõként akkor, ha nem is volt igazi indokod a háborúra, ezenkívül visszavetheti a stabilitásodat is. Biztos, hogy ezt akarod?;Vyhlášení války je nìkdy poslední diplomatickou možností. Vyhlášení války zhorší postoj ostatních zemí k vaší zemi, zejména v pøípadì, že k válce nemáte legitimní záminku. Mùže klesnout i stabilita. Skuteènì to chcete uèinit?;;;;;;x
DEMANDTRIBUTEINFORM;$MONARCHTITLE$, an envoy of country informs us that they will no longer pay tribute to us. \n Such Insolence!;$MONARCHTITLE$, un émissaire de $COUNTRY$, nous informe que son pays ne nous paiera plus de tribut. \n Quelle insolence !;$MONARCHTITLE$, ein Bote aus $COUNTRY$ informiert uns, dass sie uns nicht länger Tribute zahlen werden. \n Das ist unerhört!;;$MONARCHTITLE$, un emisario de $COUNTRY$ nos informa de que no seguirán pagándonos el tributo. \n¡Qué insolencia!;$MONARCHTITLE$, un emissario di: $COUNTRY$, riferisce che il suo paese non ci verserà più tributi. \n Quale insolenza!;;;;;;;;x
DEMANDTRIBUTEINVALID;To demand Tribute you must have a relation of at least -150 and we must both be at peace.;Pour réclamer un tribut, votre relation doit être supérieure ou égale à -150 et les deux pays doivent être en paix.;Um Tribut zu verlangen, braucht ihr Beziehungen von mindestens -150, und das Zielland muss im Frieden liegen.;;Para exigir un tributo debéis tener una relación de -150 al menos y ambos debemos estar en paz.;Per esigere un tributo devi avere una relazione di almeno -150 e il paese in questione deve essere in pace.;;;;;;;;x
desc_foreign_rebels;A less then friendly power has used agents to identify important people in this county who are unhappy with our rule. They have then funnelled money to these people so that they can turn this unhappiness into action. The revolt risk is now slightly higher. ;Une puissance hostile a utilisé des agents pour identifier les mécontents parmi les personnes importantes de ce comté. Elle leur a ensuite donné de l'argent pour leur permettre d'agir en conséquence. Le risque de révolte est désormais légèrement plus élevé. ;Eine weniger als freundliche Macht hat Spitzel benutzt, um wichtige Personen in dieser Provinz zu identifizieren, die unglücklich mit unserer Herrschaft sind. Sie haben diesen dann Geld geschickt, damit sie diese Unzufriedenheit in Taten umwandeln können. Das Revoltenrisiko ist nun ein wenig höher.;;Una potencia poco amistosa ha enviado a sus agentes a buscar a personas importantes de la provincia que estén en desacuerdo con nuestro gobierno. Además, les han proporcionado fondos para que puedan transformar su descontento en hechos. El riesgo de rebelión es algo más alto. ;Gli agenti di una potenza straniera che ci è ostile hanno identificato alcuni personaggi della provincia che sono insoddisfatti del nostro governo e li hanno finanziati in modo che potessero trasformare il malcontento in azione. Il rischio di rivolta è adesso leggermente superiore. ;;;;;;;;x
DESECRATE_DESC;Attempt to desecrate a holy site and damage the religious prestige of a county.;Essayez de profaner un lieu saint et d'affaiblir le prestige religieux d'un comté.;Schändung einer heiligen Stätte und Beschädigung des religiösen Prestiges einer Provinz versuchen.;;Intentar profanar un santuario y dañar el prestigio religioso de una provincia.;Tentare di profanare un luogo sacro e danneggiare il prestigio religioso di una provincia.;;;;;;;;x
DESECRATEREQDESC;Do you wish to desecrate a holy site in §Y$PROV$§!? This will have a negative effect on the prestige of §Y$RELIGION$§! there.\n$EFFECT$ for $TIME$ days.;Voulez-vous profaner un lieu saint à §Y$PROV$§! ? Le prestige de la foi §Y$RELIGION$§! en pâtira.\n$EFFECT$ pour $TIME$ jours.;Wollt Ihr eine heilige Stätte in §Y$PROV$§! schänden? Dies wird einen negativen Effekt auf das §Y$RELIGION$§!-Prestige dort haben.\n$EFFECT$ für $TIME$ Tage.;;¿Queréis profanar un santuario en §Y$PROV$§!? Esto tendrá un efecto negativo en el prestigio del §Y$RELIGION$§! allí.\n$EFFECT$ durante $TIME$ días.;Vuoi profanare un luogo sacro nella provincia di §Y$PROV$§!? Ciò avrà un effetto negativo sul prestigio della religione: §Y$RELIGION$§! nella provincia.\n$EFFECT$ per $TIME$ giorni.;;;;;;;;x
DESECRATETITLE;Desecrate Holy Site;Profaner un lieu saint;Heilige Stätte schänden;;Profanar santuario;Profana luogo sacro;;;;;;;;x
DESECREATEINFORMDESC;A holy shrine in $TARGET$ have been desecrated. \n We caught the foreigner who did it, $NAME$. What shall we do with him?;Un lieu saint de $TARGET$ a été profané. \n Nous avons capturé le responsable, un étranger répondant au nom de $NAME$. Que devons-nous faire de lui ?;Ein heiliger Schrein in $TARGET$ wurde geschändet. \n Wir haben den Ausländer geschnappt, der dafür verantwortlich ist, $NAME$. Was sollen wir mit ihm tun?;;El santuario de $TARGET$ ha sido profanado. \nHemos atrapado al extranjero que lo hizo, $NAME$. ¿Qué hacemos con él?;Un tempio di $TARGET$ è stato profanato. \n Abbiamo preso il responsabile, uno straniero di nome $NAME$. Cosa ne facciamo?;;;;;;;;x
DIPLOMATS;$DIRECTION$ $VALUE$ diplomats.\n;$DIRECTION$ $VALUE$ de diplomates.\n;$DIRECTION$ $VALUE$ Diplomaten.\n;$DIRECTION$ $VALUE$ dyplomatów.\n;Una $DIRECTION$ de $VALUE$ diplomáticos.\n;Diplomatici: $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ diplomata.\n;;;;;;;x
DISCIPLINE;Discipline;Discipline;Disziplin;;Disciplina;Disciplina;;;;;;;;x
DISCOVER;Discover $WHERE$.\n;Découvrez $WHERE$.\n;$WHERE$ entdecken.\n;$WHERE$ - nowe odkrycie.\n;Descubrir $WHERE$.\n;Scopri: $WHERE$.\n;$WHERE$ felfedezése.\n;;;;;;;x
FAM_PRESTIGE_EFFECT;$WHO$ $DIRECTION$ $VALUE$ family prestige\n;$WHO$ $DIRECTION$ $VALUE$ en prestige familial\n;$WHO$ $DIRECTION$ $VALUE$ Familienprestige\n;;$WHO$ tiene una $DIRECTION$ de $VALUE$ en prestigio familiar\n;$WHO$: $DIRECTION$ $VALUE$ prestigio della famiglia\n;;;;;;;;x
GAIN_CB;Gain casus-belli on $WHO$\n;Obtention d'un casus belli sur $WHO$\n;Kriegsgrund gegen $WHO$ erhalten\n;Zyskuje casus belli wzglêdem: $WHO$\n;Obtención de un 'casus belli' contra $WHO$\n;Ottieni casus belli per: $NEW$\n;Casus Belli a következõvel szemben: $WHO$\n;;;;;;;x
GIVE_UP_CORES;Cores;Provinces légitimes;Kernprovinzen;Prowincje narodowe;Núcleos;Province nazionali;Magok;Støedy;;;;;;x
GOODS_CHANGE;$NAME$ will now be produced in $WHERE$.\n;La production de $NAME$ se fera maintenant à : $WHERE$.\n;$NAME$ wird nun produziert in $WHERE$.\n;$NAME$ - bêdzie odt¹d produkowane w $WHERE$.\n;A partir de ahora se producirá(n) $NAME$ en $WHERE$.\n;$WHERE$: ora produrrà $NAME$.\n;$WHERE$ elindítja a(z) $NAME$ termelését.\n;;;;;;;x
HASCBON;Has Casus Belli on $LIST$.;A un casus belli avec $LIST$.;Hat Kriegsgrund gegen $LIST$.;Ma casus belli wzglêdem $LIST$.;Tiene un casus belli con $LIST$.;Ha un Casus Belli contro: $LIST$.;Casus Belliben: $LIST$.;Má záminku k válce s $LIST$.;;;;;;x
HASCOMBAT;The county is embattled;Le comté est attaqué;Die Provinz ist umkämpft;;Hay combates en la provincia.;La provincia è in battaglia.;;;;;;;;x
HAD_TITLE_LESS_THAN;Been §Y$TITLE$§! for less than §Y$DAYS$§! days;A porté le titre de §Y$TITLE$§! pendant moins de §Y$DAYS$§! jours;War §Y$TITLE$§! für weniger als §Y$DAYS$§! Tage;;Ha sido §Y$TITLE$§! menos de §Y$DAYS$§! días;;;;;;;;;x
HAD_TITLE_MORE_THAN;Been §Y$TITLE$§! for more than §Y$DAYS$§! days;A porté le titre de §Y$TITLE$§! durant plus de §Y$DAYS$§! jours;War §Y$TITLE$§! für mehr als §Y$DAYS$§! Tage;;Ha sido §Y$TITLE$§! más de §Y$DAYS$§! días;;;;;;;;;x
HAS_MISSION;Has Mission;A pour mission;Hat Mission;;Tiene una misión;;;;;;;;;x
HAS_COHORTS;Loyal units: ;Unités loyales : ;Loyale Einheiten: ;;Unidades leales: ;Unità leali: ;;;;;;;;x
HAS_COMPLETED_OBJECTIVE;Has fulfilled the Ambition ;A réalisé son ambition ;Hat die Ambition erfüllt: ;;Ha conseguido su ambición;;;;;;;;;x
HAS_LESS_COHORTS;Loyal units less than;Unités loyales inférieures à;Loyale Einheiten weniger als;;Unidades leales inferiores a;Unità leali meno di;;;;;;;;x
HAVE;Have;A ;Hat;;Tiene;Ha;;;;;;;;x
HAVE_NOT;Haven't ;N'a pas ;Hat nicht ;;No tiene ;Non ha ;;;;;;;;x
HAVE_ALLIANCE_WITH;Allied with ;A une alliance avec ;Verbündet mit ;;Se alía con;;;;;;;;;x
HAVE_A_ARMY_LARGER_THAN;Have an army of at least;A une armée au moins égale à ;Hat Armee von mindestens ;;Tiene un ejército al menos de;Avere un esercito almeno di ;;;;;;;;x
HAVE_A_ARMY_SMALLER_THAN;Have an army smaller than;A une armée inférieure à ;Hat kleinere Armee als ;;Tiene un ejército de menos de;Avere un esercito inferiore a;;;;;;;;x
HAVE_A_NAVY_LARGER_THAN;Have a navy of at least;A une flotte au moins égale à ;Hat Flotte von mindestens ;;Tiene una armada al menos de;Avere una flotta almeno di ;;;;;;;;x
HAVE_A_NAVY_SMALLER_THAN;Have a navy smaller than;A une flotte inférieure à ;Hat kleinere Flotte als ;;Tiene una armada de menos de;Avere una flotta inferiore a;;;;;;;;x
HAVE_AT_LEAST_ONE_CHARACTER;Have at least one character;Possède au moins un personnage;Hat mindestens einen Charakter;;Tiene al menos un personaje;Ha almeno un personaggio;;;;;;;;x
HAVE_AT_LEAST_ONE_EMPTY_NEIGHBORING_PROVINCE;Have at least one empty neighboring county;Possède au moins un comté voisin vide;Hat mindestens eine Nachbarprovinz ohne Besitzer;;Tiene al menos una provincia limítrofe vacía;Ha almeno una provincia confinante vuota;;;;;;;;x
HAVE_AT_LEAST_ONE_OWNED_NEIGHBORING_PROVINCE;Have at least one owned neighboring county ;Possède au moins un comté voisin ;Hat mindestens eine besetzte Nachbarprovinz ;;Tiene al menos una provincia limítrofe ;Possiede almeno una provincia confinante ;;;;;;;;x
HAVE_AT_LEAST_ONE_PROVINCE;Have at least one County;Possède au moins un comté;Hat mindestens eine Provinz;;Tiene al menos una provincia;Ha almeno una provincia;;;;;;;;x
HAVE_COUNTRY_FLAG;Have country flag ;Possède un sceau de pays ;Hat Nationalfahne ;;Tiene bandera de país ;Ha una bandiera nazionale ;;;;;;;;x
HAVE_NOT_COUNTRY_FLAG;Haven't country flag ;Ne possède pas de sceau de pays ;Hat keine Nationalfahne ;;No tiene bandera de país ;Non ha una bandiera nazionale ;;;;;;;;x
HAVE_LESS_ALLIES_THAN;Have less allies than ;A moins d'alliés que ;Hat weniger Verbündete als ;;Tiene menos aliados que ;Ha meno alleati di ;;;;;;;;x
HAVE_LESS_CAVALRY_THAN;Have less cavalry than ;A moins de cavalerie que ;Hat weniger Kavallerie als;;Tiene menos caballería que ;Ha meno unità di cavalleria di ;;;;;;;;x
HAVE_LESS_PORTS_THAN;Have less ports than ;A moins de ports que ;Hat weniger Häfen als ;;Tiene menos puertos que ;Ha meno porti di ;;;;;;;;x
HAVE_LESS_REGS_THAN;Have fewer cohorts than ;A moins de troupes que ;Hat weniger Kohorten als ;;Tiene una cohorte inferior a;;;;;;;;;x
HAVE_LESS_RELIGIONS_THAN;Have less religions than ;A moins de religions que ;Hat weniger Religionen als ;;Tiene un número de religiones inferior a ;Ha meno religioni di ;;;;;;;;x
HAVE_LESS_ROYAL_MARRIGES_THAN;Have less royal marriages than ;A moins de mariages royaux que ;Hat weniger Staatsehen als ;;Tiene menos matrimonios reales que ;Ha meno matrimoni reali di ;;;;;;;;x
HAVE_LESS_SHIPS_THAN;Have fewer ships than ;A moins de navires que ;Hat weniger Schiffe als ;;Tiene una cantidad de barcos inferior a;;;;;;;;;x
HAVE_LESS_UNEMPLOYED_THAN;Have less unemployed than ;A moins de personnes oisives que ;Hat weniger Arbeitslose als;;Tiene menos desempleados que;Ha meno disoccupati di;;;;;;;;x
HAVE_MORE_ALLIES_THAN;Have more allies than ;A plus d'alliés que ;Hat mehr Verbündete als ;;Tiene más aliados que ;Ha più alleati di ;;;;;;;;x
HAVE_MORE_CAVALRY_THAN;Have more cavalry than ;A plus de cavalerie que ;Hat mehr Kavallerie als;;Tiene más caballería que ;Ha più unità di cavalleria di ;;;;;;;;x
HAVE_MORE_PORTS_THAN;Have more ports than ;A plus de ports que ;Hat mehr Häfen als ;;Tiene más puertos que ;Ha più porti di ;;;;;;;;x
HAVE_MORE_REGS_THAN;Have more cohorts than ;A plus de troupes que ;Hat mehr Kohorten als ;;Tiene una cohorte superior a;;;;;;;;;x
HAVE_MORE_RELIGIONS_THAN;Have more religions than ;A plus de religions que ;Hat mehr Religionen als ;;Tiene un número de religiones superior a ;Ha più religioni di ;;;;;;;;x
HAVE_MORE_ROYAL_MARRIGES_THAN;Have more royal marriages than ;A plus de mariages royaux que ;Hat mehr Staatsehen als ;;Tiene más matrimonios reales que ;Ha più matrimoni reali di ;;;;;;;;x
HAVE_MORE_SHIPS_THAN;Have more ships than ;A plus de navires que ;Hat mehr Schiffe als ;;Tiene una cantidad de barcos superior a;;;;;;;;;x
HAVE_MORE_UNEMPLOYED_THAN;Have more unemployed than ;A plus de personnes oisives que ;Hat mehr Arbeitslose als;;Tiene más desempleados que ;Ha più disoccupati di ;;;;;;;;x
HAVE_NO_CHARACTERS;Have no character;Ne possède aucun personnage;Hat keinen Charakter;;No tiene un personaje;Non ha personaggi;;;;;;;;x
HAVE_A_UNITS_WITH_A_LEADER;Have a unit with a leader;A une unité avec un dirigeant;Hat Einheit mit einem Anführer;;Tiene una unidad con un líder;Ha un'unità con un condottiero;;;;;;;;x
HAVE_CASUS_BELLI_AGAINST;Have Casus Belli against ;A un casus belli contre ;Hat Kriegsgrund gegen;;Tiene un 'casus belli' contra ;Ha un Casus Belli contro ;;;;;;;;x
HAVE_NOT_CASUS_BELLI_AGAINST;Have no Casus Belli against ;N'a pas de casus belli contre ;Hat keinen Kriegsgrund gegen;;No tiene 'casus belli' contra ;Non ha Casus Belli contro ;;;;;;;;x
HAVE_SIEGE_IN;Have siege in;A un siège à;Hat eine Belagerung in;;Tiene un asedio en;Ha un assedio in;;;;;;;;x
HAVE_NOT_SIEGE_IN;Haven't siege in;N'a pas de siège à;Hat keine Belagerung in;;No tiene un asedio en;Non ha assedi in;;;;;;;;x
HAVE_UNITS_IN_BATTLE;Have units in battle;A des unités au combat;Hat Einheiten in der Schlacht;;Tiene unidades en combate;Ha unità impegnate in battaglia;;;;;;;;x
HAVE_UNITS_IN_SIEGE;Have units in siege;A des unités en siège;Hat belagernde Einheiten;;Tiene unidades en asedio;Ha unità impegnate in un assedio;;;;;;;;x
HAVE_NO_EMPTY_NEIGHBORING_PROVINCE;Have no empty neighboring counties;Ne possède aucun comté voisin vide;Hat keine Nachbarprovinz ohne Besitzer;;No tiene provincias limítrofes vacías;Non ha province confinanti vuote;;;;;;;;x
HAVE_NO_OWNED_NEIGHBORING_PROVINCE;Have no owned neighboring counties ;Ne possède aucun comté voisin ;Hat keine Nachbarprovinz ;;No tiene provincias limítrofes ;Non possiede province confinanti ;;;;;;;;x
HAVE_NO_UNITS_IN_BATTLE;Have no units in battle;N'a pas d'unités au combat;Hat keine Einheiten in der Schlacht;;No tiene unidades en combate;Non ha unità impegnate in battaglia;;;;;;;;x
HAVE_NO_UNITS_IN_SIEGE;Have no units in siege;N'a pas d'unités en siège;Hat keine belagernden Einheiten;;No tiene unidades en asedio;Non ha unità impegnate in un assedio;;;;;;;;x
HAVE_NO_UNITS_WITH_A_LEADER;Have no units with a leader;N'a pas d'unité avec un dirigeant;Hat keine Einheit mit einem Anführer;;No tiene unidades con líder;Non ha unità con un condottiero;;;;;;;;x
HRE_STATUS;$WHERE$ will $DIRECTION$ a part of the Holy Roman Empire.\n;$WHERE$ va $DIRECTION$ membre du Saint-Empire romain.\n;$WHERE$ wird $DIRECTION$ ein Teil des Heiligen Römischen Reiches.\n;$WHERE$ $DIRECTION$ czêœci¹ Œwiêtego Cesarstwa Rzymskiego.\n;$WHERE$ habrá de $DIRECTION$ parte del Sacro Imperio Romano.\n;$WHERE$: $DIRECTION$ membro del Sacro Romano Impero.\n;$WHERE$ a $DIRECTION$ a Szent Római Birodalom része lesz.\n;;;;;;;x
ISATWAR;You can not ask for Military Access when you are at war.;Vous ne pouvez pas demander un accès militaire quand vous êtes en guerre.;Ihr könnt nicht um Militärzugang bitten, wenn Ihr Euch im Krieg befindet.;Nie mo¿esz prosiæ o przemarsz wojsk bêd¹c w trakcie wojny.;No podéis solicitar acceso militar cuando estéis en guerra.;Non puoi chiedere accesso militare quando sei in guerra.;Nem kérhetsz katonai áthaladást, ha háborúban vagytok.;Nelze žádat o vojenský pøístup v prùbìhu války.;;;;;;x
LOSE_COMMAND;$WHO$ removed from command of $WHICH$.\n;$WHO$ a été écarté du commandement de $WHICH$.\n;$WHO$ wurde seines Kommandos von $WHICH$ enthoben.\n;;Apartan a $WHO$ del mando de $WHICH$.\n;$WHO$ rimosso dal comando di $WHICH$.\n;;;;;;;;x
LOSE_ELECTOR;Will no longer be an Elector.\n;Ne sera plus un électeur.\n;Wird nicht länger Kurfürst sein.\n;Nie bêdzie ju¿ d³u¿ej elektorem.;Ya no será elector.\n;Non sarà più un elettore.\n;Többé már nem elektor.\n;;;;;;;x
LOSE_EMPEROR;Abdicate as Emperor.\n;Abdiquez de votre trône impérial.\n;Als Kaiser abdanken.\n;Rezygnujesz z korony cesarskiej.\n;Abdicar como emperador.\n;Rinuncia alla carica di imperatore.\n;Lemondtál a császárságról.\n;;;;;;;x
MERCHANTS;$DIRECTION$ $VALUE$ merchants.\n;$DIRECTION$ $VALUE$ de marchands.\n;$DIRECTION$ $VALUE$ Händler.\n;$DIRECTION$ $VALUE$ kupców.\n;Una $DIRECTION$ de $VALUE$ comerciantes.\n;Mercanti: $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ kereskedõ.\n;;;;;;;x
NATIVE_FEROCITY;Natives in $WHERE$ $DIRECTION$ $VALUE$ ferocity. ;Indigènes de $WHERE$ $DIRECTION$ $VALUE$ en férocité.;Eingeborene in $WHERE$ $DIRECTION$ $VALUE$ Wildheit.;Tubylcy w $WHERE$ Zaciek³oœæ: $DIRECTION$ $VALUE$.;Los indígenas de $WHERE$ tienen una $DIRECTION$ de $VALUE$ en ferocidad.;Nativi $WHERE$: ferocia $DIRECTION$ $VALUE$. ;$WHERE$ lakosai $DIRECTION$ $VALUE$ kegyetlenek.;;;;;;;x
NATIVE_HOSTILENESS;Natives in $WHERE$ $DIRECTION$ $VALUE$ hostility. ;Indigènes de $WHERE$ $DIRECTION$ $VALUE$ en hostilité.;Eingeborene in $WHERE$ $DIRECTION$ $VALUE$ Feindseligkeit.;Tubylcy w $WHERE$ Wrogoœæ: $DIRECTION$ $VALUE$.;Los indígenas de $WHERE$ tienen una $DIRECTION$ de $VALUE$ en hostilidad.;Nativi $WHERE$: $DIRECTION$ $VALUE$ ostilità. ;$WHERE$ lakosai $DIRECTION$ $VALUE$ ellenségesek.;;;;;;;x
NATIVE_SIZE;Natives in $WHERE$ $DIRECTION$ $VALUE$ size. ;Indigènes de $WHERE$ $DIRECTION$ $VALUE$ en taille.;Eingeborene in $WHERE$ $DIRECTION$ $VALUE$ Größe;Tubylcy w $WHERE$ Wielkoœæ: $DIRECTION$ $VALUE$.;Los indígenas de $WHERE$ tienen una $DIRECTION$ de $VALUE$ en tamaño.;Nativi $WHERE$: dimensioni $DIRECTION$ $VALUE$. ;$WHERE$ lakosai $DIRECTION$ $VALUE$ méretûek.;;;;;;;x
NAVYTRADITION_EFFECT;$DIRECTION$ $VALUE$ navy tradition.\n;$DIRECTION$ $VALUE$ en tradition navale.\n;$DIRECTION$ $VALUE$ Flottentradition.\n;$DIRECTION$ $VALUE$ tradycji morskiej.\n;Una $DIRECTION$ de $VALUE$ en tradición de la armada.\n;Tradizione navale: $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ hadiflotta tradíció.\n;;;;;;;x
NEW_CORE_EFFECT;Gain core on $NEW$.\n;Obtention d'une province légitime : $NEW$\n;Neue Kernprovinz in $NEW$.\n;Zyskujesz prowincjê narodow¹: $NEW$.\n;Ganancia de un núcleo en $NEW$.\n;Ottieni una provincia nazionale da: $NEW$.\n;Alapvetõ nyereség a következõn: $NEW$.\n;;;;;;;x
NEW_GOVERNOR_EFFECT_A;$NEW$ becomes governor of $WHERE$.\n;$NEW$ devient Gouverneur de $WHERE$.\n;$NEW$ wird Gouverneur von $WHERE$.\n;;$NEW$ se ha convertido en gobernador de $WHERE$.\n;$WHERE$: $NEW$ diventa governatore.\n;;;;;;;;x
NEW_GOVERNOR_EFFECT_B;$WHO$ becomes governor of $WHERE$.\n;$WHO$ devient Gouverneur de $WHERE$.\n;$WHO$ wird Gouverneur von $WHERE$.\n;;$WHO$ se ha convertido en gobernador de $WHERE$.\n;$WHERE$: $WHO$ diventa governatore.\n;;;;;;;;x
no_mission_desc;We do not have any special task at this time.;Nous n'avons pas de tâche spécifique pour le moment.;Wir haben jetzt gerade keine spezielle Aufgabe.;;No tenemos ninguna tarea especial en este momento.;;;;;;;;;x
no_mission_title;No Current Mission;Aucune mission en cours;Keine derzeitige Mission;;Ninguna misión en curso;;;;;;;;;x
