#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_spymaster.txt

#########################
#
#	Spymaster events
#
#########################

# Plot Uncovered
evt_spymaster_001_title;Plot Uncovered;Complot déjoué;Verschwörung aufgedeckt;;Complot descubierto;;;;;;;;;x
evt_spymaster_210_desc_a;Honoured [Root.GetTitle],\n\nDo not speak to me of obligations and duties! I may be your vassal, but that does not make me your slave. I am within my full right to associate with whichever faction I wish.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nNe me parlez pas d'obligations et de devoirs ! Je suis peut-être votre vassal[From.Get_E] mais ça ne fait pas de moi votre esclave. J'ai tout à fait le droit de m'associer avec qui je le veux dans la faction de mon choix.\n\nSigné,\n[From.GetTitledName];Ehrenwerter [Root.GetTitle],\n\nIhr solltet mir gegenüber nicht von Pflichten oder Verpflichtungen sprechen! Ich mag Euer Vasall sein, doch Euer Sklave bin ich nicht! Es liegt allein in meinem Ermessen, ob ich mich einer Faktion anschließe und welcher.\n\nGezeichnet,\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\n¡No me hables de mis obligaciones y deberes! Será vasallaje, pero no esclavitud. Tengo pleno derecho de asociarme con la facción que desee. \n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_210_option_a;That little...!;Maudit soit-[From.GetIlElle] !;Dieser kleine ...!;;¡Ese pequeño...!;;;;;;;;;x

# Unused
EVTDESC9009;Honoured [Root.GetTitle],\n\nYour pitiful threats against myself and my loved ones have revealed your true nature once and for all. I shall never submit. Do your worst.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nVos pitoyables menaces proférées à mon encontre et à l'encontre de mes proches révèlent votre vraie nature. Jamais je ne me soumettrai alors faites comme bon il vous plaira.\n\nSigné,\n[From.GetTitledName];Ehrenwerter [Root.GetTitle],\n\nEure armseligen Drohungen gegenüber mir und den Meinen haben wieder einmal bestätigt, was Ihr in Wirklichkeit seid. Ich werde mich Euch niemals unterwerfen. Tut, was Ihr für richtig haltet.\n\nUnterzeichnet\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\nTus patéticas amenazas contra mi persona y mis seres queridos han revelado tu verdadera naturaleza. Jamás me rendiré. Haz lo que puedas.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA9009;The insolence!;Quelle insolence !;Welch Frechheit!;;¡Vaya insolencia!;;;;;;;;;x


# Faction Recruitment - Spymaster finds Faction Member
evt_spymaster_301_title;Noble Encouraged to Join Your Faction;Noble encouragé à rejoindre votre faction;Adliger wurde zum Beitritt zu Eurer Fraktion ermutigt;;Noble animado a unirse a tu facción;;;;;;;;;x
evt_spymaster_301_desc_a;You have spent some time in [Root.Location.GetName], and you feel that you have found a promising candidate for membership in potential factions supported by your liege. A small amount of persuation will be necessary, however.;Vous avez séjourné quelque temps à [Root.Location.GetName] et vous pensez avoir trouvé le candidat idéal pour devenir membre d'une faction conduite par votre [Root.Liege.GetLordLady] lige. Une petite dose de persuasion sera toutefois nécessaire.;Ihr habt einige Zeit in [Root.Location.GetName] verbracht und glaubt, dass Ihr einen aussichtsreichen Beitrittskandidaten für die Fraktion Eures Lehnsherren gefunden habt. Ein gewisses Maß an Überredungskunst wird allerdings noch nötig sein.;;Has pasado un tiempo en [Root.Location.GetName], y sientes que has encontrado un candidato prometedor para engrosar las filas de futuras facciones apoyadas por tu señor. Sin embargo, se necesita un poco de persuasión para ello.;;;;;;;;;x
evt_spymaster_301_option_a;I will inform my liege at once.;Je vais en informer m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] de ce pas.;Ich werde meinen Lehnsherren sofort informieren.;;Informaré a mi señor inmediatamente.;;;;;;;;;x

# Liege is informed
evt_spymaster_302_desc_a;My liege,\n\nI have discovered a promising candidate that could potentially be strong-armed into joining factions that you support. How do you wish to proceed?\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJ'ai découvert un candidat prometteur à qui nous pourrions forcer la main pour intégrer l'une de vos factions. Comment souhaitez-vous procéder ?\n\nVotre humble maître-espion,\n[From.GetTitledName];Mein Fürst,\n\nich habe einen erfolgsversprechenden Kandidaten entdeckt, der möglicherweise zum Beitritt zu der von Euch favorisierten Fraktion gezwungen werden kann. Wie wünscht Ihr nun weiter zu verfahren?\n\nEuer getreuer Hofspitzel\n[From.GetTitledName];;Mi señor,\n\nHe descubierto un candidato prometedor al que podríamos obligar a unirse a las facciones que apoyar. ¿Cómo desead actuar?\n\nVuestro humilde Maestro de Espías,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_302_option_a;Blackmail the noble.;Faire chanter le noble.;Den Adligen erpressen.;;Chantajear al noble.;;;;;;;;;x
evt_spymaster_302_option_a_tooltip;You use blackmail to gain a leverage on the noble.;Vous faites chanter le noble pour avoir une prise sur lui.;Ihr macht den Adligen durch Erpressung gefügig.;;Usas el chantaje para obtener ventaja sobre el noble.;;;;;;;;;x
evt_spymaster_302_option_b;Threaten the noble.;Menacer le noble.;Den Adligen bedrohen.;;Amenazar al noble.;;;;;;;;;x
evt_spymaster_302_option_b_tooltip;You use threats to gain a leverage on the noble.;Vous menacez le noble pour avoir une prise sur lui.;Ihr macht den Adligen durch Drohungen gefügig.;;Usas amenazas para obtener ventaja sobre el noble.;;;;;;;;;x
evt_spymaster_302_option_c;Obligate the noble.;Contraindre le noble.;Den Adligen einbinden.;;Obligar al noble.;;;;;;;;;x
evt_spymaster_302_option_c_tooltip;You use legalism to gain a leverage on the noble.;Vous utilisez une argutie juridique pour obtenir une influence suffisante sur le noble.;Ihr macht den Adligen durch Statuten gefügig.;;Usas el legalismo para obtener ventaja sobre el noble.;;;;;;;;;x
evt_spymaster_302_option_d;No, let us not go down this path...;Non, faisons preuve d'un peu d'imagination...;Nein, lasst es uns nicht auf diese Weise versuchen ...;;No lleguemos a esos extremos...;;;;;;;;;x

# Liege Informed: Successful Blackmail
evt_spymaster_304_desc_a;Honored [Root.GetTitle],\n\nThough I curse your name, I will promise to support any faction of yours when called upon. Just... keep the sensitive information to yourself.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nMême si je maudis votre nom, je promets de rejoindre la faction de votre choix quand vous le souhaiterez. Toutefois, je vous demanderais de garder pour vous toute information sensible.\n\nSigné,\n[From.GetTitledName];Ehrenwerter [Root.GetTitle],\n\nSchande über Eure Sippe und Euren Namen, doch ich werde Eurer Fraktion beizeiten meine Unterstützung gewähren. Sorgt aber dafür, dass kein Dritter von dem, was Ihr in Erfahrung gebracht habt, erfährt.\n\nUnterzeichnet\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\nAunque maldigo tu nombre, prometo apoyar cualquier facción cuando se me solicite. Eso sí... Conserva esa sensible información sólo para ti.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x

# Liege Informed: Successful Request
evt_spymaster_308_desc_a;Honored [Root.GetTitle],\n\nFine! I do not like this, but for the sake of the continued prosperity of the realm, I will agree to support any faction of yours. Please don't make me regret this.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nParfait ! Je n'aime point cela, mais au nom de quiétude et de la prospérité du Royaume, je suis d'accord pour vous apporter mon soutien aux factions que vous avez rejointe. Ne me faîtes pas regretter cette décision.\n\nSigné,\n[From.GetTitledName];Geehrter [Root.GetTitle],\n\nnun gut. Ich bin nicht begeistert davon, aber zum Wohle des Reiches werde ich jede Eurer Fraktionen unterstützen. Bitte sorgt dafür, dass ich es nicht bereue.\n\nGezeichnet,\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\n¡Entendido! Pese a que no me gusta, y con motivo de la continuidad de la prosperidad del reino, estoy de acuerdo en apoyar tus facciones. Por favor no hagas que me arrepienta.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x

# Liege Informed: Failed Request
evt_spymaster_309_desc_a;Honored [Root.GetTitle],\n\nYour legalistic nonsense will not be enough to manipulate me into picking up your banner. I will not pledge unquestioning support to your schemes.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nVotre charabia juridique ne suffira pas à me manipuler et à me forcer à joindre l'une de vos factions. Je n'apporterai en aucun cas mon soutien au manipulateur que vous êtes.\n\nSigné,\n[From.GetTitledName];Ehrenwerter [Root.GetTitle],\n\nauch juristischer Unfug wird mich nicht dazu bewegen, mich Euren Farben anzuschließen. Bedingungslos werde mich Euren Vorhaben bestimmt nicht verschreiben.\n\nUnterzeichnet\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\nTus legalismos sin sentido no serán suficiente para manipularme y que siga tu bandera. No juraré lealtad incondicional a tus ardides.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x


# Liege Informed: Successful Threat
evt_spymaster_306_desc_a;Honored [Root.GetTitle],\n\nI obviously stand together with you and your confederates. Before you do something hasty that we shall both regret, permit me to offer my pledge to support your faction when called upon.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nIl ne fait aucun doute que je vous soutiens, vous et vos alliés. Alors avant que vous ne commettiez un acte précipité et que nous regretterions tous deux, je vous informe que je me tiens à votre disposition pour rejoindre l'une de vos factions et de la soutenir quand vous ferez appel à moi.\n\nSigné,\n[From.GetTitledName];Ehrenwerter [Root.GetTitle],\n\nnatürlich werde ich zu Euch und den Eurigen stehen. Doch bevor Ihr Euch zu vorschnellen Handlungen hinreißen lasst, erlaubt mir bitte, Euch und Eurer Faktion meine Treue zu geloben.\n\nUnterzeichnet\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\nNo hace falta decir que estaré contigo y tus confederados. Antes de que hagas algo de lo que ambos podamos arrepentirnos, permíteme jurarte apoyar tu facción cuando sea convocado.\n\nFirmado,\n[From.GetTitledName] ;;;;;;;;;x
evt_spymaster_306_option_a;Wise choice.;Sage décision.;Eine weise Entscheidung;;Una sabia elección.;;;;;;;;;x


# Unused
EVTOPTG9002;Perhaps it is best not to take a chance on this...;Il ne vaut mieux pas tenter le diable...;Vielleicht ist es besser, hier kein Risiko einzugehen...;;Creo que es mejor no arriesgarse...;;;;;;;;;x

EVTOPTF9005;Perhaps [From.GetSheHe] has a point...;[From.GetIlElleCap] a sans doute raison...;Vielleicht hat [From.GetSheHe] nicht ganz unrecht ...;;Puede que tenga razón...;;;;;;;;;x
EVTOPTG9005;Ha!;Ha !;Ha!;;¡Ja!;;;;;;;;;x

EVTOPTF9008;No point in risking my neck over this.;Je ne vais certainement pas risquer ma peau pour ces bêtises !;Kein Grund, für so etwas den Hals zu riskieren.;;No tiene sentido arriesgar el pellejo por esto.;;;;;;;;;x
EVTOPTG9008;Do your worst.;Montrez-moi de quoi vous êtes capable.;Dann lass mal sehen!;;Haz lo que puedas.;;;;;;;;;x

EVTDESC9029;Honored [Root.GetTitle],\n\nYour pitiful threats have revealed your true nature once and for all. I shall never submit. Do your worst.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nVos pitoyables menaces révèlent votre vraie nature. Jamais je ne me soumettrai alors faites comme bon vous plaira.\n\nSigné,\n[From.GetTitledName];Ehrenwerter [Root.GetTitle],\n\nEure armseligen Drohungen haben wieder einmal bestätigt, was Ihr in Wirklichkeit seid. Ich werde mich Euch niemals unterwerfen. Tut, was Ihr für richtig haltet.\n\nUnterzeichnet\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\nTus patéticas amenazas han revelado tu verdadera naturaleza. Jamás me rendiré. Haz lo que puedas.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x


# The Spymaster studies foreign technology
evt_spymaster_401_title;Spymaster Study Technology;Le maître-espion recherche des technologies;Hofspitzel studiert Technologie;;Jefe de espías estudia la tecnología;;;;;;;;;x
evt_spymaster_401_desc_a;The people of [Root.Location.GetName] have progressed beyond our own technological level. But I have managed to study their advancements and I will gladly share this information with my liege [Root.Liege.GetTitledName].;Les habitants de [Root.Location.GetName] ont progressé au-delà de notre propre niveau technologique. Cependant, j'ai réussi à étudier leurs progrès et j'entends bien partager ces connaissances avec m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige, [Root.Liege.Get_le_TitledName].;Die Menschen in [Root.Location.GetName] haben sich über unsere eigene Technologiestufe hinaus entwickelt. Ich aber schaffte es, ihre Fortschritte zu studieren und werde diese Informationen gerne mit meinem Lehnsherrn [Root.Liege.GetTitledName] teilen.;;Los habitantes de [Root.Location.GetName] han progresado tecnológicamente más que nosotros. Pero he estudiado sus avances y será un placer compartir esta información con su señoría [Root.Liege.GetTitledName].;;;;;;;;;x
evt_spymaster_401_option_a;This should please [Root.Liege.GetHerHim]!;Il en sera ravi !;Das sollte [Root.Liege.GetHerHim] erfreuen!;;¡Seguro que le encantará!;;;;;;;;;x
evt_spymaster_401_option_a_tooltip;Send a letter to [Root.Liege.GetTitledName]!;J'envoie une lettre [Root.Liege.Get_au_TitledName] !;Brief an [Root.Liege.GetTitledName] senden!;;¡Envía una carta a [Root.Liege.GetTitledName]!;;;;;;;;;x

# The Spymaster informs his liege of the success
evt_spymaster_402_desc_a;My liege, the people of [From.Location.GetName] have progressed beyond our own technological level. I have managed to study their advancements and the documents enclosed here should help us reach their level. I hope you will find this to your satisfaction.\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nLes habitants de [From.Location.GetName] ont progressé au-delà de notre propre niveau technologique. Cependant, j'ai réussi à étudier leurs progrès et les documents ci-joints vous aideront à les rattraper. J'espère que cela vous satisfera.\n\nVotre humble maître-espion,\n[From.GetTitledName];Die Menschen in [From.Location.GetName] haben sich über unsere eigene Technologiestufe hinaus entwickelt. Ich habe ihre Fortschritte studiert und die angefügten Dokumente sollten uns helfen, ihre Stufe zu erreichen. Ich hoffe, dies gereicht zu Eurer Zufriedenheit.\n\nEuer Ergebener Hofspitzel,\n[From.GetTitledName];;Mi señor, los habitantes de [Root.Location.GetName] han progresado tecnológicamente más que nosotros. He estudiado sus avances y los documentos que adjunto deberían ayudarnos a alcanzar su nivel. Espero que esta información sea de su agrado.\n\nSu humilde jefe de espías,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_402_option_a;Wonderful!;Fantastique !;Wunderbar!;;¡Maravilloso!;;;;;;;;;x


# The Spymaster is discovered by the local count - chance of imprisonment
evt_spymaster_501_title;Spymaster Discovered!;Maître-Espion démasqué !;Hofspitzel ertappt!;;¡Jefe de espías descubierto!;;;;;;;;;x
evt_spymaster_501_desc_a;A noble in [Root.Location.GetName] caught me while I was spying there!;Un noble en [Root.Location.GetName] m'a surpris[Root.Get_E] en train d'espionner !;Ein Adliger in [Root.Location.GetName] hat mich beim Spionieren ertappt!;;¡Un noble en [Root.Location.GetName] me descubrió mientras espiaba!;;;;;;;;;x
evt_spymaster_501_option_a;This will not be good...;Cela n'augure de rien de bon...;Das wird hässlich ...;;Esto no nos beneficia...;;;;;;;;;x
evt_spymaster_501_option_a_tooltip;The noble takes action;Le noble réagit.;Der Adlige unternimmt etwas;;El noble actúa.;;;;;;;;;x

# Local noble reacts
evt_spymaster_502_desc_a;[From.Liege.GetTitledName]'s spymaster [From.GetTitledName] was found spying in [From.Location.GetName]!;Le maître-espion [From.Liege.Get_du_TitledName] [From.Get_le_TitledName] a été surpris en train d'espionner en [From.Location.GetName]!;[From.GetTitledName] der Hofspitzel von [From.Liege.GetTitledName] wurde in [From.Location.GetName] beim Spionieren ertappt!;;Han descubierto a [From.GetTitledName] líder de los espías de [From.Liege.GetTitledName] espiando en [From.Location.GetName].;;;;;;;;;x
evt_spymaster_502_option_a;Let [From.GetHerHim] rot in jail!;Qu'on le jette en prison !;[From.GetSheHeCap] soll im Kerker verrotten!;;¡Metedle en prisión y que se pudra!;;;;;;;;;x
evt_spymaster_502_option_a_tooltip;A letter is sent to [From.Liege.GetTitledName];Une lettre a été envoyée [From.Liege.Get_au_TitledName].;Ein Brief wird an [From.Liege.GetTitledName] gesendet;;Se ha enviado una carta a [From.Liege.GetTitledName].;;;;;;;;;x
evt_spymaster_502_option_b;What is done is done. Let [From.GetHerHim] go.;Ce qui est fait est fait. Laissez-le partir.;Was geschehen ist, ist geschehen. Lasst [From.GetHerHim] frei.;;Lo hecho hecho está. Dejadle marchar.;;;;;;;;;x
evt_spymaster_502_option_b_tooltip;A letter is sent to [From.GetTitledName];Une lettre est envoyée [From.Get_au_TitledName];Ein Brief wird an [From.GetTitledName] gesendet;;Se ha enviado una carta a [From.GetTitledName].;;;;;;;;;x

# Liege get the news - Chancellor Imprisoned
evt_spymaster_503_desc_a;I received word that your spymaster [FromFrom.GetTitledName] has been spying in one of my counties. This is intolerable and as to stop further interference I have arrested [FromFrom.GetHerHim]!\n\nSigned \n[From.GetTitledName];J'ai appris que votre maître-espion [FromFrom.Get_le_TitledName] a espionné dans un de mes comtés. Cela est intolérable et afin d'éviter d'autres interférences je l'ai arrêté !\n\nSigné \n[From.GetTitledName];Mir wurde zugetragen dass Euer Hofspitzel [FromFrom.GetTitledName] in einer meiner Grafschaften spioniert hat. Das ist inakzeptabel und um weitere Vorfälle zu verhindern habe ich [FromFrom.GetTitledName] verhaften lassen!\n\nGezeichnet\n[From.GetTitledName];;He recibido noticias de que tu líder de espías [FromFrom.GetTitledName] ha estado espiando en uno de mis condados. Es intolerable y para evitar más intromisiones ¡he ordenado su detención!\n\nFirmado:\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_503_option_a;Most unfortunate...;C'est très regrettable...;Höchst bedauerlich ...;;Qué desgracia...;;;;;;;;;x
# Unused
EVTOPTB20331;How dare [From.GetSheHe] arrest my spymaster!;Comment ose-[From.GetIlElle] arrêter mon maître-espion !;Wie wagt [From.GetSheHe] es, meinen Hofspitzel zu verhaften!;;¡Pero quién es [From.GetSheHe] para arrestar a mi jefe de espías!;;;;;;;;;x

# Spymaster get the news: is free to go
evt_spymaster_504_desc_a;I received word that you have been spying in one of my counties. I will let it pass. This time.\n\nSigned \n[From.GetTitledName];J'ai appris que vous avez espionné dans un de mes comtés. Je vais laisser passer. Cette fois-ci.\n\nSigné \n[From.GetTitledName];Mir wurde zugetragen dass Ihr in einer meiner Grafschaften spioniert habt. Ich werde es durchgehen lassen. Diesmal jedenfalls.\n\nGezeichnet\n[From.GetTitledName];;He recibido noticias de que has estado espiando en uno de mis condados. Lo dejaré pasar. Por esta vez.\n\nFirmado:\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_504_option_a;Thank you!;Merci !;Dank sei Euch!;;¡Gracias!;;;;;;;;;x


# Vicious Rumors Spread
evt_spymaster_601_title;Vicious Rumors Spread;Diffusion de rumeurs malsaines;Üble Gerüchte verbreiten sich;;Rumores dañinos se difunden;;;;;;;;;x
evt_spymaster_601_desc_a;My network of spies in [Root.Location.GetName] have investigated a local noble and it turns out that he prefers the company of men... By threating to spread this rumor, my liege might be able to extort the favours or money from him.;Le réseau d'espionnage dont je dispose à [Root.Location.GetName] a enquêté sur un noble local et il s'avère qu'il préfère la compagnie des hommes... En menaçant de répandre cette rumeur, m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige devrait pouvoir lui soutirer des faveurs, voire de l'argent.;Mein Netzwerk von Spitzeln in [Root.Location.GetName] hat einen örtlichen Adligen untersucht und herausgefunden, dass er männliche Gesellschaft bevorzugt ... Wenn wir ihm androhen, dieses Gerücht weiter zu verbreiten, könnte mein Lehnsherr von ihm Geld oder Vergünstigungen erpressen.;;Mi red de espías en [Root.Location.GetName] ha estado investigando a un noble de la región y resulta que le van los hombres... Si amenazamos con difundir el rumor, mi señor podría sacarle favores o dinero a esta persona.;;;;;;;;;x
evt_spymaster_601_option_a;I will pass this on.;Je vais le faire savoir.;Ich werde dies weitergeben.;;Se lo voy a decir.;;;;;;;;;x

# Liege is informed
evt_spymaster_602_desc_a;My liege, my network of spies here in [From.Location.GetName] have found out that a local noble is a homosexual. What should I do with this information?\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nLe réseau d'espionnage dont je dispose à [From.Location.GetName] a découvert l'homosexualité d'un noble local. Que dois-je faire de cette information ?\n\nVotre humble maître-espion,\n[From.GetTitledName];Mein Lehnsherr, mein Netzwerk von Spitzeln hier in [From.Location.GetName] hat herausgefunden, dass ein örtlicher Adliger homosexuell ist. Was soll ich mit dieser Information anfangen?\n\nEuer ergebener Hofspitzel,\n[From.GetTitledName];;Mi señor, mi red de espías aquí en [From.Location.GetName] ha averiguado que uno de los nobles de la región es homosexual. ¿Que debería hacer con esta información?\n\nSu humilde jefe de espías,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_602_option_a;Blackmail him!;Faites-le chanter !;Erpresst ihn!;;¡Extorsiónalo!;;;;;;;;;x
evt_spymaster_602_option_b;Spread rumors about him.;Répandez les rumeurs le concernant.;Verbreitet Gerüchte über ihn.;;Difunde los rumores.;;;;;;;;;x
evt_spymaster_602_option_c;Nothing, let it be;Rien, c'est ainsi.;Lasst die Angelegenheit fallen;;Nada, dejadlo.;;;;;;;;;x
# Unused
EVTTOOLTIP20353;The rumor reaches the Noble's ears;La rumeur est arrivée aux oreilles du noble.;Das Gerücht erreicht den Adligen;;El rumor llega a oídos del noble.;;;;;;;;;x

# Blackmail him
evt_spymaster_603_desc_a;My liege's instructions are clear. I should blackmail the noble and extort some money for my silence.;Les instructions de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige sont claires. Je dois faire chanter le noble et lui extorquer de l'argent en échange de mon silence.;Mein Lehnsherr hat mir klare Anweisungen gegeben. Ich soll den Adligen erpressen und für mein Schweigen Geld fordern.;;Las instrucciones de mi señor son claras. Debería chantajear al noble y sacarle dinero por mi silencio.;;;;;;;;;x
evt_spymaster_603_option_a;It will cost him dearly...;Cela va lui coûter cher...;Das wird ihm teuer zu stehen kommen ...;;Le va a costar un riñón...;;;;;;;;;x

# The noble responds to blackmail
evt_spymaster_604_desc_a;[From.GetTitledName], the spymaster of [From.Liege.GetTitledName], has somehow found out about my sexual preferences and demands a large sum of money to not spread this rumor and destroy my reputation among my vassals.;[From.Get_Le_TitledName], le maître-espion [From.Liege.Get_du_TitledName] a découvert mes préférences sexuelles et exige une importante somme d'argent pour ne pas répandre cette rumeur et nuire à ma réputation auprès de mes vassaux.;[From.GetTitledName], der Hofspitzel von [From.Liege.GetTitledName], hat Wind von meinen sexuellen Vorlieben bekommen und verlangt eine große Summe Geldes. Bei Nichtzahlung will er dieses Gerücht weiterverbreiten und meinen Ruf bei meinen Vasallen ruinieren.;;[From.GetTitledName], jefe de espías de [From.Liege.GetTitledName], de alguna forma ha descubierto mis preferencias sexuales y exige una gran cantidad de dinero a cambio de no difundir el rumor y acabar con mi reputación entre los vasallos.;;;;;;;;;x
evt_spymaster_604_option_a;Then I will have to pay...;Eh bien, je vais devoir payer...;Dann muss ich wohl zahlen ...;;Pues entonces tendré que pagar...;;;;;;;;;x
evt_spymaster_604_option_b;Try to have [From.GetTitledName] killed!;Essayez d'éliminer [From.Get_le_TitledName] !;Versucht, [From.GetTitledName], zu ermorden!;;¡Intenta matar a [From.GetTitledName]!;;;;;;;;;x
evt_spymaster_604_option_c;Let them spread their rumor;Qu'ils répandent cette rumeur !;Lasst sie ruhig ihr Gerüchtlein verbreiten;;Deja que se extienda el rumor.;;;;;;;;;x

# Blackmail succeeds
evt_spymaster_605_desc_a;[From.GetTitledName] accepted my demands and was willing to pay to keep me silent.;[From.Get_Le_TitledName] a répondu à ma demande et accepte de payer en échange de mon silence.;[From.GetTitledName] akzeptierte meine Forderungen und war bereit, für mein Schweigen zu zahlen.;;[From.GetTitledName] ha aceptado el trato y está dispuesto a pagar por mi silencio.;;;;;;;;;x
evt_spymaster_605_option_a;This should please my liege;Cela devrait plaire à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Das sollte meinem Lehnsherrn gefallen;;Mi señor estará encantado.;;;;;;;;;x

# Liege is informed that blackmail succeeded
evt_spymaster_606_desc_a;My liege, I have good news! I have succeeded in extorting a large sum of money from [FromFrom.GetTitledName] by promising not to spread the rumor about his alleged homosexuality.\n\nYour humble Spymaster,\n[From.GetTitledName];Bonne nouvelle, M[Root.GetOnA][Root.GetLordLady] ! J'ai réussi à extorquer une importante somme d'argent [FromFrom.Get_au_TitledName] en promettant de ne pas répandre la rumeur sur sa soi-disant homosexualité.\n\nVotre humble maître-espion,\n[From.GetTitledName];Mein Lehnsherr, ich habe gute Nachrichten! Ich habe erfolgreich eine große Summe Geldes von [FromFrom.GetTitledName] erpresst, indem ich ihm versprach, kein Gerücht über seine angebliche Homosexualität zu verbreiten.\n\nEuer ergebener Hofspitzel,\n[From.GetTitledName];;¡Mi señor, buenas noticias! He logrado extorsionar a [FromFrom.GetTitledName] y pagará una gran suma a cambio de no difundir el rumor sobre su presunta homosexualidad.\n\nSu humilde jefe de espías,\n[From.GetTitledName];;;;;;;;;x

# Spymaster is attacked
evt_spymaster_607_desc_a;The local noble, [From.GetTitledName], tried to assure that I couldn't spread any rumors about him by sending some thugs to attack me!;Le noble local, [From.Get_le_TitledName], a essayé de faire en sorte que je ne répande aucune rumeur le concernant en envoyant des brutes m'attaquer !;Der hiesige Adlige, [From.GetTitledName], versuchte mir vor Augen zu halten, dass die Verbreitung von Gerüchten ein Fehler sei, indem er mich von Schlägern angreifen ließ!;;El noble de la región, [From.GetTitledName], con tal de que no se extienda el rumor, ¡ha mandado a unos matones contra mí!;;;;;;;;;x
evt_spymaster_607_option_a;Luckily I got away!;Par chance, j'ai réussi à leur échapper !;Glücklicherweise kam ich davon!;;¡Por suerte, me libré!;;;;;;;;;x
evt_spymaster_607_option_b;They killed me?!;Qu'est-ce qui m'est arrivé ?!;Sie brachten mich um?!;;¡¿Me mataron?!;;;;;;;;;x

# Inform the Liege about attack
evt_spymaster_608_desc_a;My liege, the local noble here in [From.Location.GetName], [FromFrom.GetTitledName], tried to silence me by sending some thugs to kill me! Luckily I managed to get away. I will go ahead and spread the rumor about his sexual preferences and destroy his reputation among his vassals.\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nLe noble de [From.Location.GetName], [FromFrom.Get_le_TitledName], a essayé de me réduire au silence en envoyant des brutes me tuer ! Par chance, j'ai réussi à m'enfuir. Je vais m'exécuter et répandre la rumeur sur ses préférences sexuelles afin de détruire sa réputation parmi ses vassaux.\n\nVotre humble maître-espion,\n[From.GetTitledName];Mein Lehnsherr, der örtliche Adlige hier in [From.Location.GetName], [FromFrom.GetTitledName], versuchte, mich kaltzustellen, indem er mir ein Mordkommando auf den Hals schickte! Glücklicherweise kam ich davon. Ich werde das Gerücht verbreiten und seinen Ruf bei seinen Vasallen zerstören.\n\nEuer ergebener Hofspitzel,\n[From.GetTitledName];;¡Mi señor, el noble de [From.Location.GetName], [FromFrom.GetTitledName], ha intentado silenciarme enviando a unos matones para matarme! Por suerte, logré salir con vida. Seguiré adelante y difundiré sus preferencias sexuales para acabar con su reputación entre los vasallos.\n\nSu humilde jefe de espías,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_608_option_a;You have my blessing!;Vous avez ma bénédiction !;Ihr habt meinen Segen!;;¡Tienes mi bendición!;;;;;;;;;x

# The noble is informed that the rumor has been spread
