RULE_DYNASTY_TITLE_NAMES_OFF_DESC;The base name is always used for titles, regardless of the ruler's culture.;Le nom de base est toujours utilisé pour les titres, peu importe la dynastie régnante.;Der Grundname wird immer für die Titel verwendet, ungeachtet der Kultur des Herrschers.;;El nombre de base siempre se usa para los títulos, sin importar la cultura del gobernante.;;;;;x
RULE_DYNASTY_TITLE_NAMES_ON_DESC;Many cultures name their titles after the ruling dynasty (e.g. Abbasids, Bavandids, etc.);De nombreuses cultures nomment leurs titres selon la dynastie régnante (par exemple: Abbassides, Bavandides, etc.);Viele Kulturen benennen ihre Titel nach den herrschenden Dynastien (z. B. die Abbasiden, Bavandiden usw.);;Muchas culturas dan nombre a sus títulos de acuerdo con la dinastía que las gobierne (p. ej., abasí, omeya).;;;;;x
RULE_EDU_FOCUSES;§BConclave:§! Childhood Focus Alerts;Alerte d'intérêt d'enfance (§BConclave§! - Le Conseil);§BConclave:§! Warnung für Kindheitsfokus;;§BConclave:§! Alertas de enfoques de infancia;;;;;;;;;x
RULE_EDU_FOCUSES_ALL_DESC;Players are alerted about Childhood and Education Focuses for all children at court.;Les joueurs sont alertés à propos des intérêts d'enfance et d'éducation de tous les enfants à la Cour.;Spieler werden über Kindheits- und Bildungsfokusse aller Kinder am Hof informiert.;;Se alerta a los jugadores de los enfoques de Infancia y Educación de todos los niños de la corte.;;;;;;;;;x
RULE_EDU_FOCUSES_CR;Close Relatives;Proches parents;Nahe Verwandte;;Parientes cercanos;;;;;;;;;x
RULE_EDU_FOCUSES_CR_DESC;Players are alerted about Childhood and Education Focuses for close relatives of their own dynasty.;Les joueurs sont alertés à propos des intérêts d'enfance et d'éducation des proches parents de leur dynastie.;Spieler werden über Kindheits- und Bildungsfokusse für nahe Verwandte ihrer eigenen Dynastie informiert.;;Se alerta a los jugadores de los enfoques de Infancia y Educación de parientes cercanos de su propia dinastía.;;;;;;;;;x
RULE_EDU_FOCUSES_MINIMAL_DESC;Players are only alerted about their own character's and their primary heir's Childhood and Education Focuses.;Les joueurs ne sont alertés qu'à propos des intérêts d'enfance et d'éducation de leur personnage et de son héritier principal.;Spieler werden nur über Kindheits- und Bildungsfokusse ihrer eigenen und der ihres direkten Erben informiert.;;Solo se alerta a los jugadores de los enfoques de Infancia y Educación propios y de su principal heredero.;;;;;;;;;x
RULE_EPIDEMICS;§BThe Reaper's Due:§! Major Epidemics;Épidémies majeures (§BReaper's Due§! - Notre dû à la Faucheuse);§BThe Reaper's Due:§! Große Epidemien;;§BThe Reaper's Due:§! Grandes epidemias;;;;;;;;;x
RULE_EPIDEMICS_DEADLY;Deadly;Mortelles;Tödlich;;Mortal;;;;;;;;;x
RULE_EPIDEMICS_DEADLY_DESC;The Bubonic Plague will appear frequently and be extraordinarily deadly. §RWARNING: This setting is not recommended for a normal game!§!;La peste bubonique apparaît fréquemment et est extraordinairement meurtrière. §RCette règle n'est pas recommandée pour une partie normale.§!;Die Beulenpest bricht häufig aus und ist äußerst tödlich. §RWARNUNG: Diese Einstellung wird für normale Spiele nicht empfohlen!§!;;La Peste bubónica aparecerá entre los años 1300 y 1400.;;;;;;;;;x
RULE_EPIDEMICS_DEFAULT_DESC;Minor Epidemics will appear at the default rate. Small and Normal outbreaks will appear frequently, Large outbreaks will be very rare.;Les épidémies mineures apparaîtront au taux normal. De petites et moyennes éclosions seront fréquentes, tandis que les grandes éclosions seront très rares.;Kleine Epidemien ereignen sich mit Standardwahrscheinlichkeit. Es kommt häufig zu kleinen und normalen Ausbrüchen. Große Ausbrüche sind sehr selten.;;Epidemias menores aparecerán con el ritmo por defecto. Estallidos Menores y Normales aparecerán frecuentemente, estallidos Grandes serán muy raros.;;;;;;;;;x
RULE_EPIDEMICS_DELAYED_DYNAMIC;Delayed Dynamic;Dynamiques et différées;Verzögerte Dynamik;;Dinámica retrasada;;;;;;;;;x
RULE_EPIDEMICS_DELAYED_DYNAMIC_DESC;The Bubonic Plague will appear at the very earliest in the year 1100, and 25 years after the game has started. After one major outbreak the epidemic will become endemic.;La peste bubonique apparaîtra au plus tôt à l'an 1100, et 25 ans après le début de la partie. Après un épisode majeur, l'épidémie deviendra endémique.;Die Beulenpest bricht frühestens im Jahre 1100 und 25 Jahre nach Spielstart aus. Nach einem großen Ausbruch wird die Epidemie endemisch.;;La Peste bubónica aparecerá como muy pronto en el año 1100 y 25 años después de comenzar la partida. Tras un estallido mayor, la epidemia será endémica.;;;;;;;;;x
RULE_EPIDEMICS_DYNAMIC;Dynamic;Dynamiques;Dynamisch;;Dinámico;;;;;;;;;x
RULE_EPIDEMICS_DYNAMIC_DESC;The Bubonic Plague will appear at the very earliest 200 years after the game has started, and might reappear 500 years after game start. After one major outbreak the epidemic will become endemic.;La peste bubonique apparaîtra au plus tôt 200 ans après le début de la partie. Après un épisode majeur, l'épidémie deviendra endémique.;Die Beulenpest bricht frühestens 200 Jahre nach Spielstart aus und kann 500 Jahre nach Spielstart erneut auftreten. Nach einem großen Ausbruch wird die Epidemie endemisch.;;La Peste bubónica aparecerá como muy pronto 200 años después de comenzar la partida y puede reaparecer 500 años después del comienzo de la partida. Tras un estallido mayor, la epidemia será endémica.;;;;;;;;;x
RULE_EPIDEMICS_FEWER_DESC;Minor Epidemics will appear at a reduced rate, and the chance for a Large outbreak is eliminated entirely.;Les épidémies mineures apparaîtront à une fréquence plus faible, et la probabilité d'une grande éclosion est nulle.;Kleine Epidemien ereignen sich mit reduzierter Wahrscheinlichkeit. Es kann nicht zu großen Ausbrüchen kommen.;;Epidemias menores aparecerán a un ritmo reducido, y se elimina totalmente la posibilidad de un Gran estallido.;;;;;;;;;x
RULE_EPIDEMICS_HISTORICAL_DESC;The Bubonic Plague will appear in the year 1345 and follow its historical route.;La peste bubonique apparaîtra en 1345 et suivra son parcours historique.;Die Beulenpest bricht im Jahr 1345 aus und folgt dem historischen Verlauf.;;La Peste bubónica aparecerá en el año 1345 y seguirá su ruta histórica.;;;;;;;;;x
RULE_EPIDEMICS_MORE_DESC;Minor Epidemics will appear at an increased rate, Large outbreaks will be common.;Les épidémies mineures apparaîtront à une fréquence plus élevée et les grandes éclosions seront habituelles.;Kleine Epidemien ereignen sich mit erhöhter Wahrscheinlichkeit. Es kommt häufig zu großen Ausbrüchen.;;Epidemias menores aparecerán a un ritmo aumentado, serán comunes los Grandes estallidos.;;;;;;;;;x
RULE_EXCLAVE_PURGE;Exclave Independence;Indépendance des enclaves;Exklaven;;Independencia de exclaves;;;;;;;;;x
RULE_FOURTH_CRUSADE;§BHoly Fury:§! Fourth Crusade;Quatrième croisade (§BHoly Fury§! - Fureur Sacrée);§BHoly Fury:§! Vierter Kreuzzug;;§BHoly Fury:§! Cuarta cruzada;;;;;x
RULE_FOURTH_CRUSADE_OFF;The Fourth Crusade events are disabled.;Les événements de la Quatrième croisade sont désactivés.;Die Ereignisse des Vierten Kreuzzugs sind deaktiviert.;;Los eventos de la Cuarta cruzada están desactivados;;;;x
RULE_FOURTH_CRUSADE_ON;The Fourth Crusade events are enabled.;Les événements de la Quatrième croisade sont activés.;Die Ereignisse des Vierten Kreuzzugs sind aktiviert.;;Los eventos de la Cuarta cruzada están activados;;;;x
RULE_GENDER;Gender Equality;Égalité des sexes;Gleichberechtigung der Geschlechter;;Igualdad de sexos;;;;;;;;;x
RULE_GENDER_ALL_DESC;The game will play as if the 'Status of Women' law would be maxed out for everyone. The Conclave 'Status of Women' set of laws is unavailable for everyone.;Le jeu se déroule comme si le statut complet des femmes était en vigueur dans toutes les cours. Les lois sur le statut des femmes du DLC 'Le Conseil' ne sont pas disponibles.;Das Spiel behandelt das Gesetz Status der Frau, als sei es auf der höchsten Stufe. Die Gesetze zum Status der Frau aus Conclave sind nicht verfügbar.;;El juego se jugará como si la ley 'Estatus de las mujeres' estuviera al máximo para todos. El conjunto de leyes 'Estatus de las mujeres' del Cónclave no está disponible para nadie.;;;;;;;;;x
RULE_GENDER_DEFAULT_DESC;The various Gender Laws are enabled as per default. Specific cultures and religions may allow/disallow Gender Laws. The Conclave 'Status of Women' set of laws is available.;Les lois selon le sexe sont permises ou non par des cultures ou des religions spécifiques. Les lois sur le statut des femmes du DLC 'Le Conseil' sont disponibles.;Gleichstellungsgesetze sind standardmäßig aktiviert und bestimmte Kulturen und Religionen können diese erlauben/verbieten. Die Gesetze zum Status der Frau aus Conclave sind verfügbar.;;Las diferentes Leyes de Sexos están habilitadas por defecto. Culturas y religiones específicas pueden permitir/rechazar Leyes de sexos. El conjunto de leyes 'Estatus de las mujeres' del Cónclave está disponible.;;;;;;;;;x
RULE_GENDER_HISTORICAL_DESC;The various Gender Laws are enabled as per default. Specific cultures and religions may allow/disallow Gender Laws. The Conclave 'Status of Women' set of laws is not available.;Les lois selon le sexe sont permises ou non par des cultures ou des religions spécifiques. Les lois sur le statut des femmes du DLC 'Le Conseil' ne sont pas disponibles.;Gleichstellungsgesetze sind standardmäßig aktiviert und bestimmte Kulturen und Religionen können diese erlauben/verbieten. Die Gesetze zum Status der Frau aus Conclave sind nicht verfügbar.;;Las diferentes Leyes de Sexos están habilitadas por defecto. Culturas y religiones específicas pueden permitir/rechazar Leyes de sexos. El conjunto de leyes 'Estatus de las mujeres' del Cónclave no está disponible.;;;;;;;;;x
RULE_GENERATE_FAMILIES;Generate Families;Création de familles;Familien generieren;;Generar familias;;;;;;;;;x
RULE_GENERATE_FAMILIES_AI_ONLY_DESC;Most landed historical AI characters with no recorded family will have a spouse and up to four children generated for them upon starting a new game. This increases the risk of an early game over.;La plupart des personnages historiques IA sans famille enregistrée et possédant des terres auront un conjoint et jusqu'à quatre enfants lors du lancement d'une nouvelle partie. Cela augmente le risque de fin de partie.;Historischen Charaktere, die Land besitzen und keine Aufzeichnungen über Familie haben, erhalten vom Spiel einen generierten Ehepartner und bis zu vier Kinder. Dies reduziert das Risiko eines frühen Spielendes.;;A la mayoría de los personajes históricos de IA con tierras y sin constancia de familia se les generará un cónyuge y hasta cuatro hijos cuando se inicie una nueva partida. Esto aumenta el riesgo de un final de partida prematuro.;;;;;;;;;x
RULE_GENERATE_FAMILIES_OFF_DESC;Landed historical characters with no recorded family will NOT have a family generated for them upon starting a new game. This increases the risk of an early game over.;Les personnages historiques sans famille enregistrée et possédant des terres n'auront pas de famille créée lors du lancement d'une nouvelle partie. Cela augmente le risque de fin de partie.;Historischen Charaktere, die Land besitzen und keine Aufzeichnungen über Familie haben, erhalten vom Spiel KEINEN generierte Familie. Dies erhöht das Risiko eines frühen Spielendes.;;A los personajes históricos con tierras sin constancia de familia NO se les generará una familia cuando se inicie una nueva partida. Esto aumenta el riesgo de un final de partida prematuro.;;;;;;;;;x
RULE_GENERATE_FAMILIES_ON_DESC;Most landed historical characters with no recorded family will have a spouse and up to four children generated for them upon starting a new game. This reduces the risk of an early game over.;La plupart des personnages historiques sans famille enregistrée et possédant des terres auront un conjoint et jusqu'à quatre enfants lors du lancement d'une nouvelle partie. Cela réduit le risque de fin de partie.;Historischen Charaktere, die Land besitzen und keine Aufzeichnungen über Familie haben, erhalten vom Spiel einen generierten Ehepartner und bis zu vier Kinder. Dies reduziert das Risiko eines frühen Spielendes.;;A la mayoría de los personajes históricos con tierras y sin constancia de familia se les generará un cónyuge y hasta cuatro hijos cuando se inicie una nueva partida. Esto reducirá el riesgo de un final de partida prematuro.;;;;;;;;;x
RULE_GRANT_INDEPENDENCE;Grant Independence;Accorder l'indépendance;Gewährt Unabhängigkeit;;Conceder la independencia;;;;;;;;;x
RULE_GRANT_INDEPENDENCE_RESTRICTED_DESC;The Grant Independence action is restricted.;L'action « Accorder l'indépendance » est restreinte.;Die Aktion "Gewährt Unabhängigkeit" ist begrenzt.;;"La acción ""Conceder la independencia"" está restringida.";;;;;;;;;x
RULE_GRANT_INDEPENDENCE_UNRESTRICTED_DESC;The Grant Independence action is unrestricted and can be used to grant independence to anyone.;L'action 'Accorder l'indépendance' peut s'utiliser sur quiconque.;Die Aktion "Gewährt Unabhängigkeit" ist unbegrenzt und kann verwendet werden, um jeden Unabhängigkeit zu gewähren.;;"La acción ""Conceder la independencia"" es ilimitada y se puede usar para conceder la independencia a cualquiera.";;;;;;;;;x
RULE_GROUP_ALL;All Rules;Toutes les règles;Alle Regeln;;Todas las reglas;;;;;;;;;x
RULE_GROUP_CONCLAVE;Conclave;Le Conseil (Conclave);Conclave;;Conclave;;;;;;;;;x
RULE_GROUP_CRUSADE;Crusades;Croisades;Kreuzzüge;;Cruzadas;;;;x
RULE_GROUP_DEJURE_DRIFT;De Jure Drift;Territoires de jure;De-jure-Anpassung;;Asimilación;;;;;;;;;x
RULE_GROUP_DIPLOMACY;Diplomacy;Diplomatie;Diplomatie;;Diplomacia;;;;;;;;;x
RULE_GROUP_JD;Jade Dragon;Dragon de Jade (Jade Dragon);Jade Dragon;;Jade Dragon;;;;;;;;;x
RULE_GROUP_MP;Multiplayer;Multijoueurs;Mehrspieler;;Multijugador;;;;;;;;;x
RULE_GROUP_RAILROADING;Historical Direction;Scénarisé;Realitätstreue;;Histórico;;;;;;;;;x
RULE_GROUP_RELIGION;Religion;Religion;Religion;;Religión;;;;;;;;;x
RULE_GROUP_RIP;The Reaper's Due;Notre dû à la Faucheuse (The Reaper's Due);The Reaper's Due;;The Reaper's Due:;;;;;;;;;x
RULE_GROUP_VARIOUS;Various;Divers;Diverses;;Varios;;;;;;;;;x
RULE_GROUP_WARFARE;Warfare;Guerre;Kriegswesen;;Estrategia militar;;;;;;;;;x
RULE_GROUP_WOL;Way of Life;Mode de vie (Way of Life);Way of Life;;Way of Life;;;;;;;;;x
RULE_HELLENISM;Hellenic Revival;Renouveau hellénique;Hellenistisches Wiederaufleben;;Renacimiento helénico;;;;;;;;;x
RULE_HELLENISM_OFF;Events and decision dealing with the restoration of the Hellenic religion are disabled.;Les événements et décisions liés à la restauration de la religion hellénique sont désactivés.;Ereignisse und Entscheidungen bezüglich dem Wiederaufleben der hellenistischen Religion sind deaktiviert.;;Se han desactivado los eventos y decisiones sobre la restauración de la religión helénica.;;;;;;;;;x
RULE_HELLENISM_ON;Under rare circumstances, rulers have a chance to turn Hellenic and restore the old religion.;En de rares circonstances, les dirigeants ont une certaine chance de devenir hellénique et restaurer l'ancienne religion.;Unter seltenen Umständen haben Herrscher die Chance hellenistisch zu werden und die alte Religion wiederherzustellen.;;Bajo extrañas circunstancias, los gobernantes tienen la oportunidad de convertirse en helénicos y restaurar la antigua religión.;;;;;;;;;x
RULE_IFM_OPEN_DESC;Even rulers of hostile and unrelated religions will consider marriage offers.;Même les souverains de religions sans rapport et hostiles considéreront les propositions de mariage.;Auch Herrscher feindlicher oder abweichender Religionen ziehen Heiratsangebote in Erwägung.;;Hasta los gobernantes de religiones hostiles o no relacionas tendrán en cuenta las peticiones de matrimonio.;;;;;;;;;x
RULE_IFM_RESTRICTED_DESC;Rulers of unrelated religions will never agree to marriage offers.;Les souverains de religions sans rapport n'accepteront jamais de proposition de mariage.;Herrscher abweichender Religionen akzeptieren niemals Heiratsangebote.;;Los gobernantes de religiones no relacionadas nunca aceptarán peticiones de matrimonio.;;;;;;;;;x
RULE_INTERFAITH_MARRIAGES;Interfaith Marriages;Mariages interreligieux;Interreligiöse Hochzeiten;;Matrimonios interreligiosos.;;;;;;;;;x
RULE_INVITATION;Invitation to Court;Invitation à la Cour;Einladungen an den Hof;;Invitación a la Corte;;;;;;;;;x
RULE_INVITATION_DEFAULT_DESC;Characters in other courts will only accept invitations to work for you under very special conditions.;Les personnages d'autres cours accepteront l'invitation de rejoindre la vôtre pour travailler pour vous seulement dans des conditions spécifiques.;Personen an anderen Höfen stimmen Einladungen, an Eurem Hof zu arbeiten, nur unter sehr spezifischen Bedingungen zu.;;Los personajes de otras cortes solo aceptarán invitaciones para trabajar para ti en unas condiciones muy especiales.;;;;;;;;;x
RULE_INVITATION_OPEN_DESC;Characters in other courts will accept invitations to come work for you if they like you enough, and don't like their current liege.;Les personnages d'autres cours accepteront l'invitation de rejoindre la vôtre pour travailler pour vous s'ils vous apprécient assez, et s'ils n'apprécient pas leur seigneur lige.;Personen an anderen Höfen stimmen Einladungen, an Eurem Hof zu arbeiten, zu, wenn sie Euch mögen und ihren Lehnsherrn nicht leiden können.;;Los personajes de otras cortes aceptarán invitaciones a venir a trabajar para ti si les gustas lo suficiente y no les gusta su señor actual.;;;;;;;;;x
RULE_JD_CBS;§BJade Dragon:§! New Casus Bellis;Nouveaux casus belli (§BJade Dragon§! - Dragon de Jade);§BJade Dragon:§! Neue Kriegsgründe;;§BJade Dragon:§! Nuevos casus belli;;;;;;;;;x
RULE_JD_CBS_OFF_DESC;The following Casus Bellis can NOT be used: De Jure Duchy Claim, Ducal County Conquest, Force Vassalization, Great Realm Conflict, Liberate Religion and Permanent Tributary.;Les casus belli suivants peuvent être utilisés: Revendication d'un duché de jure, Conquête ducale d'un comté, Vassalisation forcée, Conflit de grand pays, Libération religieuse, Tributaire permanent.;Deaktivierte Kriegsgründe: De-jure-Anspruch (Herzogtümer), Herzogliche Eroberungen (Grafschaft), Vasallisierung erzwingen, Großeroberung, Vereinigung der Religion und permanente Tributstaaten.;;NO se pueden usar los siguientes casus belli: Reclamación de ducado De Iure, Conquista de condado ducal, Vasallaje forzado, Conflicto de gran reino, Liberar religión y Tributario permanente.;;;;;;;;;x
RULE_JD_CBS_ON_DESC;All new Casus Bellis introduced in Jade Dragon can be used.;Tous les nouveaux casus belli introduits par Dragon de Jade peuvent être utilisés.;Alle neuen Kriegsgründe aus Jade Dragon können genutzt werden.;;Se pueden usar todos los nuevos casus belli presentados en Jade Dragon.;;;;;;;;;x
RULE_MARTIAL_HEADGEAR;Martial Headgear;Casques;Kopfbedeckung eines Kriegers;;Sombrero marcial;;;;;;;;;x
RULE_MARTIAL_HEADGEAR_OFF;Only Marshals and landless commanders will wear martial headgear.;Seuls les maréchaux et les commandants sans terre porteront des casques.;Nur ein Marschall und landlose Kommandanten werden die Kopfbedeckung eines Kriegers tragen.;;Solo mariscales y comandantes sin tierras llevarán un sombrero marcial.;;;;;;;;;x
RULE_MARTIAL_HEADGEAR_ON;Rulers leading armies will always wear martial headgear.;Les chefs des armées porteront toujours des casques.;Herrscher, die eine Armee führen, tragen immer die Kopfbedeckung eines Kriegers.;;Los gobernantes que dirigen ejércitos siembre llevarán un sombrero marcial.;;;;;;;;;x
RULE_MATRILINEAL_MARRIAGES;Matrilineal Marriages;Mariages matrilinéaires;Matrilineare Hochzeiten;;Matrimonios matrilineales;;;;;;;;;x
RULE_MATRILINEAL_OFF_DESC;Matrilineal Marriages are never allowed. §RWARNING: As a female ruler it might be very hard to avoid Game Over and produce an heir of your own dynasty!§!;Les mariages matrilinéaires ne sont jamais permis. §REn jouant une femme, il pourrait être très difficile d'avoir un héritier de votre dynastie et ainsi d'éviter la fin de partie !§!;Matrilineare Hochzeiten sind niemals erlaubt. §RWARNUNG: Als Herrscherin könnte es sehr schwierig sein, das Spiel zu gewinnen und einen Thronfolger der eigenen Dynastie hervorzubringen!§!;;Nunca se permitirán matrimonios matrilineales. §RADVERTENCIA: ¡gobernando como mujer, será muy difícil evitar un Fin de Juego y dar un heredero de tu propia dinastía!§!;;;;;;;;;x
RULE_MATRILINEAL_ON_DESC;Matrilineal Marriages are allowed if the religion and government type so permit.;Les mariages matrilinéaires sont permis si la religion et le type de gouvernement le permettent.;Matrilineare Hochzeiten sind erlaubt, wenn die Religion und die Regierungsform es zulassen.;;Se permiten matrimonios matrilineales si la religión y el tipo de gobierno lo permiten.;;;;;;;;;x
RULE_MINOR_EPIDEMICS;§BThe Reaper's Due:§! Minor Epidemics;Épidémies mineures (§BReaper's Due§! - Notre dû à la Faucheuse);§BThe Reaper's Due:§! Kleine Epidemien;;§BThe Reaper's Due:§! Epidemias menores;;;;;;;;;x
RULE_MONGOL_INVASION;Mongol Invasion;Invasion mongole;Mongolische Invasion;;Invasión mongola;;;;;;;;;x
RULE_MONGOL_INVASION_DELAYED_RANDOM_DESC;The Mongol Horde will invade at a random date, though at the earliest at the year 1000, and 50 years after the game has started.;L'invasion de la Horde mongole se produira à une date aléatoire, mais au plus tôt en l'an 1000 et 50 ans après le début de la partie.;Die mongolische Horde fällt an einem zufällig festgelegten Zeitpunkt ein, aber frühestens ab dem Jahr 1000, und 50 Jahre nach Spielstart.;;El ejército mongol invadirá en una fecha aleatoria, aunque no antes del año 1000 y 50 años después del comienzo de la partida.;;;;;;;;;x
RULE_MONGOL_INVASION_HISTORICAL_DESC;The Mongol Horde will invade between the years of 1210 and 1218.;La Horde mongole fera une invasion entre l'an 1210 et l'an 1218.;Die mongolische Horde fällt zwischen den Jahren 1210 und 1218 ein.;;La Horda mongola invadirá entre los años 1210 y 1218.;;;;;;;;;x
RULE_MONGOL_INVASION_OFF_DESC;The Mongol Horde will not invade, but it can still be formed through the decision.;La Horde mongole ne fera pas d'invasion, mais peut quand même être formée par la décision spécifique.;Die mongolische Horde fällt nicht ein, kann aber trotzdem durch die entsprechende Entscheidung gebildet werden.;;El Horda mongola no invadirá, pero puede seguir formándose según decisiones.;;;;;;;;;x
RULE_MONGOL_INVASION_RANDOM_DESC;The Mongol Horde will invade at a random date, though at the earliest 50 years after the game is started.;La Horde mongole fera une invasion à une date aléatoire, mais au plus tôt 50 ans après le début de la partie.;Die mongolische Horde fällt an einem zufällig festgelegten Zeitpunkt ein, aber frühestens 50 Jahre nach Spielstart.;;La Horda mongola invadirá en una fecha al azar. Como muy pronto, 50 años después de empezar el juego.;;;;;;;;;x
RULE_MOVEMENT_LOCK;Army Movement Lock;Verrouillage du déplacement des armées;Bewegungssperre für Armeen;;Bloquear movimiento del ejército;;;;;;;;;x
RULE_MOVEMENT_LOCK_OFF_DESC;Army movement will never be locked.;Le déplacement des armées ne sera jamais verrouillé.;Bewegung einer Armee wird niemals gesperrt.;;El movimiento de ejércitos nunca se bloqueará.;;;;;;;;;x
RULE_MOVEMENT_LOCK_ON_DESC;When an army has moved over halfway into a County, the order will be locked and can no longer be canceled. While movement is locked you can still cancel further orders or queue up additional orders.;Lorsqu'une armée a parcouru plus de la moitié du chemin vers le comté suivant, l'ordre ne peut plus être annulé. Vous pouvez cependant annuler les déplacements supplémentaires ou les mettre en file d'attente.;Wenn eine Armee auf halben Wege zu einer Grafschaft ist, wird die Bewegung gesperrt und kann nicht abgebrochen werden. Währenddessen können nur weitere Anordnungen abgebrochen oder neue hinzugefügt werden.;;Cuando un ejército recorre la mitad de camino a un condado, la orden queda bloqueada y no se puede cancelar. Al bloquear el movimiento, todavía puedes cancelar movimientos posteriores o poner en cola órdenes adicionales.;;;;;;;;;x
RULE_MULTIPLAYER_3RD_PARTY_CLAIMS;Multiplayer 3rd Party Claims;Revendication de tiers en multijoueurs;Mehrspieler: Ansprüche an Dritte;;Multijugador derechos de terceros;;;;;;;;;x
RULE_MULTIPLAYER_3RD_PARTY_CLAIMS_LIMITED_DESC;Players can only Press Duchy or lower Claims of other characters.;Les joueurs peuvent uniquement appuyer une revendication ducale ou faible d'un autre personnage.;Spieler können nur Ansprüche auf der Stufe eines Herzogs oder niedriger von anderen Charakteren durchsetzen.;;Los jugadores solo pueden reclamar derechos de ducado o inferior de otros personajes.;;;;;;;;;x
RULE_MULTIPLAYER_3RD_PARTY_CLAIMS_OFF_DESC;Players cannot Press the Claims of other characters.;Les joueurs ne peuvent pas appuyer une revendication d'un autre personnage.;Spieler können die Ansprüche anderer Charaktere nicht durchsetzen.;;Los jugadores no pueden reclamar los derechos de otros personajes.;;;;;;;;;x
RULE_MULTIPLAYER_3RD_PARTY_CLAIMS_ON_DESC;Players can freely Press the Claims of other characters.;Les joueurs peuvent librement appuyer une revendication d'un autre personnage.;Spieler können Ansprüche anderer Charaktere nach freiem Ermessen durchsetzen.;;Los jugadores pueden reclamar libremente los derechos de otros personajes.;;;;;;;;;x
RULE_MULTIPLAYER_ASSASSINATIONS;Multiplayer Assassinations;Assassinats en multijoueurs;Mehrspieler: Ermordungen;;Asesinatos en multijugador;;;;;;x
RULE_MULTIPLAYER_ASSASSINATIONS_DEFAULT_DESC;There are no additional restrictions on whom you can plot to kill in multiplayer.;Il n'y a pas de restrictions supplémentaires sur la personne contre laquelle vous pouvez comploter un assassinat.;Es bestehen keine zusätzlichen Restriktionen, an wem Ihr im Mehrspieler-Modus Verschwörung zur Ermordung aushecken könnt.;;No hay restricciones adicionales en cuanto a quién puedes planear asesinar en multijugador.;;;;;;x
RULE_MULTIPLAYER_ASSASSINATIONS_NO_CLOSE_PLAYER_RELATIVES_DESC;Plotting to kill other players or their close relatives is disabled.;Comploter afin de tuer d'autres joueurs ou leurs proches parents est impossible.;Der Versuch, andere Spieler oder ihre nahen Verwandten zu töten, ist deaktiviert.;;Desactivado el planear a otros jugadores o parientes cercanos.;;;;;;;;;x
RULE_MULTIPLAYER_ASSASSINATIONS_NO_PLAYERS_DESC;Plotting to kill other players is disabled.;Comploter un assassinat contre un autre joueur est impossible.;Verschwörung zur Ermordung anderer Spieler ist deaktiviert.;;Planear el asesinato de otros jugadores está desactivado.;;;;;;x
RULE_MULTIPLAYER_PLAYER_INVASIONS;Multiplayer Invasions;Invasion en multijoueurs;Mehrspieler: Invasionen;;Invasiones multijugadores;;;;;;;;;x
RULE_MULTIPLAYER_PLAYER_INVASIONS_OFF_DESC;All Invasion Casus Bellis except Prepared Invasions and those granted by a Religious Head are disabled for players.;Tous les casus belli d'invasion, hormis les invasions planifiées et celles accordées par un chef religieux, sont désactivés pour les joueurs.;Alle Invasion-Kriegsgründe, abgesehen von vorbereiteten Invasionen und solchen, die von einem religiösen Oberhaupt gewährt werden, sind für Spieler deaktiviert.;;Todos los casus belli de invasión están desactivados para los jugadores excepto invasiones preparadas y los otorgados por líderes religiosos.;;;;;;;;;x
RULE_MULTIPLAYER_PLAYER_INVASIONS_ON_DESC;Players can use all Invasion Casus Bellis freely.;Les joueurs peuvent utiliser les casus belli d'invasion librement.;Spieler können alle Invasion-Kriegsgründe nach freiem Ermessen benutzen.;;Los jugadores pueden usar libremente todos los casus belli de invasión.;;;;;;;;;x
RULE_NAP_BLOCK_FACTIONS;Non-Aggression Pact Faction Block;Blocage de l'accès aux factions par le pacte de non-agression;Fraktionssperre bei Nichtangriffspakt;;Bloque Facción pacto de no agresión;;;;;;;;;x
RULE_NAP_BLOCK_FACTIONS_OFF;Non-aggression pacts don't disqualify membership in realm factions.;Les pactes de non-agression n'empêchent pas d'être membre d'une faction du pays.;Nichtangriffspakte erlauben Mitgliedschaft in Reichsfraktionen.;;Los pactos de no agresión no impiden estar en facciones de reino.;;;;;;;;;x
RULE_NAP_BLOCK_FACTIONS_ON;Rulers in a non-aggression pact with their liege are barred from being members in realm factions.;Les dirigeants dans un pacte de non-agression avec leur seigneur lige ne pourront pas être membres d'une faction du pays.;Herrscher, die in einem Nichtangriffspakt mit ihrem Lehensherren sind, können keine Mitglieder in deren Reichsfraktionen sein.;;Gobernantes en pactos de no agresión con su señor quedan excluidos de las facciones.;;;;;;;;;x
RULE_NO_MAJOR_INVASIONS_DESC;China will launch Tributary wars but will NOT launch Major Invasions. Chinese Adventurers can spawn.;La Chine déclarera des guerres tributaires mais pas d'invasions majeures. Les aventuriers chinois peuvent advenir.;China wird Tributkriege beginnen, aber KEINE großen Invasionen. Chinesische Abenteurer können auftauchen.;;China iniciará guerras tributarias, pero NO grandes invasiones. Pueden aparecer aventureros chinos;;;;;;;;;x
RULE_NOMAD_STABILITY;§BHorse Lords:§! Nomad Stability;Stabilité nomade (§BHorse Lords§! - Seigneurs de cavalerie);§BHorse Lords:§! Nomadenstabilität;;§BHorse Lords:§! Estabilidad nómada;;;;;;;;;x
