#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AGE_FACTOR;Age Factor;Critère d'âge;Alters-Faktor;;Factor de Edad;;;;;;;;;x
ct_rep_wall_5;Citadel;Citadelle;Zitadelle;;Ciudadela;;;;;;;;;x
ct_rep_wall_5_desc;This grand citadel lies at the heart of the city's defensive network, and is equipped to withstand a siege even after the rest of the city has fallen.;Cette grande citadelle est érigée au coeur du réseau de défense de la cité et est équipée pour soutenir un long siège même lorsque le reste de la cité a été prise.;Diese große Zitadelle liegt im Herzen des Verteidigungsnetzwerks der Stadt und ist ausgerüstet, um einer Belagerung standzuhalten, selbst wenn der Rest der Stadt gefallen ist.;;Esta gran ciudadela, situada en el corazón de la red defensiva de la ciudad, está equipada para resistir un asedio incluso después de caer el resto de la ciudad.;;;;;;;;;x
ct_training_grounds_1_desc;The city militia assembles here to train and arm themselves.;La milice de la cité se rassemble ici pour s'entraîner et s'armer.;Die Stadt-Miliz versammelt sich hier, um zu üben und sich zu bewaffnen.;;La milicia de la ciudad se reúne aquí para entrenar y armarse. ;;;;;;;;;x
ct_university_1_desc;A place of higher learning for those with influence enough to gain admission.;Un lieu de hautes études pour ceux qui ont suffisament de capacités pour y être admis.;Ein Ort der höheren Lehre für all jene, die ausreichend Einfluss besitzen, um Zutritt zu erlangen.;;Centro de educación superior para aquellos con influencia suficiente para ser admitidos.;;;;;;;;;x
ct_wall_3_desc;These stone walls surround the city and must be overcome by any attacker.;Les remparts entourent la cité et doivent être surmontés par n'importe quel assaillant.;Diese Steinmauern umgeben die Stadt und müssen von jedem Angreifer überwunden werden.;;Estas murallas de piedra rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;;;;;x
ct_wall_4_desc;These large walls surround the city and must be overcome by any attacker.;Ces doubles remparts entourent la cité et doivent être surmontés n'importe quel assaillant.;Diese großen Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden.;;Estas grandes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;;;;;x
ct_wall_5_desc;These massive walls surround the city and must be overcome by any attacker.;Ces grandes murailles entourent la cité et doivent être surmontées n'importe quel assaillant.;Diese massiven Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden.;;Estas enormes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;;;;;x
ct_wall_q_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces fossés peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;Dieser seichte Burggraben, der die Stadt umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;;Campo de prácticas de tiro ampliado, donde las levas pueden aprender el arte del tiro con arco.;;;;;;;;;x
ct_wall_q_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;Ces portes fortifiées protègent l'entrée de la cité. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieses Torhaus verteidigt den Eingang der Stadt und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;;Esta puerta defiende la entrada de la ciudad y permite controlar más fácilmente quién entra y quién sale. ;;;;;;;;;x
CURRENT_INCOME;Current base income: §Y$INCOME$§!;Revenus des impôts de base : §Y$INCOME$§!;Gegenwärtiges Grundeinkommen: §Y$INCOME$§!;;Ingreso base actual: §Y$INCOME$§!;;;;;;;;;x
CUSTOM_MAPMODE_DESC;§YCustom map mode slot§!\nDrag map modes here for easy access;§YParamètres des cartes§!\nGlisser les modes de cartes ici pour un accès plus facile;§YBenutzerdefinierter Kartenmodus-Platz§!\nZieht den Kartenmodus für leichteren Zugriff hierhin;;§YHueco de modo de mapa personalizado§!\nArrastra modos de mapa aquí para acceso fácil;;;;;;;;;x
deny_hansa_tooltip;You refuse the formation of the Hanseatic League.;Vous refusez la création de la Ligue hanséatique.;Ihr lehnt die Bildung der Hanse ab.;;Deniegas la constitución de la Liga Hanseática.;;;;;;;;;x
EMBARGO_EFFECT;Embargo §Y$WHO$§! and gain §G$GOLD$§!¤ from razing §Y$NUM$§! Trade posts\n;Embargo contre §Y$WHO$§! et gain de §G$GOLD$§!¤ grâce au saccage de §Y$NUM$§! comptoirs\n;Errichtet ein Embargo gegen §Y$WHO$§! und gewinnt §G$GOLD$§!¤, indem Ihr §Y$NUM$§! Handelsposten niederreißt\n;;Embargar a §Y$WHO$§! Y ganar §G$GOLD$§!¤ por arrasar §Y$NUM$§! Puestos Comerciales\n;;;;;;;;;x
end_feud_tooltip;You decide that enough lives have been lost - this feud between your families must come to an end.;Vous décidez qu'assez de vies ont été perdues, cette vendetta entre vos familles a assez duré.;Ihr habt beschlossen, dass genug Leben verloren gegangen sind - diese Fehde zwischen Euren Familien muss zu einem Ende kommen.;;Decides que ya se han perdido bastantes vidas, esta pelea entre familias debe llegar a su fin.;;;;;;;;;x
EXPECTED_SUCCESSOR;Expected Successor;Successeur potentiel ;Erwarteter Nachfolger;;Sucesor Esperado;;;;;;;;;x
EXPECTED_SUCCESSOR_DESC;§Y$HEIR$§! is widely expected to succeed §Y$RULER$§!. However, there is always a degree of uncertainty in the elections - to make sure of success, you might want to invest more money than the strict minimum in your campaign fund.;§Y$HEIR$§! est probablement celui qui succèdera au §Y$RULER$§!. Toutefois, il y a toujours une part d'incertitude dans les élections. Pour mettre toutes les chances de votre côté, vous devriez peut-être investir davantage que le strict minimum dans votre fonds de campagne.;Es wird weitgehend erwartet, dass §Y$HEIR$§! §Y$RULER$§! beerben wird. Allerdings gibt es immer einen Grad von Unsicherheit in den Wahlkämpfen - um den Erfolg sicherzustellen, solltet Ihr eventuell mehr Geld als das Minimum in Euren Wahlkampffonds investieren.;;Se espera que §Y$HEIR$§! suceda a §Y$RULER$§!. Aún así, siempre hay un cierto grado de incertidumbre en las elecciones - para asegurarte el éxito, puede que quieras invertir más dinero que el mínimo indispensable en tus fondos de campaña.;;;;;;;;;x
EXPENSE_FAMILY_DUES;Family Dues;Rentes familiales;Familiäre Abgaben;;Deudas de Familia;;;;;;;;;x
FAM_REAL_FATHER;Real Father;Père biologique;Tatsächlicher Vater;;Padre Verdadero;;;;;;;;;x
family_palace_baron_deed;Chair of;Siège de;Sitz von;;Consejo de;;;;;;;;;x
family_palace_baron_foa;Sir;Messire;Sir;;Señor;;;;;;;;;x
FATHER_OF_UNBORN_KNOWN;The Father of the Unborn Baby is NOT Known;Le père de l'enfant à naître n'est pas connu;Der Vater des ungeborenen Kindes ist NICHT bekannt;;El padre del nonato NO es conocido;;;;;;;;;x
FATHER_OF_UNBORN_NOT_KNOWN;The Father of the Unborn Baby is Known;Le père de l'enfant à naître est connu;Der Vater des ungeborenen Kindes ist bekannt;;El padre del nonato es conocido;;;;;;;;;x
FC_FIND_CHARACTERS;Find Characters;Trouver des personnages;Charakter suchen;;Encontrar personajes ;;;;;;;;;x
feud_begins_tooltip;This will be the start of a great vendetta between your two families...;Ce sera le début d'une sanglante vendetta entre vos deux familles...;Dies ist der Beginn einer großen Fehde zwischen unseren zwei Familien ...;;Esto será el comienzo de una gran vendetta entre vuestras dos familias...;;;;;;;;;x
feud_continues_tooltip;You cannot forgive the crimes committed against your family.;Vous ne pouvez pas pardonner les crimes qui ont été commis à l'encontre de votre famille.;Ihr könnt ihm die Verbrechen nicht verzeihen, die er gegen Eure Familie begangen hat.;;No puedes perdonar los crímenes cometidos contra tu familia.;;;;;;;;;x
feud_over_tooltip;You shake his hand, ending the feud.;Vous lui serrez la main, mettant ainsi un terme à votre vendetta.;Ihr schüttelt seine Hand und beendet die Fehde.;;Estrechas su mano y pones fin al enfrentamiento.;;;;;;;;;x
flagship_plan_approved_tooltip;You approve the plan.;Vous approuvez le plan.;Ihr stimmt dem Plan zu.;;Apruebas el plan.;;;;;;;;;x
flagship_plan_refused_tooltip;You reject the plan as being too risky.;Vous rejetez le plan car il est trop risqué.;Ihr lehnt den Plan als zu riskant ab.;;Rechazas el plan por considerarlo demasiado arriesgado.;;;;;;;;;x
flee_ship_tooltip;You leap over the railing and swim to the safety of the shore.;Vous sautez par-dessus la rambade et nagez jusqu'à la terre ferme. ;Ihr springt über die Reling und schwimmt zur sicheren Küste.;;Saltas por la borda y nadas en busca de la seguridad de la orilla.;;;;;;;;;x
flotsam_tooltip;As the only survivors of the battle, the two of you drift aimlessly on the sea...;Seuls survivants de la bataille, vous dévirez tout deux sur la mer, sans but...;Als einzige Überlebende des Kampfes, treibt ihr zwei ziellos im Meer ...;;Únicos supervivientes de la batalla, ambos vais a la deriva en mar abierto, sin rumbo...;;;;;;;;;x
fobid_daughter_tooltip;You make it clear to your daughter that continuing this relationship is out of the question.;Vous mettez les choses au clair avec votre fille, il est hors de question qu'elle continue cette relation.;Ihr macht Eurer Tochter deutlich, dass es außer Frage steht, diese Beziehung weiterzuführen.;;Le dejas claro a tu hija que no piensas tolerar esta relación.;;;;;;;;;x
forbid_son_tooltip;You make it clear to your son that continuing this relationship is out of the question.;Vous mettez les choses au clair avec votre fils, il est hors de question qu'il continue cette relation.;Ihr macht Eurem Sohn deutlich, dass es außer Frage steht, diese Beziehung weiterzuführen.;;Le dejas claro a tu hijo que no piensas tolerar esta relación.;;;;;;;;;x
fp_barracks_1;Guard Barracks;Quartiers de la garde;Kasernen der Wache;;Barracones de la Guardia;;;;;;;;;x
fp_barracks_1_desc;The dynasty's household guards are lodged within these simple barracks. They are crowded and unsanitary, but provide decent protection against the elements.;Les gardes personnels de la famille sont logés ici dans ces simples logements. Ils sont insalubres et surpeuplés mais offrent tout de même un abri contre les intempéries.;Die Wachen des dynastischen Haushalts sind in einfachen Kasernen untergebracht. Sie sind überfüllt und unhygienisch, bieten jedoch einen angemessenen Schutz gegen das Wetter.;;La guardia familiar de esta dinastía se apila en estos sencillos barracones. Un lugar atestado e insalubre, pero proporciona una protección decente contra los elementos.;;;;;;;;;x
fp_barracks_2;Swordsmith;Forge;Schwertschmied;;Herrero;;;;;;;;;x
fp_barracks_2_desc;An industrious swordsmith has opened up a forge in the palace courtyard. This will make it easier to equip new recruits with weapons.;Un vaillant forgeron a établi sa forge dans la cour du palais. Les nouvelles recrues pourront ainsi plus facilement se munir d'armes.;Ein emsiger Schwertschmied hat eine Schmiede im Hofe des Palastes eröffnet. Dadurch wird es einfacher, neue Rekruten mit Waffen auszurüsten. ;;Un laborioso herrero ha abierto una forja en el patio de palacio. Esto facilitará el armar a los nuevos reclutas.;;;;;;;;;x
fp_barracks_3;Armory;Armurerie;Rüstkammer;;Armería;;;;;;;;;x
fp_barracks_3_desc;A large armory has been constructed in a corner of the palace courtyard. It holds enough weapons and armor to equip a small army at a moment's notice.;Une grande armurerie a été construite dans un coin de la cour du palais. Elle contient assez d'armes et d'armures pour équiper au pied levé une petite armée.;Eine große Rüstkammer wurde in einer Ecke des Palasthofes gebaut. Darin können ausreichend Waffen und Rüstungen gelagert werden, um eine kleine Armee kurzfristig auszurüsten.;;Una gran armería ha sido construida en un rincón del patio de palacio. Almacena suficientes armas y armaduras para equipar un pequeño ejército en un santiamén.;;;;;;;;;x
fp_bowyer_1;Bowyer;Archerie;Bogenbauer;;Fabricante de Arcos;;;;;;;;;x
fp_bowyer_1_desc;A skilled bowyer has set up his small workshop inside the palace courtyard. Here he can make new bows or repair broken ones as needed.;Un fabriquant d'arcs fort habile a ouvert un petit atelier dans la cour du palais. Il peut fabriquer des arcs et des flèches, ou réparer ceux qui sont brisés.;Ein sachkundiger Bogenbauer hat seine kleine Werkstatt im Hofe des Palastes eröffnet. Hier kann er nach Bedarf neue Bögen bauen oder zerbrochene reparieren.;;Un diestro arquero ha instalado su pequeño taller dentro del patio de palacio. Aquí puede hacer nuevos arcos o reparar los estropeados cuando se necesite.;;;;;;;;;x
fp_bowyer_2;Target Range;Champ de tir;Zielübungsplatz;;Campo de Tiro;;;;;;;;;x
fp_bowyer_2_desc;This target range lets the men practise their archery. There are several targets positioned at different distances, but as yet, no one has managed to split another's arrow.;Ce champ de tir permet aux archers d'exercer leur art. Il comporte plusieurs cibles placées à différentes distances. Mais personne n'a encore réussi à fendre la flèche d'un autre. ;Dieser Zielübungsplatz erlaubt es den Männern, sich im Bogenschießen zu üben. Hier sind einige Ziele in verschiedenen Distanzen platziert, doch bisher ist es noch niemandem gelungen, den Pfeil eines anderen zu spalten. ;;Este campo de tiro permite a los hombres practicar el tiro con arco. Hay varios objetivos posicionados a distintas distancias, pero a día de hoy, nadie ha sido capaz de partir en dos la flecha de otro.;;;;;;;;;x
fp_bowyer_3;Crossbow Workshop;Atelier d'arbalètes;Armbrust-Werkstatt;;Taller de Ballestas;;;;;;;;;x
fp_bowyer_3_desc;The crossbow is a marvelous invention. Though it can't be fired as quickly as a longbow, it requires little training to use effectively. This workshop ensures a steady supply of these deadly weapons.;L'arbalète est une invention merveilleuse. Elle prend un peu plus de temps à charger qu'un arc, mais elle ne nécessite qu'un léger entraînement pour être efficace. Ces armes mortelles sont constamment produites grâce à cet atelier.;Die Armbrust ist eine großartige Erfindung. Auch wenn sie nicht so schnell wie ein Langbogen geschossen werden kann, bedarf es weniger Übung, um sie wirksam einsetzen zu können. Diese Werkstatt stellt einen steten Vorrat dieser tödlichen Waffen sicher. ;;La ballesta es un invento maravilloso. Aunque no puede disparar tan rápido como el arco largo, requiere menos entrenamiento el usarla con eficacia. Este taller asegura un suministro constante de estas armas mortales.;;;;;;;;;x
fp_cellar_1;Wine Cellar;Cave;Weinkeller;;Bodega;;;;;;;;;x
fp_cellar_1_desc;A well-stocked wine cellar is an absolute must for any aristocrat of rank, and this one certainly doesn't disappoint. Some of the wines stored here date back decades.;Une cave à vins bien garnie est essentielle à tout aristocrate qui se respecte, et celle-ci ne décevra assurément personne. Certains de ses vins ont plusieurs décennies.;Ein gut bestückter Weinkeller ist ein absolutes Muss für jeden Adeligen von Rang und dieser enttäuscht auf keinen Fall. Einige der Weine lagern hier schon seit Jahrzehnten.;;Una bodega bien aprovisionada es necesaria para cualquier aristócrata de buen rango, y esta desde luego no decepciona. Algunos de los vinos que se almacenan aquí tienen décadas.;;;;;;;;;x
fp_cellar_2;Catacombs;Hypogée;Katakomben;;Catacumbas;;;;;;;;;x
fp_cellar_2_desc;These catacombs located far beneath the palace contain the dynastic tombs. Here countless generations dating back centuries are joined in eternal slumber. May they rest in peace.;Cet hypogée, situé profondément sous le palais, renferme les tombes de la famille. Depuis des siècles, d'innombrables générations y sont réunies dans leur sommeil éternel. Qu'elles reposent en paix.;Diese Katakomben befinden sich unterhalb des Palastes und beinhalten die dynastischen Gruften. Hier vereinen sich Jahrhunderte alte Generationen im ewigen Schlaf. Mögen sie in Frieden ruhen.;;Estas catacumbas están situadas en las profundidades del palacio y contienen las tumbas de la dinastía. Aquí incontables generaciones de distintos siglos comparten el sueño eterno. En paz descansen.;;;;;;;;;x
fp_cellar_3;Dungeon Complex;Cachots;Kerkerkomplex;;Complejo de Calabozos;;;;;;;;;x
fp_cellar_3_desc;This vast complex of dungeons is hidden away deep enough below the palace to block the cries of its unfortunate inhabitants. Every imaginable instrument of torture can be found within these cold and dark chambers.;Le vaste complexe de cachots est enfoui assez profondément sous le palais pour étouffer les hurlements de ses infortunés pensionnaires. On peut trouver dans ces salles obscures et glaciales tous les instruments de torture inimaginables.;Dieser weitläufige Kerkerkomplex ist tief genug unter dem Palast verborgen, dass die Schreie der bedauernswerten Bewohner ungehört bleiben. Jedes denkbare Folterinstrument kann in diesen kalten und dunklen Kammern gefunden werden. ;;Este vasto complejo de calabozos está oculto en lo más profundo del palacio para apagar los gritos de sus desafortunados inquilinos. Cada instrumento de tortura que se pueda imaginar puede encontrarse en estas lóbregas cámaras.;;;;;;;;;x
fp_garden_1;Palace Garden;Jardins du palais;Palastgarten;;Jardín de Palacio;;;;;;;;;x
fp_garden_1_desc;A large and impressive garden filled with the manifold wonders of nature. This tranquil environment is ideal for moments of quiet reflection.;On trouve dans ces grands et magnifiques jardins de multiples merveilles de la nature. Ce lieu paisible est idéal pour des moments de méditation.;Ein großer und beeindruckender Garten voller Wunder der Natur. Diese friedvolle Umgebung ist ideal für Momente der Besinnung.;;Un gran jardín impresionante repleto de maravillas de la naturaleza. Este pacífico entorno es ideal para momentos de reflexión.;;;;;;;;;x
fp_garden_2;Scenic Pond;Bassins et fontaines;Malerischer Teich;;Estanque Pintoresco;;;;;;;;;x
fp_garden_2_desc;This scenic pond, often frequented by swans, is the centerpiece of the palace garden. A small fountain in its middle sprays water into the air while carps can be glimpsed just beneath the surface.;Ce bassin pittoresque, souvent visité par des cygnes, est la pièce maîtresse des jardins du palais. De l'eau jaillit d'une petite fontaine en son centre, tandis qu'on entr'aperçoit parfois des carpes à la surface.;Dieser malerische Teich, der häufig von Schwänen besucht wird, ist das Herzstück des Palastgartens. Ein kleiner Springbrunnen in der Mitte sprüht Wasser in die Luft, während unter der Wasseroberfläche Karpfen zu sehen sind.;;Este pintoresco estanque, a menudo frecuentado por cisnes, es el plato fuerte del jardín de palacio. Una pequeña fuente en el centro difumina agua en el aire mientras las carpas pueden atisbarse bajo la superficie.;;;;;;;;;x
fp_garden_3;Hedge Maze;Labyrinthe;Hecken-Labyrinth;;Laberinto;;;;;;;;;x
fp_garden_3_desc;No self-respecting garden is complete without one. This intricate hedge maze delights visitors, and many dignitaries have spent hours navigating its twisting paths.;Aucun jardin digne de ce nom n'est complet sans un labyrinthe de haies. La complexité de celui-ci ravit les visiteurs, et de nombreux dignitaires ont passé des heures à errer dans ses dédales.;Kein anständiger Garten ist ohne ein solches vollständig. Dieses verschlungene Hecken-Labyrinth erfreut Besucher, und viele Würdenträger haben Stunden damit verbracht, durch seine verzwickten Pfade zu wandeln. ;;No hay jardín que se precie sin uno de estos. Este intrincado laberinto hace las delicias de los visitantes, y muchos dignatarios han gastado horas recorriendo sus retorcidos senderos.;;;;;;;;;x
fp_mansion_1;Mansion;Manoir;Herrenhaus;;Mansión;;;;;;;;;x
fp_mansion_1_desc;This mansion has belonged to this family for generations, and although it may not look very impressive, it has all the comforts of home.;Cette grande demeure appartient à la famille depuis des générations. Elle n'est pas très impressionnante mais reste très confortable et cossue.;Dieses Herrenhaus ist seit Generationen im Besitz dieser Familie, und auch wenn es nicht sehr beeindruckend aussieht, besitzt es jeglichen Komfort eines Hauses. ;;Esta mansión ha pertenecido a esta familia durante generaciones, y aunque no parezca impresionante, tiene todas las comodidades del hogar.;;;;;;;;;x
fp_mansion_2;Great Mansion;Grande demeure;Großes Herrenhaus;;Gran Mansión;;;;;;;;;x
fp_mansion_2_desc;This mansion is impressive enough to command the respect of the surrounding countryside. It is clearly the home of someone important.;Cette villa est assez impressionnante pour imposer le respect au voisinage. Il est clair que c'est la demeure de quelqu'un d'importance.;Dieses Herrenhaus ist beeindruckend genug, um der umgebenden Landschaft Respekt abzuverlangen. Es ist wahrlich das Haus einer wichtigen Persönlichkeit. ;;Esta mansión es lo suficientemente impresionante para infundir respeto en las áreas circundantes. Sin lugar a dudas es el hogar de alguien importante.;;;;;;;;;x
fp_mansion_3;Palace;Palais;Palast;;Palacio;;;;;;;;;x
fp_mansion_3_desc;A palace fit for a king, its shining towers can be seen from a league away on a clear day. Though it may only consist of brick and mortar, it is the beating heart of this entire dynasty.;Un palais digne d'un roi. Par temps clair, ses tours brillantes peuvent être vues à des lieues à la ronde. Il n'est peut-être fait que de briques et de mortier, mais c'est le coeur de toute la famille.;Ein Palast eines Königs würdig, dessen strahlende Türme an einem wolkenlosen Tag aus weiter Entfernung sichtbar sind. Auch wenn er nur aus Steinen und Mörtel besteht, ist es doch das schlagende Herz einer ganzen Dynastie. ;;Un palacio digno de un rey, sus brillantes torres pueden verse a una legua en un día despejado. Aunque este hecho sólo de ladrillo y argamasa, es el corazón de esta dinastía.;;;;;;;;;x
fp_mansion_4;Grand Palace;Grand palais;Herrschaftlicher Palast;;Gran Palacio;;;;;;;;;x
fp_mansion_4_desc;Truly, the splendor of this palace would be the envy of a Roman emperor. Its great halls shine of gold and marble, and hundreds of servants scurry through them daily in service of their masters. It is nothing less than a monument to the greatness of this dynasty.;Ce somptueux palais susciterait sans aucun doute la convoitise d'un empereur romain. L'or et le marbre de ses grandes salles étincellent et les serviteurs qui s'y affairent pour servir leurs maîtres se comptent par centaines. Ce n'est rien de moins qu'un monument en l'honneur de la grandeur de cette famille.;Die Herrlichkeit dieses Palastes würde wahrlich den römischen Kaiser vor Neid zerfressen. Seine großen Hallen glänzen von Gold und Marmor und hunderte von Bediensteten eilen, im Dienste ihrer Herren, durch sie hindurch. Es ist nicht weniger als ein Monument für die Bedeutsamkeit dieser Dynastie.;;En realidad, el esplendor de este palacio sería la envidia de un emperador de Roma. Sus grandes salones inundados por el brillo del oro y el mármol, con cientos de sirvientes atravesándolos rápidamente para dar servicio a sus señores. Es un monumento a la grandeza de su dinastía.;;;;;;;;;x
fp_shipyard_1;Map Room;Maison des portulans;Kartenraum;;Sala de Mapas;;;;;;;;;x
fp_shipyard_1_desc;This room inside the palace is a cartographer's dream, and contains priceless maps of all sorts. Some are claimed to date back to the ancient Greeks, and others, whose accuracy cannot be gauged with any certainty, depict strange lands far to the east.;Cette salle à l'intérieur du palais est le rêve de tout cartographe : elle contient de précieuses cartes maritimes en tous genres. Certaines dateraient de l'époque de la Grèce antique. D'autres, dont la précision ne peut être évaluée avec certitude, dépeignent d'étranges contrées du lointain Orient.;Dieser Raum im Innern des Palastes ist der Traum eines jeden Kartographen und enthält unbezahlbare Karten aller Art. Manche sollen bis zu den alten Griechen zurückgehen, und andere, deren Genauigkeit nicht genau beurteilt werden kann, stellen fremde Länder aus dem fernen Osten dar. ;;Esta sala dentro del palacio es el sueño de un cartógrafo, contiene todo tipo de mapas. Algunos se supone que provienen de los antiguos griegos, y otros, cuya verosimilitud no puede medirse de ningún modo, describen extrañas tierras del lejano oriente.;;;;;;;;;x
fp_shipyard_2;Private Shipyard;Chantier naval;Private Werft;;Astillero Privado;;;;;;;;;x
fp_shipyard_2_desc;This large shipyard is located along the coast, but it has been reserved for exclusive use by this dynasty. Skilled shipwrights stand ready to build trade galleys.;Ce vaste chantier naval est construit sur la côte, mais il est réservé à l'usage exclusif de la famille. D'habiles charpentiers sont toujours prêts à y construire des galères marchandes.;Diese große Werft befindet sich an der Küste, doch sie ist ausschließlich für die Benutzung durch diese Dynastie reserviert. Sachkundige Schiffsbauer stehen bereit, um Handelsschiffe zu bauen. ;;Este gran astillero se sitúa en la costa, pero está reservado en exclusiva para que lo utilice esta dinastía. Habilidosos carpinteros de ribera están listos para construir galeras.;;;;;;;;;x
fp_shipyard_3;Naval Arsenal;Arsenal;Marine-Waffenlager;;Arsenal Naval;;;;;;;;;x
fp_shipyard_3_desc;This naval arsenal is located in the capital, but it is completely owned by this dynasty who has reserved all use of it for themselves. It is a huge complex that has everything needed to assemble and man an entire fleet.;Bien que situé dans la capitale, cet arsenal maritime est l'entière propriété de la famille, qui le réserve à son usage exclusif. C'est un immense complexe qui comprend tout ce qu'il faut pour assembler et affréter une flotte entière.;Dieses Marine-Waffenlager befindet sich in der Hauptstadt, ist jedoch vollständig im Besitz dieser Dynastie, die die gesamte Nutzung für sich beansprucht. Es ist ein riesiger Komplex, der alles enthält, um eine gesamte Flotte zusammenstellen und bemannen zu können. ;;Este arsenal naval está situado en la capital, pero es propiedad de esta dinastía que la reserva para su propio uso. Es un enorme complejo que tiene todo lo necesario para ensamblar y aparejar una flota entera.;;;;;;;;;x
fp_shrine_1;Secluded Shrine;Sanctuaire isolé;Abgelegener Schrein;;Santuario Recóndito;;;;;;;;;x
fp_shrine_1_desc;A secluded shrine hidden away in a quiet wing of the palace. Here men and women can spend their time in prayer and introspective soul-searching.;Un sanctuaire est niché bien à l'écart, dans une aile calme du palais. Chacun peut venir prier et faire leur examen de conscience.;Ein abgelegener Schrein, der sich in einem ruhigen Flügel des Palastes versteckt. Hier können Männer und Frauen ihre Zeit im Gebet und beschaulicher Seelensuche verbringen.;;Un recóndito santuario oculto en un ala tranquila de palacio. Aquí hombres y mujeres pueden pasar el tiempo en oración y recogimiento.;;;;;;;;;x
fp_shrine_2;Private Art Collection;Galerie d'art;Private Kunstsammlung;;Colección Privada de Arte;;;;;;;;;x
fp_shrine_2_desc;This gallery occupies a large chamber in one of the palace wings, and it contains all works of art accumulated by members of this dynasty over the years - from contemporary tapestries to ancient marble sculptures from Greece and Rome.;Cette galerie occupe une grande salle centrale de l'une des ailes du palais. Elle contient les oeuvres d'art accumulées par les membres de la famille au fil du temps, des tapisseries contemporaines aux antiques sculptures de marbre grecques et romaines.;Diese Galerie belegt eine große Kammer in einem der Palastflügel und beinhaltet alle Kunstwerke, die von Mitgliedern dieser Dynastie über Jahre angesammelt wurden - von zeitgenössischen Gobelins bis hin zu antiken Marmorskulpturen aus Griechenland und Rom.;;Esta galería ocupa una gran cámara en una de las alas de palacio, y contiene todas las obras de arte acumuladas por los miembros de la dinastía a lo largo de los años - desde tapices contemporáneos hasta antiguas esculturas de mármol de Grecia y Roma.;;;;;;;;;x
fp_shrine_3;Grand Library;Grande bibliothèque;Große Bibliothek;;Gran Biblioteca;;;;;;;;;x
fp_shrine_3_desc;A huge library containing all sorts of dusty old tomes collected and purchased from all over the known world by members of this dynasty. They are in many different languages and no person alive has read them all, but at least here they will be protected for posterity.;Cette immense bibliothèque recèle toutes sortes de vieux volumes poussiéreux amassés et achetés par les membres de la famille aux quatre coins du monde connu. De nombreuses langues sont représentées ici. Même si aucune personne vivante n'a pu réussir à lire tous les volumes, au moins ces livres seront protégés pour la postérité.;Eine riesige Bibliothek, die allerlei verstaubte, alte Wälzer enthält, die auf der ganzen Welt von Mitgliedern dieser Dynastie gesammelt und gekauft worden sind. Sie sind in vielen unterschiedlichen Sprachen geschrieben und keine lebende Person hat jemals alle gelesen, doch hier sollten sie zumindest für die Nachwelt geschützt sein.;;Una inmensa biblioteca que contiene todo tipo de polvorientos tomos recogidos y comprados por los miembros de la dinastía alrededor del mundo. Están escritos en muchas lenguas y no hay persona con vida que los haya leído todos, pero al menos estarán protegidos para la posteridad.;;;;;;;;;x
fp_stable_1;Small Stable;Écurie;Kleiner Stall;;Establo Pequeño;;;;;;;;;x
fp_stable_1_desc;This small stable just outside the palace walls reeks of hay and manure. It holds the horses of the guard, as well as those of any visitors.;Cette petite écurie accolée aux murs extérieurs du palais empeste le foin et le fumier. Elle abrite les chevaux de la garde, ainsi que ceux des visiteurs.;Dieser kleine Stall außerhalb der Palastmauern verströmt den Geruch von Heu und Dung. Hier befinden sich die Pferde der Wachen sowie die einiger Besucher.;;Este pequeño establo justo en el exterior de las murallas apesta a heno y estiércol. Alberga los caballos de la guardia, junto con los de las visitas.;;;;;;;;;x
fp_stable_2;Riding Grounds;Manège;Reitplätze;;Campos de Monta;;;;;;;;;x
fp_stable_2_desc;Several large fields just outside the palace have been graciously "donated" by local farmers and set aside as riding grounds. Here the fighting men can practise the art of war on horseback.;Plusieurs vastes champs proches du palais ont été gracieusement « offerts » par des fermiers du coin et sont réservés pour les manèges. Ici, le combattant peut exercer l'art de la guerre à cheval.;Einige große Felder außerhalb des Palastes wurden großzügig von ansässigen Bauern "gespendet" und dienen als Reitplätze. Hier üben sich die kämpfenden Männer in der Kunst des Kampfes zu Pferd.;;"Algunos campos en los aledaños del palacio han sido generosamente ""donados"" por granjeros locales y dispuestos como campos de monta. Aquí los hombres de armas pueden practicar el arte de la guerra a caballo.";;;;;;;;;x
fp_stable_3;Horse Breeder;Élevage de chevaux;Pferdezüchter;;Criador de Caballos;;;;;;;;;x
