EVTDESC_SoA_5000;I shall go on a pilgrimage to seek God's grace at one of the holy places of Christianity.;Je dois accomplir un pèlerinage et ainsi chercher la grâce de Dieu dans un des lieux saints du christianisme.;Ich begebe mich auf Pilgerfahrt, um Gottes Gnade an einer der heiligen Stätten der Christenheit zu suchen.;;Iré de peregrinación en busca de la gracia de Dios a uno de los lugares santos del cristianismo.;;;;;;;;;x
EVTDESC_SoA_5053;You have finally arrived at Rome! As you enter the Eternal City, you are struck by the many ancient buildings and monuments that you pass by. It is truly impressive, and you try to imagine how the apostles felt when they first came here on their holy mission at a time when the city's power was at its peak. Though large areas seem to be depopulated, the city still boasts an impressive population concentrated around the Tiber river. The holy sites you want to visit are primarily the basilicas of Saint Peter and Saint Paul, as well as other early churches and places connected to the martyrs. You start making your way to the center of the city, hoping that you won't get lost in traffic as the crowds start to get more dense.;Vous voici enfin à Rome ! Alors que vous entrez dans la ville éternelle, vous êtes frappé par le nombre de bâtiments et de monuments anciens que vous voyez. Cela fait sur vous une forte impression et vous tentez d'imaginer ce qu'ont pu ressentir les apôtres lorsqu'ils sont arrivés ici la première fois pour accomplir leur mission, à une époque où la cité était au faîte de sa puissance. Aujourd'hui, d'importants quartiers semblent dépeuplés mais la ville regroupe tout de même une importante population concentrée autour du Tibre. Les sites sacrés que vous voulez visiter sont notamment les basiliques Saint-Pierre et Saint-Paul, ainsi que d'autres églises primitives et des lieux associés aux martyrs. Vous vous frayez un chemin jusqu'au centre de la ville, espérant ne pas vous perdre alors que la foule autour de vous devient de plus en plus dense.;Endlich erreicht Ihr Rom! Schon kurz nachdem Ihr die Ewige Stadt betretet, seid Ihr tief beeindruckt von der Vielzahl antiker Gebäude und Denkmäler. Ihr versucht Euch auszumalen, wie diese Ehrfurcht gebietende Stadt zu ihrer Blütezeit wohl auf die Apostel gewirkt haben mag, als diese vor langer Zeit in heiliger Mission hierher kamen. Auch wenn weite Teile der Stadt nicht mehr bewohnt sind, so wohnen doch noch immer viele Menschen in der Stadt, vor allem an den Ufern des Tibers. Besonders die Basilika St. Paul und den Petersdom möchtet Ihr besichtigen, doch auch die anderen frühchristlichen Kirchen und die Plätze der Märtyrer möchtet Ihr sehen. So lasst Ihr Euch vom Strom der Menschen in Richtung des Zentrums tragen und hofft, dass Ihr den richtigen Weg finden werdet.;;¡Por fin habéis llegado a Roma! Al entrar en la Ciudad Eterna, descubrís los muchos edificios y monumentos antiguos que alberga. Es realmente impresionante. Tratáis de imaginar cómo se sintieron los apóstoles cuando llegaron por primera vez en su misión sagrada en la época de máximo apogeo del poder de la ciudad. Aunque amplias zonas parecen despobladas, la ciudad sigue alardeando de una población impresionante que se concentra alrededor del río Tíber. Los lugares sagrados que queréis visitar son, principalmente, las basílicas de San Pedro y San Pablo, así como otras iglesias antiguas y lugares relacionados con los mártires. Iniciáis vuestro camino hacia el centro de la ciudad, esperando no perderos entre el tráfico, pues cada vez hay más gente.;;;;;;;;;x
EVTDESC_SoA_5054;You have finally arrived at Santiago, the oldest major pilgrimage site in the West. It is an inland town close to the Atlantic Ocean, with origins going back at least to the Roman Empire. The fabled Way of Saint James is a long road to travel, and you have passed through many towns and villages on your way here.\n\nThe legend holds that as Saint James' remains were brought here by ship from Jerusalem, they were lost at sea due to a storm. But soon after they were miraculously washed ashore, covered in scallops. Because of this, scallop shells have become a popular souvenir among pilgrims.\n\nYour mind dwells on the legends of this holy place, as you make your way through the crowds towards the center of town.;Vous voici enfin à Saint-Jacques-de-Compostelle, le plus ancien lieu de pèlerinage de l'ouest. La ville est proche de l'océan Atlantique et son origine remonte au moins à l'Empire romain. La célèbre route de saint Jacques est longue et vous avez traversé de nombreuses villes et villages avant d'arriver ici.\n\nSelon la légende, lorsque les restes de saint Jacques ont été apportés ici par bateau depuis Jérusalem, une tempête éclata et on les perdit en mer. Mais ils furent bientôt retrouvés sur le rivage, couverts de coquilles. C'est pour cette raison que les coquilles St-Jacques sont devenus très populaires auprès des pèlerins.\n\nVous songez aux légendes qui concernent ce lieu saint alors que vous vous frayez un chemin vers le centre de la ville.;Endlich erreicht Ihr Santiago, die älteste Pilgerstätte im Westen. Die Stadt liegt landeinwärts, in der Nähe des Atlantiks, und hat römische Wurzeln. Dem berühmten Jakobsweg folgend, habt Ihr viele Städte und Dörfer am Wegesrand hinter Euch gelassen.\nDer Legende nach war das Schiff, das die Gebeine des heiligen Jakobus hierher bringen sollte, in einem Sturm gesunken, doch wie durch ein Wunder fand man seine sterblichen Überreste an Land gespült wieder, nur mehr mit Muscheln bedeckt. So kam es, dass diese Jakobsmuscheln bei den Pilgern zu einem besonders beliebten Souvenir avancierten.\nEure Gedanken kreisen um diese und andere Legenden, als Ihr Euch im Strom der Menschen dem Zentrum der Stadt nähert.;;Por fin habéis llegado a Santiago, el escenario de peregrinación de mayor relevancia y antigüedad de Occidente. Es una población de interior cercana al océano Atlántico, cuyos orígenes se remontan al menos al Imperio romano. El legendario Camino de Santiago es un viaje largo y habéis pasado por muchas ciudades y pueblos hasta llegar aquí.\n\nLa leyenda cuenta que, durante el traslado en barco desde Jerusalén de los restos de Santiago, éstos se perdieron en el mar durante una tormenta. Pero pronto llegarían milagrosamente a la orilla, cubiertos de conchas. Es por este motivo que las vieiras se han convertido en un souvenir popular entre los peregrinos.\n\nNo dejáis de pensar en las leyendas que alimentan este lugar sagrado, mientras os abrís paso entre la muchedumbre hasta el centro de la ciudad.;;;;;;;;;x
EVTDESC_SoA_5056;As you walk around on this holy ground, you ponder the secrets and the essence of God. The teachings of the holy church have never felt more relevant to you than now. Imagine the knowledge contained in the scriptures stored here!;Alors que vous marchez sur cette terre sacrée, vous méditez sur les secrets et sur l'essence de Dieu. Les enseignements de la sainte Église ne vous ont jamais parus aussi pertinents. Imaginez les connaissances renfermées dans les écritures qui se trouvent ici !;Auf Euren Spaziergängen an diesem heiligen Ort überdenkt Ihr die Geheimnisse und das Wesen Gottes. Nie schienen Euch die Lehren der Kirche wichtiger als jetzt. Welch großartigen Geheimnisse die Schriften, die man hier aufbewahrt, wohl bergen!;;Al deambular por esta tierra sagrada, reflexionáis acerca de los secretos y la esencia de Dios. Las enseñanzas de la santa iglesia nunca habían sido tan trascendentes para vos como ahora. ¡Imaginad el conocimiento que contienen las escrituras que guardan!;;;;;;;;;x
EVTDESC_SoA_5057;The saints, this holy ground, how it all moves my soul! I realize now that all my life up to this point has only been a preparation for this journey. How wondrous that the light of the Lord truly shines in me, a poor sinner. From now on I shall always do His work.;Les saints, la terre sacrée... mon âme en est toute émue ! Je comprends maintenant que toute ma vie jusqu'à cet instant n'a été qu'une préparation pour accomplir ce voyage. La lumière de Dieu qui brille en moi, pauvre pêcheur, est vraiment merveilleuse. Désormais, j'accomplirai toujours Son oeuvre.;Die Heiligen und dieser geheiligte Ort berühren meine Seele. Nun verstehe ich, dass mein bisheriges Leben nur der Vorbereitung auf diese Reise gedient hat. Wie wunderbar, dass mir, einem einfachen Sünder, das Licht Gottes erscheint. Vom heutigen Tage an werde ich sein Werkzeug sein.;;Los santos, esta tierra sagrada, ¡la emoción me embarga! Ahora comprendo que toda mi vida ha sido sólo una preparación para este viaje. No hay nada más maravilloso que la luz del Señor brille realmente en mí, un pobre pecador. Desde ahora, siempre llevaré a cabo SU obra.;;;;;;;;;x
EVTDESC_SoA_5058;Traveling all this way to see the holy places, you had hoped for more than this. It's just lots of people, some churches and a few bones that really look quite suspicious. Before coming, you had read the exalted stories of other pilgrims, but this just isn't like they described it.;Après ce long voyage vers les lieux sacrés, vous restez sur votre faim. Il y a beaucoup de monde, quelques églises et des ossements ici et là qui ne vous inspirent pas confiance. Avant votre arrivée, vous avez entendu les histoires exaltées racontées par les autres pèlerins, mais rien ici ne correspond aux descriptions qu'ils en ont faites.;Nach den Strapazen Eurer Reise hättet Ihr Euch mehr als dies versprochen. Nichts als Massen von Menschen, ein paar Kirchen und einige Knochen, die Euer Misstrauen wecken. Zuhause hörtet Ihr die begeisterten Berichte der Pilger, doch nun fällt es Euch schwer, diese Begeisterung in Euch zu entdecken.;;A lo largo de todo el camino recorrido para visitar los lugares sagrados, esperabais mucho más. Sólo son montones de gente, algunas iglesias y unos huesos que resultan de lo más sospechoso. Antes de llegar, habíais leído historias glorificadas de otros peregrinos, pero no es como lo habían descrito.;;;;;;;;;x
EVTDESC_SoA_5059;As you approach the holy temple, you overhear a theological discussion between several priests. You stop and eagerly engage them in conversation, expanding upon several of your favorite topics. They are very impressed by your knowledge and invite you to hold a lecture for a group of assembled religious scholars.;Alors que vous vous approchez du temple sacré, vous entendez plusieurs prêtres en plein débat théologique. Vous vous arrêtez, désireux d'engager la conversation et de développer quelques-uns de vos sujets de prédilection. Ils sont très impressionnés par votre érudition et vous invitent à tenir une conférence devant une assemblée d'étudiants en religion.;Als Ihr Euch dem Tempel nähert, hört Ihr, wie einige Priester einen theologischen Sachverhalt erörtern. Ihr haltet inne, um an der Unterhaltung teilzunehmen, wobei Ihr auf einige Eurer Lieblingsthemen zu sprechen kommt. Eure Zuhörer sind beeindruckt von Euren Kenntnissen und laden Euch zu einem Vortrag vor einer Gruppe Gelehrter ein.;;Al acercaros al templo sagrado, oís una discusión teológica entre varios sacerdotes. Os detenéis y tomáis parte en la conversación con entusiasmo, desarrollando varios de vuestros temas favoritos. Quedan impresionados ante vuestros conocimientos y os invitan a dar una charla a un grupo de estudiosos religiosos.;;;;;;;;;x
EVTDESC_SoA_5060;The bustling mass of pilgrims is impressive, as are the many languages, colors and ways of dress present. People come here from west, east, north and south. You are standing at a place where the roads meet, and that is where people and ideas meet.;La masse grouillante des pèlerins vous impressionne par la grande variété des langues parlées, des couleurs et des vêtements. Les gens viennent ici depuis l'ouest, l'est, le nord et le sud. Vous êtes au croisement des routes, là où les idées et les gens se rencontrent.;Die wogende Menge der Pilger ist wahrhaft beeindruckend, wie auch die verschiedenen Sprachen, Farben und Gewänder. Die Menschen strömen aus Ost und West, Nord und Süd hierher. Ihr befindet Euch an einem Punkt, an dem ihre Wege sich kreuzen, an dem Menschen und ihre Ideen aufeinander treffen.;;La animada masa de peregrinos es impresionante, pues hay muchas lenguas, colores y vestimentas. La gente viene del oeste, del este, del norte y del sur. Os encontráis en una encrucijada, que es donde se reúnen las personas y las ideas.;;;;;;;;;x
EVTDESC_SoA_5061;The stories of other pilgrims all spoke of how impressive this place is. Now that you can see it with your own eyes, you can only join in their praise. You are glad that you came here, to one of Christianity's holiest places.;Les histoires que racontaient les pèlerins décrivaient un lieu impressionnant. À présent que vous pouvez le voir de vos propres yeux, vous ne pouvez que constater qu'ils avaient raison. Être ici, dans l'un des lieux les plus sacrés du christianisme, vous remplit de joie.;In den Geschichten der Pilger wurde immer wieder betont, wie interessant dieser Ort sei. Nun, da Ihr hier seid, könnt Ihr nur einstimmen in ihr Lob und seid froh, dass Ihr die Reise an einen der heiligsten Orte des Christentums unternommen habt.;;Las historias de otros peregrinos narran todas ellas lo impresionante que resulta este lugar. Ahora que lo veis con vuestros propios ojos, no podéis más que compartir sus elogios. Os alegráis de haber venido hasta aquí, uno de los lugares sagrados del Cristianismo.;;;;;;;;;x
EVTDESC_SoA_5062;So far from home, all alone, and so many lovely people in the same situation as me. It's a great opportunity for some fun, isn't it?;Si loin de chez moi, tout seul, entouré de tant d'aimables personnes dans la même situation que moi... C'est l'occasion rêvée pour prendre un peu de bon temps !;So weit von zu Hause, und ganz allein... und so viele hübsche Menschen in einer ganz ähnlichen Situation. Das ist doch eine ausgezeichnete Möglichkeit, etwas Spaß zu haben, oder nicht?;;Tan lejos de casa, tan solo y tanta gente encantadora en la misma situación que yo. Es una magnífica oportunidad para divertirse, ¿no?;;;;;;;;;x
EVTDESC_SoA_5063;This holy place is bustling with pilgrims from all over the world, and a myriad of accents and languages mingle in the parks and plazas. In this great cultural melting pot, should there not also be room for me to express who I really am?;Ce lieu saint grouille de pèlerins venus des quatre coins du monde, et une myriade d'accents et de langues se mêlent dans les parcs et sur les places. Dans ce gigantesque creuset multiculturel, y aurait-il un moyen pour moi d'exprimer qui je suis vraiment ?;Pilger aus aller Welt haben sich an diesem heiligen Ort versammelt und in Parks und Plazas vermischen sich Myriaden verschiedener Sprachen und Dialekte. Werde ich hier, in diesem Schmelztiegel der Kulturen, die Gelegenheit haben, zu sein, wer ich wirklich bin?;;Este lugar sagrado rebosa de peregrinos de todo le mundo y una miríada de acentos y lenguas se mezclan en parques y plazas. Es un magnífico crisol cultural, ¿no habrá sitio para que exprese quién soy realmente?;;;;;;;;;x
EVTDESC_SoA_5064;Near the holy sites, you hear rumors of a group of monks with strange cures for diseases. Eagerly, you seek them out, hoping against hope that they may aid you. Once in their care you are fed strange potions, foods and herbs. You are unconscious or delirious during most of the process and remember few details, but at last you wake up to find that you have been miraculously healed of your ills.;Près des sites sacrés, vous entendez des rumeurs parlant d'un groupe de moines possédant d'étranges remèdes à diverses maladies. Désirant en savoir plus, vous partez à leur recherche avec l'espoir qu'ils puissent vous venir en aide. Ils prennent soin de vous et vous administrent d'étranges potions, nourritures et herbes médicinales. Vous perdez conscience ou délirez la plupart du temps que dure le traitement et n'avez que des bribes de souvenirs. Mais lorsque vous vous réveillez, vous constatez que vous êtes guéri[Root.Get_E] de tous vos maux.;In der Nähe einer Pilgerstätte hört Ihr, wie von einer Gruppe Mönche über ungewöhnliche Heilmethoden für eine Seuche gesprochen wird. In der verzweifelten Hoffnung, von ihnen Rat zu erhalten, bittet Ihr sie um Hilfe. Später vermögt Ihr nicht zu sagen, welche Tränke, Kräuter und Speisen sie Euch eingeflößt haben, denn die meiste Zeit seid Ihr fiebrig und kaum bei Bewusstsein. Doch als Ihr schließlich erwacht, stellt Ihr fest, dass Ihr auf wundersame Weise von Eurem Gebrechen genesen seid.;;Cerca de los santos lugares, se rumorea que existe un grupo de monjes con extrañas curas para las enfermedades. Los buscáis con entusiasmo, esperando en vano que puedan ayudaros. Una vez en sus manos, os suministran pociones, comida y hierbas extrañas. Estáis inconsciente o delirante durante la mayor parte del proceso y apenas recordáis unos detalles, pero por fin despertáis para descubrir que todas vuestras enfermedades han desaparecido milagrosamente.;;;;;;;;;x
EVTDESC_SoA_5065;All these magnificent temples built in your honor! Oh the glory! And all these pilgrims - finally you may revel in their adulation. Perhaps you should reveal yourself to the masses who have come to worship you?;Tous ces temples magnifiques construits en votre honneur ! Quelle gloire ! Et tous ces pèlerins... Vous pouvez enfin savourer ces gens qui vous adulent. Peut-être devriez-vous vous adresser aux masses qui vous vénèrent ?;Welche Ehre, all die wunderbaren Tempel für Euch errichtet zu sehen! Und all die Pilger, deren Bewunderung Ihr Euch nun erfreuen dürft! Vielleicht solltet Ihr Euch dem Volk, das Euch huldigen möchte, zeigen?;;¡Todos estos espléndidos templos levantados en vuestro honor! ¡Gloria a Dios! Y todos estos peregrinos. Por fin gozáis de su adulación. Quizá debáis mostraros a las masas que han venido a adoraros.;;;;;;;;;x
EVTDESC_SoA_5066;You have come to visit the holy sites and show your devotion. But surely, there is no harm in having a little fun first?;Vous êtes ici pour visiter les sites sacrés et témoigner votre dévotion. Mais pourquoi ne pas se détendre un peu au préalable ?;Ihr seid hier, um den heiligen Stätten zu huldigen. Doch zuvor ein wenig Spaß, wer wollte Euch dies missgönnen?;;Habéis venido a visitar los santos lugares y mostrar vuestra devoción. Pero no puede ser malo divertirse un poco antes, ¿no?;;;;;;;;;x
EVTDESC_SoA_5067;Jerusalem, what a fascinating place! A holy place for three great religions, and the city and surrounding area are full of monuments giving tribute to God. Somehow when you look closer, they don't seem all that different. It rather makes you think, doesn't it?;Jérusalem, quel endroit fascinant ! Un lieu saint pour les trois grandes religions, la ville et les campagnes alentours regorgeant de monuments à la gloire de Dieu... Mais lorsqu'on y regarde de plus près, les trois religions ne sont pas si différentes. Il y a ici matière à réflexion.;Jerusalem, welch faszinierender Ort! Eine heilige Stätte für drei Religionen, angefüllt mit einer Vielzahl von Denkmälern in Stadt und Umland. Beim Besuch der heiligen Stätten fällt Euch auf, dass die Unterschiede gar nicht so groß sind. Ein merkwürdiger Umstand, findet Ihr nicht?;;¡Jerusalén, es fascinante! Un lugar sagrado para tres grandes religiones y la ciudad y sus alrededores están llenos de monumentos para rendir homenaje a Dios. Por alguna razón, al mirar de cerca no parecen tan distintos. Da qué pensar, ¿no es así?;;;;;;;;;x
EVTDESC_SoA_5080;Blasphemous fools! Do they not know their Lord? How dare they throw you out of your own temple?;Blasphème ! Ne savent-ils donc pas qui est le Seigneur ? Comment osent-ils l'expulser de son temple ?;Blasphemische Dummköpfe! Wissen Sie nicht, wer Ihr Herr ist? Wie können sie es wagen, Euch aus dem Tempel zu werfen?;;¡Tontos blasfemos! ¿No conocen a su Dios? ¿Cómo se atreven a echaros de vuestro propio templo?;;;;;;;;;x
EVTDESC_SoA_5087;You have made friends with [target_friend.GetTitledName].;Vous vous liez d'amitié avec [target_friend.Get_le_TitledName].;Sie haben also mit [target_friend.GetTitledName] Freundschaft geschlossen.;;Has entablado amistad con [target_friend.GetTitledName].;;;;;;;;;x
EVTDESC_SoA_5091;You have finally returned from your pilgrimage. It was a rewarding and interesting journey, and you'd do it all again if you could. Still, it's good to be back home.;Vous êtes enfin de retour de votre pèlerinage. C'était un voyage gratifiant et intéressant, et vous en feriez volontiers un autre si vous en aviez l'opportunité. Mais rentrer chez soi, cela a du bon !;Endlich seid Ihr von Eurer Pilgerfahrt heimgekehrt. Es war ein interessantes und bereicherndes Erlebnis, das Ihr jederzeit wiederholen würdet. Nichtsdestotrotz ist es gut, wieder zu Hause zu sein.;;Por fin habéis vuelto de vuestro peregrinaje. Ha sido un viaje gratificante e interesante y volveríais a hacerlo si pudierais. No obstante, está bien volver a casa.;;;;;;;;;x
EVTDESC_SoA_5092;You have finally returned from your pilgrimage. It didn't turn out quite as expected, and perhaps you shouldn't have gone there in the first place. But there's no changing it now, at least you're home again and can start forgetting about it.;Vous êtes enfin de retour de votre pèlerinage. Ce n'était pas exactement ce que vous en attendiez, et vous regrettez un peu d'avoir fait le déplacement. Mais ce qui est fait est fait, vous voilà de nouveau chez vous et vous pouvez maintenant penser à autre chose.;Endlich seid Ihr von Eurer Pilgerfahrt heimgekehrt. Leider haben sich Eure Erwartungen nicht erfüllt und Ihr fragt Euch, ob es ein Fehler war, diese Reise zu unternehmen. Doch nun seid Ihr wieder zu Hause und werdet dieses enttäuschende Erlebnis hoffentlich bald vergessen haben.;;Por fin habéis vuelto de vuestro peregrinaje. No ha resultado ser como esperabais y, quizá, no debierais haber ido allí en primer lugar. Pero ya no se puede hacer nada, al menos habéis vuelto a casa y podéis empezar a olvidar.;;;;;;;;;x
EVTDESC_SoA_5093;You have finally returned from your pilgrimage. Though the insolent rats did not recognize you or pay you proper homage, it was still an enlightening experience. Now there is plenty of time to prepare the day of reckoning.;Vous êtes enfin de retour de votre pèlerinage. Ces rats insolents ne vous ont pas reconnu, ils ne vous ont pas rendu hommage, mais ce n'en fut pas moins une expérience enrichissante. Vous avez désormais amplement le temps de vous préparer pour le jour du Jugement dernier.;Endlich seid Ihr von Eurer Pilgerfahrt heimgekehrt. Obwohl dieses unverschämte Gesindel Euch nicht mit der nötigen Ehrerbietung behandelt hat, war es eine erhellende Erfahrung. Nun habt Ihr viel Zeit, um Euch auf den Tag der Abrechnung vorzubereiten.;;Por fin habéis vuelto de vuestro peregrinaje. Aunque las ratas insolentes no os reconocieron ni os rindieron homenaje como merecéis, ha sido una experiencia instructiva. Ahora hay mucho tiempo para preparar la venganza.;;;;;;;;;x
EVTDESC_SoA_5094;My things are packed, everything is in order. Soon I will stand at the Bosphorus and see the marvels of Constantinople.;Mes bagages sont prêts, tout est en ordre. Je verrai bientôt le Bosphore et les merveilles de Constantinople.;Meine Sachen sind gepackt und alles ist bereit. Bald erreiche ich den Bosporus und erblicke die Wunder Konstantinopels.;;El equipaje está listo, todo está bajo control. Pronto estaré ante el Bósforo y veré las maravillas de Constantinopla.;;;;;;;;;x
EVTDESC_SoA_5095;My things are packed, everything is in order. Soon I will see old Aksum, the holiest place in Christian Africa.;Mes bagages sont prêts, tout est en ordre. Je verrai bientôt la vieille cité d'Aksoum, le lieu le plus sacré de l'Afrique chrétienne.;Meine Sachen sind gepackt und alles ist bereit. Bald sehe ich das alte Aksum, die heiligste christliche Stätte in Afrika.;;El equipaje está listo, todo está bajo control. Pronto veré la antigua Axum, el lugar más sagrado del África cristiana.;;;;;;;;;x
EVTDESC_SoA_5096;My things are packed, everything is in order. Ancient Antioch awaits.;Mes bagages sont prêts, tout est en ordre. La vieille cité d'Antioche m'attend.;Meine Sachen sind gepackt und alles ist bereit. Das alte Antiochia wartet.;;El equipaje está listo, todo está bajo control. La antigua Antioquía me aguarda.;;;;;;;;;x
EVTDESC_SoA_5097;You have finally arrived at Constantinople! The city is enormous, dwarfing all other cities that you've seen. There is a bustle of people, commerce, sounds and smells that overpower your senses and leave you quite dizzy. As you make your way through the streets in order to find a place to stay, you are impressed by scale and number of the ancient churches and monuments that appear everywhere along your path.\n\nYou press on through the crowds, eager to finally look upon such fabled churches as the Hagia Sofia and the Saint George.;Vous voici enfin à Constantinople ! La ville est gigantesque et dépasse de loin toutes celles que vous connaissez. C'est une fourmilière de gens, d'échoppes, de sons et d'odeurs qui sature vos sens et vous fait tourner la tête. Alors que vous vous frayez un chemin dans les rues pour trouver un endroit où dormir, vous constatez avec émerveillement la taille et le nombre de vieilles églises et de vieux monuments qui surgissent partout autour de vous.\n\nVous traversez la foule à grands pas, impatient de poser enfin les yeux sur ces églises légendaires que sont Sainte-Sophie et Saint-Georges.;Endlich erreicht Ihr Konstantinopel! Die Stadt ist riesig. So riesig, dass all die Städte, die Ihr bislang besucht habt, klein wie Dörfer erscheinen. Die Massen der Menschen, das Stimmengewirr und die vielen fremdartigen Gerüche beschäftigen Eure Sinne so sehr, dass Euch beinahe schwindlig wird. Die Vielzahl der Denkmäler und Kirchen sowie die schiere Größe der Bauwerke beeindrucken Euch zutiefst.\nZielstrebig sucht Ihr einen Weg durch das Gedränge, beseelt von dem Wunsch, zur Hagia Sofia und zur Georgskathedrale zu gelangen.;;¡Por fin habéis llegado a Constantinopla! La ciudad es enorme, tanto que el resto de ciudades que habéis visto parecen minúsculas. El bullicio de gente, comercio, sonidos y olores resulta abrumador para vuestros sentidos y bastante aturdidor. Mientras recorréis las calles en busca de un lugar donde hospedaros, os quedáis admirado ante el tamaño y la cantidad de iglesias y monumentos antiguos con los que tropezáis en vuestro camino.\n\nSeguís adelante entre el gentío, deseoso de admirar por fin las legendarias iglesias de Santa Sofía y San Jorge.;;;;;;;;;x
EVTDESC_SoA_5098;You have finally arrived at Aksum! This is one of the oldest centers of the Christian faith, and it is here that the Ark of the Covenant is kept, guarded by monks inside the Church of Our Lady Mary of Zion. Though no longer the great city it once was, Aksum is still an important center of pilgrimage, and you can see many travellers in the streets.;Vous voici enfin à Aksoum ! Il s'agit là d'un des plus anciens centres de la foi chrétienne, et c'est ici que se trouve l'Arche d'alliance, sous la protection de moines à l'intérieur de l'église Sainte-Marie de Sion. Même si elle ne possède plus sa gloire d'antan, Axoum demeure un important lieu de pèlerinage et vous pouvez voir de nombreux voyageurs dans les rues.;Endlich erreicht Ihr Aksum! Hier, in diesem historischen Zentrum des Christentums wird die Bundeslade verwahrt, bewacht und gehütet von den Mönchen der Kirche St. Maria von Zion. Auch wenn die Stadt nicht mehr die Größe früherer Tage hat, ist sie doch ein wichtiges Ziel für Pilgerfahrten und viele Reisende sind auf den Straßen zu sehen.;;¡Por fin habéis llegado a Axum! He aquí uno de los centros más antiguos de la fe cristiana. Alberga el Arca de la Alianza, protegida por monjes dentro de la Iglesia de Nuestra Señora de Sión. Aunque ya no resplandece como la ciudad que fue, Axum sigue siendo un importante centro de peregrinaje y pueden verse muchos viajeros por sus calles.;;;;;;;;;x
EVTDESC_SoA_5099;You have finally arrived at Antioch! This is the oldest city of Christianity, the first place where people actually began to call themselves 'Christian'. Saint Peter and Saint Paul both worked here, as did Saint Ignatius. It is a place where early Christendom was formed and defined, and it later expanded from here, westwards, to Rome and beyond.\n\nAs your feet tread the ancient streets of Antioch, you can feel the history and tradition in the air around you.;Vous voici enfin à Antioche ! Devant vous se trouve la plus ancienne ville chrétienne, la première où les habitants portèrent pour la première fois le nom de « chrétiens ». Saint Pierre et saint Paul ont tous les deux travaillé ici, de même que saint Ignace. C'est ici que le christianisme des premiers temps fut fondé et défini, et c'est d'ici qu'il se répandit, vers l'ouest, vers Rome et au-delà.\n\nAlors que vous marchez dans les rues antiques d'Antioche, vous ressentez l'histoire et la tradition qui vous entourent.;Endlich erreicht Ihr Antiochia! Hier, in dieser ältesten Stadt des Christentums, nannten sich die Gläubigen zum ersten Mal "Christen". Hier wirkten Petrus und Paulus, genauso wie der heilige Ignatius. In dieser Stadt erlebte das Christentum seine Prägung und ausgehend von hier breitete es sich nach Westen hin aus, nach Rom und über die Grenzen Roms hinaus.\nBeinahe körperlich könnt Ihr es spüren, wie Geschichte und Tradition die Straßen erfüllen.;;"¡Por fin habéis llegado a Antioquía! Se trata de la ciudad más antigua del Cristianismo, el primer lugar donde la gente empezó a llamarse ""cristiana"". San Pedro y San Pablo trabajaron aquí, al igual que San Ignacio. Aquí se formó y definió la primera cristiandad y, desde aquí, se expandió posteriormente hacia Occidente, a Roma y más allá.n\nMientras vuestros pies pisan las antiguas calles de Antioquía, sentís la historia y la tradición que se respira en el aire.";;;;;;;;;x
EVTNAME_SoA_5028;Deep in the night...;Dans la nuit noire...;Tief in der Nacht...;;En lo más profundo de la noche...;;;;;;;;;x
EVTNAME_SoA_5033;The flood;L'inondation;Das Hochwasser;;La inundación;;;;;;;;;x
EVTNAME_SoA_5045;Riders approach...;Des cavaliers approchent...;Reiter nähern sich...;;Se acercan jinetes...;;;;;;;;;x
EVTNAME_SoA_5050;Canterbury;Cantorbéry;Canterbury;;Canterbury;;;;;;;;;x
EVTNAME_SoA_5051;Jerusalem;Jérusalem;Jerusalem;;Jerusalén;;;;;;;;;x
EVTNAME_SoA_5052;Köln;Cologne;Köln;;Colonia;;;;;;;;;x
EVTNAME_SoA_5053;Rome;Rome;Rom;;Roma;;;;;;;;;x
EVTNAME_SoA_5054;Santiago;Saint-Jacques-de-Compostelle;Santiago;;Santiago;;;;;;;;;x
EVTNAME_SoA_5064;The healers;Les guérisseurs;Die Heiler;;Los curanderos;;;;;;;;;x
EVTNAME_SoA_5097;Constantinople;Constantinople;Konstantinopel;;Constantinopla;;;;;;;;;x
EVTNAME_SoA_5098;Aksum;Aksoum;Aksum;;Axum;;;;;;;;;x
EVTNAME_SoA_5099;Antioch;Antioche;Antiochia;;Antioquía;;;;;;;;;x

EVTOPTA_SoA_5000;I will start making travel plans.;Je commence à préparer mon voyage.;Ich beginne die Planung meiner Reise.;;Comenzaré los planes del viaje.;;;;;;;;;x
EVTOPTA_SoA_5011;I will go to Jerusalem and see the wonders of the Holy Land.;J'irai à Jérusalem voir les merveilles de Terre sainte.;Ich fahre nach Jerusalem und will die Wunder des Heiligen Landes sehen.;;Iré a Jerusalén a ver las maravillas de la Tierra Santa.;;;;;;;;;x
EVTOPTA_SoA_5016;I will start making travel plans.;Je commence à préparer mon voyage.;Ich bereite jetzt meine Reisepläne vor.;;Comenzaré los planes del viaje.;;;;;;;;;x
EVTOPTA_SoA_5017;I will start making travel plans.;Je commence à préparer mon voyage.;Ich bereite jetzt meine Reisepläne vor.;;Comenzaré los planes del viaje.;;;;;;;;;x
EVTOPTA_SoA_5018;I shall visit a holy site in the West.;Je visiterai un lieu saint à l'ouest.;Ich besuche eine heilige Stätte im Westen.;;Visitaré un lugar sagrado de Occidente.;;;;;;;;;x
