EVTTITLEHF25800;The Children's Crusade;La croisade des enfants;Der Kinderkreuzzug;;La Cruzada de los niños;;;;;;;;x
EVTDESCAHF25823;Facing against the concrete threat of a heathen army, the Children's Crusade shattered in a thousand crying pieces.\nWithout proper leadership, equipment, or trained soldiers, [From.GetFirstName] was unable to stand against [From.GetHerHis] foes. Despite being able to lead [From.GetHerHis] followers all the way to the Holy Land, [From.GetHerHis] dreams of a Christian Jerusalem will go unfulfilled.\nAbandoned by most of [From.GetHerHis] supporters, the [From.GetBoyGirl] has been sold into slavery, alongside many other children captured by the infidels after their defeat.;Face à une armée infidèle, la Croisade des enfants a fini en larmes\n\nSans commandement, ni équipement, ni soldats entraînés, [From.GetFirstName] a été incapable de lutter contre ses ennemis. Bien qu'[From.GetIlElle] ait pu mener ses disciples jusqu'en Terre sainte, ses rêves d'une Jérusalem chrétienne ne seront pas réalisés.\nAbandonné[From.Get_E] par la plupart de ses partisans, [From.GetLeLa] [From.GetBoyGirl] a été vendu[From.Get_E] en esclavage, aux côtés de nombreux autres enfants capturés par les infidèles.;Im Angesicht der konkreten Bedrohung durch die Armee der Ungläubigen zerbrach der Kinderkreuzzug in tausend weinerliche Stücke.\nOhne angemessene Führung, Ausrüstung oder ausgebildete Soldaten konnte [From.GetFirstName] nicht gegen [From.GetHerHis]e Feinde bestehen. Obwohl [From.GetSheHe] [From.GetHerHis] Anhänger bis ins Heilige Land zu führen vermochte, bleiben [From.GetHerHis]e Träume von einem christlichen Jerusalem unerfüllt.\nVom Großteil [From.GetHerHis]er Unterstützer aufgegeben, wurde [From.Getderdas] [From.GetBoyGirl] zusammen mit vielen anderen Kindern, die nach ihrer Niederlage von den Ungläubigen gefangen genommen wurden, in die Sklaverei verkauft.;;Enfrentados a la amenaza concreta de un ejército pagano, la Cruzada de los niños se rompió en un millar de trozos llorosos.\nSin un liderazgo adecuado, equipo o soldados entrenados, [From.GetFirstName] no pudo resistir contra el enemigo. A pesar de conseguir guiar a sus seguidores hasta Tierra Santa, su sueño de una Jerusalén cristiana no se hará realidad.\nAbandonad[From.GetOA] por la mayoría de sus seguidores, [From.GetElLa] [From.GetBoyGirl] fue vendido como esclav[From.GetOA], junto a muchos otros niños capturados por los infieles tras la derrota.;;;;;;;;x
EVTDESCAHF25824;An insane child, clearly under the influence of [Root.Religion.GetRandomEvilGodName], has managed to reach Jerusalem at the head of a large army of beggars and youths, claiming that it is [From.GetHerHis] sacred duty to retake the Holy Land in the name of [From.GetHerHis] god.\nWhile the number of gullible fools who have fallen for this [From.GetBoyGirl]'s words is alarming, the idea that a mob of starving peasants will be capable of defeating a mighty [Root.Religion.GetName] army in open battle is laughable.;Un[From.Get_E] enfant f[From.GetOuOlle], clairement sous l'influence [Root.GetEvilGodDuDelaDes], a réussi à atteindre Jérusalem à la tête d'une grande armée d'indigents et de jeunes gens, affirmant qu'[From.GetIlElle] est de son devoir sacré de reprendre la Terre sainte au nom de son dieu.\nBien que le nombre d'imbéciles crédules qui ont suivi c[From.GetEEtte] [From.GetBoyGirl] est alarmant, l'idée qu'une foule de paysans affamés soit capable de vaincre une puissante armée [Root.Religion.GetName] est risible.;Ein wahnsinniges Kind, das deutlich unter dem Einfluss von [Root.Religion.GetRandomEvilGodName] steht, hat es geschafft Jerusalem mit einer Armee von Bettlern und Kindern zu erreichen und behauptet, dass es [From.GetHerHis]e heilige Pflicht sei das Heilige Land im Namen [From.GetHerHis]es Gottes zurückzuerobern.\nObwohl die Anzahl der leichtgläubigen Narren, die auf die Worte eines [From.GetBoyGirl] hereingefallen sind, alarmierend ist, ist die Vorstellung, dass eine Horde hungernder Bauern in der Lage sein wird eine mächtige [Root.Religion.GetName]e Armee im offenen Kampf zu besiegen, lachhaft.;;Un[From.GetXA] niñ[From.GetOA] demente, bajo la obvia influencia de [Root.Religion.GetRandomEvilGodName] ha conseguido llegar a Jerusalén a la cabeza de un gran ejército de pedigüeños y jóvenes, afirmando que su deber sagrado es reconquistar Tierra Santa en nombre de su Dios.\nAunque el número de idiotas crédulos que se han creído las palabras [From.GetDelDela] [From.GetBoyGirl], la idea que una turba de campesinos hambrientos pueda derrotar a un poderoso ejército [Root.Religion.GetName] en combate abierto es risible.;;;;;;;;x
EVTDESCAHF25825;Facing against the concrete threat of a heathen army, the Children's Crusade shattered in a thousand crying pieces.\nWithout proper leadership, equipment, or trained soldiers, [From.GetFirstName] was unable to stand against [From.GetHerHis] foes. Despite being able to lead [From.GetHerHis] followers all the way to the Holy Land, [From.GetHerHis] dreams of a Christian Jerusalem will go unfulfilled.\nThe heathens slaughtered all of the adults who were foolish enough to follow [From.GetHerHim] and captured the children in the army, selling all of them as slaves.;Face à une armée infidèle, la Croisade des enfants a fini en larmes\n\nSans commandement, ni équipement, ni soldats entraînés, [From.GetFirstName] a été incapable de lutter contre ses ennemis. Bien qu'[From.GetIlElle] ait pu mener ses disciples jusqu'en Terre sainte, ses rêves d'une Jérusalem chrétienne ne seront pas réalisés.\nLes infidèles ont massacré tous les adultes qui étaient assez stupides pour [From.GetLeLa] suivre et capturé les enfants de l'armée afin de les vendre comme esclaves.;Im Angesicht der konkreten Bedrohung durch die Armee der Ungläubigen zerbrach der Kinderkreuzzug in tausend weinerliche Stücke.\nOhne angemessene Führung, Ausrüstung oder ausgebildete Soldaten konnte [From.GetFirstName] nicht gegen [From.GetHerHis]e Feinde bestehen. Obwohl [From.GetSheHe] [From.GetHerHis] Anhänger bis ins Heilige Land zu führen vermochte, bleiben [From.GetHerHis]e Träume von einem christlichen Jerusalem unerfüllt.\nDie Ungläubigen schlachteten alle Erwachsenen nieder, die dumm genug waren [From.GetHerHim] zu folgen und nahmen alle Kinder gefangen, um diese anschließend als Sklaven zu verkaufen.;;Enfrentados a la amenaza concreta de un ejército pagano, la Cruzada de los niños se rompió en un millar de trozos llorosos.\nSin un liderazgo adecuado, equipo o soldados entrenados, [From.GetFirstName] no pudo resistir contra el enemigo. A pesar de conseguir guiar a sus seguidores hasta Tierra Santa, su sueño de una Jerusalén cristiana no se hará realidad.\nLos paganos masacraron a todos los adultos lo bastante necios como para seguir[From.GetLoLa] y capturó a los niños del ejército, vendiéndolos a todos como esclavos.;;;;;;;;x
EVTDESCAHF25826;As was expected, the fools who entrusted their lives in the hands of a child were promptly slaughtered by the armies of the faithful.\nThis Crusade against Jerusalem was bound to be short-lived and one-sided. Our enemies had no skilled commanders, no weapons, no armors, no siege engines, no food... That they were able to reach their destination in the first place was something of a miracle by itself.\nThe few survivors amongst the children have been sold into slavery, never to return to their homeland.;Comme on s'y attendait, les imbéciles qui ont mis leur vie entre les mains d'un enfant ont été rapidement massacrés par les armées des fidèles.\nCette croisade contre Jérusalem devait être de courte durée et unilatérale. Nos ennemis n'avaient pas de commandants qualifiés, pas d'armes, pas d'armures, pas d'engins de siège, pas de nourriture... Qu'ils aient pu atteindre leur destination était déjà un miracle.\nLes quelques survivants parmi les enfants ont été vendus comme esclaves et ne retourneront jamais dans leurs patries.;Wie zu erwarten war, wurde die Narren, die ihr Leben in die Hände eines Kindes gelegt hatten, sofort von den Armeen der Ungläubigen abgeschlachtet.\nDieser Kreuzzug gegen Jerusalem war dazu bestimmt kurzlebig und einseitig zu sein. Unsere Feinde hatten keine fähigen Kommandeure, keine Waffen, keine Rüstungen, keine Belagerungsmaschinen und kein Essen... Das sie ihr Ziel überhaupt erreichen konnten war für sich alleine schon ein Wunder.\nDie wenigen Überlebenden unter den Kindern wurden in die Sklaverei verkauft und werden nie in ihre Heimat zurückkehren.;;Tal como se esperaba, los necios que pusieron sus vidas en manos de un niño fueron masacrados de inmediato por los ejércitos de los fieles.\nEsta cruzada contra Jerusalén estaba destinada a ser corta y desigual. Nuestros enemigos no tenían comandantes cualificados, ni armas, armaduras, máquinas de asedio, provisiones… Que fueran capaces de llegar a su destino ya fue un milagro.\nLos escasos supervivientes de los niños han sido vendidos como esclavos y nunca regresarán a sus hogares.;;;;;;;;x
EVTDESCAHF25827;Against all odds, the children of Christ have succeeded in their misbegotten quest to reconquer Jerusalem! \nHosts of archangels with shining armor and flaming swords have been reported to have descended upon the walls of the holy city during the final battle, smiting the infidels, turning the defenders' weapons into rust and melting their eyes out.\nA child now rules over the Kingdom of Heaven, and few doubt that it was through divine intervention that [From.GetSheHe] was put there.;Contre toute attente, les enfants du Christ ont accompli leur quête illégitime visant à reconquérir Jérusalem !\nOn raconte que des armées d'archanges en armures étincelantes et avec des épées flamboyantes sont descendues des murs de la ville sainte pendant la bataille finale, attaquant les infidèles, transformant les armes des défenseurs en rouille et brûlant leurs yeux.\nUn[From.Get_E] enfant règne maintenant sur le Royaume des Cieux et peu nombreux sont ceux qui doutent que cela soit la conséquence d'une intervention divine.;Allen Widrigkeiten zum Trotzt ist es den Kindern Christi gelungen Jerusalem zurückzuerobern!\nEs wurde berichtet, dass Heerscharen von Erzengeln in glänzenden Rüstungen und mit brennenden Schwertern auf die heiligen Mauern der Stadt herabgestiegen sind, die Ungläubigen niedergestreckt, die Waffen der Verteidiger zu Rost verwandelt und ihre Augen zum Schmelzen gebracht haben.\nEin Kind regiert jetzt über das Königreich des Himmels und nur wenige zweifeln daran, dass es ein göttlicher Eingriff war, der [From.Getihnsie] dorthin gebracht hat.;;¡Contra todo pronóstico, los niños de Cristo triunfaron en su descabellada misión de reconquistar Jerusalén! \nSe dice que huestes de arcángeles con armaduras relucientes y espadas llameantes cayeron sobre las murallas de la ciudad santa durante la batalla final, hiriendo a los infieles, convirtiendo las armas de los defensores en herrumbre y fundiéndoles los ojos.\nAhora un[From.GetXA] niñ[From.GetOA] gobierna el Reino de los Cielos, y ya pocos dudan que la intervención divina le ha situado allí.;;;;;;;;;x
EVTDESCAHF25828;Against all odds, the children of Christ have succeeded in their unlikely quest to reconquer Jerusalem! \nHosts of archangels with shining armor and flaming swords have been reported to have descended upon the walls of the holy city during the final battle, smiting the infidels, turning the defenders' weapons into rust and melting their eyes out.\n[From.GetFirstName] now rules over the Kingdom of Heaven, and few doubt that it was through divine intervention that [From.GetSheHe] was put there.;Contre toute attente, les enfants du Christ ont accompli leur quête improbable visant à reconquérir Jérusalem !\nOn raconte que des armées d'archanges en armures étincelantes et avec des épées flamboyantes sont descendues des murs de la ville sainte pendant la bataille finale, attaquant les infidèles, transformant les armes des défenseurs en rouille et brûlant leurs yeux.\n[From.GetFirstName] règne maintenant sur le Royaume des Cieux et peu nombreux sont ceux qui doutent que cela soit la conséquence d'une intervention divine.;Allen Widrigkeiten zum Trotzt ist es den Kindern Christi gelungen Jerusalem zurückzuerobern!\nEs wurde berichtet, dass Heerscharen von Erzengeln in glänzenden Rüstungen und mit brennenden Schwertern auf die heiligen Mauern der Stadt herabgestiegen sind, die Ungläubigen niedergestreckt, die Waffen der Verteidiger zu Rost verwandelt und ihre Augen zum Schmelzen gebracht haben.\n[From.GetFirstName] regiert jetzt über das Königreich des Himmels und nur wenige zweifeln daran, dass es ein göttlicher Eingriff war, der [From.Getihnsie] dorthin gebracht hat.;;¡Contra todo pronóstico, los niños de Cristo triunfaron en su inverosímil misión de reconquistar Jerusalén! \nSe dice que huestes de arcángeles con armaduras relucientes y espadas llameantes cayeron sobre las murallas de la ciudad santa durante la batalla final, hiriendo a los infieles, convirtiendo las armas de los defensores en herrumbre y fundiéndoles los ojos.\nAhora un[From.GetXA] niñ[From.GetOA] gobierna el Reino de los Cielos, y ya pocos dudan que la intervención divina le ha situado allí.;;;;;;;;;x

EVTDESCBHF25802;I feared that my [GetFromRelation]'s desire to free the Holy Land would lead [From.GetHerHim] to an unfortunate end.\n[From.GetFirstName] is gone. All the children and peasants who had flocked to [From.GetHerHis] banner have scattered to the four winds. They lament the loss of their beloved leader, still unable to grasp why would God allow [From.GetHerHim] to be killed before accomplishing [From.GetHerHis] divine task.\nYet, I can at least take the solace in the fact that, as unfortunate as [From.GetFirstName]'s death was, it has undoubtedly saved the lives of countless people, who would have otherwise followed the child into the maws of certain doom at the hands of the infidels.;Je craignais que le désir de m[From.GetOnA] [GetFromRelation] de libérer la Terre sainte ne [From.GetLeLa] conduise à une fin malheureuse.\n[From.GetFirstName] s'en est allé[From.Get_E]. Tous les enfants et les paysans qui s'étaient massés sous sa bannière se sont dispersés aux quatre vents. Ils déplorent la perte de leur chef bien-aimé, encore incapables de comprendre pourquoi Dieu a permis qu'[From.GetIlElle] se fasse tuer avant d'accomplir sa mission divine.\nCependant, je me réconforte dans le fait que, aussi malheureuse que la mort de [From.GetFirstName] ait été, cela a sans aucun doute sauvé la vie d'innombrables personnes qui auraient autrement suivi l'enfant dans ce destin tragique.;Ich habe befürchtet, dass das Streben von m[From.Geteinemeiner] [GetFromRelation] das Heilige Land zu befreien [From.Getihnsie] zu einem unglücklichen Ende führen wird.\n[From.GetFirstName] lebt nicht mehr. Alle Kinder und Bauern, die zu [From.GetHerHis]em Banner geströmt waren, haben sich nun in alle Himmelsrichtungen verstreut. Sie beklagen den Verlust ihres geliebten Anführers und können noch immer nicht begreifen, warum Gott [From.Getihnsie] sterben lassen würde, bevor [From.GetSheHe] [From.GetHerHis]e göttliche Aufgabe erfüllen konnte.\nDennoch kann ich zumindest Trost darin finden, dass so bedauerlich der Tod von [From.GetFirstName] auch war, dieser zweifellos unzähligen Menschen das Leben gerettet hat, die ansonsten dem Kind in den sicheren Tod durch die Hände der Ungläubigen gefolgt wären.;;Temía que el deseo de mi [GetFromRelation] por liberar Tierra Santa le llevase a un final desgraciado.\n[From.GetFirstName] ha fallecido. Todos los niños y campesinos que acudieron a su estandarte se han dispersado a los cuatro vientos, llorando la pérdida de su amado líder, incapaces de comprender por qué Dios dejó que muriese antes de cumplir su misión divina.\nSin embargo, por desgraciada que fuera la muerte de [From.GetFirstName], por lo menos me consuela pensar que se han salvado las vidas de todos los que habrían seguido [From.GetAlAla] [From.GetBoyGirl] a una muerte cierta a manos de los infieles.;;;;;;;;x
EVTDESCBHF25806;[From.GetFirstName], a child from [Root.Capital.GetName] has caused quite the commotion today, when [From.GetSheHe] demanded an audience with me, claiming that the Holy Ghost appeared to [From.GetHerHim] in dream last night, ordering [From.GetHerHim] to take up arms, gather all the true followers of Christ and lead a Crusade to free the Holy Land.\n\n[From.GetSheHeCap] concluded [From.GetHerHis] sermon by commanding me to provide [From.GetHerHim] with money, weapons and men to help [From.GetHerHim] fight against the infidels in the name of Our Lord.;[From.GetFirstName], un[From.Get_E] enfant de [Root.Capital.GetName], a provoqué une grande agitation aujourd'hui, quand [From.GetIlElle] a demandé une audience avec moi, affirmant que le Saint-Esprit lui est apparu en rêve la nuit dernière, lui ordonnant de prendre les armes, de rassembler tous les vrais disciples du Christ et mener une croisade pour libérer la Terre sainte\n\n[From.GetIlElleCap] a conclu son sermon en me donnant l'ordre de lui fournir de l'argent, des armes et des hommes pour l'aider à combattre les infidèles au nom de Notre Seigneur.;[From.GetFirstName], ein Kind aus [Root.Capital.GetName] hat heute für ziemlich viel Aufregung gesorgt, als [From.GetSheHe] um Audienz bei mir gebeten hat und behauptet, dass [From.GetHerHim] der Heilige Geist im Traum erschienen ist, [From.Getihnsie] dazu aufgefordert hat die Waffen zu ergreifen, alle wahren Nachfolger Christi zu versammeln und einen Kreuzzug zu führen, um das Heilige Land zu befreien.\n\n[From.GetHerHis] beendete [From.GetHerHim]e Predigt mit dem Befehl, dass ich Geld, Waffen und Männer zur Unterstützung zur Verfügung stellen solle, um [From.GetHerHim] bei dem Kampf gegen die Ungläubigen im Namen unseres Herrn zu helfen.;;[From.GetFirstName], un[From.GetXA] niñ[From.GetOA] de [Root.Capital.GetName] ha causado hoy una conmoción al pedirme audiencia, afirmando que anoche se le apareció el Espíritu Santo en sueños y le ordenó tomar las armas, reunir a los auténticos creyentes en Cristo y dirigir una cruzada para liberar Tierra Santa.\n\nTerminó el sermón ordenándome que le proporcione dinero, armas y hombres para ayudar[From.GetLoLa] a luchar contra los infieles en nombre de Nuestro Señor.;;;;;;;;x
EVTDESCBHF25817;Despite all adversities and many attempts to undermine [From.GetHerHis] divinely-inspired leadership, [From.GetFirstName] has been able to march [From.GetHerHis] army all the way to Nikaea. \nWith the Holy Land finally within reach, the Crusaders' resolve has been strengthened. \n[From.GetFirstName] has sent me a message, thanking me for my continued support during the campaign, and asking me any further help I am able to provide [From.GetHerHim] with in order to prevail against the infidels. With my help and God's blessing, [From.GetSheHe] is certain of victory against the abominable heathens.;En dépit de toutes les adversités et de nombreuses tentatives pour saper son commandement inspiré par Dieu, [From.GetFirstName] a été capable d'amener son armée jusqu'à Nicée.\nLa Terre sainte n'est plus très loin, ce qui renforce la détermination des Croisés.\n[From.GetFirstName] m'a envoyé un message, me remerciant pour mon soutien continu pendant la campagne et me demandant toute aide supplémentaire que je serais capable de lui fournir afin de l'emporter sur les infidèles. Avec mon aide et la bénédiction de Dieu, [From.GetIlElle] est certain[From.Get_E] de la victoire.;Trotzt aller Widrigkeiten und vieler Versuche die göttlich inspirierte Führung von [From.GetFirstName] zu untergraben, war [From.GetSheHe] in der Lage, mit [From.GetHerHis]en Armeen bis nach Nikäa zu marschieren.\nJetzt, wo das Heilige Land endlich in Reichweite ist, wurde die Entschlossenheit der Kreuzritter gestärkt.\n[From.GetFirstName] hat mir eine Nachricht geschickt, in der [From.GetSheHe] mir für meine fortgesetzte Unterstützung dankt und bat mich um weitere Hilfe gegen die Ungläubigen. Mit meiner Hilfe und Gottes Segen [From.GetHerHim] der Sieg gegen die abscheulichen Ungläubigen sicher.;;Pese a todas las adversidades y muchos intentos para socavar su liderazgo inspirado por los Cielos, [From.GetFirstName] ha logrado de llevar su ejército hasta Nicea. \nAhora que los cruzados tenían Tierra Santa al alcance de la mano, su resolución se había reforzado. \n[From.GetFirstName] me escribió para agradecerme el continuo apoyo durante la campaña y pidiéndome toda la ayuda que pueda proporcionarles para imponerse sobre los infieles. Con mi ayuda y la bendición de Dios, [From.GetFirstName] está segur[From.GetOA] de la victoria contra los abominables paganos.;;;;;;;;x
EVTDESCBHF25818;After receiving a vision of the Archangel Gabriel, who helped [From.GetHerHim] lead [From.GetHerHis] army through the treacherous path leading to Outremer, the children of [From.GetFirstName] have miraculously managed to reach Antioch before being spotted by the infidels.\nIn spite of the [From.GetBoyGirl]'s claim that the infidels would forsake the Devil upon their very arrival without the need for a fight, the heathens occupying Jerusalem have begun mobilizing their army, ready and eager to slaughter the innocent souls marching against them.\nThe world will soon see whether [From.GetFirstName] was truly blessed by the Lord, or if I was unwise to put my trust in this child.;Après avoir eu une vision de l'archange Gabriel, qui l'a aidé à mener son armée sur le chemin dangereux menant à l'Outremer, les enfants de [From.GetFirstName] ont miraculeusement réussi à atteindre Antioche avant d'être repérés par les infidèles.\nMalgré l'affirmation [From.GetDuDela] [From.GetBoyGirl] selon laquelle les infidèles se détourneraient du diable dès leur arrivée et qu'il n'y aurait nul besoin de combattre, les infidèles qui occupent Jérusalem ont commencé à mobiliser leurs troupes, prêts à massacrer les âmes innocentes qui marchent vers eux.\nLe monde verra bientôt si [From.GetFirstName] a été vraiment béni[From.Get_E] par le Seigneur ou si j'ai été imprudent[Root.Get_E] en faisant confiance à c[From.GetEtEtte] enfant.;Nachdem sie eine Vision vom Erzengel Gabriel erhalten hatten, die [From.GetHerHim]er Armee dabei geholfen hat die tückischen Pfade nach Outremer zu durchstreifen, haben die Kinder, die von [From.GetFirstName] angeführt werden, es auf wundersame Weise geschafft Antiochia zu erreichen, noch bevor sie von den Ungläubigen entdeckt wurden.\nTrotzt der Behauptung, dass die Ungläubigen bei ihrer Ankunft dem Teufel lossagen und Jerusalem ohne Kampf verlassen würden, haben die Heiden begonnen ihre Armee zu mobilisieren und warten nun bereit und begierig darauf all die unschuldigen Seelen abzuschlachten, die ihr unrechtmäßig erworbenes Land zurückerobern wollen.\nDie Welt wird schon bald sehen, ob [From.GetFirstName] wirklich vom Herrn gesegnet wurde oder es unklug war diesem Kind zu vertrauen.;;Tras recibir la visión del arcángel Gabriel, que le ayudó a dirigir el ejército por un camino traicionero hasta llegar a Ultramar, los niños de [From.GetFirstName] lograron llegar milagrosamente a Antioquía antes de que los infieles los descubrieran.\nPese a lo que afirmó de que los infieles renunciarían al Diablo cuando llegasen y no habría necesidad de pelear, los paganos que ocupan Jerusalén han empezado a movilizar su ejército, listos y ansiosos de aniquilar a las almas inocentes que marchan contra ellos.\nEl mundo verá muy pronto si el Señor ha bendecido de verdad a [From.GetFirstName] o si fue una insensatez confiar en esta criatura.;;;;;;;;x

EVTDESCCHF25802;With the death of [From.GetFirstName], [From.GetHerHis] misguided attempt to lead a Crusade to the Holy Land will never come to pass. All the children and peasants who had flocked to the banner of this [From.GetBoyGirl] have scattered to the four winds. They lament the loss of their beloved leader, still unable to grasp why would God allow [From.GetHerHim] to be killed before accomplishing [From.GetHerHis] divine task.\nAs unfortunate as [From.GetFirstName]'s death was, it has undoubtedly saved the lives of countless people, who would have otherwise followed the child into the maws of certain doom at the hands of the infidels.;Puisque [From.GetFirstName] est mort[From.Get_E], sa tentative peu judicieuse de mener une croisade en Terre sainte ne se réalisera jamais. Tous les enfants et les paysans qui s'étaient rassemblés sous la bannière de c[From.GetEEtte] [From.GetBoyGirl] se sont dispersés aux quatre vents. Ils déplorent la perte de leur chef bien-aimé, encore incapables de comprendre pourquoi Dieu a permis qu'[From.GetIlElle] se fasse tuer avant d'accomplir sa mission divine.\nAussi malheureuse que la mort de [From.GetFirstName] ait été, cela a sans aucun doute sauvé la vie d'innombrables personnes qui auraient autrement suivi l'enfant dans ce destin tragique.;Mit dem Tod von [From.GetFirstName], wird [From.GetHerHis] fehlgeleiteter Versuch, einen Kreuzzug ins Heilige Land zu führen, niemals stattfinden. All die Kinder und Bauern, die zum [From.GetHerHis]em Banner geströmt waren, haben sich nun in alle Himmelsrichtungen verstreut. Sie beklagen den Verlust ihres geliebten Anführers und können noch immer nicht begreifen, warum Gott [From.Getihnsie] sterben lassen würde, bevor [From.GetSheHe] [From.GetHerHis]e göttliche Aufgabe erfüllen konnte.\nDennoch kann ich zumindest Trost darin finden, dass so bedauerlich der Tod von [From.GetFirstName] auch war, dieser zweifellos unzähligen Menschen das Leben gerettet hat, die ansonsten dem Kind in den sicheren Tod durch die Hände der Ungläubigen gefolgt wären.;;Con la muerte de [From.GetFirstName], su intento insensato de dirigir una cruzada a Tierra Santa nunca tendrá lugar. Todos los niños y campesinos que corrieron al estandarte de est[From.GetEA] [From.GetBoyGirl] se han dispersado a los cuatro vientos, llorando la pérdida de su amado líder, incapaces de comprender por qué Dios dejó que muriese antes de cumplir su misión divina.\nSin embargo, por desgraciada que fuera la muerte de [From.GetFirstName], por lo menos me consuela pensar que se han salvado las vidas de todos los que habrían seguido [From.GetAlAla] [From.GetBoyGirl] a una muerte cierta a manos de los infieles.;;;;;;;;x

EVTOPTFHF25806_A;If this is what you desire, I will not hold you.;Si c'est ce que vous désirez, je ne vous retiendrai pas.;Wenn es das ist, was du wünscht, halte ich dich nicht auf.;;Si es lo que quieres, no te retendré.;;;;;;;;x
EVTOPTFHF25806_B;Do whatever you wish, it is of no concern to me.;Faites ce que vous voulez, cela ne me concerne pas.;Tu, was immer du willst, es geht mich nichts an.;;Haz lo que desees, no es de mi incumbencia.;;;;;;;;x
EVTOPTFHF25811;I am afraid we have no men to spare on hopeless quests.;Je crains que nous n'ayons aucun homme pour des missions désespérées.;Für hoffnungslose Missionen haben wir keine Männer übrig.;;Me temo que no me sobran hombres para misiones imposibles.;;;;;;;;x
EVTOPTFHF25812;Let us not concern ourselves with them, shall we?;Ne nous occupons pas d'eux.;Kümmern wir uns besser nicht um sie.;;No nos involucremos con ellos, ¿de acuerdo?;;;;;;;;x

EVTOPTAHF25800;I must depart at once!;Je dois partir tout de suite !;Ich muss sofort aufbrechen!;;¡Debo partir de inmediato!;;;;;;;;x
EVTOPTAHF25802;Such a violent end, for such a young [From.GetBoyGirl]...;Une fin si violente pour un[From.Get_E] si jeune [From.GetBoyGirl]...;Welch grausames Ende...;;Qué final tan violento para un[From.GetXA] [From.GetBoyGirl] tan joven…;;;;;;;;x
EVTOPTAHF25804;[From.GetSheHeCap] will stay locked until [From.GetSheHe] has learned [From.GetHerHis] lesson.;[From.GetIlElleCap] restera enfermé[From.Get_E] jusqu'à ce qu'[From.GetIlElle] ait compris la leçon.;[From.GetSheHeCap] bleibt eingesperrt, bis [From.GetSheHe] [From.GetHerHis]e Lektion gelernt hat.;;Permanecerá encerrad[From.GetOA] hasta que haya aprendido la lección.;;;;;;;;x
EVTOPTAHF25805;Maybe it's for the best...;Peut-être que c'est pour le mieux...;Vielleicht ist es zum besten...;;Puede que sea lo mejor…;;;;;;;;x
EVTOPTAHF25806;You will have my full support!;Vous aurez mon plein soutien !;Ihr habt meine volle Unterstützung!;;¡Tendréis todo mi apoyo!;;;;;;;;x
EVTOPTAHF25807;Such a wild imagination, even for a child...;Quelle imagination ! Même pour un enfant...;Solch wilde Phantasien, sogar für ein Kind...;;Cuánta imaginación hasta para un crío…;;;;;;;;x
EVTOPTAHF25810;Your words have moved me! I will support you.;Vos mots m'ont ému[Root.Get_E] ! Je vous soutiendrai.;Deine Worte haben mich bewegt. Ich unterstütze dich.;;¡Tus palabras me han conmovido! Te apoyaré.;;;;;;;;x
EVTOPTAHF25811;I will do much more than that!;Je vais faire beaucoup plus que ça !;Ich werde viel mehr als nur das tun!;;¡Haremos mucho más que eso!;;;;;;;;x
EVTOPTAHF25812;But [childrens_crusade_leader.GetSheHe] is the chosen of Our Lord!;Mais c'est l'élu[childrens_crusade_leader.Get_E] de notre Seigneur !;Aber [childrens_crusade_leader.GetSheHe] wurde von unserem Herrn ausgewählt!;;¡Pero es [childrens_crusade_leader.GetElLa] elegid[childrens_crusade_leader.GetOA] de Nuestro Señor!;;;;;;;;x
EVTOPTAHF25813;I must join [From.GetHerHim]!;Je dois [From.GetLeLa] rejoindre !;Ich muss [From.GetHerHim] beitreten!;;¡Debo unirme a [From.GetElElla]!;;;;;;;;x
EVTOPTAHF25814;I must follow them to protect my [GetFromRelation]!;Je dois les suivre pour protéger m[From.GetOnA] [GetFromRelation] !;Ich muss ihnen folgen, um m[From.Geteineine] [GetFromRelation] zu beschützen!;;¡Debo seguirlos para proteger a mi [GetFromRelation]!;;;;;;;;x
EVTOPTAHF25814_A;Will I ever seem [From.GetHerHim] again?;Est-ce que je ne [From.GetLeLa] reverrai jamais ?;Werde ich [From.Getihnsie] je wiedersehen?;;¿Volveré a ver[From.GetLoLa]?;;;;;;;;x
EVTOPTAHF25814_B;How could [From.GetSheHe] do this to me!;Comment a-t-[From.GetIlElle] pu me faire ça ?!;Wie kann [From.GetSheHe] mir das antun?;;¿Cómo puede hacerme esto?;;;;;;;;x
EVTOPTAHF25814_C;I have a [GetFromRelation]?;J'ai un[From.Get_E] [GetFromRelation] ?;Ich habe [From.Geteineneine] [GetFromRelation]?;;¿Tengo un[From.GetXA] [GetFromRelation]?;;;;;;;;x
EVTOPTAHF25815;They could use more troops for protection.;Plus de troupes pour leur protection seraient utiles.;Sie könnten mehr Truppen zum Schutz brauchen.;;Les vendrían bien más tropas como protección.;;;;;;;;x
EVTOPTAHF25816;They are surely in need of more supplies!;Ils ont sûrement besoin de plus de fournitures !;Sie brauchen sicherlich mehr Vorräte!;;¡Seguro que necesitan más suministros!;;;;;;;;x
EVTOPTAHF25817;When the time comes, I will join in battle with you!;Quand le moment sera venu, je me joindrai à la bataille !;Wenn die Zeit kommt, werde ich mit dir kämpfen.;;¡Cuando llegue el momento, me uniré a vosotros en la batalla!;;;;;;;;x
EVTOPTAHF25818;[From.GetSheHeCap] does not stand alone!;[From.GetIlElleCap] ne restera pas seul[From.Get_E] !;[From.GetSheHeCap] ist nicht alleine!;;¡No estará sol[From.GetOA]!;;;;;;;;x
