EVTDESCA_ZE_14100;I have finished my education in diplomacy. I found the lessons rather tedious.;J'ai terminé ma formation en diplomatie. J'ai trouvé les leçons vraiment pénibles.;Ich habe meine diplomatische Lehrzeit abgeschlossen. Es hatte durchaus seine Längen.;;He terminado mis estudios de diplomacia. Encontré las lecciones algo tediosas.;;;;;;;;;x
EVTOPTB_ZE_14300;A coin saved is a coin earned.;Une pièce économisée est une pièce de gagnée.;Was man gespart hat, das hat man verdient.;;Dinero ahorrado es dinero ganado.;;;;;;;;;x
EVTOPTB_ZE_14400;Never interrupt your enemy when [Root.GetSheHe] is making a mistake.;N'interrompez jamais l'ennemi lorsqu'il est en train de commettre une erreur;Man darf einen Feind an keinem seiner Fehler hindern.;;Nunca interrumpas tu enemigo cuando [Root.GetSheHe] está cometiendo un error.;;;;;;;;;x
EVTOPTB_ZE_14500;The world is a book.;Le monde est un livre.;Die Welt ist ein Buch.;;El mundo es un libro.;;;;;;;;;x

EVTOPTC_ZE_14100;Speak softly and carry a big stick.;Parle avec douceur et porte un gros bâton.;Sei sanft in deinen Worten und dulde keinen Widerspruch.;;Habla suavemente y lleva un gran palo.;;;;;;;;;x
EVTOPTC_ZE_14110;This pleases me.;Voilà qui me ravit.;Das freut mich.;;Eso me place.;;;;;;;;;x
EVTOPTC_ZE_14200;It is wise to attack the enemy's strategy.;Il est sage de s'en prendre à la stratégie de l'ennemi.;Es ist klug, der Strategie des Feindes aggressiv entgegenzuwirken.;;Es sabio atacar la estrategia del enemigo.;;;;;;;;;x
EVTOPTC_ZE_14300;Accumulate! Accumulate!;Accumuler ! Accumuler !;Münzen, Pfründe, Barren, Scheine!;;¡Acumúlar! ¡Acumúlar!;;;;;;;;;x
EVTOPTC_ZE_14400;To subdue the enemy without fighting is supreme.;Soumettre sans combattre est la victoire ultime.;Den Feind zu besiegen, ohne dass es zum Kampf kommt, ist das höchste Ziel.;;Someter al enemigo sin luchar es supremo.;;;;;;;;;x
EVTOPTC_ZE_14500;Learning never exhausts the mind.;L'érudition est un bienfait pour l'esprit.;Vom Lernen wird das Denken niemals erschöpft sein.;;Aprender nunca agota la mente.;;;;;;;;;x

EVTOPTD_ZE_14100;The best way to keep one's word is to not give it.;La meilleure façon de tenir parole est de ne jamais promettre quoi que ce soit.;Wer niemals sein Wort gibt, kann es nie brechen.;;La mejor manera de mantener la palabra dada es no darla.;;;;;;;;;x
EVTOPTD_ZE_14200;War is a continuation of politics.;La guerre est une extension de la politique.;Krieg ist die Fortsetzung der Politik.;;La guerra es una continuación de la política.;;;;;;;;;x
EVTOPTD_ZE_14300;Wealth is the slave of a wise man, and the master of a fool.;La fortune est l'esclave du sage et le maître de l'idiot.;Dem Weisen ist sein Reichtum ein Knecht, der sich beim Toren zur Herrschaft aufschwingt.;;La riqueza es el esclavo de un hombre sabio y el amo del tonto.;;;;;;;;;x
EVTOPTD_ZE_14400;Events which can not be prevented must be directed.;Les événements qui ne peuvent pas être empêchés doivent être contrôlés.;Was man nicht verhindern kann, muss man wenigstens steuern.;;Los eventos que no pueden ser prevenidos, deben ser dirigidos.;;;;;;;;;x
EVTOPTD_ZE_14500;A room without books is like a body without a soul.;Une pièce sans livres est comme un corps sans âme.;Ein Haus ohne Bücher ist wie ein Körper ohne Seele.;;Una habitación sin libros es como un cuerpo sin alma.;;;;;;;;;x
