#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_CK2_209_desc_a;They declined our gift!;Notre présent a été refusé !;Sie haben unser Geschenk abgelehnt!;;¡Han rechazado nuestro obsequio!;;;;;;;;;x
EVTDESC235;Matrimony is a holy bond. Under the laws of the Church, I cannot grant you divorce.;Le mariage est une union sacrée. Conformément aux lois de l'Église, je ne peux pas vous accorder le divorce.;Der Ehestand ist ein heiliger Bund. Die Gesetze der Kirche erlauben mir nicht, Euch eine Scheidung zu gewähren.;;El matrimonio es un vínculo sagrado. Según las leyes de la iglesia, no puedo concederte el divorcio.;;;;;;;;;x
EVTDESC236;The vile excesses of [Root.GetTitledFirstName] can no longer be tolerated! We agree that [Root.GetSubjectPronoun] should be denied communion and be excommunicated!;Les excès infâmes [Root.Get_du_TitledFirstName] ne peuvent plus être tolérés ! Nous avons décidé de lui refuser la communion et de l'excommunier !;Die Kirche kann die abscheulichen Exzesse von [Root.GetTitledFirstName] nicht länger tolerieren. Wir stimmen zu, [Root.GetSubjectPronoun] zu exkommunizieren und die Kommunion zu verweigern!;;La iglesia no tolerará más los viles excesos de [Root.GetTitledFirstName]. ¡Acordamos que a [Root.GetSubjectPronoun] debería negársele la comunión y ser excomulgado!;;;;;;;;;x
EVTDESC236_NC;The vile excesses of [Root.GetTitledFirstName] can no longer be tolerated! We agree that [Root.GetSubjectPronoun] should be excommunicated!;Nous ne pouvons plus tolérer les infâmes excès [Root.Get_du_TitledFirstName]. Nous avons décidé de l'excommunier !;Die abscheulichen Exzesse von [Root.GetTitledFirstName] können nicht länger hingenommen werden. Wir stimmen zu, dass [Root.GetSubjectPronoun] exkommuniziert werden muss!;;¡No podemos seguir tolerando los viles excesos de [Root.GetTitledFirstName]! ¡Estamos de acuerdo en que [Root.GetSubjectPronoun] debe ser excomulgado!;;;;;;;;;x
EVTDESC237;We refuse to excommunicate the gentle and pious [Root.GetTitledFirstName].;Nous refusons d'excommunier [Root.Get_le_TitledFirstName], par respect pour sa douceur et sa piété.;Wir weigern uns, einen so sanften und frommen Menschen wie [Root.GetTitledFirstName] zu exkommunizieren.;;Rechazamos excomulgar al dulce y beato [Root.GetTitledFirstName].;;;;;;;;;x
EVTDESC238;Of course I will honor my obligation and answer your call to war!;Je vais évidemment honorer mes engagements et répondre à votre appel à la guerre !;Natürlich werde ich meinen Verpflichtungen nachkommen und Euren Ruf zu den Waffen folgen!;;¡Por supuesto honraré mi deber y responderé tu llamada a las armas!;;;;;;;;;x
EVTDESC239;We can unfortunately not join your wars at this time.;Nous ne pouvons malheureusement pas participer à votre guerre pour le moment.;Leider können wir im Moment nicht an Eurem Krieg teilnehmen.;;Lamentamos no poder unirnos a tu guerra esta vez.;;;;;;;;;x
EVTDESC240;This is a formal declaration of WAR. Our armies shall meet on the field of battle!;C'est une déclaration de guerre officielle. Nos armées vont se mesurer sur le champ de bataille !;Dies ist eine formelle KRIEGSERKLÄRUNG. Unsere Armeen werden sich auf dem Feld der Ehre treffen!;;Esta es una declaración formal de GUERRA. ¡Nuestros ejércitos se encontrarán en el campo de batalla!;;;;;;;;;x
EVTDESC241;You have not fulfilled your obligations as a liege lord, thus leaving me little choice but to declare WAR.;Vous n'avez pas rempli vos obligations de [Root.GetLordLady] lige, ce qui m'oblige à vous déclarer la guerre.;Ihr seid Euren Verpflichtungen als Lehnsherr nicht nachgekommen. Daher habe ich keine andere Wahl, als Euch den KRIEG zu erklären.;;No has cumplido tus obligaciones como señor, y por ello no me dejas más opción que declarar la GUERRA.;;;;;;;;;x
EVTDESC274;My liege, I accept your decision to retract my vassal, [Root.GetBestName], though it grieves me deeply.;M[FromFrom.GetOnA][FromFrom.GetLordLady], \nJ'accepte votre décision de me soustraire mon vassal, [Root.Get_only_le_Title][Root.GetBestName], bien que cela me peine énormément.;Mein Lehnsherr, ich akzeptiere Eure Entscheidung, meinen Vasallen, [Root.GetBestName], zurückzunehmen, auch wenn sie mich tief betrübt.;;Mi Señor, acepto la decisión de desafectar mi vasallo, [Root.GetBestName], aunque me apena tremendamente.;;;;;;;;;x
EVTDESC275;Your breach of the feudal contract is unacceptable, I will not give up my vassals without a fight!;Cette violation du droit féodal est inacceptable, je n'abandonnerai pas mon vassal sans combattre !;Euer Bruch des feudalen Vertrages ist inakzeptabel, ich werde meinen Vasallen nicht ohne Kampf aufgeben!;;Tu ruptura del contrato feudal es inaceprable, ¡No entregaré ninguno de mis vasallos si no es a por medio de las armas!;;;;;;;;;x
EVTDESC280;I accept your gracious invitation and will join your court forthwith!;J'accepte votre gracieuse invitation. Je rejoins immédiatement votre Cour !;Ich nehme Eure großzügige Einladung an und werde mich umgehend Eurem Hof anschließen!;;¡Acepto tu cortés invitación y me uniré a tu corte de inmediato! ;;;;;;;;;x
EVTDESC281;I cannot in good conscience abandon my current liege to join your court.;Je ne peux décemment pas abandonner mon seigneur lige pour rejoindre votre Cour.;Ich kann nicht bei gutem Gewissen meinen momentanen Lehnsherrn verlassen und mich Eurem Hof anschließen.;;Mi conciencia no me permite abandonar a mi señor para unirme a tu corte.;;;;;;;;;x
EVTDESC282;I accept you as my vassal. Henceforth, you will enjoy my protection as your liege lord.;Je vous accepte comme vassal. Dorénavant, je serai votre seigneur lige.;Ich nehme Euch als meinen Vasallen an. Von nun an genießt Ihr meinen Schutz als Euer Lehensfürst.;;Te acepto como vasallo. En adelante tendrás mi protección como tu señor.;;;;;;;;;x
EVTDESC283;Your offer is tempting, but I have to decline your offer to become my vassal.;Votre offre visant à devenir mon vassal est tentante, mais je dois la décliner.;Euer Angebot, mein Vasall zu werden, ist verführerisch, aber ich muss es leider ablehnen.;;Tu oferta es tentadora, pero no puedo aceptarte como vasallo.;;;;;;;;;x
EVTDESC284;I will gladly lift the excommunication of [Root.GetTitledFirstName] and allow [Root.GetObjectPronoun] back into the Church!;Je lèverai volontiers l'excommunication [Root.Get_du_TitledFirstName] pour l'accueillir de nouveau au sein de l'Église !;Ich werde gerne die Exkommunizierung von [Root.GetTitledFirstName] annullieren und [Root.GetObjectPronoun] wieder in die Kirche aufnehmen!;;¡Levantaré gustoso la excomunión de [Root.GetTitledFirstName] y le permitiré volver a la iglesia!;;;;;;;;;x
EVTDESC285;I am afraid that the depravity of [Root.GetTitledFirstName] precludes a return to the embrace of Holy Mother Church.;Je crains que la dépravation [Root.Get_du_TitledFirstName] n'empêche son retour au sein de la Sainte Mère l'Église.;Ich habe Angst, dass die Ausschweifungen von [Root.GetTitledFirstName] eine Heimkehr in die Arme der Heiligen Mutter Kirche verbieten.;;Temo que la depravación de [Root.GetTitledFirstName] evite su vuelta al abrazo de la Santa Madre Iglesia.;;;;;;;;;x
EVTDESC286;But of course I accept such a generous ransom. [Root.GetTitledFirstName] has been released!;Mais j'accepte évidemment cette généreuse rançon. [Root.Get_Le_TitledFirstName] a été libéré[Root.Get_E] !;Aber natürlich nehme ich solch ein großzügiges Lösegeld an. [Root.GetTitledFirstName] wurde freigelassen!;;Pero, por supuesto, acepto tan generoso rescate. ¡[Root.GetTitledFirstName] ha sido liberado!;;;;;;;;;x
EVTDESC287;I am afraid I cannot accept your offer. [Root.GetTitledFirstName] had better remain in my custody.;Je crains de ne pouvoir accepter votre offre. Je garde [Root.Get_le_TitledFirstName].;Ich fürchte, ich kann Euer Angebot nicht annehmen. [Root.GetTitledFirstName] sollte besser in meiner Haft bleiben.;;Me temo que no puedo aceptar tu oferta. Es mejor que [Root.GetTitledFirstName] siga bajo mi custodia.;;;;;;;;;x
EVTDESC288;I accept your offer of settling down.;J'accepte votre offre d'établissement.;Ich nehme Euer Angebot, sesshaft zu werden, an.;;Acepto tu ofrecimiento de establecerme.;;;;;;;;;x
EVTDESC289;I refuse to accept your offer of settling down.;Je refuse votre offre d'établissement.;Ich weigere mich, Euer Angebot anzunehmen und sesshaft zu werden.;;Rechazo tu ofrecimiento de establecerme.;;;;;;;;;x
EVTDESC290;I have decided to institute the [From.GetProposedLaw] Law. All that is needed is the support of yourself and my other loyal vassals.\n\nYour [From.Holder.GetTitle];J'ai décidé d'instituer la loi '[From.GetProposedLaw]'. Pour cela, j'ai simplement besoin de votre soutien et de celui de mes autres fidèles vassaux.\n\nVotre [From.Holder.GetTitle];Ich habe die Einführung des Gesetzes [From.GetProposedLaw] beschlossen. Dies ist zu meiner Unterstützung und der meiner loyalen Vasallen notwendig.\n\nGezeichnet, [From.Holder.GetTitle];;He decidido instituir la ley [From.GetProposedLaw]. Todo lo que preciso es tu apoyo y el del resto de mis leales vasallos.\n\nTu [From.Holder.GetTitle];;;;;;;;;x
EVTDESC291;I have decided to institute the [From.GetProposedLaw] Law in the [From.GetFullName]. Your status as my de jure vassal entitles you to vote on the matter.\n\n[From.Holder.GetTitledName];J'ai décidé d'instituer la loi '[From.GetProposedLaw]' sur le territoire suivant : [From.GetFullName]. Votre statut de vassal de jure vous permet de voter.\n\nVotre [From.Holder.GetTitledName];Ich habe die Einführung des Gesetzes [From.GetProposedLaw] in [From.GetFullName] beschlossen. Euer Status als mein De-jure-Vasall berechtigt Euch, darüber abzustimmen.\n\nGezeichnet, [From.Holder.GetTitledName];;He decidido instituir la ley [From.GetProposedLaw] en el [From.GetFullName]. Tu estatus como vasallo mío de iure te autoriza a votar al respecto.\n\nTu [From.Holder.GetTitle];;;;;;;;;x
EVTDESC292;I have decided to institute the [From.GetProposedLaw] Law in the [From.GetFullName]. Since this is a Crown Law and you are a formal elector of [From.GetName], you may vote, even though you are not my vassal... yet.\n\n[From.Holder.GetTitledName];J'ai décidé d'instituer la loi '[From.GetProposedLaw]' sur le territoire suivant : [From.GetFullName]. Comme il s'agit d'une loi de la Couronne et que vous comptez parmi les électeurs officiels de [From.GetName], vous pouvez voter, même si vous n'êtes pas mon vassal... du moins pas encore.\n\nVotre [From.Holder.GetTitledName];Ich habe die Einführung des Gesetzes [From.GetProposedLaw] in [From.GetFullName] beschlossen. Da dies ein Krongesetz ist und Ihr ein offizieller Kurfürst von [From.GetName] seid, dürft auch Ihr abstimmen, obwohl Ihr nicht mein Vasall seid ... oder noch nicht.\n\nGezeichnet, [From.Holder.GetTitledName];;He decidido instituir la ley [From.GetProposedLaw] en el [From.GetFullName]. Dado que es una ley de la Corona y tú eres un elector formal de [From.GetName], puedes votar aunque no seas vasallo mío... Aún.\n\nTu [From.Holder.GetTitle];;;;;;;;;x
EVTDESC293;I gladly accept your offer of assistance in my war. Let our enemies tremble!\n\n[From.GetTitledFirstName];J'accepte volontiers votre proposition d'aide dans ma guerre. Faisons trembler nos ennemis !\n\n[From.GetTitledFirstName];Ich nehme Euer Angebot, mich in meinem Krieg zu unterstützen, gerne an. Lasst unsere Feinde erzittern!\n\n[From.GetTitledFirstName];;Con gusto acepto tu oferta de ayuda en la guerra. ¡Que tiemblen nuestros enemigos! \n\n[From.GetTitledFirstName] ;;;;;;;;;x
EVTDESC294;I appreciate your offer, but I do not need your meddling in my war.\n\n[From.GetTitledFirstName];Je vous remercie de votre offre, mais je n'ai pas besoin de votre aide dans ma guerre.\n\n[From.GetTitledFirstName];Ich danke Euch für Euer Angebot, doch ich benötige Eure Einmischung in meinen Krieg nicht.\n\n[From.GetTitledFirstName];;Agradezco tu ofrecimiento, pero no necesito tu intromisión en mi guerra.\n\n[From.GetTitledFirstName] ;;;;;;;;;x
EVTDESC295;After careful consideration, I have decided to accept your suggestion. Together, we shall force the [Root.PrimaryTitle.GetAdjective] traders out of [From.PrimaryTitle.GetName]!\n\n[From.GetTitledFirstName];Après un examen attentif, j'ai décidé d'accéder à votre requête. Ensemble, nous forcerons les marchands [Root.PrimaryTitle.GetAdjective] à abandonner [From.PrimaryTitle.Get_le_Realm]!\n\n[From.GetTitledFirstName];Nach sorgfältigem Überlegen habe ich mich entschlossen, Euren Vorschlag anzunehmen. Vereint werden wir die [Root.PrimaryTitle.GetAdjective] Händler aus [From.PrimaryTitle.GetName] vertreiben!\n\n[From.GetTitledFirstName];;Después de pensarlo mucho, he decidido aceptar tu sugerencia. Juntos podremos expulsar a los mercaderes [Root.PrimaryTitle.GetAdjective] de [From.PrimaryTitle.GetName]!\n\n[From.GetTitledFirstName];;;;;;;;;x
EVTDESC296;Honestly, I find your embargo suggestion against [Root.PrimaryTitle.GetName] rather ludicrous. Why should I favor one money-grubbing Republic over another?\n\n[From.GetTitledFirstName];En fin de compte, je trouve votre suggestion d'embargo contre [Root.PrimaryTitle.Get_le_Realm] tout à fait risible. Pourquoi devrais-je favoriser une des républiques assoiffées d'or plutôt qu'une autre ?\n\n[From.GetTitledFirstName];Um ehrlich zu sein, ich finde Euren Vorschlag des Embargos gegen [Root.PrimaryTitle.GetName] lächerlich. Warum sollte ich eine gierige Republik einer anderen bevorzugen?\n\n[From.GetTitledFirstName];;Sinceramente, encuentro tu sugerencia de embargar a [Root.PrimaryTitle.GetName] bastante absurda. ¿Por qué debería favorecer a una avariciosa república sobre otra?\n\n[From.GetTitledFirstName];;;;;;;;;x
EVTDESC297;I have decided to accept your suggestion to make [Root.GetTitledFirstName] into your concubine.;J'ai décidé d'accepter votre proposition de faire [Root.Get_du_TitledFirstName] votre concubine.;Ich habe beschlossen, Eurem Vorschlag zuzustimmen und [Root.GetTitledFirstName] zu Eurer Konkubine zu machen.;;He decidido aceptar tu sugerencia de convertir a [Root.GetTitledFirstName] en tu concubina.;;;;;;;;;x
EVTDESC298;I reject your insulting suggestion. [Root.GetTitledFirstName] will never become your concubine.;Je rejette votre insultante proposition. [Root.Get_Le_TitledFirstName] ne deviendra jamais votre concubine. ;Das ist ein beleidigender Vorschlag. [Root.GetTitledFirstName] wird niemals zu Eurer Konkubine.;;Rechazo tu insultante sugerencia. [Root.GetTitledFirstName] nunca será tu concubina.;;;;;;;;;x
EVTDESC320;The great [Root.Religion.GetName] [Root.GetTitledFirstName] has decided to call a Jihad against the Kafirs in the [From.GetFullBaseName]. He urges all righteous [Root.Religion.GetName] Muslims to take up arms against the depraved [New.GetTitledName] for the glory of Islam.\n\n Allah is merciful!;[Root.GetLeLaCap] grand[Root.Get_E] [Root.GetTitledFirstName] de la foi [Root.Religion.GetName] a décidé d'en appeler au djihad contre les kafirs [From.Get_only_du_RealmFull][From.GetFullBaseName]. [Root.GetIlElleCap] presse tous les musulmans [Root.GetReligionMascPl] vertueux à prendre les armes contre [New.GetLeLa] dépravé[New.Get_E] [New.GetTitledName] pour la gloire de l'islam.\n\n Allah est miséricordieux !;Der große [Root.Religion.GetName]e [Root.GetTitledFirstName] hat beschlossen, einen Dschihad gegen die Giauren in [From.GetFullBaseName] auszurufen. Er ruft alle rechtschaffenen [Root.Religion.GetName]en Muslime zu den Waffen, um gegen [New.GetTitledName] für den Ruhm des Islam ins Feld zu ziehen.\n\n Allah ist barmherzig!;;El gran [Root.GetTitledFirstName] [Root.Religion.GetName] ha decidido convocar una Yihada contra los Kafires en el [From.GetFullBaseName]. Insta a todos los justos Musulmanes [Root.Religion.GetName] a tomar las armas contra los depravados [New.GetTitledName] por la gloria del Islam.\n\n ¡Alá es misericordioso!;;;;;;;;;x
EVTDESC321;The [crusade_title.GetFullBaseName] is afflicted with the scourge of Heresy. His Holiness, [Root.GetTitledFirstName], has decided that the impure [crusade_character.GetTitledName] and [crusade_character.GetPossPronoun] fallen followers must be Cleansed before this black stain spreads any further!;Le fléau de l'hérésie afflige [crusade_title.GetFullBaseName]. Sa Sainteté [Root.Get_le_TitledFirstName] a décidé que [crusade_character.Get_le_TitledName] et ses partisans déchus, ces impurs, doivent être purifiés avant que cette tache hérétique se répande à toute la contrée !;[crusade_title.GetFullBaseName] wird von einer Welle der Ketzerei heimgesucht. Seine Heiligkeit, [Root.GetTitledFirstName], hat beschlossen, dass der unreine [crusade_character.GetTitledName] und [crusade_character.GetPossPronoun] gefallenes Gefolge gereinigt werden müssen, bevor dieser dunkle Schmutz weiter Verbreitung findet!;;El [crusade_title.GetFullBaseName] está afectado por la plaga de la Herejía. Su Santidad, [Root.GetTitledFirstName], ha decidido que los impuros [crusade_character.GetTitledName] y [crusade_character.GetPossPronoun] adeptos caídos deben ser Limpiados antes de que esta mancha negra se extienda más!;;;;;;;;;x
EVTDESC322;The [Root.Religion.GetName] [Root.GetTitledFirstName] has decided to declare Jihad on the depraved heathens in the [From.GetFullBaseName]. He urges all righteous [Root.Religion.GetName] Muslims to partake in the righteous struggle against [New.GetTitledName] for the glory of Islam.\n\n Allah is great!;[Root.GetLeLaCap] [Root.GetTitledFirstName] de la foi [Root.Religion.GetName] a décidé d'en appeler au djihad contre les infidèles dépravés de [From.GetFullBaseName]. [Root.GetIlElleCap] presse tous les musulmans [Root.GetReligionMascPl] vertueux à prendre les armes contre [New.Get_le_TitledName] pour la gloire de l'islam.\n\n Allah est grand ! ;Der große [Root.Religion.GetName]e [Root.GetTitledFirstName] hat beschlossen, einen Dschihad gegen die verkommenen Ketzer in [From.GetFullBaseName] auszurufen. Er ruft alle rechtschaffenen [Root.Religion.GetName]en Muslime zu den Waffen, um gegen den verdorbenen [New.GetTitledName] für den Ruhm des Islam ins Feld zu ziehen.\n\n Allah ist barmherzig!;;El [Root.GetTitledFirstName] [Root.Religion.GetName] ha decidido declarar la Yihada a los paganos depravados en el [From.GetFullBaseName]. Se insta a todos los justos Musulmanes [Root.Religion.GetName] a participar en la lucha contra [New.GetTitledName] por la gloria del Islam.\n\n ¡Alá es grande!;;;;;;;;;x
EVTDESC323;The most righteous [Root.Religion.GetName] [Root.GetTitledFirstName] is deeply concerned with the straying people of the [From.GetFullBaseName], many of whom barely deserve being called Muslims. He urges all true ([Root.Religion.GetName]) Muslims to aid in the struggle against the heretic [New.GetTitledName] for the glory of Islam.\n\n Allah is merciful!;[Root.GetLeLaCap] très vertueu[Root.GetXSe] [Root.GetTitledFirstName] [Root.Religion.GetName] est profondément inqui[Root.GetEtEtte] de voir les gens de [From.GetFullBaseName] s'éloigner du troupeau, plusieurs d'entre eux méritant à peine le nom de musulmans. [Root.GetIlElleCap] presse tous les véritables musulmans [Root.GetReligionMascPl] à prendre les armes contre l'hérétique [New.GetTitledName] pour la gloire de l'islam.\n\n Allah est miséricordieux ! ;Der rechtschaffene [Root.Religion.GetName]e [Root.GetTitledFirstName] ist tief besorgt über das fehlgeleitete Volk von [From.GetFullBaseName], von denen viele es kaum verdienen, Muslime genannt zu werden. Er ruft alle wahren [Root.Religion.GetName]en Muslime zu Hilfe, um gegen den ketzerischen [New.GetTitledName] zum Ruhme des Islams zu kämpfen.\n\n Allah ist barmherzig!;;El [Root.GetTitledFirstName] [Root.Religion.GetName] más justo está profundamente preocupado con los descarriados del [From.GetFullBaseName], muchos de los cuales no merecen ser llamados Musulmanes. Insta a todos los verdaderos Musulmanes ([Root.Religion.GetName]) a ayudar en la lucha contra el hereje [New.GetTitledName] por la gloria del Islam.\n\n ¡Alá es misericordioso!;;;;;;;;;x
EVTDESC324;The mighty [Root.GetTitledFirstName] has decided that it is time to teach [New.GetTitledName] and the believers in the dead crucified god another lesson in humility. All free [Root.Religion.GetName] men are invited to partake in the scouring of the [From.GetFullBaseName]!\n\n [Root.Religion.GetRandomGodNameCap] is with us!;[Root.GetLeLaCap] puissant[Root.Get_E] [Root.GetTitledFirstName] a décidé qu'il était temps de donner une leçon d'humilité [New.Get_au_TitledName] et à tous ceux qui croient au dieu mort sur la croix. Tous les hommes libres [Root.GetReligionMascPl] sont invités à participer à la purification de [From.GetFullBaseName] !\n\n [Root.Religion.GetRandomGodNameCap] est avec nous !;Der mächtige [Root.GetTitledFirstName] hat beschlossen, dass es an der Zeit ist, [New.GetTitledName] und den an einen toten, gekreuzigten Gott Glaubenden eine weitere Lektion in Sachen Demut zu erteilen. Alle freien [Root.Religion.GetName]en Männer sind aufgerufen, bei der Reinigung von [From.GetFullBaseName] zu helfen!\n\n [Root.Religion.GetRandomGodNameCap] ist mit uns!;;El poderoso [Root.GetTitledFirstName] ha decidido que es hora de enseñar a [New.GetTitledName] y a los que creen en el dios crucificado otra lección de humildad. Todos los [Root.Religion.GetName] libres están invitados a participar en la limpieza del [From.GetFullBaseName]!\n\n ¡[Root.Religion.GetRandomGodNameCap] está con nosotros!;;;;;;;;;x
EVTDESC325;[Root.GetTitledFirstName] has had a vision from [Root.Religion.GetRandomGodName], ordering [Root.GetObjectPronoun] to declare a great [Root.Religion.GetCrusadeName] on [New.GetTitledName] and the cawing followers of the mad Arab. All free [Root.Religion.GetName] men are invited to feast in their holy places!\n\n [Root.Religion.GetRandomGodNameCap] is mighty!;[Root.Get_Le_TitledFirstName] a eu une vision dans laquelle [Root.Religion.GetRandomGodName] lui a ordonné de déclarer une grande [Root.Religion.GetCrusadeName] contre [New.Get_le_TitledName] et les bruyants disciples de l'Arabe dément. Tous les hommes libres [Root.GetReligionMascPl] sont invités à festoyer dans leurs lieux saints !\n\n [Root.Religion.GetRandomGodNameCap] est grand !;[Root.GetTitledFirstName] hatte eine Vision von [Root.Religion.GetRandomGodName], in der [Root.GetObjectPronoun] befohlen wurde, einen großen [Root.Religion.GetCrusadeName] gegen [New.GetTitledName] und die krächzenden Gefolgsleute des verrückten Arabers zu erklären. Alle freien [Root.Religion.GetName]en Männer sind aufgerufen, an ihren heiligen Stätten zu schmausen!\n\n [Root.Religion.GetRandomGodNameCap] ist mächtig!;;[Root.GetTitledFirstName] ha tenido una visión de [Root.Religion.GetRandomGodName], ordenando a [Root.GetObjectPronoun] a declarar una gran [Root.Religion.GetCrusadeName] en [New.GetTitledName] y los ruidosos seguidores del Árabe loco. ¡Todos los hombres [Root.Religion.GetName] libres están invitados a celebrar en sus lugares sagrados!\n\n ¡[Root.Religion.GetRandomGodNameCap] es poderoso!;;;;;;;;;x
EVTDESC326;The omens are clear - [Root.GetTitledFirstName] has declared [Root.Religion.GetCrusadeName] on [New.GetTitledName] and the followers of [New.Religion.GetRandomGodName] in the [From.GetFullBaseName]! All free [Root.Religion.GetName] men are encouraged to aid in the conquest of their holy places!\n\n [Root.Religion.GetRandomGodNameCap] will strike down their '[New.Religion.GetRandomGodName]'!;Les présages sont clairs : [Root.GetTitledFirstName] a déclaré une [Root.Religion.GetCrusadeName] à [From.GetFullBaseName] contre [New.Get_le_TitledName] et les fidèles [New.Get_du_HighGod] ! Tous les hommes libres [Root.GetReligionMascPl] sont encouragés à se joindre à la reconquête de leurs lieux saints !\n\n [Root.Religion.GetRandomGodNameCap] renversera [New.Religion.GetRandomGodName] !;Die Zeichen sind eindeutig - [Root.GetTitledFirstName] hat einen [Root.Religion.GetCrusadeName] gegen [New.GetTitledName] und die Gefolgsleute von [New.Religion.GetRandomGodName] in [From.GetFullBaseName] ausgerufen! Alle freien [Root.Religion.GetName]en Männer werden aufgefordert, bei der Eroberung ihrer heiligen Stätten zu helfen!\n\n [Root.Religion.GetRandomGodNameCap] wird [New.Religion.GetRandomGodName] vernichten!;;Los presagios son claros, [Root.GetTitledFirstName] ha declarado [Root.Religion.GetCrusadeName] en [New.GetTitledName] y los seguidores de [New.Religion.GetRandomGodName] en el [From.GetFullBaseName]! Se recomienda a todos los hombres [Root.Religion.GetName] libres que ayuden a conquistar sus lugares santos!\n\n ¡[Root.Religion.GetRandomGodNameCap] derribará a [New.Religion.GetRandomGodName]!;;;;;;;;;x
EVTDESC327;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the adherents of '[New.Religion.GetHighGodName]' in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms in the name of [Root.Religion.GetHighGodName]!\n\nThe dark manifestations of [Root.Religion.GetRandomEvilGodName] must be cleansed in healing flames!;[Root.Get_Le_TitledFirstName], dans sa grandeur, a déclaré une [Root.Religion.GetCrusadeName] contre [New.Get_le_TitledName] et les disciples [New.Get_du_HighGod] au sein de [From.GetFullBaseName] ! Tous les vrais fidèles [Root.GetReligionMascPl] sont appelés aux armes au nom [Root.Get_du_HighGod] !\n\nLes manifestations sinistres [Root.GetEvilGodDuDelaDes] doivent être purgées dans les flammes purificatrices !;[Root.GetTitledFirstName] hat einen [Root.Religion.GetCrusadeName] gegen [New.GetTitledName] und die Anhänger von "[New.Religion.GetHighGodName]" in [From.GetFullBaseName] ausgerufen! Alle Männer, die sich wahrhaftig zum [Root.Religion.GetName]en Glauben bekennen, sind aufgerufen, im Namen von [Root.Religion.GetHighGodName] in den Krieg zu ziehen!\n\nIn heiliger Flamme sollen die finsteren Verkörperungen von [Root.Religion.GetRandomEvilGodName] vergehen!;;El gran [Root.GetTitledFirstName] ha declarado [Root.Religion.GetCrusadeName] contra [New.GetTitledName]y los seguidores de [New.Religion.GetHighGodName] en el [From.GetFullBaseName]! ­Se llama a las armas a todos los verdaderos hombres del [Root.Religion.GetName] contra el viejo archienemigo!\n\n Las manifestaciones oscuras de [Root.Religion.GetRandomEvilGodName]  debe ser limpiado en llamas que se curan!;;;;;;;;;x
EVTDESC327_CHRIST;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetName] infidels in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the deniers of [Root.Religion.GetHighGodName]!\n\nThe Magi will cleanse their churches in healing flames!;[Root.Get_Le_TitledFirstName], dans sa grandeur, a déclaré une [Root.Religion.GetCrusadeName] contre [New.Get_le_TitledName] et les infidèles [New.GetReligionMascPl] au sein de [From.GetFullBaseName] ! Tous les vrais fidèles [Root.GetReligionMascPl] sont appelés aux armes pour combattre ceux qui osent renier [Root.Get_le_HighGod] !\n\nLes mages purgeront leurs églises de ses flammes purificatrices !;[Root.GetTitledFirstName] hat einen [Root.Religion.GetCrusadeName] gegen [New.GetTitledName] und die ketzerische Sekte der [New.Religion.GetName]en Religion in [From.GetFullBaseName] ausgerufen! Alle Männer, die sich wahrhaftig zum [Root.Religion.GetName]en Glauben bekennen, sind aufgerufen, gegen jene, die [Root.Religion.GetHighGodName] verleugnen, in den Krieg zu ziehen!\n\nDie Weisen werden ihre Kirchen in heilenden Flammen reinigen!;;¡El gran [Root.GetTitledFirstName] ha declarado una [Root.Religion.GetCrusadeName] contra [New.GetTitledName] y los infieles [New.Religion.GetName] en [From.GetFullBaseName]! ¡Se ha llamado a las armas a todos verdaderos hombres del [Root.Religion.GetName] contra los que reniegan de [Root.Religion.GetHighGodName]!\n\n ¡Magos limpiarán sus iglesias con llamas sanadoras!;;;;;;;;;x
