monastic_order_benedictine;[GetBenedictineSocietyName];[GetBenedictineSocietyName];[GetBenedictineSocietyName];;;;;;;;;;;x
secret_religious_society_hurufi_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_hurufi_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_ibadi;[GetReligiousCommunityName_ibadi];[GetReligiousCommunityName_ibadi];[GetReligiousCommunityName_ibadi];;[GetReligiousCommunityName_ibadi];;;;;;;;;x
secret_religious_society_ibadi_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_ibadi_desc;[GetReligiousSocietyDesc_ibadi];[GetReligiousSocietyDesc_ibadi];[GetReligiousSocietyDesc_ibadi];;[GetReligiousSocietyDesc_ibadi];;;;;;;;;x
secret_religious_society_ibadi_desc_REAL;The Ibadi faith is said to predate both the Sunni and Shia schools of Islam. There are several doctrinal differences between these later branches and the orthodox Ibadi, for examples, the Ibadi do not believe there has to be one leader for all of the Muslim communities. However, their fervent faith in Allah is the same.;On dit que la foi ibadite est antérieure aux écoles sunnites et chiites de l'islam. Il y a plusieurs différences doctrinales entre ces branches et les ibadites ne croient pas qu'il doit y avoir un seul chef pour toutes les communautés musulmanes. Cependant, leur foi fervente en Allah est la même.;Der Ibadi-Glaube soll älter als die Sunni- und die Shia-Schule des Islam sein. Es bestehen mehrere Unterschiede in der Lehre zwischen diesen späteren Zweigen und den orthodoxen Ibadi. So glauben die Ibadi beispielsweise nicht, dass es für alle mohammedanischen Gemeinden ein einziges Oberhaupt geben muss. Ihr glühender Glaube an Allah ist jedoch derselbe.;;Se dice que la fe ibadí nació antes que las escuelas suní y chií del islam. Hay varias diferencias doctrinales entre estas últimas ramas y los ortodoxos ibadíes. Por ejemplo, los ibadíes no creen que deba haber un solo líder para todas las comunidades musulmanas. Sin embargo, su fervor por Alá es el mismo.;;;;;;;;;x
secret_religious_society_ibadi_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_ibadi_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_ibadi_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_ibadi_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_ibadi_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_ibadi_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_ibadi_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_ibadi_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_ibadi_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_iconoclast;[GetReligiousCommunityName_iconoclast];[GetReligiousCommunityName_iconoclast];[GetReligiousCommunityName_iconoclast];;[GetReligiousCommunityName_iconoclast];;;;;;;;;x
secret_religious_society_iconoclast_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_iconoclast_desc;[GetReligiousSocietyDesc_iconoclast];[GetReligiousSocietyDesc_iconoclast];[GetReligiousSocietyDesc_iconoclast];;[GetReligiousSocietyDesc_iconoclast];;;;;;;;;x
secret_religious_society_iconoclast_desc_REAL;Seeing themselves as walking in the footsteps of the Apostles who first built the Church in the name of Christ, there are Christians who will not give up their faith, even when circumstance has forced them to renounce their words. They continue the good work, building their faith and their church, knowing in their hearts that they are doing God's will.;Pensant suivre les pas des apôtres qui ont construit l'Église au nom du Christ, certains chrétiens ne renoncent pas à leur foi, même quand les circonstances les forcent à ne pas l'exprimer publiquement. Ils poursuivent cette oeuvre, renforçant leur foi et leur Église, sachant au fond d'eux qu'ils exaucent la volonté de Dieu.;Sie sehen sich selbst als Nachfolger der Apostel, die zu Beginn im Namen von Jesus Christus die Kirche aufgebaut haben, und wenden sich auch dann nicht von ihrem Glauben ab, wenn sie durch äußere Umstände dazu gezwungen werden, ihre Lehren zu verleugnen. Sie setzen ihr gutes Werk und den Aufbau ihres Glaubens und ihrer Kirche fort, da sie in ihren Herzen wissen, dass sie den Willen von Gott verrichten.;;Hay cristianos que se ven a sí mismos siguiendo los pasos de los apóstoles que fundaron la Iglesia en nombre de Cristo, y que no renunciarán a su fe, aun cuando las circunstancias los han forzado a callar sus plegarias. Continúan con su buena labor, construyendo su fe y su iglesia, sabiendo en lo hondo de su alma que están siguiendo la voluntad de Dios.;;;;;;;;;x
secret_religious_society_iconoclast_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_iconoclast_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_iconoclast_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_iconoclast_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_iconoclast_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_iconoclast_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_iconoclast_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_iconoclast_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_iconoclast_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_jain;[GetReligiousCommunityName_jain];[GetReligiousCommunityName_jain];[GetReligiousCommunityName_jain];;[GetReligiousCommunityName_jain];;;;;;;;;x
secret_religious_society_jain_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_jain_desc;[GetReligiousSocietyDesc_jain];[GetReligiousSocietyDesc_jain];[GetReligiousSocietyDesc_jain];;[GetReligiousSocietyDesc_jain];;;;;;;;;x
secret_religious_society_jain_desc_REAL;To conquer all inner passions is to become Jina. The Jains take five vows of self- discipline and asceticism in their search of spiritual development. Ahmisa: to love and cause no harm to other living beings. Satya: to always speak the truth. Asteya: to never take that which is not willingly offered. Brahmacharya: to adopt chastity or celibacy. Aparigraha: the renunciation of worldly possessions. To be Jain is to never break such vows, even when doing so is in itself a secret that tries Satya to its very limits.;La pratique des jaïns consiste en cinq voeux ascétiques. Ahmisa, un voeu d'amour et de ne pas faire de mal aux autres êtres vivants. Satya: toujours dire la vérité. Asteya: ne jamais prendre ce qui n'est pas offert. Brahmacharya: chasteté. Aparigraha: non-attachement au monde matériel. Ils ne doivent pas les rompre, même si leurs croyances doivent être cachées et qu'ainsi leur voeu de vérité est continuellement mis à l'épreuve.;Der Weg zur Überwindung aller inneren Leidenschaften liegt darin, ein Jina zu werden. Die Jainas legen auf ihrer Suche nach spiritueller Weiterentwicklung fünf Gelübde der Selbstdisziplin und Askese ab: Ahimsa, das Gelübde der Liebe und des Verzichts, andere Lebewesen zu verletzen – Satya, das Gelübde, immer die Wahrheit zu sagen – Asteya, das Gelübde, nie etwas an sich zu nehmen, das nicht freiwillig angeboten wird – Brahma, das Gelübde von Keuschheit oder Zölibat – und Aparigraha, das Gelübde des Verzichts auf den Besitz von Objekten, Orten und Menschen. Manche Jainas werden diese Gelübde niemals brechen, selbst wenn sie die Gelübde heimlich einhalten müssen und ihr Gelübde, stets die Wahrheit zu sagen, immer wieder auf die Probe gestellt wird.;;Conquistar todas las pasiones internas es convertirse en jainista. Esta práctica consiste en cinco votos de autodisciplina y ascetismo en la búsqueda del desarrollo espiritual. El ahimsa es un voto de amor, el de no causar daño a otros seres vivos. El satiá es el voto de decir siempre la verdad. El asteia es el voto de no coger nunca lo que no te ofrecen. El brahmacharia es el voto de castidad o de celibato. El aparigraja es el voto del desapego, tanto a objetos como a lugares o personas. Algunos nunca romperán estos votos, aunque deban mantenerlo en secreto y su voto de sinceridad sea puesto a prueba una y otra vez.;;;;;;;;;x
secret_religious_society_jain_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_jain_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_jain_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_jain_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_jain_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_jain_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_jain_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_jain_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_jain_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_jewish;[GetReligiousCommunityName_jewish];[GetReligiousCommunityName_jewish];[GetReligiousCommunityName_jewish];;[GetReligiousCommunityName_jewish];;;;;;;;;x
secret_religious_society_jewish_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_jewish_desc;[GetReligiousSocietyDesc_jewish];[GetReligiousSocietyDesc_jewish];[GetReligiousSocietyDesc_jewish];;[GetReligiousSocietyDesc_jewish];;;;;;;;;x
secret_religious_society_jewish_desc_REAL;Hidden Jewish communities have organized under oppression ever since the time of the Babylonian captivity. These groups welcome both those forced to convert away of Judaism, the Anusim, and those who have secretly become righteous converts, the ger tzedek. A community always cares for its own, knowing that as ages pass, true faith is worth persevering for. God will provide.;Les communautés juives cachées se sont organisées sous l'oppression depuis l'époque de la captivité babylonienne. Ces groupes accueillent à la fois les juifs qui ont été forcés à se convertir, les Anoussim, et ceux qui se sont secrètement convertis, les ger tizedek. On peut toujours compter sur les membres de sa communauté, sachant qu'avec le temps qui passe, la vraie foi mérite qu'on lui reste fidèle. Dieu pourvoira.;Seit der babylonischen Gefangenschaft haben sich in Zeiten der Unterdrückung versteckte jüdische Gemeinden organisiert. Diese Gruppen heißen sowohl die Anusim willkommen, die gezwungen wurden, sich vom Judentum abzuwenden, als auch die "ger tzedek", die heimlich zu rechtmäßigen Konvertiten geworden sind. Eine Gemeinde sorgt stets für ihre Angehörigen, da bekannt ist, dass im Lauf der Jahrhunderte wahrer Glaube es wert ist, standhaft an ihm festzuhalten. Gott wird für die Seinen sorgen.;;Comunidades judías secretas se han organizado bajo la opresión desde los tiempos del cautiverio de Babilonia. Estos grupos incluyen tanto a aquellos obligados a dejar la fe judía, los anusim, como a aquellos que han pasado a ser rectos conversos en secreto, los ger tzedek. Una comunidad siempre cuida de los suyos, sabiendo que con el paso del tiempo, vale la pena preservar la fe verdadera. Dios proveerá.;;;;;;;;;x
secret_religious_society_jewish_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_jewish_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_jewish_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_jewish_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_jewish_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_jewish_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_jewish_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_jewish_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_jewish_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_karaite;[GetReligiousCommunityName_karaite];[GetReligiousCommunityName_karaite];[GetReligiousCommunityName_karaite];;[GetReligiousCommunityName_karaite];;;;;;;;;x
secret_religious_society_karaite_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_karaite_desc;[GetReligiousSocietyDesc_karaite];[GetReligiousSocietyDesc_karaite];[GetReligiousSocietyDesc_karaite];;[GetReligiousSocietyDesc_karaite];;;;;;;;;x
secret_religious_society_karaite_desc_REAL;Hidden Karaite communities have organized under oppression ever since the time of the Babylonian captivity. These groups welcome both those forced to convert away of Judaism, the Anusim, and those who have secretly become righteous converts, the ger tzedek. A community always cares for its own, knowing that as ages pass, true faith is worth persevering for. God will provide.;Les communautés cachées karaïtes se sont organisées sous l'oppression depuis l'époque de la captivité babylonienne. Ces groupes accueillent à la fois ceux qui ont été forcés d'abandonner le judaïsme, les Anoussim, et ceux qui se sont secrètement convertis, les ger tizedek. Une communauté s'occupe toujours de ses propres, sachant que comme les âges passent, la vraie foi vaut la peine persévérer pour. Dieu fournira.;Seit der babylonischen Gefangenschaft wurden in Zeiten der Unterdrückung immer wieder versteckte Karaitengemeinden gegründet. Diese Gruppen heißen sowohl die Anusim willkommen, die gezwungen wurden, sich vom Judentum abzuwenden, als auch die "ger tzedek", die heimlich zu rechtmäßigen Konvertiten geworden sind. Eine Gemeinde sorgt stets für ihre Angehörigen, da bekannt ist, dass im Lauf der Jahrhunderte wahrer Glaube es wert ist, standhaft an ihm festzuhalten. Gott wird für die Seinen sorgen.;;Comunidades karaítas secretas se han organizado bajo la opresión desde los tiempos del Cautiverio de Babilonia. Estos grupos incluyen tanto a aquellos obligados a dejar la fe judía, los anusim, como a aquellos que han pasado a ser rectos conversos en secreto, los ger tzedek. Una comunidad siempre cuida de los suyos, sabiendo que con el paso del tiempo, vale la pena preservar la fe verdadera. Dios proveerá.;;;;;;;;;x
secret_religious_society_karaite_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_karaite_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_karaite_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_karaite_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_karaite_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_karaite_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_karaite_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_karaite_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_karaite_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_kharijite;[GetReligiousCommunityName_kharijite];[GetReligiousCommunityName_kharijite];[GetReligiousCommunityName_kharijite];;[GetReligiousCommunityName_kharijite];;;;;;;;;x
secret_religious_society_kharijite_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_kharijite_desc;[GetReligiousSocietyDesc_kharijite];[GetReligiousSocietyDesc_kharijite];[GetReligiousSocietyDesc_kharijite];;[GetReligiousSocietyDesc_kharijite];;;;;;;;;x
secret_religious_society_kharijite_desc_REAL;The Khawariji follow the teachings of the Quran, believed to have been verbally recited to Muhammed by God. Unlike many other Muslim groups, they believe that any righteous and pious Muslim can become caliph, and that is is their duty to revolt against any ruler who deviates from their interpretation of Islam. Martyrdom and dying for Allah is a strong desire among the Khawariji.;Les kharidjites suivent les enseignements du Coran, censés avoir été verbalement transmis à Mahomet par Dieu. Contrairement à beaucoup d'autres groupes musulmans, ils croient que n'importe quel musulman juste et pieux peut devenir le calife, et c'est leur devoir de se révolter contre tout dirigeant qui s'écarte de leur interprétation de l'islam. Ils sont prêts à mourir en martyre pour Allah.;Die Charidschiten folgen den Lehren des Korans, von denen sie glauben, Mohammed habe sie von Allah selbst erfahren. Im Gegensatz zu anderen mohammedanischen Gruppen glauben die Charidschiten, dass jeder rechtschaffene und fromme Mohammedaner Kalif werden kann und dass es ihre Pflicht ist, sich gegen jeden Herrscher aufzulehnen, der von ihrer Auslegung des Islam abweicht. Das Märtyrertum und der Tod für Allah spielen bei den Charidschiten eine große Rolle.;;Los jariyitas siguen en secreto las enseñanzas del Corán, cuyo contenido se cree que Dios recitó a Mahoma. Al contrario que muchos otros grupos musulmanes, ellos creen que cualquier musulmán recto y piadoso puede convertirse en califa, y que es su deber sublevarse contra cualquier líder que no siga su interpretación del islam. El martirio y la muerte en nombre de Alá son un deseo ferviente entre los jariyitas.;;;;;;;;;x
secret_religious_society_kharijite_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_kharijite_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_kharijite_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_kharijite_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_kharijite_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_kharijite_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_kharijite_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_kharijite_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_kharijite_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_khurmazta;[GetReligiousCommunityName_khurmazta];[GetReligiousCommunityName_khurmazta];[GetReligiousCommunityName_khurmazta];;[GetReligiousCommunityName_khurmazta];;;;;;;;;x
secret_religious_society_khurmazta_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_khurmazta_desc;[GetReligiousSocietyDesc_khurmazta];[GetReligiousSocietyDesc_khurmazta];[GetReligiousSocietyDesc_khurmazta];;[GetReligiousSocietyDesc_khurmazta];;;;;;;;;x
secret_religious_society_khurmazta_desc_REAL;The Khurmazta believe that there are two original principles of the universe - the good Light and the evil Darkness. By a cosmic accident, the two has been mixed, and everything is tainted but God. Mankind's purpose is to spread the wisdom of their benevolent God and releasing their own inner Light through good conduct and kind actions.;Les mazdakites croient qu'il y a deux principes à l'origine de l'univers - la bonne Lumière et les Ténèbres maléfiques. Par un accident cosmique, les deux ont été mélangés, et tout est entaché sauf Dieu. Le but de l'humanité est de répandre la sagesse de leur Dieu bienveillant et de libérer leur propre Lumière intérieure par les bonnes actions.;Die Manichäisten glauben, dass es zwei ursprüngliche Grundprinzipien des Universums gibt: das gute Licht und die böse Finsternis. Durch einen kosmischen Unfall wurden diese beiden Prinzipien vermischt und ist alles außer Gott befleckt. Der Zweck der Menschheit besteht darin, die Weisheit ihres wohlwollenden Gottes zu verbreiten und durch einen guten Lebenswandel und gute Taten ihr eigenes inneres Licht freizusetzen.;;Los maniqueos creen que hay dos principios originales en el universo, uno benigno (la Luz) y otro maligno (la Oscuridad). Un accidente cósmico provocó que se mezclasen, volviéndolo todo impuro, salvo a Dios. El objetivo de la humanidad es dar a conocer la sabiduría de su benévolo Dios y liberar su propia Luz interior mediante la buena conducta y la bondad.;;;;;;;;;x
secret_religious_society_khurmazta_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_khurmazta_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_khurmazta_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_khurmazta_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_khurmazta_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_khurmazta_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_khurmazta_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_khurmazta_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_khurmazta_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_lollard;[GetReligiousCommunityName_lollard];[GetReligiousCommunityName_lollard];[GetReligiousCommunityName_lollard];;[GetReligiousCommunityName_lollard];;;;;;;;;x
secret_religious_society_lollard_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_lollard_desc;[GetReligiousSocietyDesc_lollard];[GetReligiousSocietyDesc_lollard];[GetReligiousSocietyDesc_lollard];;[GetReligiousSocietyDesc_lollard];;;;;;;;;x
secret_religious_society_lollard_desc_REAL;Ever since its humble roots, Christians have marked themselves by their refusal to abandon their faith in the face of persecution. So it is that a rich tradition of martyrs and underground parishes can give hope to groups of believers in even the darkest of times, no matter what they are outwardly forced to profess. To each other they can profess their true faith in God, and their God is love.;Dès leurs humbles origines, les chrétiens ont refusé d'abandonner leur foi face à la persécution. Ainsi, une riche tradition de martyrs et de paroisses secrètes peut donner de l'espoir à des groupes de croyants, même dans les périodes les plus difficiles, peu importe la religion qu'ils sont obligés de professer publiquement. Entre eux, ils peuvent professer leur vraie foi en Dieu, et leur Dieu est amour.;Seit ihren bescheidenen Anfängen haben sich Christen durch ihre beharrliche Weigerung hervorgetan, angesichts der Verfolgung von ihrem Glauben abzulassen. Daher kann eine lange Tradition von Märtyrern und Untergrundgemeinden Gruppen von Gläubigen selbst in den finstersten Zeiten Hoffnung geben, ganz gleich, was sie durch Zwang nach außen hin bekennen müssen. Untereinander können sie ihren wahren Glauben an Gott bekennen, und ihr Gott heißt Liebe.;;Desde sus humildes orígenes, los cristianos se han caracterizado por su negativa a abandonar su fe ante la opresión. Tanto es así, que una nutrida tradición de mártires y parroquias clandestinas consigue dar esperanza a grupos de creyentes incluso en los tiempos más oscuros, sin importar qué otra fe les obliguen a profesar en público. Entre ellos pueden mostrar su verdadera fe en Dios, y su Dios es amor.;;;;;;;;;x
secret_religious_society_lollard_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_lollard_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_lollard_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_lollard_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_lollard_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_lollard_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_lollard_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_lollard_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_lollard_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_manichaean;[GetReligiousCommunityName_manichaean];[GetReligiousCommunityName_manichaean];[GetReligiousCommunityName_manichaean];;[GetReligiousCommunityName_manichaean];;;;;;;;;x
secret_religious_society_manichaean_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_manichaean_desc;[GetReligiousSocietyDesc_manichaean];[GetReligiousSocietyDesc_manichaean];[GetReligiousSocietyDesc_manichaean];;[GetReligiousSocietyDesc_manichaean];;;;;;;;;x
secret_religious_society_manichaean_desc_REAL;The Manichaeans believe that there are two original principles of the universe - the good Light and the evil Darkness. By a cosmic accident, the two has been mixed, and everything is tainted but God. Mankind's purpose is to spread the wisdom of their benevolent God and releasing their own inner Light through good conduct and kind actions.;Les mazdakites croient qu'il y a deux principes à l'origine de l'univers - la bonne Lumière et les Ténèbres maléfiques. Par un accident cosmique, les deux ont été mélangés, et tout est entaché sauf Dieu. Le but de l'humanité est de répandre la sagesse de leur Dieu bienveillant et de libérer leur propre Lumière intérieure par les bonnes actions.;Die Manichäisten glauben, dass es zwei ursprüngliche Grundprinzipien des Universums gibt: das gute Licht und die böse Finsternis. Durch einen kosmischen Unfall wurden diese beiden Prinzipien vermischt und ist alles außer Gott befleckt. Der Zweck der Menschheit besteht darin, die Weisheit ihres wohlwollenden Gottes zu verbreiten und durch einen guten Lebenswandel und gute Taten ihr eigenes inneres Licht freizusetzen.;;Los maniqueos creen que hay dos principios originales en el universo, uno benigno (la Luz) y otro maligno (la Oscuridad). Un accidente cósmico provocó que se mezclasen, volviéndolo todo impuro, salvo a Dios. El objetivo de la humanidad es dar a conocer la sabiduría de su benévolo Dios y liberar su propia Luz interior mediante la buena conducta y la bondad.;;;;;;;;;x
secret_religious_society_manichaean_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_manichaean_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_manichaean_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_manichaean_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_manichaean_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_manichaean_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_manichaean_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_manichaean_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_manichaean_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_mazdaki;[GetReligiousCommunityName_mazdaki];[GetReligiousCommunityName_mazdaki];[GetReligiousCommunityName_mazdaki];;[GetReligiousCommunityName_mazdaki];;;;;;;;;x
secret_religious_society_mazdaki_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_mazdaki_desc;[GetReligiousSocietyDesc_mazdaki];[GetReligiousSocietyDesc_mazdaki];[GetReligiousSocietyDesc_mazdaki];;[GetReligiousSocietyDesc_mazdaki];;;;;;;;;x
